round_epochs,val_loss,val_acc,loss,acc,activation,optimizer,loss,batch_size
100,0.4774369870243504,0.7502649822684024,0.4774234360967021,0.7498254499931909,sigmoid,nadam,binary_crossentropy,500
100,5.414572868037221,0.0,5.375627010365796,0.0003917494491210954,selu,nadam,binary_crossentropy,2000
100,0.48021037182411647,0.7483220360130216,0.4804419562705595,0.7480370284062865,sigmoid,nadam,binary_crossentropy,1000
100,0.16760517006037062,0.7432880333652663,0.16917314116868631,0.7392482184201951,selu,nadam,mse,1000
100,0.6640687426324342,0.3359313032357166,0.6664850138141383,0.3335150323499947,softmax,nadam,mse,1000
100,0.5133754767251817,0.7199505784007693,0.5111566661338656,0.7189368540020274,sigmoid,nadam,binary_crossentropy,2000
100,10.58683911623134,0.33593130586773307,10.625360258282104,0.333515030691631,softmax,nadam,binary_crossentropy,500
100,0.1641565528736512,0.749337665364903,0.16371895729768554,0.7502597795981131,sigmoid,nadam,mse,1000
100,0.16253559427174813,0.7507507168950835,0.16458954620879293,0.7471002374692158,relu,nadam,mse,1000
100,0.1643114026731625,0.7490948046263395,0.16535463611539036,0.7473046291524426,relu,nadam,mse,2000
100,5.414572868037221,0.0,5.366928743261489,0.0013029927274287464,tanh,nadam,binary_crossentropy,2000
100,5.414572775642916,0.0,5.375357709516792,0.00637870271012387,selu,nadam,binary_crossentropy,1000
100,0.6640687421691993,0.335931307454839,0.6664850125440966,0.33351503211497097,softmax,nadam,mse,2000
100,nan,0.0,nan,0.0017117746674966375,tanh,nadam,mse,1000
100,0.1646721394099101,0.7463128488097291,0.16539818152714997,0.7462997052109976,selu,nadam,mse,500
100,nan,0.0,nan,0.0017628725210449294,tanh,nadam,mse,2000
100,5.414572833547278,0.6640687439484425,5.374546211990723,0.6665105671885959,relu,nadam,binary_crossentropy,500
100,5.414572833547278,0.0,5.374992927019716,0.0023590129082998205,selu,nadam,binary_crossentropy,500
100,10.586838993684653,0.335931307454839,10.625360137089071,0.3335150327799408,softmax,nadam,binary_crossentropy,2000
100,0.6640687439484425,0.33593130586773307,0.6664850133329234,0.33351503095609614,softmax,nadam,mse,500
100,0.17776047224071162,0.719796020882738,0.18111203108692578,0.7130691323172559,selu,nadam,mse,2000
100,0.5139635564328545,0.7321823146047813,0.5305517407610092,0.7172421144203827,relu,nadam,binary_crossentropy,2000
100,0.17228953833795,0.7327122146940311,0.17209669179000328,0.731268449389119,sigmoid,nadam,mse,2000
100,0.5045656891064121,0.7390930307139928,0.5212632716103069,0.7251452354488103,relu,nadam,binary_crossentropy,1000
100,0.16326377666834585,0.7517221926600544,0.16489866305746,0.747679343654797,relu,nadam,mse,500
100,5.414572833547278,0.0,5.372039931245761,0.0006472382092520155,tanh,nadam,binary_crossentropy,500
100,0.16379197988210714,0.7487415343609882,0.16430557236851792,0.7469128792007871,sigmoid,nadam,mse,500
100,10.586839126759406,0.3359313032357166,10.625360226818371,0.3335150323398425,softmax,nadam,binary_crossentropy,1000
100,5.414572775642916,0.0,5.375627042796018,0.00010219550087980216,tanh,nadam,binary_crossentropy,1000
100,nan,0.0,nan,0.0002895539323784639,tanh,nadam,mse,500
