,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
5424,1783,33I0024002,-85.39315,35.008289,50,2/25/19,7:00,7,35.35,55.78,34.66,18.4,0.5,2,0,5.38,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5017385,2.007,1
1987,3817,33SR153001,-85.221427,35.091719,34,2/25/19,15:00,15,55.1,55.31,34.28,23.8,0.29,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,4,2,2,4,6,13,1,12,24,15,,0.5145457,5.772,1
4868,3681,33I0024002,-85.368766,35.026324,144,2/25/19,15:00,15,55.64,55.85,35.18,23.17,0.28,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.55526143,3.959,1
408,2701,33I0024002,-85.368766,35.026324,144,2/25/19,11:00,11,46.09,55.85,35.18,15.11,0.28,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.5513186,3.959,1
4242,1785,33I0024002,-85.383202,35.018934,48,2/25/19,7:00,7,35.41,55.46,34.7,18.37,0.49,2,0,5.46,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5514585,2.945,1
1959,3292,330C656001,-85.291474,35.119695,41,2/25/19,13:00,13,51.58,55.35,33.4,13.51,0.22,2,0,8.78,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,,0.52235204,0.052,1
903,3249,33SR008001,-85.317611,35.083977,52,2/25/19,13:00,13,51.7,55.64,33.53,13.67,0.22,2,0,8.85,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,21,1,16,22,15,,0.5989196,11.962,1
3168,26,33I0075001,-85.209894,34.998664,83,2/25/19,0:00,0,53.78,60.76,45.87,50.01,0.87,2,0,6.7,0.35,rain,0.0132,0.1332,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,0.7185307,1.014,1
1251,2765,33I0024002,-85.383202,35.018934,48,2/25/19,11:00,11,45.46,55.46,34.7,15.06,0.29,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5299792,2.945,1
2591,89,33I0075001,-85.206471,34.993709,45,2/25/19,0:00,0,53.95,60.9,46.11,50.01,0.86,2,0,6.8,0.35,rain,0.0132,0.1328,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,7,2,1,11,36,15,,0.6139381,0.62,1
4141,2275,33I0024002,-85.383202,35.018934,48,2/25/19,9:00,9,39.01,55.46,34.7,17.96,0.42,2,0,5.4,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.52535534,2.945,1
4209,3500,33I0024002,-85.383202,35.018934,48,2/25/19,14:00,14,54.05,55.46,34.7,15.31,0.21,2,0,5.8,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.6871627,2.945,1
4535,2432,330E078001,-85.079303,35.086417,26,2/25/19,9:00,9,39.17,54.59,34.33,19.72,0.45,2,0,6.48,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,,0.6211272,0.002,1
3087,3700,33I0024002,-85.323702,35.02629,91,2/25/19,15:00,15,55.58,55.77,35.75,23.4,0.28,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.52819633,7.082,1
5282,4238,33I0024002,-85.322434,35.028932,47,2/25/19,17:00,17,55.32,55.77,35.73,28.95,0.36,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,0.50784904,7.279,1
