,Unnamed: 0,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
4723,3137,330B854001,-85.207332,34.988878,28,2/25/19,12:00,12,48.66,55.56,34.62,14.47,0.25,2,0,3.19,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15,,0.10293897,0.051,0.0
1996,4941,33I0024002,-85.310838,35.02908,67,2/25/19,20:00,20,47.64,55.71,35.95,30.75,0.52,2,0,10.0,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,8,2,1,11,36,18,,0.2983812,8.071,0.0
5748,1060,33I0024002,-85.253185,35.015252000000004,46,2/25/19,4:00,4,37.77,55.01,34.11,25.44,0.61,2,0,5.81,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,6,6,2,1,11,36,18,,0.09208294,11.982999999999999,0.0
1468,5371,33I0075001,-85.210479,35.004212,26,2/25/19,21:00,21,45.59,55.41,34.3,30.58,0.55,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.05963666,1.391,0.0
3159,2225,33I0075001,-85.184679,35.01246,102,2/25/19,9:00,9,39.71,55.33,34.45,20.09,0.45,2,0,3.33,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,8,8,2,1,11,48,18,,0.026971057,2.9739999999999998,0.0
5610,1030,3303578001,-85.220198,35.042164,61,2/25/19,4:00,4,37.78,55.47,34.0,25.08,0.6,2,0,6.77,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,16,42,15,,0.08053905,3.6210000000000004,0.0
1377,2876,33SR002001,-85.365756,35.020313,31,2/25/19,11:00,11,46.11,55.87,35.19,15.15,0.28,2,0,10.0,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,24,15,,0.27421728,3.1910000000000003,0.0
4836,379,3303561001,-85.310664,35.052295,36,2/25/19,1:00,1,42.94,55.28,34.25,22.35,0.44,2,0,4.29,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,18,4,16,36,15,,0.00786253,0.45399999999999996,0.0
3079,5563,3305770001,-85.24368299999999,35.011387,31,2/25/19,22:00,22,44.64,55.27,34.16,30.2,0.57,2,0,10.0,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,7,0,1,3,3,18,4,16,40,15,,0.14341827,1.511,0.0
1056,245,3304986001,-85.15870600000001,35.034528,268,2/25/19,1:00,1,43.18,54.91,34.37,22.61,0.44,2,0,3.72,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,0.006888995,1.464,0.0
