Latitude,Longitude,Hour,WeekDay,WeekEnd,Visibility,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Grid_Row,Grid_Col,Highway,Land_Use_Mode,Road_Count,Event,Conditions,EventBefore,ConditionBefore,Precipitation_Type
34.9932,-85.39602273,0,,,,,,,,,,,,0,,,1,0,1,,,,,
34.9932,-85.38806818,0,,,,,,,,,,,,1,,,0,5,4,,,,,
34.9932,-85.38011364,0,,,,,,,,,,,,2,,,0,5,1,,,,,
34.9932,-85.37215909,0,,,,,,,,,,,,3,,,0,0,0,,,,,
34.9932,-85.34829545,0,,,,,,,,,,,,6,,,0,0,0,,,,,
34.9932,-85.34034091,0,,,,,,,,,,,,7,,,0,7,20,,,,,
34.9932,-85.33238636,0,,,,,,,,,,,,8,,,0,7,15,,,,,
34.9932,-85.32443182,0,,,,,,,,,,,,9,,,0,0,4,,,,,
34.9932,-85.31647727,0,,,,,,,,,,,,10,,,0,7,12,,,,,
34.9932,-85.30852273,0,,,,,,,,,,,,11,,,0,7,13,,,,,
34.9932,-85.30056818,0,,,,,,,,,,,,12,,,0,7,8,,,,,
34.9932,-85.29261364,0,,,,,,,,,,,,13,,,0,7,8,,,,,
34.9932,-85.28465909,0,,,,,,,,,,,,14,,,0,7,7,,,,,
34.9932,-85.27670455,0,,,,,,,,,,,,15,,,0,7,15,,,,,
34.9932,-85.26875,0,,,,,,,,,,,,16,,,0,7,23,,,,,
34.9932,-85.26079545,0,,,,,,,,,,,,17,,,0,7,16,,,,,
34.9932,-85.25284091,0,,,,,,,,,,,,18,,,0,7,19,,,,,
34.9932,-85.24488636,0,,,,,,,,,,,,19,,,0,7,19,,,,,
34.9932,-85.23693182,0,,,,,,,,,,,,20,,,0,7,13,,,,,
34.9932,-85.22897727,0,,,,,,,,,,,,21,,,0,7,19,,,,,
34.9932,-85.22102273,0,,,,,,,,,,,,22,,,0,7,28,,,,,
34.9932,-85.21306818,0,,,,,,,,,,,,23,,,0,7,20,,,,,
34.9932,-85.20511364,0,,,,,,,,,,,,24,,,0,7,20,,,,,
34.9932,-85.19715909,0,,,,,,,,,,,,25,,,0,7,13,,,,,
34.9932,-85.18920455,0,,,,,,,,,,,,26,,,1,2,6,,,,,
34.9932,-85.18125,0,,,,,,,,,,,,27,,,0,7,4,,,,,
34.9932,-85.17329545,0,,,,,,,,,,,,28,,,0,7,12,,,,,
34.9932,-85.16534091,0,,,,,,,,,,,,29,,,0,7,7,,,,,
34.9932,-85.15738636,0,,,,,,,,,,,,30,,,0,7,4,,,,,
34.9932,-85.14943182,0,,,,,,,,,,,,31,,,0,7,5,,,,,
34.9932,-85.14147727,0,,,,,,,,,,,,32,,,0,7,9,,,,,
34.9932,-85.13352273,0,,,,,,,,,,,,33,,,0,7,17,,,,,
34.9932,-85.12556818,0,,,,,,,,,,,,34,,,0,7,18,,,,,
34.9932,-85.11761364,0,,,,,,,,,,,,35,,,0,7,14,,,,,
34.9932,-85.10965909,0,,,,,,,,,,,,36,,,0,7,10,,,,,
34.9932,-85.10170455,0,,,,,,,,,,,,37,,,0,7,11,,,,,
34.9932,-85.09375,0,,,,,,,,,,,,38,,,0,7,10,,,,,
34.9932,-85.08579545,0,,,,,,,,,,,,39,,,0,7,7,,,,,
34.9932,-85.07784091,0,,,,,,,,,,,,40,,,0,0,3,,,,,
34.9932,-85.06988636,0,,,,,,,,,,,,41,,,0,0,2,,,,,
34.9932,-85.06193182,0,,,,,,,,,,,,42,,,0,0,2,,,,,
34.9932,-85.05397727,0,,,,,,,,,,,,43,,,0,0,1,,,,,
34.9996,-85.38806818,0,,,,,,,,,,,,45,,,0,0,1,,,,,
34.9996,-85.38011364,0,,,,,,,,,,,,46,,,0,0,0,,,,,
34.9996,-85.37215909,0,,,,,,,,,,,,47,,,1,0,2,,,,,
34.9996,-85.34829545,0,,,,,,,,,,,,50,,,0,2,2,,,,,
34.9996,-85.34034091,0,,,,,,,,,,,,51,,,0,5,1,,,,,
34.9996,-85.33238636,0,,,,,,,,,,,,52,,,0,0,0,,,,,
34.9996,-85.32443182,0,,,,,,,,,,,,53,,,0,0,0,,,,,
34.9996,-85.31647727,0,,,,,,,,,,,,54,,,0,7,11,,,,,
34.9996,-85.30852273,0,,,,,,,,,,,,55,,,0,7,22,,,,,
34.9996,-85.30056818,0,,,,,,,,,,,,56,,,0,7,9,,,,,
34.9996,-85.29261364,0,,,,,,,,,,,,57,,,0,7,10,,,,,
34.9996,-85.28465909,0,,,,,,,,,,,,58,,,0,7,20,,,,,
34.9996,-85.27670455,0,,,,,,,,,,,,59,,,0,7,14,,,,,
34.9996,-85.26875,0,,,,,,,,,,,,60,,,0,7,5,,,,,
34.9996,-85.26079545,0,,,,,,,,,,,,61,,,0,7,10,,,,,
34.9996,-85.25284091,0,,,,,,,,,,,,62,,,0,7,16,,,,,
34.9996,-85.24488636,0,,,,,,,,,,,,63,,,0,7,21,,,,,
34.9996,-85.23693182,0,,,,,,,,,,,,64,,,0,7,21,,,,,
34.9996,-85.22897727,0,,,,,,,,,,,,65,,,0,7,18,,,,,
34.9996,-85.22102273,0,,,,,,,,,,,,66,,,0,7,24,,,,,
