,Y,Latitude,Longitude,Date,Time,Problem,Hour
38194,0,34993013,85267266,2017-01-01,0:15:24, No Injuries,0
38193,0,35026290,85323702,2017-01-01,0:29:19, Unknown Injuries,0
38191,0,35052257,85304597,2017-01-01,0:39:26, No Injuries,0
38190,0,35031305,85321025,2017-01-01,0:57:43, No Injuries,0
38189,0,35052314,85309633,2017-01-01,1:00:39, No Injuries,1
38188,0,35081150,85078231,2017-01-01,1:04:56, Unknown Injuries,1
38187,0,35114979,85308705,2017-01-01,1:11:20, No Injuries,1
38186,0,35041303,85153824,2017-01-01,1:18:08, No Injuries,1
38185,0,35023771,85299870,2017-01-01,2:25:01, Unknown Injuries,2
38184,1,35027270,85224522,2017-01-01,3:35:37, Injuries,3
38183,1,35026966,85223719,2017-01-01,3:36:33, Injuries,3
38182,1,35075117,85251764,2017-01-01,4:53:23, Injuries,4
38181,1,35074127,85252797,2017-01-01,5:01:06, Injuries,5
38180,1,35075117,85251764,2017-01-01,5:01:07, Injuries,5
38179,0,35046084,85156225,2017-01-01,7:11:06, Delayed,7
38178,0,35007894,85200822,2017-01-01,7:47:16, Unknown Injuries,7
38177,0,35043081,85115657,2017-01-01,8:38:38, Unknown Injuries,8
38176,1,35032188,85319116,2017-01-01,8:41:51, Injuries,8
38175,1,35026290,85323702,2017-01-01,8:44:15, Injuries,8
38174,0,35100298,85159294,2017-01-01,9:52:20, No Injuries,9
38173,1,35032342,85318729,2017-01-01,10:00:53, Injuries,10
38172,1,35029902,85322207,2017-01-01,10:02:21, Injuries,10
38170,1,35029902,85322207,2017-01-01,10:03:09, Injuries,10
38171,1,35027231,85323459,2017-01-01,10:03:09, Injuries,10
38169,1,35027231,85323459,2017-01-01,10:04:04, Injuries,10
38168,1,35026191,85303623,2017-01-01,10:12:24, Injuries,10
38167,1,34995786,85269433,2017-01-01,10:20:22, Injuries,10
38166,1,35026191,85303623,2017-01-01,10:20:24, Injuries,10
38165,1,34995786,85269433,2017-01-01,10:33:39, Injuries,10
38164,0,35026290,85323702,2017-01-01,10:35:12, No Injuries,10
38163,0,35027231,85323459,2017-01-01,11:07:49, No Injuries,11
38162,0,35019833,85336134,2017-01-01,11:13:01, No Injuries,11
38161,0,35080754,85297037,2017-01-01,11:17:08, Delayed,11
38160,0,35019833,85336134,2017-01-01,11:40:39, No Injuries,11
38159,1,35031949,85317264,2017-01-01,11:42:54, Injuries,11
38158,0,35115429,85280018,2017-01-01,11:56:53, Delayed,11
38157,0,35090994,85187957,2017-01-01,12:12:59, No Injuries,12
38156,0,35021560,85297411,2017-01-01,12:23:55, No Injuries,12
38155,0,35032049,85311255,2017-01-01,13:03:08, No Injuries,13
38154,0,35043556,85163414,2017-01-01,13:21:58, No Injuries,13
38153,0,35044088,85160208,2017-01-01,13:43:07, No Injuries,13
38152,0,35061381,85213084,2017-01-01,14:07:21, No Injuries,14
38151,1,35021218,85266861,2017-01-01,14:40:49, Injuries,14
38150,0,35010680,85244059,2017-01-01,14:44:16, No Injuries,14
38149,0,35032123,85318901,2017-01-01,15:15:10, No Injuries,15
38148,0,35004305,85331925,2017-01-01,15:15:36, No Injuries,15
38147,1,35019094,85177674,2017-01-01,15:24:54, Injuries,15
38146,1,35027085,85172735,2017-01-01,15:26:18, Injuries,15
38145,0,35043033,85156655,2017-01-01,15:42:19, No Injuries,15
38144,1,35008289,85393150,2017-01-01,15:45:20, Injuries,15
38142,1,35004580,85395839,2017-01-01,15:46:48, Injuries,15
38143,1,35006105,85395327,2017-01-01,15:46:48, Injuries,15
38141,0,35167480,85070411,2017-01-01,15:47:49, No Injuries,15
38140,0,35026290,85323702,2017-01-01,15:48:29, No Injuries,15
38139,0,35052273,85149858,2017-01-01,15:51:03, No Injuries,15
38138,0,34988523,85403462,2017-01-01,15:54:03, No Injuries,15
38137,1,35021426,85380506,2017-01-01,16:09:25, Injuries,16
38136,0,35145067,85048545,2017-01-01,16:21:21, No Injuries,16
38135,0,35028387,85350032,2017-01-01,17:00:01, No Injuries,17
38134,0,34988878,85207332,2017-01-01,17:14:40, No Injuries,17
38133,0,34985369,85407025,2017-01-01,17:47:06, No Injuries,17
38132,0,35045142,85109845,2017-01-01,17:52:37, Unknown Injuries,17
38131,0,34985542,85242172,2017-01-01,17:58:50, No Injuries,17
38130,0,35034528,85158706,2017-01-01,18:02:33, No Injuries,18
38129,1,35018374,85173064,2017-01-01,18:18:39, Injuries,18
38128,0,35024755,85247548,2017-01-01,18:44:21, No Injuries,18
38127,0,35026290,85323702,2017-01-01,18:59:56, No Injuries,18
38126,0,35081276,85299466,2017-01-01,19:04:00, No Injuries,19
38125,0,35016831,85281292,2017-01-01,19:13:54, Unknown Injuries,19
38124,1,35014566,85272820,2017-01-01,19:15:55, Injuries,19
38123,1,35028932,85322434,2017-01-01,19:21:37, Injuries,19
38122,1,35026290,85323702,2017-01-01,19:24:41, Injuries,19
38121,1,35028932,85322434,2017-01-01,19:24:47, Injuries,19
38120,0,35089793,85312554,2017-01-01,20:24:07, No Injuries,20
38119,0,35028932,85322434,2017-01-01,21:49:37, No Injuries,21
38118,1,35033086,85318441,2017-01-01,21:50:38, Injuries,21
38117,0,35030287,85273617,2017-01-01,22:07:32, No Injuries,22
38116,1,35117942,85118494,2017-01-01,23:06:43, Injuries,23
38115,0,35035879,85274609,2017-01-01,23:40:33, No Injuries,23
38114,0,35021426,85380506,2017-01-01,23:53:49, Unknown Injuries,23
38113,0,35117942,85118494,2017-01-01,23:59:34, No Injuries,23
