,Accident,Route,Longitude,Latitude,sums,Log_Mile,City,Hour,Temperature,Temp_Max,Temp_Min,Daily_Avg_Temp,Monthly_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type,Event,Conditions,EventBefore,ConditionBefore,Probability,Prediction
0,,3304428001,-85.24562,35.152975,9,0.551,,0,64.35,64.35,52.45,,,,46.62,0.53,3.0,,9.89,0.89,rain,0.0094,0.0388,1551366000,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
1,,33I0075001,-85.200274,35.008246,9,0.136,,0,62.44,62.44,54.27,,,,49.33,0.62,3.0,,5.63,0.94,rain,0.01,0.0385,1551366000,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
2,,33I0075001,-85.21086600000001,35.001294,8,1.202,,0,62.47,62.47,54.34,,,,49.45,0.62,3.0,,5.5,0.94,rain,0.01,0.0391,1551366000,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
3,,330A702001,-85.26760999999999,35.034727000000004,7,0.092,,0,63.82,63.82,53.85,,,,48.63,0.58,3.0,,6.65,0.91,rain,0.0095,0.0375,1551366000,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
4,,33I0075001,-85.207205,35.005828,7,1.615,,0,62.5,62.5,54.31,,,,49.37,0.62,3.0,,5.59,0.94,rain,0.0101,0.0389,1551366000,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
5,,33SR320001,-85.163699,35.015214,7,2.6069999999999998,,0,62.17,62.45,55.04,,,,49.19,0.62,3.0,,5.66,0.94,rain,0.0097,0.0362,1551366000,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
6,,33I0024002,-85.297892,35.021809000000005,7,0.213,,0,64.05,64.05,54.05,,,,48.84,0.58,3.0,,6.72,0.91,rain,0.0096,0.0379,1551366000,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
7,,33I0024002,-85.237709,35.008661,6,1.391,,0,62.76,62.76,54.04,,,,49.22,0.61,3.0,,5.75,0.94,rain,0.0101,0.0399,1551366000,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
8,,3303603001,-85.181912,35.016889,6,0.002,,0,62.25,62.31,54.94,,,,49.18,0.62,3.0,,5.76,0.94,rain,0.0099,0.0373,1551366000,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
9,,330D228001,-85.197621,35.083886,6,0.059000000000000004,,0,63.46,63.46,53.41,,,,47.78,0.57,3.0,,7.31,0.91,rain,0.0089,0.034,1551366000,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
10,,3303580001,-85.162464,35.044885,6,1.695,,0,62.59,62.59,54.86,,,,48.71,0.6,3.0,,6.24,0.94,rain,0.0092,0.035,1551366000,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
11,,33I0024002,-85.254192,35.015817999999996,6,1.0390000000000001,,0,62.36,62.36,53.56,,,,49.09,0.62,3.0,,6.04,0.94,rain,0.0099,0.0391,1551366000,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
12,,33I0024002,-85.28069,35.016490999999995,6,10.06,,0,63.33,63.33,54.03,,,,49.01,0.6,3.0,,6.42,0.94,rain,0.0098,0.0386,1551366000,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
13,,3303580001,-85.166282,35.046274,6,1.538,,0,62.69,62.69,54.87,,,,48.69,0.6,3.0,,6.29,0.94,rain,0.0092,0.0351,1551366000,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
14,,33SR008001,-85.33131800000001,35.094367999999996,5,2.029,,0,65.08,65.08,53.4,,,,47.01,0.52,3.0,,5.07,0.89,rain,0.0094,0.0386,1551366000,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
15,,3303601001,-85.200161,35.055347999999995,5,0.679,,0,63.33,63.33,53.77,,,,48.34,0.58,3.0,,6.72,0.94,rain,0.0094,0.0358,1551366000,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
16,,3304986001,-85.153824,35.041303000000006,5,2.1630000000000003,,0,62.34,62.4,54.85,,,,48.78,0.61,3.0,,6.12,0.94,rain,0.0092,0.0349,1551366000,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
17,,3304986001,-85.15870600000001,35.034528,5,1.464,,0,62.38,62.46,54.92,,,,48.88,0.61,3.0,,6.02,0.94,rain,0.0093,0.0354,1551366000,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
18,,3304428001,-85.24562,35.152975,9,0.551,,1,58.76,60.6,48.63,,,,53.5,0.83,3.0,,8.81,0.82,rain,0.0194,0.0942,1551448800,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
19,,33I0075001,-85.200274,35.008246,9,0.136,,1,60.49,62.09,51.04,,,,55.87,0.85,3.0,,5.29,0.89,rain,0.0213,0.1036,1551445200,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
20,,33I0075001,-85.21086600000001,35.001294,8,1.202,,1,60.53,62.11,51.11,,,,55.92,0.85,3.0,,5.21,0.89,rain,0.0212,0.1053,1551445200,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
21,,330A702001,-85.26760999999999,35.034727000000004,7,0.092,,1,60.2,61.36,50.42,,,,55.39,0.84,3.0,,4.71,0.89,rain,0.0202,0.104,1551445200,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
22,,33I0075001,-85.207205,35.005828,7,1.615,,1,60.52,62.1,51.07,,,,55.87,0.85,3.0,,5.28,0.89,rain,0.0212,0.1041,1551445200,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
23,,33SR320001,-85.163699,35.015214,7,2.6069999999999998,,1,60.61,62.48,51.32,,,,55.92,0.85,3.0,,5.2,0.89,rain,0.0223,0.1025,1551445200,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
24,,33I0024002,-85.297892,35.021809000000005,7,0.213,,1,60.3,61.02,50.45,,,,55.43,0.84,3.0,,4.27,0.89,rain,0.0201,0.104,1551445200,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
25,,33I0024002,-85.237709,35.008661,6,1.391,,1,60.24,61.83,50.85,,,,55.6,0.85,3.0,,5.51,0.89,rain,0.02,0.1021,1551445200,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
26,,3303603001,-85.181912,35.016889,6,0.002,,1,60.48,62.36,51.2,,,,55.79,0.85,3.0,,5.35,0.89,rain,0.0217,0.1027,1551445200,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
27,,330D228001,-85.197621,35.083886,6,0.059000000000000004,,1,60.03,61.43,50.04,,,,55.03,0.84,3.0,,5.48,0.88,rain,0.021,0.0977,1551445200,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
28,,3303580001,-85.162464,35.044885,6,1.695,,1,60.53,62.38,51.03,,,,55.5,0.83,3.0,,5.72,0.88,rain,0.022,0.1,1551445200,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
29,,33I0024002,-85.254192,35.015817999999996,6,1.0390000000000001,,1,59.72,61.26,50.47,,,,55.38,0.86,3.0,,5.71,0.89,rain,0.0197,0.1016,1551445200,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
30,,33I0024002,-85.28069,35.016490999999995,6,10.06,,1,60.23,61.3,50.58,,,,55.2,0.83,3.0,,5.56,0.89,rain,0.0194,0.1003,1551445200,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
31,,3303580001,-85.166282,35.046274,6,1.538,,1,60.55,62.38,51.02,,,,55.46,0.83,3.0,,5.78,0.88,rain,0.0219,0.1001,1551445200,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
32,,33SR008001,-85.33131800000001,35.094367999999996,5,2.029,,1,59.86,60.0,49.26,,,,54.35,0.82,3.0,,4.79,0.82,rain,0.0195,0.0953,1551448800,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
33,,3303601001,-85.200161,35.055347999999995,5,0.679,,1,60.33,61.8,50.58,,,,55.09,0.83,3.0,,6.22,0.88,rain,0.0208,0.0975,1551445200,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
34,,3304986001,-85.153824,35.041303000000006,5,2.1630000000000003,,1,60.48,62.37,51.04,,,,55.6,0.84,3.0,,5.59,0.88,rain,0.0222,0.0999,1551445200,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
35,,3304986001,-85.15870600000001,35.034528,5,1.464,,1,60.55,62.42,51.13,,,,55.67,0.84,3.0,,5.51,0.88,rain,0.0222,0.1005,1551445200,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
36,,3304428001,-85.24562,35.152975,9,0.551,,2,58.2,60.6,48.63,,,,53.22,0.83,3.0,,6.26,0.82,rain,0.0194,0.0942,1551448800,,,,,,,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
37,,33I0075001,-85.200274,35.008246,9,0.136,,2,60.06,62.09,51.04,,,,55.56,0.85,3.0,,3.8,0.89,rain,0.0213,0.1036,1551445200,,,,,,,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
38,,33I0075001,-85.21086600000001,35.001294,8,1.202,,2,60.11,62.11,51.11,,,,55.62,0.85,3.0,,3.75,0.89,rain,0.0212,0.1053,1551445200,,,,,,,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,cloudy,Overcast,cloudy,Overcast,,
39,,330A702001,-85.26760999999999,35.034727000000004,7,0.092,,2,59.68,61.36,50.42,,,,54.67,0.83,3.0,,3.94,0.89,rain,0.0202,0.104,1551445200,,,,,,,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
40,,33I0075001,-85.207205,35.005828,7,1.615,,2,60.09,62.1,51.07,,,,55.57,0.85,3.0,,3.8,0.89,rain,0.0212,0.1041,1551445200,,,,,,,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,cloudy,Overcast,cloudy,Overcast,,
41,,33SR320001,-85.163699,35.015214,7,2.6069999999999998,,2,60.12,62.48,51.32,,,,55.57,0.85,3.0,,3.77,0.89,rain,0.0223,0.1025,1551445200,,,,,,,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
42,,33I0024002,-85.297892,35.021809000000005,7,0.213,,2,59.79,61.02,50.45,,,,54.63,0.83,3.0,,3.61,0.89,rain,0.0201,0.104,1551445200,,,,,,,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
43,,33I0024002,-85.237709,35.008661,6,1.391,,2,59.81,61.83,50.85,,,,55.15,0.85,3.0,,3.96,0.89,rain,0.02,0.1021,1551445200,,,,,,,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,cloudy,Overcast,cloudy,Overcast,,
44,,3303603001,-85.181912,35.016889,6,0.002,,2,59.98,62.36,51.2,,,,55.49,0.85,3.0,,3.85,0.89,rain,0.0217,0.1027,1551445200,,,,,,,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
45,,330D228001,-85.197621,35.083886,6,0.059000000000000004,,2,59.41,61.43,50.04,,,,54.44,0.84,3.0,,4.52,0.88,rain,0.021,0.0977,1551445200,,,,,,,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
46,,3303580001,-85.162464,35.044885,6,1.695,,2,60.04,62.38,51.03,,,,55.22,0.84,3.0,,4.18,0.88,rain,0.022,0.1,1551445200,,,,,,,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
47,,33I0024002,-85.254192,35.015817999999996,6,1.0390000000000001,,2,59.28,61.26,50.47,,,,54.97,0.86,3.0,,4.07,0.89,rain,0.0197,0.1016,1551445200,,,,,,,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
48,,33I0024002,-85.28069,35.016490999999995,6,10.06,,2,59.76,61.3,50.58,,,,54.77,0.84,3.0,,3.9,0.89,rain,0.0194,0.1003,1551445200,,,,,,,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
49,,3303580001,-85.166282,35.046274,6,1.538,,2,60.06,62.38,51.02,,,,55.19,0.84,3.0,,4.21,0.88,rain,0.0219,0.1001,1551445200,,,,,,,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
50,,33SR008001,-85.33131800000001,35.094367999999996,5,2.029,,2,59.08,60.0,49.26,,,,53.38,0.81,3.0,,3.99,0.82,rain,0.0195,0.0953,1551448800,,,,,,,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,partly-cloudy-night,Mostly Cloudy,partly-cloudy-night,Mostly Cloudy,,
51,,3303601001,-85.200161,35.055347999999995,5,0.679,,2,59.84,61.8,50.58,,,,54.72,0.83,3.0,,4.44,0.88,rain,0.0208,0.0975,1551445200,,,,,,,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
52,,3304986001,-85.153824,35.041303000000006,5,2.1630000000000003,,2,60.0,62.37,51.04,,,,55.3,0.84,3.0,,4.11,0.88,rain,0.0222,0.0999,1551445200,,,,,,,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,cloudy,Overcast,partly-cloudy-night,Mostly Cloudy,,
