Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
7/11/2018 10:29:29 PM,7/11/2018 11:39:17 PM,2296 Gunbarrel Rd,CHATTANOOGA,35039818,85149705,ACC2-MVC No Injuries
7/11/2018 10:03:56 PM,7/12/2018 4:22:59 AM,3300 - 3399 Browndell Dr,CHATTANOOGA,35028821,85363957,ACC3-MVC Unknown Injuries
7/11/2018 9:07:48 PM,7/11/2018 9:59:04 PM,730-790 Highway 153 Nb,CHATTANOOGA,35114991,85231027,ACC2-MVC No Injuries
7/11/2018 9:05:24 PM,7/11/2018 10:04:59 PM,5701 Edgmon Rd,COLLEGEDALE,35066870,85038759,ACC2-MVC No Injuries
7/11/2018 8:18:09 PM,7/11/2018 9:16:12 PM,301 Manufacturers Rd,CHATTANOOGA,35062455,85313612,ACC2-MVC No Injuries
7/11/2018 7:34:25 PM,7/11/2018 7:44:34 PM,Brainerd Rd / Belvoir Ave,CHATTANOOGA,35018698,85239705,ACC1-MVC Injuries
7/11/2018 7:30:47 PM,7/11/2018 7:31:51 PM,4011 Brainerd Rd,CHATTANOOGA,35018858,85238312,ACC3-MVC Unknown Injuries
7/11/2018 7:30:45 PM,7/11/2018 8:30:53 PM,Brainerd Rd / Belvoir Ave,CHATTANOOGA,35018698,85239705,ACC1-MVC Injuries
7/11/2018 6:47:29 PM,7/11/2018 7:07:30 PM,E 19th St / S Highland Park Ave,CHATTANOOGA,35024429,85288144,ACC2-MVC No Injuries
7/11/2018 6:34:56 PM,7/11/2018 6:55:03 PM,720 - 769 Highway 27 South Bound,RED BANK,35126705,85294329,ACC1-MVC Injuries
7/11/2018 6:34:56 PM,7/11/2018 7:05:37 PM,720 - 769 Highway 27 South Bound,RED BANK,35126705,85294329,ACC1-MVC Injuries
7/11/2018 6:34:35 PM,7/11/2018 7:45:28 PM,720-769 Highway 27  South Bound,RED BANK,35129513,85293318,ACC3-MVC Unknown Injuries
7/11/2018 6:34:26 PM,7/11/2018 6:37:29 PM,720 - 769 HIGHWAY 27 SOUTH BOUND,RED BANK,35126705,85294329,ACC1-MVC Injuries
