Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
4/29/18 0:00,4/29/18 2:47,8123 MAHAN GAP RD,HAMILTON COUNTY,35177644,85030564,ACC2-MVC No Injuries
4/29/18 0:30,4/29/18 7:34,18280 INTERSTATE 24 EB,EAST RIDGE,35017632,85256492,ACC3-MVC Unknown Injuries
4/29/18 0:30,4/29/18 0:32,18400 INTERSTATE 24 EB,CHATTANOOGA,35008661,85237709,ACC3-MVC Unknown Injuries
4/29/18 0:31,4/29/18 2:38,18280 INTERSTATE 24 EB,EAST RIDGE,35017632,85256492,ACC3-MVC Unknown Injuries
4/29/18 5:21,4/29/18 7:20,Chandler Ave / Water St,CHATTANOOGA,35008054,85315061,ACC3-MVC Unknown Injuries
4/29/18 6:04,4/29/18 7:56,1122 RETRO HUGHES RD,HAMILTON COUNTY,35357913,85145913,ACC2-MVC No Injuries
4/29/18 6:30,4/29/18 6:56,1122 RETRO HUGHES RD,HAMILTON COUNTY,35357913,85145913,ACC1-MVC Injuries
4/29/18 6:30,4/29/18 7:41,1122 RETRO HUGHES RD,HAMILTON COUNTY,35357913,85145913,ACC1-MVC Injuries
4/29/18 10:56,4/29/18 12:04,7111 Lee Hwy,CHATTANOOGA,35048412,85157823,ACC2-MVC No Injuries
4/29/18 11:05,4/29/18 13:06,8115 DUDLEY RD,CHATTANOOGA,35000316,85150479,ACC2-MVC No Injuries
4/29/18 11:09,4/29/18 11:37,307 Dawn St,SIGNAL MOUNTAIN,35118878,85335212,ACC2-MVC No Injuries
4/29/18 12:58,4/29/18 12:59,2020 Gunbarrel Rd,CHATTANOOGA,35030081,85153146,ACCDEL-MVC Delayed
4/29/18 13:01,4/29/18 13:30,1417 WHEELER AVE,CHATTANOOGA,35051905,85257882,ACC2-MVC No Injuries
4/29/18 13:04,4/29/18 14:14,1818 Chestnut St,CHATTANOOGA,35035380,85314560,ACC2-MVC No Injuries
4/29/18 13:29,4/29/18 14:18,319 Manufacturers Rd,CHATTANOOGA,35062401,85314904,ACC2-MVC No Injuries
4/29/18 13:33,4/29/18 14:13,4870 Cafeteria Dr,COLLEGEDALE,35048180,85052394,ACC2-MVC No Injuries
4/29/18 13:34,4/29/18 14:07,600 TALLEY RD,CHATTANOOGA,35029579,85233152,ACC2-MVC No Injuries
4/29/18 13:38,4/29/18 13:38,1609 N Chester Rd,HAMILTON COUNTY,35208018,85160492,ACC2-MVC No Injuries
4/29/18 13:42,4/29/18 13:47,1609 N Chester Rd,HAMILTON COUNTY,35208018,85160492,ACC2-MVC No Injuries
4/29/18 13:43,4/29/18 14:51,5604 Hixson Pike,CHATTANOOGA,35144917,85220420,ACC2-MVC No Injuries
4/29/18 13:55,4/29/18 16:01,9300 LEE HWY,COLLEGEDALE,35082749,85058540,ACC2-MVC No Injuries
4/29/18 14:21,4/29/18 16:46,1920 Gunbarrel Rd,CHATTANOOGA,35027917,85154193,ACC2-MVC No Injuries
4/29/18 14:56,4/29/18 16:00,139 River St,CHATTANOOGA,35062437,85308375,ACC2-MVC No Injuries
4/29/18 15:02,4/29/18 16:46,2124-2199 Gunbarrel Rd,CHATTANOOGA,35035418,85152689,ACC2-MVC No Injuries
4/29/18 15:07,4/29/18 17:04,2503 S ORCHARD KNOB AVE,CHATTANOOGA,35015881,85285421,ACC2-MVC No Injuries
4/29/18 15:08,4/29/18 15:11,2503 S Orchard Knob Ave,CHATTANOOGA,35015881,85285421,ACC2-MVC No Injuries
4/29/18 15:15,4/29/18 16:44,220 INTERSTATE 75 SB,CHATTANOOGA,35009159,85196993,ACC2-MVC No Injuries
4/29/18 15:17,4/29/18 17:22,9300 LEE HWY,COLLEGEDALE,35082076,85058449,ACC2-MVC No Injuries
4/29/18 15:17,4/29/18 15:28,LEE HWY / MAIN ST,COLLEGEDALE,35082749,85058540,ACC2-MVC No Injuries
4/29/18 16:05,4/29/18 16:07,340 INTERSTATE 75 SB,CHATTANOOGA,35016659,85179377,ACC2-MVC No Injuries
4/29/18 16:23,4/29/18 17:43,9400 LEE HWY,COLLEGEDALE,35081527,85055125,ACC2-MVC No Injuries
4/29/18 16:26,4/29/18 16:30,Lee Hwy / Ooltewah Georgetown Rd,CHATTANOOGA,35082749,85058540,ACC2-MVC No Injuries
4/29/18 16:43,4/29/18 18:43,300 INTERSTATE 75 SB,CHATTANOOGA,35012866,85184238,ACCDEL-MVC Delayed
4/29/18 17:01,4/29/18 18:04,307 Stonewood Dr,CHATTANOOGA,35162862,85254433,ACC2-MVC No Injuries
4/29/18 17:02,4/29/18 17:47,17800 Interstate 24 Wb,CHATTANOOGA,35027231,85323459,ACC2-MVC No Injuries
4/29/18 17:08,4/29/18 17:28,50 Interstate 75 Nb,EAST RIDGE,34993245,85205913,ACC3-MVC Unknown Injuries
4/29/18 17:09,4/29/18 17:19,50 Interstate 75 Nb,EAST RIDGE,34993245,85205913,ACC3-MVC Unknown Injuries
4/29/18 17:13,4/29/18 17:50,Harrison Ooltewah Rd / Highway 58,HAMILTON COUNTY,35126028,85125346,ACC2-MVC No Injuries
4/29/18 17:45,4/29/18 17:50,1603 Colorado St,HAMILTON COUNTY,35198857,85190350,ACC2-MVC No Injuries
4/29/18 18:59,4/29/18 19:01,13500 - 13519 Dayton Pike,HAMILTON COUNTY,35341032,85129112,ACC4-MVC Entrapment
4/29/18 18:59,4/29/18 20:17,13500 - 13519 Dayton Pike,HAMILTON COUNTY,35341032,85129112,ACC1-MVC Injuries
4/29/18 18:59,4/29/18 19:02,Highway 27 Sb / Hwy 27 Sb @ Dayton Pike Nb - Off Ramp,CHATTANOOGA,35191175,85242002,ACC3-MVC Unknown Injuries
4/29/18 18:59,4/29/18 20:35,13500 - 13519 Dayton Pike,HAMILTON COUNTY,35341032,85129112,ACC1-MVC Injuries
4/29/18 18:59,4/29/18 18:59,100 - 299 Mccallie Ferry Rd,HAMILTON COUNTY,35341032,85129112,ACC1-MVC Injuries
4/29/18 19:12,4/29/18 20:21,13500 - 13519 Dayton Pike,HAMILTON COUNTY,35341032,85129112,ACC1-MVC Injuries
4/29/18 19:48,4/29/18 20:58,1 HWY 27 SB @ SIGNAL MTN RD - ON RAMP,CHATTANOOGA,35083343,85323614,ACC2-MVC No Injuries
4/29/18 20:19,4/29/18 20:27,N Germantown Rd / Brainerd Rd,CHATTANOOGA,35024158,85246468,ACC3-MVC Unknown Injuries
