Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
8/5/2018 11:46:09 PM,8/6/2018 12:22:12 AM,5400 - 5515 Highway 58,CHATTANOOGA,35104728,85159643,ACC1-MVC Injuries
8/5/2018 11:46:09 PM,8/6/2018 12:25:23 AM,5400 - 5515 Highway 58,CHATTANOOGA,35104728,85159643,ACC1-MVC Injuries
8/5/2018 11:45:59 PM,8/5/2018 11:47:56 PM,5400 - 5515 Highway 58,CHATTANOOGA,35104728,85159643,ACC3-MVC Unknown Injuries
8/5/2018 11:45:47 PM,8/6/2018 2:23:55 AM,5400 - 5515 Highway 58,CHATTANOOGA,35104728,85159643,ACC1-MVC Injuries
8/5/2018 11:45:41 PM,8/5/2018 11:46:17 PM,5400 - 5515 Highway 58,CHATTANOOGA,35104728,85159643,ACC1-MVC Injuries
8/5/2018 11:14:10 PM,8/5/2018 11:27:20 PM,7420 Bonny Oaks Dr,CHATTANOOGA,35060930,85136543,ACC2-MVC No Injuries
8/5/2018 11:03:29 PM,8/6/2018 12:49:30 AM,1271 N HOLTZCLAW AVE,CHATTANOOGA,35054462,85271070,ACC2-MVC No Injuries
8/5/2018 11:02:38 PM,8/6/2018 12:28:09 AM,7420 Bonny Oaks Dr,CHATTANOOGA,35060930,85136543,ACC2-MVC No Injuries
8/5/2018 10:50:08 PM,8/5/2018 11:16:54 PM,Market St / E 4th St,CHATTANOOGA,35052314,85309633,ACC2-MVC No Injuries
8/5/2018 9:45:15 PM,8/5/2018 9:47:15 PM,3806 Bonny Oaks Dr,CHATTANOOGA,35076101,85230264,ACC2-MVC No Injuries
8/5/2018 9:34:38 PM,8/5/2018 9:34:48 PM,2011 Pioneer Ridge Trl,EAST RIDGE,34991696,85249289,ACC1-MVC Injuries
8/5/2018 9:34:26 PM,8/5/2018 10:03:31 PM,2011 Pioneer Ridge Trl,EAST RIDGE,34991696,85249289,ACC1-MVC Injuries
8/5/2018 9:34:16 PM,8/5/2018 10:26:20 PM,2011 Pioneer Ridge Trl,EAST RIDGE,34991696,85249289,ACC1-MVC Injuries
8/5/2018 9:33:00 PM,8/5/2018 9:34:33 PM,2011 Pioneer Ridge Trl,EAST RIDGE,34991696,85249289,ACC1-MVC Injuries
8/5/2018 9:20:58 PM,8/5/2018 9:42:01 PM,4011 Brainerd Rd,CHATTANOOGA,35018858,85238312,ACC2-MVC No Injuries
8/5/2018 8:25:32 PM,8/5/2018 8:30:01 PM,940-1129 Interstate 75 Nb,CHATTANOOGA,35080191,85088134,ACC3-MVC Unknown Injuries
8/5/2018 8:24:14 PM,8/5/2018 10:12:25 PM,980 INTERSTATE 75 NB,CHATTANOOGA,35077429,85098885,ACC2-MVC No Injuries
8/5/2018 8:06:45 PM,8/5/2018 8:12:10 PM,1080 INTERSTATE 75 NB,CHATTANOOGA,35081891,85081544,ACC3-MVC Unknown Injuries
8/5/2018 8:03:48 PM,8/5/2018 8:09:18 PM,1100 INTERSTATE 75 NB,CHATTANOOGA,35082723,85078179,ACC3-MVC Unknown Injuries
8/5/2018 8:02:49 PM,8/5/2018 8:11:35 PM,1080 INTERSTATE 75 SB,CHATTANOOGA,35082022,85081711,ACC3-MVC Unknown Injuries
8/5/2018 7:37:09 PM,8/5/2018 8:38:13 PM,330 Frazier Ave,CHATTANOOGA,35061996,85305865,ACC2-MVC No Injuries
8/5/2018 7:30:35 PM,8/5/2018 7:47:14 PM,9334 Dayton Pike,SODDY DAISY,35234297,85199279,ACC2-MVC No Injuries
8/5/2018 7:16:12 PM,8/5/2018 8:28:31 PM,585 MONTLAKE RD,HAMILTON COUNTY,35237080,85231692,ACC2-MVC No Injuries
8/5/2018 6:42:18 PM,8/5/2018 8:31:14 PM,GEORGE TOWN TRACE DR / MORRIS HILL RD,CHATTANOOGA,35007668,85129112,ACC2-MVC No Injuries
8/5/2018 6:37:05 PM,8/5/2018 7:27:44 PM,Mountain Creek Rd / Signal Mountain Rd,CHATTANOOGA,35098369,85327973,ACC1-MVC Injuries
8/5/2018 6:37:05 PM,8/5/2018 6:49:04 PM,Mountain Creek Rd / Signal Mountain Rd,CHATTANOOGA,35098369,85327973,ACC1-MVC Injuries
8/5/2018 6:37:19 PM,8/5/2018 8:20:52 PM,14735 Roark Trail Cir,HAMILTON COUNTY,35352409,84982081,ACCDEL-MVC Delayed
8/5/2018 6:36:21 PM,8/5/2018 9:10:42 PM,Mountain Creek Rd / Signal Mountain Rd,CHATTANOOGA,35098369,85327973,ACC1-MVC Injuries
8/5/2018 6:17:45 PM,8/5/2018 6:45:10 PM,Usher Dr / E 52nd St,CHATTANOOGA,34990744,85315486,ACC1-MVC Injuries
8/5/2018 6:17:44 PM,8/5/2018 6:48:22 PM,Usher Dr / E 52nd St,CHATTANOOGA,34990744,85315486,ACC1-MVC Injuries
8/5/2018 6:17:32 PM,8/5/2018 6:20:03 PM,800 S Valley Wood Cir,HAMILTON COUNTY,35184470,85202604,ACC2-MVC No Injuries
8/5/2018 6:17:21 PM,8/5/2018 6:54:20 PM,5206 USHER DR,CHATTANOOGA,34990286,85315471,ACC1-MVC Injuries
8/5/2018 6:03:07 PM,8/5/2018 6:03:40 PM,721 Mansion Cir,CHATTANOOGA,35081943,85296661,ACC1-MVC Injuries
8/5/2018 6:03:07 PM,8/5/2018 6:03:49 PM,721 Mansion Cir,CHATTANOOGA,35081943,85296661,ACC1-MVC Injuries
8/5/2018 5:52:18 PM,8/5/2018 6:05:53 PM,2200 - 2264 Union Ave,CHATTANOOGA,35030990,85272168,ACC1-MVC Injuries
8/5/2018 5:52:18 PM,8/5/2018 6:32:08 PM,2200 - 2264 Union Ave,CHATTANOOGA,35030990,85272168,ACC1-MVC Injuries
8/5/2018 5:51:49 PM,8/5/2018 9:20:38 PM,UNION AVE / S KELLEY ST,CHATTANOOGA,35030990,85272168,ACC1-MVC Injuries
8/5/2018 5:50:49 PM,8/5/2018 6:29:41 PM,3901 Hixson Pike,CHATTANOOGA,35115281,85262440,ACC2-MVC No Injuries
8/5/2018 5:24:19 PM,8/5/2018 9:39:09 PM,2014 Hamilton Place Blvd,CHATTANOOGA,35032725,85163681,ACCDEL-MVC Delayed
8/5/2018 5:23:10 PM,8/5/2018 6:09:54 PM,9652 E BRAINERD RD,HAMILTON COUNTY,34999394,85095520,ACC2-MVC No Injuries
8/5/2018 5:08:13 PM,8/5/2018 5:13:00 PM,18340 Interstate 24 Eb,CHATTANOOGA,35012249,85247413,ACC2-MVC No Injuries
8/5/2018 5:04:29 PM,8/5/2018 5:33:58 PM,796 Ridgeway Ave,SIGNAL MOUNTAIN,35121962,85343452,ACC2-MVC No Injuries
8/5/2018 4:50:46 PM,8/5/2018 4:54:37 PM,510 Lake Ave,WALDEN,35163482,85307238,ACC1-MVC Injuries
8/5/2018 4:43:00 PM,8/5/2018 5:31:54 PM,1306 Northgate Cir,CHATTANOOGA,35124153,85259006,ACC2-MVC No Injuries
8/5/2018 3:38:34 PM,8/5/2018 4:02:37 PM,1200 S CREST,,0,0,ACC1-MVC Injuries
8/5/2018 3:38:33 PM,8/5/2018 3:38:45 PM,1202 S Seminole Dr,EAST RIDGE,34998165,85265949,ACC1-MVC Injuries
8/5/2018 3:38:14 PM,8/5/2018 3:46:45 PM,1202 S Seminole Dr,,34998165,85265949,ACC1-MVC Injuries
8/5/2018 2:50:03 PM,8/5/2018 3:20:20 PM,1100 Central Ave,CHATTANOOGA,35037719,85293294,ACC2-MVC No Injuries
8/5/2018 2:25:21 PM,8/5/2018 3:35:06 PM,7300 Shallowford Rd,CHATTANOOGA,35041303,85153824,ACC2-MVC No Injuries
8/5/2018 1:56:44 PM,8/5/2018 3:27:19 PM,5600 STATE LINE RD,EAST RIDGE,34985809,85228942,ACC1-MVC Injuries
8/5/2018 1:43:36 PM,8/5/2018 2:42:21 PM,18100 INTERSTATE 24 EB,CHATTANOOGA,35016491,85280690,ACC2-MVC No Injuries
8/5/2018 1:42:37 PM,8/5/2018 2:12:39 PM,320 - 349 Interstate 75 Nb,CHATTANOOGA,35013868,85182022,ACC1-MVC Injuries
8/5/2018 1:42:37 PM,8/5/2018 2:56:11 PM,320 - 349 Interstate 75 Nb,CHATTANOOGA,35013868,85182022,ACC1-MVC Injuries
8/5/2018 1:42:04 PM,8/5/2018 3:55:03 PM,320 - 349 Interstate 75 Nb,CHATTANOOGA,35013868,85182022,ACC1-MVC Injuries
8/5/2018 1:41:27 PM,8/5/2018 2:09:48 PM,2229 Lyndon Ave,RED BANK,35094196,85307004,ACC2-MVC No Injuries
8/5/2018 1:33:33 PM,8/5/2018 1:51:35 PM,8600 HIXSON PIKE,LAKESITE,35200513,85158304,ACC2-MVC No Injuries
8/5/2018 1:11:12 PM,8/5/2018 2:11:12 PM,E Brainerd Rd / Dakota Ln,HAMILTON COUNTY,34997542,85088612,ACC2-MVC No Injuries
8/5/2018 12:44:57 PM,8/5/2018 1:40:00 PM,Dayton Blvd / Dowlen Rd,CHATTANOOGA,35170232,85256880,ACC2-MVC No Injuries
8/5/2018 12:36:33 PM,8/5/2018 2:08:58 PM,4200 St Elmo Ave,CHATTANOOGA,35004629,85328588,ACC2-MVC No Injuries
8/5/2018 12:35:37 PM,8/5/2018 12:56:12 PM,120 Wolfe St,RED BANK,35096122,85308904,ACC2-MVC No Injuries
8/5/2018 12:27:35 PM,8/5/2018 12:28:01 PM,2100 Hamilton Place Blvd,CHATTANOOGA,35034528,85158706,ACC2-MVC No Injuries
8/5/2018 12:16:07 PM,8/5/2018 1:08:58 PM,2100 Hamilton Place Blvd,CHATTANOOGA,35035252,85159779,ACC2-MVC No Injuries
8/5/2018 12:02:05 PM,8/5/2018 12:04:14 PM,5414 HIGHWAY 58,CHATTANOOGA,35104666,85157720,ACCDEL-MVC Delayed
8/5/2018 11:56:32 AM,8/5/2018 12:41:38 PM,Dayton Blvd / Ashland Ter,RED BANK,35121593,85287910,ACC2-MVC No Injuries
8/5/2018 11:51:53 AM,8/5/2018 12:49:26 PM,5720 BROWNTOWN RD,CHATTANOOGA,35159754,85277478,ACC2-MVC No Injuries
8/5/2018 11:45:07 AM,8/5/2018 12:02:54 PM,UNAKA ST / DAYTON BLVD,RED BANK,35119116,85290048,ACC2-MVC No Injuries
8/5/2018 11:44:48 AM,8/5/2018 1:30:54 PM,13400 - 13529 Birchwood Pike,HAMILTON COUNTY,35317434,85024492,ACC2-MVC No Injuries
8/5/2018 11:29:30 AM,8/5/2018 1:00:37 PM,5414 Highway 58,CHATTANOOGA,35104666,85157720,ACCDEL-MVC Delayed
8/5/2018 11:23:30 AM,8/5/2018 11:56:20 AM,2003 Dayton Blvd,RED BANK,35089793,85312554,ACC2-MVC No Injuries
8/5/2018 11:21:35 AM,8/5/2018 11:25:17 AM,2003 Dayton Blvd,RED BANK,35089793,85312554,ACC2-MVC No Injuries
8/5/2018 11:12:49 AM,8/5/2018 12:05:22 PM,501 Signal Mountain Rd,CHATTANOOGA,35094368,85331318,ACC2-MVC No Injuries
8/5/2018 10:44:17 AM,8/5/2018 11:35:26 AM,1507 Hickory Valley Rd,CHATTANOOGA,35023518,85179680,ACC2-MVC No Injuries
8/5/2018 10:43:42 AM,8/5/2018 10:43:53 AM,2140 E 28th St,CHATTANOOGA,35011308,85283909,ACC3-MVC Unknown Injuries
8/5/2018 8:32:12 AM,8/5/2018 9:22:51 AM,4535 Highway 58,CHATTANOOGA,35085699,85194881,ACC2-MVC No Injuries
8/5/2018 8:18:38 AM,8/5/2018 9:24:17 AM,2000 CUMMINGS HWY,CHATTANOOGA,35017043,85333708,ACC2-MVC No Injuries
8/5/2018 7:41:59 AM,8/5/2018 8:23:56 AM,Pine Breeze Rd / Hill Pointe Ln,RED BANK,35084308,85305134,ACC2-MVC No Injuries
8/5/2018 6:27:33 AM,8/5/2018 6:47:02 AM,10300 Apison Pike,COLLEGEDALE,35049258,85041231,ACC2-MVC No Injuries
8/5/2018 3:38:06 AM,8/5/2018 3:48:13 AM,1700-1705 E MAIN ST,CHATTANOOGA,35027011,85282731,ACC1-MVC Injuries
8/5/2018 3:38:05 AM,8/5/2018 3:47:31 AM,1700-1705 E MAIN ST,CHATTANOOGA,35027011,85282731,ACC1-MVC Injuries
8/5/2018 3:37:33 AM,8/5/2018 3:41:28 AM,1700-1705 E MAIN ST,CHATTANOOGA,35027011,85282731,ACC3-MVC Unknown Injuries
8/5/2018 2:18:45 AM,8/5/2018 5:14:56 AM,Highway 27 Nb / Highway 111 Nb,SODDY DAISY,35298620,85150717,ACC1-MVC Injuries
8/5/2018 2:18:45 AM,8/5/2018 3:46:21 AM,HIGHWAY 27 SB / HIGHWAY 111 SB,SODDY DAISY,35297958,85150977,ACC1-MVC Injuries
8/5/2018 2:18:03 AM,8/5/2018 5:15:22 AM,HIGHWAY 27 SB / HIGHWAY 111 SB,SODDY DAISY,35297958,85150977,ACC1-MVC Injuries
8/5/2018 2:16:21 AM,8/5/2018 2:19:06 AM,11500-11549 Highway 111 Nb,SODDY DAISY,35298704,85150711,ACC3-MVC Unknown Injuries
