Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
11/18/2018 11:29:54 PM,11/18/2018 11:30:52 PM,7300 - 7399 Brookside Dr,CHATTANOOGA,35053458,85151091,ACC3-MVC Unknown Injuries
11/18/2018 11:26:05 PM,11/19/2018 12:55:20 AM,Lee Hwy / Standifer Gap Rd,CHATTANOOGA,35052240,85149942,ACC3-MVC Unknown Injuries
11/18/2018 11:24:16 PM,11/19/2018 12:05:55 AM,1100-1425 Signal Mountain Blvd,CHATTANOOGA,35105121,85338749,ACC2-MVC No Injuries
11/18/2018 11:15:44 PM,11/19/2018 12:56:42 AM,13020 MCGILL RD,HAMILTON COUNTY,35327819,85126958,ACC3-MVC Unknown Injuries
11/18/2018 10:34:46 PM,11/18/2018 10:53:33 PM,STANDIFER GAP RD / LEE HWY,CHATTANOOGA,35052240,85149942,ACC3-MVC Unknown Injuries
11/18/2018 10:12:10 PM,11/18/2018 10:25:46 PM,2700 Broad St,CHATTANOOGA,35025278,85317391,ACC1-MVC Injuries
11/18/2018 10:12:10 PM,11/18/2018 10:30:26 PM,2700 Broad St,CHATTANOOGA,35025278,85317391,ACC1-MVC Injuries
11/18/2018 10:11:56 PM,11/18/2018 11:07:04 PM,2700 Broad St,CHATTANOOGA,35025278,85317391,ACC1-MVC Injuries
11/18/2018 8:12:18 PM,11/18/2018 8:55:54 PM,1502 Mcdonald Rd,EAST RIDGE,34988101,85205348,ACC2-MVC No Injuries
11/18/2018 8:06:26 PM,11/18/2018 8:29:43 PM,432 N Bowman Rd,SODDY DAISY,35210613,85202798,ACC2-MVC No Injuries
11/18/2018 7:47:47 PM,11/18/2018 8:10:50 PM,E Main St / S Kelley St,CHATTANOOGA,35024527,85275778,ACC3-MVC Unknown Injuries
11/18/2018 7:29:33 PM,11/18/2018 9:29:38 PM,840 LOWER MILL RD,CHATTANOOGA,35155038,85238882,ACC2-MVC No Injuries
11/18/2018 6:36:00 PM,11/18/2018 7:12:55 PM,3216 GLEASON DR,EAST RIDGE,35012453,85260166,ACCDEL-MVC Delayed
11/18/2018 6:14:51 PM,11/18/2018 7:52:54 PM,5200 CHAMPION RD,CHATTANOOGA,35099881,85169700,ACC2-MVC No Injuries
11/18/2018 5:48:19 PM,11/18/2018 6:42:31 PM,6522 Brigade Ln,HAMILTON COUNTY,35176178,85185787,ACC2-MVC No Injuries
11/18/2018 5:41:08 PM,11/18/2018 6:40:39 PM,Hamill Rd / Northpoint Blvd,CHATTANOOGA,35123935,85235620,ACC2-MVC No Injuries
11/18/2018 5:04:08 PM,11/18/2018 5:15:24 PM,Ringgold Rd / St Thomas St,EAST RIDGE,34990003,85199397,ACC3-MVC Unknown Injuries
11/18/2018 5:03:40 PM,11/18/2018 6:02:41 PM,Ringgold Rd / St Thomas St,EAST RIDGE,34990003,85199397,ACC3-MVC Unknown Injuries
11/18/2018 4:48:22 PM,11/18/2018 5:20:08 PM,404 Tunnel Blvd,CHATTANOOGA,35032753,85244876,ACC2-MVC No Injuries
11/18/2018 4:39:06 PM,11/18/2018 5:54:21 PM,5084 S Terrace,CHATTANOOGA,35002787,85222533,ACC2-MVC No Injuries
11/18/2018 4:30:53 PM,11/18/2018 5:05:46 PM,N GERMANTOWN RD / BRAINERD RD,CHATTANOOGA,35024158,85246468,ACC2-MVC No Injuries
