Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
7/28/2018 11:37:15 PM,7/29/2018 12:29:33 AM,EXIT HIGHWAY 58 N OFF RAMP SB / HIGHWAY 153 SB,CHATTANOOGA,35082967,85207246,ACC2-MVC No Injuries
7/28/2018 10:51:48 PM,7/28/2018 11:19:21 PM,418 Cumberland St,CHATTANOOGA,35044804,85280000,ACC2-MVC No Injuries
7/28/2018 8:18:03 PM,7/28/2018 9:18:20 PM,2518 ROSSVILLE BLVD,CHATTANOOGA,35018775,85293595,ACC2-MVC No Injuries
7/28/2018 7:48:35 PM,7/28/2018 8:36:04 PM,1-99 W 3rd St,CHATTANOOGA,35053506,85309973,ACC2-MVC No Injuries
7/28/2018 7:22:08 PM,7/28/2018 7:57:38 PM,1060 Cravens Ter,CHATTANOOGA,35013812,85341442,ACCDEL-MVC Delayed
7/28/2018 6:18:38 PM,7/28/2018 6:19:48 PM,2040 Hamilton Place Blvd,CHATTANOOGA,35034758,85162400,ACCDEL-MVC Delayed
7/28/2018 6:13:08 PM,7/28/2018 8:38:09 PM,2013 GREENWOOD RD,CHATTANOOGA,35061337,85238940,ACC2-MVC No Injuries
7/28/2018 5:53:58 PM,7/28/2018 6:25:14 PM,7019 FRANKS RD,CHATTANOOGA,35031035,85164556,ACC2-MVC No Injuries
7/28/2018 5:35:48 PM,7/28/2018 6:30:33 PM,2812 S Hawthorne St,CHATTANOOGA,35012412,85288467,ACCDEL-MVC Delayed
7/28/2018 5:06:07 PM,7/28/2018 5:06:39 PM,2418 Dodson Ave,CHATTANOOGA,35065741,85253320,ACC1-MVC Injuries
7/28/2018 5:06:06 PM,7/28/2018 5:19:03 PM,2418 Dodson Ave,CHATTANOOGA,35065741,85253320,ACC1-MVC Injuries
7/28/2018 5:06:06 PM,7/28/2018 5:19:20 PM,2418 Dodson Ave,CHATTANOOGA,35065741,85253320,ACC1-MVC Injuries
7/28/2018 5:02:30 PM,7/28/2018 5:03:23 PM,5929 Highway 153,CHATTANOOGA,35164597,85250384,ACC1-MVC Injuries
7/28/2018 5:02:30 PM,7/28/2018 5:03:00 PM,5929 Highway 153,CHATTANOOGA,35164597,85250384,ACC1-MVC Injuries
7/28/2018 5:01:53 PM,7/28/2018 5:42:09 PM,5929 Highway 153,CHATTANOOGA,35164597,85250384,ACC2-MVC No Injuries
7/28/2018 5:01:36 PM,7/28/2018 5:28:50 PM,2418 Dodson Ave,CHATTANOOGA,35065741,85253320,ACC2-MVC No Injuries
7/28/2018 4:32:09 PM,7/28/2018 4:32:42 PM,4500 Brainerd Rd,CHATTANOOGA,35014990,85233100,ACC1-MVC Injuries
7/28/2018 4:32:09 PM,7/28/2018 4:32:34 PM,4500 Brainerd Rd,CHATTANOOGA,35014990,85233100,ACC1-MVC Injuries
7/28/2018 4:32:09 PM,7/28/2018 4:32:19 PM,4500 Brainerd Rd,CHATTANOOGA,35014990,85233100,ACC1-MVC Injuries
7/28/2018 4:31:27 PM,7/28/2018 4:32:55 PM,4500 Brainerd Rd,CHATTANOOGA,35014990,85233100,ACC1-MVC Injuries
7/28/2018 4:31:27 PM,7/28/2018 4:49:54 PM,4500 Brainerd Rd,CHATTANOOGA,35014990,85233100,ACC1-MVC Injuries
7/28/2018 4:31:27 PM,7/28/2018 4:53:42 PM,4500 Brainerd Rd,CHATTANOOGA,35014990,85233100,ACC1-MVC Injuries
7/28/2018 4:17:13 PM,7/28/2018 5:16:36 PM,2200 Hamilton Place Blvd,CHATTANOOGA,35037136,85154268,ACC2-MVC No Injuries
7/28/2018 3:21:20 PM,7/28/2018 4:19:52 PM,240 INTERSTATE 75 SB,CHATTANOOGA,35010071,85193721,ACC2-MVC No Injuries
7/28/2018 3:07:01 PM,7/28/2018 4:55:01 PM,18200 INTERSTATE 24 EB,CHATTANOOGA,35019101,85266949,ACC2-MVC No Injuries
7/28/2018 2:58:07 PM,7/28/2018 4:21:21 PM,2301 Crutchfield St,CHATTANOOGA,35063925,85253016,ACCDEL-MVC Delayed
7/28/2018 2:38:57 PM,7/28/2018 2:39:28 PM,,EAST RIDGE,35005958,85256406,ACC2-MVC No Injuries
7/28/2018 2:35:12 PM,7/28/2018 2:51:44 PM,18310 - 18399 Interstate 24 Wb,CHATTANOOGA,35014516,85252059,ACC3-MVC Unknown Injuries
7/28/2018 2:35:05 PM,7/28/2018 2:37:49 PM,4100 - 4109 N Terrace,CHATTANOOGA,35010186,85240486,ACC4-MVC Entrapment
7/28/2018 2:35:05 PM,7/28/2018 2:43:42 PM,4100 - 4109 N Terrace,CHATTANOOGA,35010186,85240486,ACC4-MVC Entrapment
7/28/2018 2:34:56 PM,7/28/2018 3:30:33 PM,18310 - 18399 Interstate 24 Wb,CHATTANOOGA,35014516,85252059,ACC4-MVC Entrapment
7/28/2018 2:34:56 PM,7/28/2018 2:53:03 PM,18310 - 18399 Interstate 24 Wb,CHATTANOOGA,35014516,85252059,ACC4-MVC Entrapment
7/28/2018 2:34:18 PM,7/28/2018 2:39:12 PM,18310 - 18399 Interstate 24 Wb,CHATTANOOGA,35014516,85252059,ACC3-MVC Unknown Injuries
7/28/2018 2:34:08 PM,7/28/2018 3:06:54 PM,18310 - 18399 Interstate 24 Wb,CHATTANOOGA,35014516,85252059,ACC4-MVC Entrapment
7/28/2018 2:33:56 PM,7/28/2018 3:48:31 PM,4100 - 4109 N Terrace,CHATTANOOGA,35010186,85240486,ACC4-MVC Entrapment
7/28/2018 2:28:31 PM,7/28/2018 2:50:55 PM,E 28th St / 6th Ave,CHATTANOOGA,35010641,85281280,ACC1-MVC Injuries
7/28/2018 2:28:31 PM,7/28/2018 3:26:06 PM,E 28th St / 6th Ave,CHATTANOOGA,35010641,85281280,ACC1-MVC Injuries
7/28/2018 2:27:20 PM,7/28/2018 4:14:43 PM,2800 4TH AVE,CHATTANOOGA,35011024,85283072,ACC1-MVC Injuries
7/28/2018 2:21:46 PM,7/28/2018 4:27:42 PM,7022 SHALLOWFORD RD,CHATTANOOGA,35043322,85158100,ACC2-MVC No Injuries
7/28/2018 2:02:54 PM,7/28/2018 2:40:57 PM,6500 GARNER ST,EAST RIDGE,34987874,85210179,ACC2-MVC No Injuries
7/28/2018 1:50:57 PM,7/28/2018 3:08:12 PM,5604 Hixson Pike,CHATTANOOGA,35144917,85220420,ACC2-MVC No Injuries
7/28/2018 1:04:35 PM,7/28/2018 3:44:11 PM,1300 Side Creek Way,CHATTANOOGA,35008652,85159311,ACCDEL-MVC Delayed
7/28/2018 1:00:12 PM,7/28/2018 1:03:09 PM,2106 Hamilton Place Blvd,CHATTANOOGA,35032906,85156106,ACC2-MVC No Injuries
7/28/2018 12:59:12 PM,7/28/2018 9:21:29 PM,2100 Hamilton Place Blvd,CHATTANOOGA,35034528,85158706,ACC2-MVC No Injuries
7/28/2018 12:48:37 PM,7/28/2018 2:12:05 PM,301 N Holtzclaw Ave,CHATTANOOGA,35042650,85282091,ACC2-MVC No Injuries
7/28/2018 12:46:09 PM,7/28/2018 1:42:57 PM,5450 Highway 153,CHATTANOOGA,35140525,85244721,ACC2-MVC No Injuries
7/28/2018 12:43:34 PM,7/28/2018 1:51:16 PM,305 FRAZIER AVE,CHATTANOOGA,35062383,85305591,ACC2-MVC No Injuries
7/28/2018 12:38:15 PM,7/28/2018 2:15:51 PM,Standifer Gap Rd / Gunbarrel Rd,CHATTANOOGA,35049504,85144809,ACC2-MVC No Injuries
7/28/2018 12:25:29 PM,7/28/2018 12:56:44 PM,2100 Hamilton Place Blvd,CHATTANOOGA,35036193,85158638,ACC2-MVC No Injuries
7/28/2018 12:17:17 PM,7/28/2018 12:52:42 PM,3917 St Elmo Ave,CHATTANOOGA,35009687,85328557,ACC2-MVC No Injuries
7/28/2018 11:59:34 AM,7/28/2018 12:50:29 PM,6300 Hixson Pike,CHATTANOOGA,35154042,85198501,ACC2-MVC No Injuries
7/28/2018 11:48:54 AM,7/28/2018 11:50:38 AM,Brainerd Rd / Greenway View Dr,CHATTANOOGA,35013904,85211097,ACC2-MVC No Injuries
7/28/2018 11:47:31 AM,7/28/2018 12:19:19 PM,5783 Brainerd Rd,CHATTANOOGA,35013794,85212722,ACC2-MVC No Injuries
7/28/2018 11:36:29 AM,7/28/2018 11:53:31 AM,200 W 4th St,CHATTANOOGA,35052270,85311782,ACC2-MVC No Injuries
7/28/2018 11:28:59 AM,7/28/2018 12:58:42 PM,1624 E BOY SCOUT RD,CHATTANOOGA,35168299,85205561,ACC4-MVC Entrapment
7/28/2018 11:28:59 AM,7/28/2018 12:20:22 PM,6700 - 6715 St Clair Way,CHATTANOOGA,35168427,85205108,ACC4-MVC Entrapment
7/28/2018 11:28:41 AM,7/28/2018 11:29:04 AM,6703 St Clair Way,CHATTANOOGA,35168813,85205211,ACC3-MVC Unknown Injuries
7/28/2018 11:28:32 AM,7/28/2018 12:50:38 PM,1624 E BOY SCOUT RD,CHATTANOOGA,35168299,85205561,ACC4-MVC Entrapment
7/28/2018 10:51:34 AM,7/28/2018 12:50:45 PM,5100 Hixson Pike,CHATTANOOGA,35134490,85240382,ACC2-MVC No Injuries
7/28/2018 9:54:46 AM,7/28/2018 10:23:54 AM,9401 Reco Dr,SODDY DAISY,35237012,85197430,ACC1-MVC Injuries
7/28/2018 9:54:46 AM,7/28/2018 11:09:47 AM,9401 Reco Dr,SODDY DAISY,35237012,85197430,ACC1-MVC Injuries
7/28/2018 9:54:01 AM,7/28/2018 10:24:38 AM,9401 RECO DR,SODDY DAISY,35237012,85197430,ACC1-MVC Injuries
7/28/2018 9:50:16 AM,7/28/2018 10:18:15 AM,6514 RINGGOLD RD,EAST RIDGE,34988878,85207332,ACC2-MVC No Injuries
7/28/2018 9:44:40 AM,7/28/2018 9:55:11 AM,400 W Martin Luther King Blvd,CHATTANOOGA,35047542,85316646,ACC1-MVC Injuries
