,Accident,Center_Lat,Center_Long,Date,Time,Event,Conditions,EventBefore,ConditionBefore,Hour,DayFrame,Temperature,Temp_Max,Temp_Min,Daily_Relative_Temp,Monthly_Relative_Temp,WeekDay,WeekEnd,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Weekday,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
0,0,-85.31906314,-85.31906314,2017-08-21,6:00:00,partly-cloudy-night,Partly Cloudy,clear-night,Clear,6,2,,,,,,1,0,0.0,,0.0,1.0,0.0,0.0,0.0,0.0,528,0,9,11,0,7,6
1,0,-85.31906314,-85.31906314,2017-06-11,15:00:00,nan,nan,nan,nan,15,4,,,,,,0,1,,,,,,,,,528,6,9,11,0,7,6
2,0,-85.26362763,-85.26362763,2017-03-25,15:00:00,nan,nan,nan,nan,15,4,,,,,,0,1,,,,,,,,,402,5,18,14,0,5,12
3,0,-85.26362763,-85.26362763,2017-09-02,16:00:00,nan,nan,nan,nan,16,4,,,,,,0,1,,,,,,,,,402,5,18,14,0,5,12
4,0,-85.26362763,-85.26362763,2017-02-18,10:00:00,nan,nan,nan,nan,10,3,,,,,,0,1,,,,,,,,,402,5,18,14,0,5,12
5,0,-85.28021865,-85.28021865,2017-04-22,16:00:00,nan,nan,nan,nan,16,4,,,,,,0,1,,,,,,,,,14,5,21,26,0,7,20
6,0,-85.28021865,-85.28021865,2017-10-01,9:00:00,nan,nan,nan,nan,9,2,,,,,,0,1,,,,,,,,,14,6,21,26,0,7,20
7,0,-85.28021865,-85.28021865,2017-05-06,15:00:00,nan,nan,nan,nan,15,4,,,,,,0,1,,,,,,,,,14,5,21,26,0,7,20
8,0,-85.28021865,-85.28021865,2017-12-30,13:00:00,nan,nan,nan,nan,13,4,,,,,,0,1,,,,,,,,,14,5,21,26,0,7,20
9,0,-85.28697903,-85.28697903,2017-04-06,6:00:00,nan,nan,nan,nan,6,2,,,,,,1,0,,,,,,,,,577,3,13,10,0,0,8
10,0,-85.35641089,-85.35641089,2017-02-26,12:00:00,nan,nan,nan,nan,12,3,,,,,,0,1,,,,,,,,,22,6,10,25,0,0,1
11,0,-85.26278616,-85.26278616,2017-07-16,12:00:00,nan,nan,nan,nan,12,3,,,,,,0,1,,,,,,,,,313,6,19,16,0,7,8
12,0,-85.26278616,-85.26278616,2017-01-28,10:00:00,nan,nan,nan,nan,10,3,,,,,,0,1,,,,,,,,,313,5,19,16,0,7,8
13,0,-85.23323546,-85.23323546,2017-02-04,12:00:00,nan,nan,nan,nan,12,3,,,,,,0,1,,,,,,,,,626,5,20,9,1,0,3
14,0,-85.21476944,-85.21476944,2017-11-05,5:00:00,nan,nan,nan,nan,5,2,,,,,,0,1,,,,,,,,,587,6,23,10,1,7,9
15,0,-85.21476944,-85.21476944,2017-01-21,9:00:00,nan,nan,nan,nan,9,2,,,,,,0,1,,,,,,,,,587,5,23,10,1,7,9
16,0,-85.22920754,-85.22920754,2017-06-18,7:00:00,nan,nan,nan,nan,7,2,,,,,,0,1,,,,,,,,,585,6,21,10,1,9,4
17,0,-85.33475696,-85.33475696,2017-07-08,18:00:00,nan,nan,nan,nan,18,1,,,,,,0,1,,,,,,,,,25,5,13,25,0,2,1
18,0,-85.33475696,-85.33475696,2017-09-30,8:00:00,nan,nan,nan,nan,8,2,,,,,,0,1,,,,,,,,,25,5,13,25,0,2,1
19,0,-85.33475696,-85.33475696,2017-01-29,11:00:00,nan,nan,nan,nan,11,3,,,,,,0,1,,,,,,,,,25,6,13,25,0,2,1
20,0,-85.22920754,-85.22920754,2017-10-08,5:00:00,nan,nan,nan,nan,5,2,,,,,,0,1,,,,,,,,,585,6,21,10,1,9,4
21,0,-85.13867073,-85.13867073,2017-08-26,8:00:00,nan,nan,nan,nan,8,2,,,,,,0,1,,,,,,,,,867,5,30,2,0,7,10
22,0,-85.10817243,-85.10817243,2017-08-13,8:00:00,nan,nan,nan,nan,8,2,,,,,,0,1,,,,,,,,,755,6,36,6,1,0,1
23,0,-85.32947425,-85.32947425,2017-06-17,5:00:00,nan,nan,nan,nan,5,2,,,,,,0,1,,,,,,,,,482,5,8,12,0,0,2
24,0,-85.32947425,-85.32947425,2017-12-02,8:00:00,nan,nan,nan,nan,8,2,,,,,,0,1,,,,,,,,,482,5,8,12,0,0,2
25,0,-85.2931549,-85.2931549,2017-08-06,17:00:00,nan,nan,nan,nan,17,4,,,,,,0,1,,,,,,,,,128,6,17,21,0,7,14
26,0,-85.2629624,-85.2629624,2017-02-23,9:00:00,nan,nan,nan,nan,9,2,,,,,,1,0,,,,,,,,,699,3,15,7,0,7,17
27,0,-85.2629624,-85.2629624,2017-11-12,0:00:00,nan,nan,nan,nan,0,1,,,,,,0,1,,,,,,,,,699,6,15,7,0,7,17
28,0,-85.2629624,-85.2629624,2017-12-08,5:00:00,nan,nan,nan,nan,5,2,,,,,,1,0,,,,,,,,,699,4,15,7,0,7,17
29,0,-85.2629624,-85.2629624,2017-06-18,11:00:00,nan,nan,nan,nan,11,3,,,,,,0,1,,,,,,,,,699,6,15,7,0,7,17
30,0,-85.22017508,-85.22017508,2017-07-22,9:00:00,nan,nan,nan,nan,9,2,,,,,,0,1,,,,,,,,,85,5,28,23,0,7,12
31,0,-85.27150609,-85.27150609,2017-12-16,7:00:00,nan,nan,nan,nan,7,2,,,,,,0,1,,,,,,,,,131,5,20,21,0,7,22
32,0,-85.12736362,-85.12736362,2017-04-08,8:00:00,nan,nan,nan,nan,8,2,,,,,,0,1,,,,,,,,,510,5,36,12,0,7,17
33,0,-85.12736362,-85.12736362,2017-07-15,7:00:00,nan,nan,nan,nan,7,2,,,,,,0,1,,,,,,,,,510,5,36,12,0,7,17
34,0,-85.32628823,-85.32628823,2017-08-12,11:00:00,nan,nan,nan,nan,11,3,,,,,,0,1,,,,,,,,,527,5,8,11,0,0,2
35,0,-85.32628823,-85.32628823,2017-02-26,12:00:00,nan,nan,nan,nan,12,3,,,,,,0,1,,,,,,,,,527,6,8,11,0,0,2
36,0,-85.29569583,-85.29569583,2017-08-12,8:00:00,nan,nan,nan,nan,8,2,,,,,,0,1,,,,,,,,,353,5,14,15,0,7,16
37,0,-85.29569583,-85.29569583,2017-01-07,16:00:00,nan,nan,nan,nan,16,4,,,,,,0,1,,,,,,,,,353,5,14,15,0,7,16
38,0,-85.28060053,-85.28060053,2017-01-01,22:00:00,nan,nan,nan,nan,22,1,,,,,,0,1,,,,,,,,,659,6,13,8,0,7,17
39,0,-85.28060053,-85.28060053,2017-08-23,12:00:00,nan,nan,nan,nan,12,3,,,,,,1,0,,,,,,,,,659,2,13,8,0,7,17
