,Accident,Route,Longitude,Latitude,sums,Log_Mile,City,Hour,Temperature,Temp_Max,Temp_Min,Daily_Avg_Temp,Monthly_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type,Event,Conditions,EventBefore,ConditionBefore,Probability,Prediction
0,,3304428001,-85.24562,35.152975,9,0.551,,0,48.27,48.27,39.88,,,,40.5,0.74,3.0,,10.0,0.97,rain,0.0369,0.2442,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
1,,33I0075001,-85.200274,35.008246,9,0.136,,0,49.3,49.42,40.45,,,,40.39,0.71,3.0,,10.0,0.98,rain,0.0354,0.2433,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
2,,33I0075001,-85.21086600000001,35.001294,8,1.202,,0,49.4,49.53,40.52,,,,40.49,0.71,3.0,,10.0,0.98,rain,0.0351,0.2448,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
3,,330A702001,-85.26760999999999,35.034727000000004,7,0.092,,0,48.96,49.4,40.2,,,,40.46,0.72,3.0,,10.0,0.98,rain,0.0355,0.2712,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
4,,33I0075001,-85.207205,35.005828,7,1.615,,0,49.34,49.47,40.5,,,,40.44,0.71,3.0,,10.0,0.98,rain,0.0353,0.2441,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
5,,33SR320001,-85.163699,35.015214,7,2.6069999999999998,,0,49.04,49.05,40.42,,,,39.83,0.7,3.0,,10.0,0.98,rain,0.0361,0.2411,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
6,,33I0024002,-85.297892,35.021809000000005,7,0.213,,0,49.01,49.52,40.29,,,,40.56,0.73,3.0,,10.0,0.98,rain,0.0355,0.2713,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
7,,33I0024002,-85.237709,35.008661,6,1.391,,0,49.3,49.57,40.26,,,,40.53,0.72,3.0,,10.0,0.98,rain,0.0357,0.2683,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
8,,3303603001,-85.181912,35.016889,6,0.002,,0,49.05,49.08,40.34,,,,39.86,0.7,3.0,,10.0,0.98,rain,0.0358,0.2464,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
9,,330D228001,-85.197621,35.083886,6,0.059000000000000004,,0,48.43,48.79,39.85,,,,39.9,0.72,3.0,,10.0,0.98,rain,0.0371,0.2618,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
10,,3303580001,-85.162464,35.044885,6,1.695,,0,48.72,48.8,40.41,,,,39.58,0.71,3.0,,10.0,0.98,rain,0.0363,0.2448,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
11,,33I0024002,-85.254192,35.015817999999996,6,1.0390000000000001,,0,49.16,49.51,39.68,,,,40.55,0.72,3.0,,10.0,0.98,rain,0.0352,0.2721,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
12,,33I0024002,-85.28069,35.016490999999995,6,10.06,,0,49.09,49.52,40.25,,,,40.55,0.72,3.0,,10.0,0.98,rain,0.0352,0.2711,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
13,,3303580001,-85.166282,35.046274,6,1.538,,0,48.72,48.8,40.45,,,,39.58,0.71,3.0,,10.0,0.98,rain,0.0362,0.2452,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,7,0,1,2,45,4,4,18,4,14,28810,10,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
14,,33SR008001,-85.33131800000001,35.094367999999996,5,2.029,,0,47.82,48.87,39.72,,,,39.29,0.72,3.0,,10.0,0.98,rain,0.0363,0.2485,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,45,8,8,2,1,22,129750,9,48,18,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
15,,3303601001,-85.200161,35.055347999999995,5,0.679,,0,48.79,49.03,40.3,,,,40.04,0.72,3.0,,10.0,0.98,rain,0.0365,0.2573,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,40,2,2,18,2,16,3390,22,22,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
16,,3304986001,-85.153824,35.041303000000006,5,2.1630000000000003,,0,48.74,48.8,40.31,,,,39.6,0.71,3.0,,10.0,0.98,rain,0.0364,0.244,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,35,3,3,18,4,17,5180,13,12,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
17,,3304986001,-85.15870600000001,35.034528,5,1.464,,0,48.83,48.88,40.39,,,,39.66,0.7,3.0,,10.0,0.98,rain,0.0363,0.2442,1551639600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,35,3,3,18,4,17,5180,13,24,15,partly-cloudy-night,Mostly Cloudy,cloudy,Overcast,,
18,,3304428001,-85.24562,35.152975,9,0.551,,1,38.3,38.54,29.05,,,,30.86,0.74,3.0,,8.4,0.76,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0,1,2,35,4,4,13,1,14,27320,22,24,15,cloudy,Overcast,clear-night,Clear,,
19,,33I0075001,-85.200274,35.008246,9,0.136,,1,38.86,39.28,30.93,,,,31.4,0.74,3.0,,6.15,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,4,2,1,2,55,2,2,12,4,19,0,0,22,15,cloudy,Overcast,clear-night,Clear,,
20,,33I0075001,-85.21086600000001,35.001294,8,1.202,,1,38.93,39.37,31.05,,,,31.45,0.74,3.0,,6.12,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,1,0,2,1,2,55,4,4,2,1,22,108850,9,24,15,cloudy,Overcast,clear-night,Clear,,
21,,330A702001,-85.26760999999999,35.034727000000004,7,0.092,,1,38.68,39.08,30.59,,,,31.08,0.74,3.0,,5.83,0.78,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,7,0,1,2,25,2,2,12,4,19,0,0,30,15,cloudy,Overcast,clear-night,Clear,,
22,,33I0075001,-85.207205,35.005828,7,1.615,,1,38.91,39.34,31.0,,,,31.42,0.74,3.0,,6.14,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,1,2,2,1,2,55,2,2,18,4,17,5180,13,12,15,cloudy,Overcast,clear-night,Clear,,
23,,33SR320001,-85.163699,35.015214,7,2.6069999999999998,,1,38.83,39.17,30.89,,,,31.34,0.74,3.0,,6.23,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,40,4,4,21,1,14,42060,10,22,15,cloudy,Overcast,clear-night,Clear,,
24,,33I0024002,-85.297892,35.021809000000005,7,0.213,,1,38.75,39.17,30.69,,,,31.12,0.74,3.0,,5.59,0.78,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,2,1,2,55,2,2,12,4,19,0,0,24,15,cloudy,Overcast,clear-night,Clear,,
25,,33I0024002,-85.237709,35.008661,6,1.391,,1,38.7,39.15,30.85,,,,31.32,0.75,3.0,,6.1,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,2,1,2,55,4,4,2,1,22,108850,9,24,15,cloudy,Overcast,clear-night,Clear,,
26,,3303603001,-85.181912,35.016889,6,0.002,,1,38.77,39.1,30.83,,,,31.32,0.74,3.0,,6.2,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,35,2,2,18,4,16,13120,12,12,15,cloudy,Overcast,clear-night,Clear,,
27,,330D228001,-85.197621,35.083886,6,0.059000000000000004,,1,38.31,38.61,30.02,,,,30.81,0.74,3.0,,6.21,0.78,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,0,0,-10,2,-10,2,2,12,4,19,0,0,26,15,cloudy,Overcast,clear-night,Clear,,
28,,3303580001,-85.162464,35.044885,6,1.695,,1,38.85,39.13,30.73,,,,31.15,0.74,3.0,,6.33,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,0,1,2,45,4,4,18,4,14,28810,10,24,15,cloudy,Overcast,clear-night,Clear,,
29,,33I0024002,-85.254192,35.015817999999996,6,1.0390000000000001,,1,38.09,38.56,30.32,,,,31.26,0.76,3.0,,6.06,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,0,2,1,2,55,4,4,13,1,14,29170,10,22,15,cloudy,Overcast,clear-night,Clear,,
30,,33I0024002,-85.28069,35.016490999999995,6,10.06,,1,38.72,39.12,30.76,,,,31.19,0.74,3.0,,5.86,0.79,NA,0.0,0.0008,1551711600,0.0,1.0,0.0,0.0,0.0,0.0,2,2,2,1,2,55,6,6,2,1,22,0,0,36,15,cloudy,Overcast,clear-night,Clear,,
