,Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
5658,3355,3301122001,-85.154037,35.041835999999996,32,2/25/19,13:00,13,48.47,54.93,34.52,21.04,0.33,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.16744645,0.11800000000000001,0.0
2066,1686,3303552001,-85.286955,35.046753,27,2/25/19,6:00,6,34.96,55.53,34.3,22.0,0.59,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,16,22,15,,0.04411925,1.365,0.0
386,2361,3304459001,-85.312411,35.045297,33,2/25/19,9:00,9,36.63,55.54,34.25,18.16,0.47,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,17,10,15,,0.15313973,0.046,0.0
4711,4024,3304987001,-85.158512,35.023734999999995,42,2/25/19,16:00,16,54.96,54.96,34.61,25.23,0.31,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.18198408,0.6509999999999999,0.0
433,4453,33SR320001,-85.173781,35.017884,67,2/25/19,18:00,18,51.36,55.02,34.64,26.87,0.38,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,5,21,1,14,24,15,,0.16305245,1.9780000000000002,0.0
1105,1688,33SR002001,-85.328285,35.013727,27,2/25/19,6:00,6,34.83,55.46,34.14,22.22,0.6,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,3,0,0,2,3,3,21,1,16,24,15,,0.022797069,5.744,0.0
4841,3256,3303556001,-85.222382,35.042901,48,2/25/19,13:00,13,48.69,55.27,34.2,20.33,0.32,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,16,24,15,,0.21071301,3.323,0.0
2648,4541,33SR320001,-85.154777,35.008124,36,2/25/19,18:00,18,51.37,55.03,34.66,26.96,0.39,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,14,22,15,,0.15044299,3.4210000000000003,0.0
2956,3466,3304988001,-85.15562800000001,35.024501,70,2/25/19,14:00,14,51.33,54.94,34.6,22.43,0.32,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,26,15,,0.075679086,2.853,0.0
2787,125,3303593001,-85.248735,35.14182,37,2/25/19,0:00,0,53.52,60.2,42.51,49.91,0.88,2,0,4.49,0.36,rain,0.0163,0.1703,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,0,2,2,2,18,4,16,12,15,,0.057661798,2.22,0.0
3209,4103,330D198001,-85.200011,35.054571,30,2/25/19,16:00,16,55.16,55.16,34.19,24.86,0.31,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,28,15,,0.039148685,0.301,0.0
4056,1016,3304988001,-85.15562800000001,35.024501,70,2/25/19,4:00,4,37.98,54.94,34.6,25.72,0.61,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,18,4,16,26,15,,0.012958829,2.853,0.0
724,1597,330E636001,-85.158111,35.043326,36,2/25/19,6:00,6,35.06,55.0,34.5,22.53,0.6,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,30,15,,0.015134212,0.28300000000000003,0.0
1372,1260,33I0024002,-85.221655,35.004334,70,2/25/19,5:00,5,36.6,55.2,34.39,23.48,0.59,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,2,2,6,6,2,1,11,36,18,,0.024089832,13.950999999999999,0.0
2718,5583,330E416001,-85.174009,35.017383,29,2/25/19,22:00,22,43.64,55.02,34.65,26.43,0.5,2,0,10.0,0.08,rain,0.0002,0.0015,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,22,15,,0.19284622,0.306,0.0
4859,1172,3303556001,-85.237299,35.047083,29,2/25/19,4:00,4,37.96,54.99,34.32,25.35,0.6,2,0,10.0,0.09,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,4,0,2,2,2,18,4,16,12,15,,0.024986487,2.418,0.0
5250,1151,3304986001,-85.159779,35.035252,32,2/25/19,4:00,4,37.96,54.99,34.55,25.63,0.61,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,17,24,15,,0.017178576,1.482,0.0
2921,2170,3301122001,-85.154861,35.042127,28,2/25/19,8:00,8,34.99,54.94,34.52,20.43,0.55,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,0.17033565,0.067,0.0
5426,4615,330B707001,-85.25128199999999,35.015328000000004,28,2/25/19,18:00,18,51.38,54.88,34.49,26.58,0.38,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,2,2,12,4,19,16,15,,0.070428915,0.001,0.0
4903,4575,330B220001,-85.222513,35.010366,32,2/25/19,18:00,18,51.76,55.21,34.36,26.69,0.38,2,0,10.0,0.08,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,26,15,,0.2359145,0.102,0.0
473,4397,3305403001,-85.290524,35.041458,26,2/25/19,17:00,17,54.87,55.47,34.21,25.57,0.32,2,0,10.0,0.09,rain,0.0003,0.0019,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,18,4,16,17,15,,0.14325926,1.618,0.0
3526,2662,3303578001,-85.219735,35.043284,27,2/25/19,10:00,10,38.97,55.27,34.2,17.95,0.42,2,0,10.0,0.08,rain,0.0001,0.0015,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,4,4,18,4,16,42,15,,0.15494323,3.6689999999999996,0.0
