,Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile,Predictions
1815,3785,33I0024002,-85.350032,35.028387,39,2/25/19,15:00,15,54.74,56.02,34.76,23.49,0.29,2,0,10,0.15,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5085666,5.06,1
2842,5010,33I0024002,-85.350032,35.028387,39,2/25/19,20:00,20,47.11,56.02,34.75,27.6,0.46,2,0,10,0.15,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.500256,5.06,1
2476,45,33I0075001,-85.163861,35.035266,65,2/25/19,0:00,0,54.04,60.56,45.1,50.37,0.87,2,0,6.85,0.35,rain,0.0127,0.1297,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.7763401,4.977,1
1221,188,3304987001,-85.155546,35.030221,29,2/25/19,0:00,0,54.04,60.52,45.1,50.37,0.87,2,0,7.08,0.35,rain,0.012,0.1189,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.5030311,1.127,1
3377,117,33SR153001,-85.177195,35.028893,38,2/25/19,0:00,0,54.03,60.68,45.17,50.36,0.87,2,0,6.71,0.35,rain,0.0128,0.1299,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,13,1,12,36,15,,0.7205841,0.563,1
5490,4275,33I0024002,-85.350032,35.028387,39,2/25/19,17:00,17,55.36,56.02,34.76,25.91,0.32,2,0,10,0.15,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.50359684,5.06,1
4320,3271,33I0024002,-85.366708,35.027029,45,2/25/19,13:00,13,49.33,55.93,34.55,20.63,0.32,2,0,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.5200357,4.085,1
1906,200,33I0075001,-85.17253,35.027345,28,2/25/19,0:00,0,54.04,60.65,45.17,50.36,0.87,2,0,6.82,0.35,rain,0.0127,0.1294,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,2,2,6,6,2,1,11,36,18,,0.50815475,4.247,1
290,141,33I0075001,-85.21117,35.002679,34,2/25/19,0:00,0,53.78,60.77,45.1,50.01,0.87,2,0,6.61,0.35,rain,0.0134,0.1337,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.5817686,1.289,1
3979,159,33I0075001,-85.196993,35.009159,33,2/25/19,0:00,0,53.85,60.65,45.08,50.37,0.88,2,0,6.72,0.35,rain,0.013,0.1303,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,0.5254405,2.228,1
612,226,33I0075001,-85.210479,35.004212,26,2/25/19,0:00,0,53.78,60.77,45.09,50.01,0.87,2,0,6.59,0.35,rain,0.0134,0.1339,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.57417434,1.391,1
526,63,33I0075001,-85.205913,34.993245,52,2/25/19,0:00,0,53.95,60.89,45.28,50.01,0.86,2,0,6.81,0.35,rain,0.0133,0.1328,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,7,2,1,11,36,15,,0.6361902,0.576,1
5051,3540,33I0024002,-85.350032,35.028387,39,2/25/19,14:00,14,52.29,55.86,34.76,21.89,0.3,2,0,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5004961,5.06,1
5175,3,33I0075001,-85.210866,35.001294,162,2/25/19,0:00,0,53.78,60.77,45.1,50.01,0.87,2,0,6.64,0.35,rain,0.0134,0.1334,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.58958197,1.202,1
1963,3295,33I0024002,-85.350032,35.028387,39,2/25/19,13:00,13,49.27,55.86,34.76,20.65,0.32,2,0,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.53944266,5.06,1
4543,3191,33I0024002,-85.368766,35.026324,144,2/25/19,13:00,13,49.31,55.9,34.55,20.63,0.32,2,0,10,0.13,rain,0.0005,0.002,1551078000,partly-cloudy-night,partly-cloudy-day,Partly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,2,2,4,5,2,1,11,24,15,,0.5178224,3.959,1
5351,61,33I0075001,-85.211604,35.001154,52,2/25/19,0:00,0,53.78,60.78,45.1,50.01,0.87,2,0,6.63,0.35,rain,0.0134,0.1334,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,0.58847827,1.206,1
2852,1,33I0075001,-85.206737,34.996081,255,2/25/19,0:00,0,53.96,60.91,45.29,50.01,0.86,2,0,6.77,0.35,rain,0.0133,0.133,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,0.73346114,0.771,1
4477,76,33I0075001,-85.163223,35.035572,47,2/25/19,0:00,0,54.03,60.56,45.1,50.37,0.87,2,0,6.85,0.35,rain,0.0127,0.1296,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.7761526,5.016,1
2712,26,33I0075001,-85.209894,34.998664,83,2/25/19,0:00,0,53.78,60.76,45.1,50.01,0.87,2,0,6.7,0.35,rain,0.0133,0.1332,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,0.7319738,1.014,1
2661,100,33I0075001,-85.203262,35.007414,43,2/25/19,0:00,0,53.79,60.71,45.05,50.02,0.87,2,0,6.65,0.35,rain,0.0133,0.134,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,2,2,8,8,2,1,11,48,15,,0.5426591,1.847,1
2052,4030,33I0024002,-85.350032,35.028387,39,2/25/19,16:00,16,56.02,56.02,34.76,24.75,0.3,2,0,10,0.15,rain,0.0005,0.002,1551078000,partly-cloudy-night,clear-day,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,2,1,11,24,15,,0.5092535,5.06,1
5742,95,3304987001,-85.157359,35.026889,43,2/25/19,0:00,0,54.05,60.52,45.1,50.37,0.87,2,0,7.1,0.35,rain,0.012,0.1185,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,0.50274265,0.878,1
3183,241,33I0075001,-85.16582,35.033426,26,2/25/19,0:00,0,54.04,60.53,45.06,50.37,0.87,2,0,6.84,0.35,rain,0.0127,0.1296,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,6,8,2,1,11,36,18,,0.777973,4.809,1
4664,89,33I0075001,-85.206471,34.993709,45,2/25/19,0:00,0,53.95,60.9,45.28,50.01,0.86,2,0,6.8,0.35,rain,0.0133,0.1328,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,1,2,2,2,6,7,2,1,11,36,15,,0.6318943,0.62,1
4246,242,33I0075001,-85.193721,35.010071,26,2/25/19,0:00,0,54.05,60.79,45.26,50.37,0.87,2,0,6.76,0.35,rain,0.0129,0.1303,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,4,2,2,8,8,2,1,11,48,18,,0.51517254,2.427,1
