Index,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
4321,3304459001,-85.312411,35.045297,33,2/25/19,17:00,17,54.86,55.3,35.94,29.1,0.37,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,18,4,17,10,15,,,0.046
4907,33I0024002,-85.28069,35.016491,136,2/25/19,20:00,20,47.04,55.29,34.49,30.88,0.53,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,15,,,10.06
5802,3304134001,-85.20734,35.147481,32,2/25/19,23:00,23,43.12,55.08,33.51,26.8,0.52,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,18,4,16,20,15,,,1.307
5812,3305770001,-85.231362,35.007176,31,2/25/19,23:00,23,44.29,55.13,34.67,27.49,0.51,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,7,0,1,2,3,18,4,16,36,15,,,0.751
4070,33SR002001,-85.212241,35.012306,34,2/25/19,16:00,16,55.13,55.13,34.64,28.38,0.36,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,,14.783
4325,330C858001,-85.242192,35.127346,33,2/25/19,17:00,17,54.75,55.3,33.8,28.96,0.37,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,3,4,0,2,2,2,12,4,19,18,15,,,0.09
2483,3303580001,-85.162464,35.044885,71,2/25/19,10:00,10,39.26,55.04,34.56,20.64,0.47,2,0,7.56,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,1.779
2798,33SR008001,-85.209287,34.989471,42,2/25/19,11:00,11,42.94,55.26,35.01,22.74,0.44,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,,1.282
333,33SR153001,-85.229018,35.104278,45,2/25/19,1:00,1,43.33,55.27,36.01,21.81,0.42,2,0,10,0.21,rain,0.0003,0.0019,1551128400,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,0,2,2,4,4,13,1,12,24,18,,,6.775
4020,33I0075001,-85.203262,35.007414,43,2/25/19,16:00,16,55.07,55.07,34.69,28.43,0.36,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,8,8,2,1,11,48,15,,,1.847
3628,3303580001,-85.157294,35.042997,28,2/25/19,14:00,14,51.64,54.96,34.57,26.12,0.37,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,2.095
2698,33I0075001,-85.210866,35.001294,162,2/25/19,11:00,11,43.27,55.12,35.73,23.5,0.45,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,1,0,2,2,4,4,2,1,11,24,15,,,1.202
1481,33SR008001,-85.331318,35.094368,114,2/25/19,6:00,6,37.4,55.45,35.85,22.69,0.55,2,0,6.87,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,36,15,,,13.147
1116,33SR008001,-85.309633,35.052314,35,2/25/19,4:00,4,38.34,55.32,35.92,24.4,0.57,2,0,7.28,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,16,23,15,,,9.415
3700,33I0024002,-85.323702,35.02629,91,2/25/19,15:00,15,54.59,55.42,35.84,26.82,0.34,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,,7.082
4822,3304134001,-85.20734,35.147481,32,2/25/19,19:00,19,48.27,55.08,33.51,30.74,0.5,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,18,4,16,20,15,,,1.307
5669,33I0024002,-85.323459,35.027231,70,2/25/19,23:00,23,44.32,55.42,35.83,27.63,0.52,2,0,10,0.21,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,5,2,2,4,7,2,1,11,24,15,,,7.148
5748,33SR153001,-85.214113,35.087611,38,2/25/19,23:00,23,43.88,54.93,34.31,27.09,0.51,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,4,2,2,6,8,13,1,12,36,15,,,5.272
4430,33I0075001,-85.184679,35.01246,102,2/25/19,18:00,18,51.98,55.05,34.78,30.94,0.44,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,2,2,8,8,2,1,11,48,18,,,2.974
467,33I0124001,-85.318867,35.035208,27,2/25/19,1:00,1,44.05,55.5,36.17,20.84,0.39,2,0,2.01,0.2,rain,0.0003,0.0019,1551128400,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,5,2,2,6,8,2,1,11,36,15,,,0.445
4843,3304987001,-85.155546,35.030221,29,2/25/19,19:00,19,48.29,54.92,34.65,31.17,0.51,2,0,10,0.22,rain,0.0004,0.0018,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,2,4,4,18,4,14,24,15,,,1.127
