,Route,Longitude,Latitude,Sum_Accidents,Date,Time,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,EventBefore,Event,ConditionBefore,Conditions,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,Prediction,Probability,Log_Mile
5,33I0024002,-85.297892,35.021809,145,2/25/19,0:00,0,54.03,61.65,45.94,50.51,0.88,2,0,4.15,0.35,rain,0.0141,0.1455,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,2,2,6,8,2,1,11,36,15,,,8.966
4940,33I0075001,-85.174239,35.02432,67,2/25/19,20:00,20,46.89,55.34,34.4,30.86,0.53,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,2,2,6,7,2,1,11,48,18,,,4.019
1359,3303561001,-85.310664,35.052295,36,2/25/19,5:00,5,38.68,55.64,34.25,24.15,0.56,2,0,3.33,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,18,4,16,36,15,,,0.454
2175,33SR002001,-85.220213,35.009919,27,2/25/19,8:00,8,34.24,55.43,34.24,21.72,0.6,2,0,2.76,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,6,6,13,1,14,30,15,,,14.31
5498,330D462001,-85.21983,35.089088,40,2/25/19,22:00,22,44.69,55.29,34.27,29.57,0.55,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,24,15,,,0.008
621,33SR320001,-85.154777,35.008124,36,2/25/19,2:00,2,40.78,54.95,34.54,24.87,0.53,2,0,3.31,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,21,1,14,22,15,,,3.421
432,330B936001,-85.245409,34.996398,30,2/25/19,1:00,1,42.64,54.94,34.25,23.6,0.47,2,0,2.81,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,12,4,19,24,15,,,0.115
3810,33SR008001,-85.206802,34.989515,36,2/25/19,15:00,15,54.82,55.56,34.62,24.48,0.31,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,13,1,14,24,15,,,1.142
2864,33SR008001,-85.307328,35.036143,32,2/25/19,11:00,11,45.88,55.7,35.91,15.32,0.29,2,0,10,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,3,3,21,1,16,36,15,,,8.089
3728,3301145001,-85.05854,35.082749,58,2/25/19,15:00,15,53.94,54.64,34.37,25.01,0.32,2,0,10,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,2,2,2,18,4,16,22,15,,,6.876
183,330D198001,-85.200011,35.054571,30,2/25/19,0:00,0,53.3,60.75,45.43,50.01,0.89,2,0,5.81,0.35,rain,0.0142,0.1498,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,0,2,2,2,12,4,19,28,15,,,0.301
660,3301122001,-85.154037,35.041836,32,2/25/19,2:00,2,40.72,54.85,34.34,24.74,0.53,2,0,4.2,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,4,4,18,4,14,24,15,,,0.118
152,3303559001,-85.311782,35.05227,34,2/25/19,0:00,0,54.5,61.87,45.85,50.66,0.87,2,0,3.4,0.35,rain,0.0149,0.155,1550995200,clear-night,rain,Clear,Rain,0,0,1,0,0,0,2,2,0,2,4,4,18,4,17,40,15,,,1.003
1852,3303611001,-85.244059,35.01068,35,2/25/19,7:00,7,35.66,55.27,34.16,21.13,0.55,2,0,2.37,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Mostly Cloudy,Clear,1,0,0,0,0,0,2,7,0,2,2,2,18,4,16,24,15,,,0.996
4955,3303587001,-85.26244,35.115281,57,2/25/19,20:00,20,47.14,55.43,33.43,30.32,0.52,2,0,10,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-night,Partly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,16,24,15,,,1.627
3256,3303556001,-85.222382,35.042901,48,2/25/19,13:00,13,51.46,55.46,33.99,15.11,0.23,2,0,2.36,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,7,0,2,4,4,18,4,16,24,15,,,3.323
3685,330A390001,-85.290431,35.048719,119,2/25/19,15:00,15,55.47,55.68,34.42,23.67,0.29,2,0,10,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Mostly Cloudy,0,1,0,0,0,0,2,0,0,2,2,2,12,4,19,24,15,,,0.479
3371,33SR008001,-85.309399,35.045763,30,2/25/19,13:00,13,51.93,55.63,34.23,14.18,0.22,2,0,1.46,0.29,rain,0.0003,0.0019,1551132000,partly-cloudy-night,fog,Mostly Cloudy,Foggy,0,0,0,1,0,0,2,2,0,2,4,4,13,1,14,46,15,,,8.968
1592,33SR153001,-85.246697,35.182577,38,2/25/19,6:00,6,37.18,55.33,33.26,22.05,0.54,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-night,Partly Cloudy,Clear,1,0,0,0,0,0,2,0,0,2,4,4,13,1,14,24,15,,,12.481
2958,3305747001,-85.132664,35.080045,107,2/25/19,12:00,12,48.16,54.77,34.27,14.9,0.26,2,0,4.94,0.27,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,4,4,18,4,17,22,15,,,1.222
2476,33I0075001,-85.209894,34.998664,83,2/25/19,10:00,10,42.55,55.4,34.34,18.74,0.38,2,0,3.79,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,1,2,2,2,6,8,2,1,11,36,15,,,1.014
3933,3303603001,-85.181912,35.016889,113,2/25/19,16:00,16,55.23,55.23,34.44,28.66,0.36,2,0,10,0.28,rain,0.0003,0.0019,1551132000,partly-cloudy-night,partly-cloudy-day,Mostly Cloudy,Partly Cloudy,0,1,0,0,0,0,2,2,0,2,2,2,18,4,16,12,15,,,0.002
2399,330A343001,-85.312571,35.046047,29,2/25/19,9:00,9,40.72,55.62,35.99,18.09,0.4,2,0,2.13,0.3,rain,0.0003,0.0019,1551132000,partly-cloudy-night,clear-day,Mostly Cloudy,Clear,1,0,0,0,0,0,2,2,0,2,2,2,12,4,19,20,15,,,0.004
