Block,Hour,Count
1,0,0
1,1,2
1,2,1
1,3,4
1,4,1
1,5,0
1,6,3
1,7,4
1,8,4
1,9,0
1,10,7
1,11,3
1,12,3
1,13,13
1,14,2
1,15,7
1,16,4
1,17,6
1,18,7
1,19,3
1,20,1
1,21,1
1,22,5
1,23,1
2,0,3
2,1,3
2,2,1
2,3,2
2,4,0
2,5,2
2,6,6
2,7,15
2,8,14
2,9,8
2,10,8
2,11,10
2,12,21
2,13,11
2,14,17
2,15,13
2,16,13
2,17,18
2,18,13
2,19,6
2,20,10
2,21,5
2,22,5
2,23,2
3,0,0
3,1,0
3,2,0
3,3,0
3,4,0
3,5,0
3,6,0
3,7,0
3,8,4
3,9,5
3,10,1
3,11,1
3,12,1
3,13,0
3,14,0
3,15,5
3,16,2
3,17,2
3,18,1
3,19,1
3,20,1
3,21,0
3,22,0
3,23,0
4,0,1
4,1,0
4,2,0
4,3,0
4,4,0
4,5,0
4,6,0
4,7,5
4,8,2
4,9,0
4,10,0
4,11,1
4,12,5
4,13,2
4,14,1
4,15,2
4,16,2
4,17,2
4,18,0
4,19,0
4,20,2
4,21,1
4,22,1
4,23,2
5,0,1
5,1,0
5,2,1
5,3,0
5,4,1
5,5,1
5,6,1
5,7,6
5,8,10
5,9,2
5,10,8
5,11,10
5,12,5
5,13,5
5,14,14
5,15,5
5,16,9
5,17,9
5,18,6
5,19,3
5,20,4
5,21,6
5,22,3
5,23,1
6,0,0
6,1,0
6,2,0
6,3,1
6,4,0
6,5,0
6,6,3
6,7,1
6,8,8
6,9,2
6,10,1
6,11,0
6,12,4
6,13,8
6,14,9
6,15,13
6,16,3
6,17,9
6,18,6
6,19,3
6,20,1
6,21,2
6,22,1
6,23,5
7,0,2
7,1,1
7,2,1
7,3,2
7,4,0
7,5,0
7,6,1
7,7,9
7,8,7
7,9,15
7,10,7
7,11,13
7,12,18
7,13,16
7,14,21
7,15,28
7,16,21
7,17,28
7,18,10
7,19,13
7,20,5
7,21,4
7,22,4
7,23,5
8,0,0
8,1,0
8,2,1
8,3,0
8,4,0
8,5,0
8,6,1
8,7,6
8,8,5
8,9,5
8,10,3
8,11,8
8,12,6
8,13,4
8,14,12
8,15,16
8,16,11
8,17,8
8,18,5
8,19,5
8,20,0
8,21,2
8,22,2
8,23,0
9,0,0
9,1,0
9,2,0
9,3,3
9,4,0
9,5,0
9,6,0
9,7,2
9,8,4
9,9,4
9,10,2
9,11,0
9,12,4
9,13,1
9,14,1
9,15,4
9,16,3
9,17,2
9,18,1
9,19,2
9,20,2
9,21,0
9,22,0
9,23,0
10,0,0
10,1,0
10,2,0
10,3,0
10,4,0
10,5,0
10,6,0
10,7,0
10,8,0
10,9,1
10,10,1
10,11,3
10,12,0
10,13,0
10,14,1
10,15,1
10,16,0
10,17,1
10,18,0
10,19,0
10,20,0
10,21,0
10,22,0
10,23,0
11,0,1
11,1,1
11,2,3
11,3,0
11,4,0
11,5,1
11,6,1
11,7,9
11,8,2
11,9,5
11,10,10
11,11,6
11,12,7
11,13,3
11,14,11
11,15,15
11,16,17
11,17,17
11,18,2
11,19,6
11,20,7
11,21,5
11,22,1
11,23,0
12,0,2
12,1,1
12,2,1
12,3,1
12,4,0
12,5,0
12,6,4
12,7,3
12,8,5
12,9,4
12,10,10
12,11,6
12,12,5
12,13,6
12,14,6
12,15,6
12,16,13
12,17,12
12,18,4
12,19,11
12,20,7
12,21,4
12,22,1
