Accident,Latitude,Longitude,Date,Time,Hour,DayFrame,Weekday,WeekDay,WeekEnd,Visibility,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Day
1,35.122427,-85.274098,2019-01-07,7:29:28,7,2,0,1,0,2.3,0.0,0.0,0,1,0,0,0,0,660,14,8,0,7,22,0
1,35.128114000000004,-85.24319,2019-01-07,7:51:33,7,2,0,1,0,6.19,0.0,0.0,0,1,0,0,0,0,736,17,6,1,2,11,0
1,35.128558,-85.242954,2019-01-07,7:51:46,7,2,0,1,0,6.19,0.0,0.0,0,1,0,0,0,0,736,17,6,1,2,11,0
1,35.127346,-85.242192,2019-01-07,7:51:52,7,2,0,1,0,6.18,0.0,0.0,0,1,0,0,0,0,736,17,6,1,2,11,0
1,35.043794,-85.279898,2019-01-07,8:02:13,8,2,0,1,0,2.36,0.0,0.0,1,0,0,0,0,0,160,18,20,0,2,14,0
1,35.000434000000006,-85.281871,2019-01-07,8:17:26,8,2,0,1,0,2.57,0.0,0.0,1,0,0,0,0,0,14,21,26,0,7,20,0
1,35.027066,-85.363334,2019-01-07,8:25:44,8,2,0,1,0,1.86,0.0,0.0,0,0,0,1,0,0,3,10,26,1,0,5,0
1,35.032883,-85.182662,2019-01-07,8:29:18,8,2,0,1,0,3.12,0.0,0.0,1,0,0,0,0,0,324,30,16,1,2,9,0
1,35.027727,-85.266225,2019-01-07,8:55:02,8,2,0,1,0,2.63,0.0,0.0,1,0,0,0,0,0,132,21,21,0,7,21,0
1,35.047995,-85.306478,2019-01-07,9:02:44,9,2,0,1,0,5.26,0.0,0.0,0,1,0,0,0,0,157,15,20,0,2,20,0
1,35.014733,-85.251611,2019-01-07,9:05:42,9,2,0,1,0,5.43,0.0,0.0,0,1,0,0,0,0,106,23,22,1,7,27,0
1,35.120311,-85.288554,2019-01-07,9:30:30,9,2,0,1,0,6.61,0.0,0.0,0,1,0,0,0,0,618,12,9,0,7,16,0
1,35.028387,-85.350032,2019-01-07,9:41:16,9,2,0,1,0,2.19,0.0,0.0,0,1,0,0,0,0,23,11,25,1,0,1,0
1,35.084595,-85.324828,2019-01-07,9:56:06,9,2,0,1,0,6.51,0.0,0.0,0,1,0,0,0,0,304,10,16,1,7,8,0
1,35.051584999999996,-85.140192,2019-01-07,10:19:38,10,3,0,1,0,6.14,0.0,0.0,0,1,0,0,0,0,553,34,11,1,7,11,0
1,35.052351,-85.139601,2019-01-07,10:20:01,10,3,0,1,0,6.14,0.0,0.0,0,1,0,0,0,0,553,34,11,1,7,11,0
1,35.051584999999996,-85.140192,2019-01-07,10:23:01,10,3,0,1,0,6.14,0.0,0.0,0,1,0,0,0,0,553,34,11,1,7,11,0
1,35.037712,-85.15674399999999,2019-01-07,11:15:25,11,3,0,1,0,6.12,0.0,0.0,0,1,0,0,0,0,417,33,14,1,2,6,0
1,35.107436,-85.34834599999999,2019-01-07,11:31:04,11,3,0,1,0,2.92,0.0,0.0,0,1,0,0,0,0,390,6,14,0,7,10,0
1,35.049113,-85.314339,2019-01-07,11:35:43,11,3,0,1,0,3.1,0.0,0.0,0,1,0,0,0,0,125,14,21,1,2,19,0
1,35.034528,-85.15870600000001,2019-01-07,11:54:12,11,3,0,1,0,6.11,0.0,0.0,0,1,0,0,0,0,372,33,15,0,7,3,0
1,35.048043,-85.29275200000001,2019-01-07,12:50:44,12,3,0,1,0,6.33,0.0,0.0,0,1,0,0,0,0,158,16,20,0,9,19,0
1,35.050511,-85.313393,2019-01-07,13:00:33,13,4,0,1,0,2.56,0.0,0.0,0,1,0,0,0,0,156,14,20,1,2,17,0
1,35.081924,-85.205887,2019-01-07,13:31:42,13,4,0,1,0,5.86,0.0,0.0,0,1,0,0,0,0,588,24,10,1,7,10,0
1,35.037454,-85.197073,2019-01-07,13:32:46,13,4,0,1,0,5.92,0.0,0.0,0,1,0,0,0,0,322,28,16,0,2,6,0
1,35.008635999999996,-85.263024,2019-01-07,13:52:58,13,4,0,1,0,5.7,0.0,0.0,0,1,0,0,0,0,55,22,24,0,7,19,0
1,35.04595,-85.297097,2019-01-07,14:17:56,14,4,0,1,0,6.33,0.0,0.0,0,1,0,0,0,0,158,16,20,0,9,19,0
1,35.031887,-85.30835,2019-01-07,14:31:34,14,4,0,1,0,3.2,0.0,0.0,0,1,0,0,0,0,73,16,23,1,7,25,0
1,35.046019,-85.312494,2019-01-07,14:35:02,14,4,0,1,0,3.11,0.0,0.0,0,1,0,0,0,0,125,14,21,1,2,19,0
1,35.138329,-85.33039000000001,2019-01-07,14:56:43,14,4,0,1,0,6.75,0.0,0.0,0,1,0,0,0,0,613,7,9,0,7,12,0
1,35.13787,-85.331602,2019-01-07,14:57:23,14,4,0,1,0,6.75,0.0,0.0,0,1,0,0,0,0,612,6,9,0,7,14,0
1,35.135607,-85.33196099999999,2019-01-07,14:58:25,14,4,0,1,0,6.96,0.0,0.0,0,1,0,0,0,0,612,6,9,0,7,14,0
1,35.009932,-85.21546,2019-01-07,15:05:43,15,4,0,1,0,6.16,0.0,0.0,0,1,0,0,0,0,139,28,21,0,2,12,0
1,35.029439,-85.15904499999999,2019-01-07,15:46:44,15,4,0,1,0,6.1,0.0,0.0,0,1,0,0,0,0,372,33,15,0,7,3,0
1,35.060520000000004,-85.06911099999999,2019-01-07,16:16:32,16,4,0,1,0,6.71,0.0,0.0,0,1,0,0,0,0,761,42,6,0,7,5,0
1,35.062746000000004,-85.13153199999999,2019-01-07,16:38:45,16,4,0,1,0,6.64,0.0,0.0,0,1,0,0,0,0,640,34,9,0,0,4,0
1,35.008661,-85.237709,2019-01-07,16:50:19,16,4,0,1,0,6.2,0.0,0.0,0,1,0,0,0,0,108,25,22,1,7,22,0
1,35.091854999999995,-85.310802,2019-01-07,17:06:41,17,4,0,1,0,3.81,0.0,0.0,0,1,0,0,0,0,396,12,14,0,7,20,0
1,35.010534,-85.207373,2019-01-07,17:14:09,17,4,0,1,0,4.25,0.0,0.0,0,1,0,0,0,0,140,29,21,1,2,8,0
1,35.036713,-85.151975,2019-01-07,17:14:56,17,4,0,1,0,4.44,0.0,0.0,0,1,0,0,0,0,418,34,14,0,2,3,0
1,35.052925,-85.147887,2019-01-07,17:32:18,17,4,0,1,0,4.49,0.0,0.0,0,1,0,0,0,0,507,33,12,1,7,7,0
