Accident,Latitude,Longitude,Date,Time,Hour,DayFrame,Weekday,WeekDay,WeekEnd,Visibility,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Day
1,35.011084999999994,-85.214155,2019-01-05,6:48:41,6,2,5,0,1,5.83,0.0,0.0004,0,1,0,0,0,0,139,28,21,0,2,12,5
1,35.094899,-85.07870600000001,2019-01-05,7:34:34,7,2,5,0,1,6.22,0.0001,0.001,0,1,0,0,0,0,875,38,2,0,0,5,5
1,35.101489,-85.078232,2019-01-05,7:36:32,7,2,5,0,1,6.28,0.0001,0.001,0,1,0,0,0,0,898,38,1,0,0,1,5
1,35.071871,-85.309802,2019-01-05,9:38:27,9,2,5,0,1,6.42,0.0,0.0005,1,0,0,0,0,0,262,13,17,0,7,24,5
1,35.019224,-85.267436,2019-01-05,10:20:55,10,3,5,0,1,5.72,0.0,0.0005,1,0,0,0,0,0,104,21,22,1,7,24,5
1,35.012306,-85.212241,2019-01-05,10:50:44,10,3,5,0,1,5.61,0.0,0.0004,1,0,0,0,0,0,139,28,21,0,2,12,5
1,35.074635,-85.062373,2019-01-05,10:52:28,10,3,5,0,1,6.6,0.0001,0.0009,1,0,0,0,0,0,825,42,4,0,7,20,5
1,35.016490999999995,-85.28069,2019-01-05,11:09:05,11,3,5,0,1,6.27,0.0,0.0004,1,0,0,0,0,0,53,20,24,1,7,19,5
1,35.021809000000005,-85.297892,2019-01-05,11:11:17,11,3,5,0,1,6.05,0.0,0.0005,1,0,0,0,0,0,51,18,24,1,2,17,5
1,35.086473,-85.056151,2019-01-05,11:14:08,11,3,5,0,1,8.44,0.0001,0.0009,1,0,0,0,0,0,879,42,2,0,4,1,5
1,35.086919,-85.057664,2019-01-05,11:15:13,11,3,5,0,1,8.44,0.0001,0.0009,1,0,0,0,0,0,878,41,2,1,0,6,5
1,35.08634,-85.056568,2019-01-05,11:17:52,11,3,5,0,1,8.44,0.0001,0.0009,1,0,0,0,0,0,878,41,2,1,0,6,5
1,35.005158,-85.227861,2019-01-05,11:34:11,11,3,5,0,1,6.47,0.0,0.0004,1,0,0,0,0,0,110,27,22,1,7,19,5
1,35.012235,-85.22789399999999,2019-01-05,12:02:43,12,3,5,0,1,5.85,0.0,0.0004,1,0,0,0,0,0,137,26,21,0,7,21,5
1,35.039071,-85.171756,2019-01-05,12:18:30,12,3,5,0,1,5.9,0.0,0.0004,1,0,0,0,0,0,370,31,15,0,7,10,5
1,35.052925,-85.147887,2019-01-05,13:34:00,13,4,5,0,1,7.61,0.0,0.0004,1,0,0,0,0,0,507,33,12,1,7,7,5
1,35.013853999999995,-85.32724,2019-01-05,13:42:35,13,4,5,0,1,2.86,0.0,0.0004,1,0,0,0,0,0,8,15,26,0,2,13,5
1,35.026353,-85.158455,2019-01-05,13:48:31,13,4,5,0,1,7.36,0.0,0.0004,1,0,0,0,0,0,327,33,16,0,7,12,5
1,35.137652,-85.245876,2019-01-05,13:58:03,13,4,5,0,1,8.41,0.0,0.0008,1,0,0,0,0,0,768,16,5,1,7,5,5
1,34.997429,-85.283176,2019-01-05,14:43:10,14,4,5,0,1,5.69,0.0,0.0004,1,0,0,0,0,0,14,21,26,0,7,20,5
1,35.007414000000004,-85.203262,2019-01-05,15:23:06,15,4,5,0,1,5.8,0.0,0.0004,1,0,0,0,0,0,140,29,21,1,2,8,5
1,35.02432,-85.174239,2019-01-05,15:25:27,15,4,5,0,1,5.83,0.0,0.0004,1,0,0,0,0,0,281,32,17,1,7,18,5
1,35.010529,-85.31460799999999,2019-01-05,15:56:41,15,4,5,0,1,2.66,0.0,0.0004,1,0,0,0,0,0,9,16,26,0,7,17,5
1,35.017328000000006,-85.276601,2019-01-05,15:59:52,15,4,5,0,1,5.96,0.0,0.0005,1,0,0,0,0,0,77,20,23,1,7,19,5
1,35.0835,-85.062146,2019-01-05,16:00:19,16,4,5,0,1,6.23,0.0001,0.0009,1,0,0,0,0,0,852,41,3,0,2,5,5
1,35.030545000000004,-85.189874,2019-01-05,16:29:08,16,4,5,0,1,5.88,0.0,0.0004,1,0,0,0,0,0,279,30,17,0,2,7,5
1,35.018776,-85.135451,2019-01-05,17:02:20,17,4,5,0,1,5.76,0.0,0.0004,1,0,0,0,0,0,331,37,16,0,7,8,5
1,35.040639,-85.31938199999999,2019-01-05,17:31:27,17,4,5,0,1,2.52,0.0,0.0004,1,0,0,0,0,0,97,14,22,1,7,20,5
