Accident,Latitude,Longitude,Date,Time,Hour,DayFrame,Weekday,WeekDay,WeekEnd,Visibility,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Day
1,35.106251,-85.173441,2019-01-03,0:07:42,0,1,3,1,0,6.1,0.008,0.0346,0,1,0,0,0,1,779,27,5,0,7,7,3
1,35.105989,-85.173445,2019-01-03,0:10:46,0,1,3,1,0,6.09,0.008,0.0346,0,1,0,0,0,1,779,27,5,0,7,7,3
1,35.030719,-85.314743,2019-01-03,3:55:19,3,1,3,1,0,1.53,0.0234,0.099,0,0,1,0,0,0,72,15,23,1,2,15,3
1,35.024578000000005,-85.300723,2019-01-03,4:00:43,4,1,3,1,0,2.03,0.0234,0.0995,0,0,1,0,0,0,74,17,23,1,2,17,3
1,35.117638,-85.250141,2019-01-03,6:00:24,6,2,3,1,0,3.32,0.0225,0.0912,0,0,1,0,0,0,663,17,8,0,7,9,3
1,35.05276,-85.14202,2019-01-03,6:28:35,6,2,3,1,0,3.15,0.0229,0.0952,0,0,1,0,0,0,553,34,11,1,7,11,3
1,35.059791,-85.256591,2019-01-03,6:47:37,6,2,3,1,0,2.94,0.0229,0.0956,0,0,1,0,0,0,314,20,16,0,7,18,3
1,35.02908,-85.310838,2019-01-03,6:53:38,6,2,3,1,0,2.67,0.0234,0.099,0,0,1,0,0,0,73,16,23,1,7,25,3
1,35.127794,-85.242928,2019-01-03,6:56:08,6,2,3,1,0,3.37,0.0225,0.0904,0,0,1,0,0,0,736,17,6,1,2,11,3
1,35.02156,-85.297411,2019-01-03,6:58:04,6,2,3,1,0,2.8,0.0235,0.0989,0,0,1,0,0,0,51,18,24,1,2,17,3
1,35.04437,-85.314195,2019-01-03,7:36:00,7,2,3,1,0,3.3,0.0233,0.0982,0,0,1,0,0,0,125,14,21,1,2,19,3
1,35.077286,-85.153301,2019-01-03,7:37:28,7,2,3,1,0,4.04,0.0228,0.0933,0,0,1,0,0,0,677,31,8,0,2,2,3
1,35.071878999999996,-85.321217,2019-01-03,7:40:51,7,2,3,1,0,4.34,0.0231,0.0957,0,0,1,0,0,0,222,12,18,1,7,16,3
1,35.056969,-85.316172,2019-01-03,7:42:05,7,2,3,1,0,3.34,0.0233,0.0976,0,0,1,0,0,0,155,13,20,1,2,5,3
1,35.017209,-85.184253,2019-01-03,8:49:02,8,2,3,1,0,2.23,0.0231,0.0979,0,0,1,0,0,0,241,31,18,0,7,11,3
1,35.051103000000005,-85.212765,2019-01-03,9:59:12,9,2,3,1,0,4.11,0.0227,0.095,0,0,1,0,0,0,365,26,15,0,2,3,3
1,35.093177000000004,-85.255573,2019-01-03,10:41:52,10,3,3,1,0,6.19,0.0226,0.0927,0,1,0,0,0,0,537,18,11,0,5,4,3
1,35.011449,-85.224457,2019-01-03,11:08:52,11,3,3,1,0,5.5,0.023,0.0977,0,1,0,0,0,0,138,27,21,0,7,21,3
1,35.029291,-85.28971899999999,2019-01-03,12:22:38,12,3,3,1,0,6.59,0.0234,0.0983,0,1,0,0,0,0,101,18,22,0,7,16,3
1,35.034528,-85.15870600000001,2019-01-03,12:49:19,12,3,3,1,0,7.43,0.023,0.0966,0,1,0,0,0,0,372,33,15,0,7,3,3
1,35.084245,-85.19830999999999,2019-01-03,13:52:36,13,4,3,1,0,6.21,0.0227,0.0923,0,1,0,0,0,0,589,25,10,1,7,25,3
1,35.034528,-85.15870600000001,2019-01-03,13:56:44,13,4,3,1,0,6.11,0.023,0.0966,0,1,0,0,0,0,372,33,15,0,7,3,3
1,35.126449,-85.24526,2019-01-03,14:07:10,14,4,3,1,0,6.82,0.0225,0.0906,0,1,0,0,0,0,736,17,6,1,2,11,3
1,35.044389,-85.279583,2019-01-03,14:22:29,14,4,3,1,0,5.13,0.0232,0.0972,0,1,0,0,0,0,160,18,20,0,2,14,3
1,35.08082,-85.06329000000001,2019-01-03,14:39:25,14,4,3,1,0,6.76,0.0229,0.0924,0,1,0,0,0,0,852,41,3,0,2,5,3
1,35.039964000000005,-85.268586,2019-01-03,15:05:01,15,4,3,1,0,5.9,0.0232,0.0973,0,1,0,0,0,0,162,20,20,0,7,25,3
1,35.031564,-85.29614699999999,2019-01-03,15:08:53,15,4,3,1,0,5.92,0.0234,0.0983,0,1,0,0,0,0,100,17,22,0,2,19,3
1,35.08043,-85.214299,2019-01-03,15:16:16,15,4,3,1,0,6.01,0.0228,0.09300000000000001,0,1,0,0,0,0,543,24,11,0,2,9,3
1,35.030081,-85.15314599999999,2019-01-03,15:16:37,15,4,3,1,0,5.83,0.023,0.0964,0,1,0,0,0,0,373,34,15,0,7,6,3
1,35.126626,-85.310272,2019-01-03,15:26:50,15,4,3,1,0,6.68,0.0227,0.0941,0,1,0,0,0,0,574,10,10,0,7,8,3
1,35.031787,-85.160173,2019-01-03,15:28:39,15,4,3,1,0,5.85,0.023,0.0963,0,1,0,0,0,0,372,33,15,0,7,3,3
1,35.126075,-85.310622,2019-01-03,15:31:58,15,4,3,1,0,6.68,0.0227,0.094,0,1,0,0,0,0,574,10,10,0,7,8,3
