Date,Hour,Chatta,911,
1/1/18,0,McBrien,,
1/1/18,0,Hixson Pike,,
1/1/18,0,Hampton,,
1/1/18,1,Mtn View,Mtn View,
1/1/18,2,Lyerly,Lyerly,
1/1/18,2,,Rossville,
1/1/18,3,Duncan,,
1/1/18,11,East 3rd,East 3rd,
1/1/18,11,Hamill,,
1/1/18,12,McBrien/Brainerd,McBrien/Brainerd,
1/1/18,13,Bonny Oaks,,
1/1/18,13,I-24,I-24,
1/1/18,13,,Hixson Pike,
1/1/18,13,,Duncan,
1/1/18,14,,Little Debbie,
1/1/18,15,,S. Terrace,
1/1/18,15,,I-75,
1/1/18,18,S. Terrace,S. Terrace,
1/1/18,19,,153,
1/2/18,20,Market,Market,
1/3/18,20,,Lee Hwy,
1/4/18,22,Highland Ave,Highland Ave,
,,,,
,,7 not in 911,9 not in Chatta,7 both
