BLM,ELM,Co. Seq.,ID_NUMBER,Thru_Lanes,ROW ,Num_Lns,Spd Limit,Terrain,Land Use,Illum,Operation,Acc. Ctrl.,Sch Spd Limit,Truck Spd Limit
0,5.8,1,3300948001,2,40,2,40,2,0,,2,0,,
0,0.12,1,3300951001,2,120,2,35,2,0,1,2,0,,
0.12,1.08,1,3300951001,2,50,2,35,2,0,0,2,0,,
1.08,2.21,1,3300951001,2,50,2,35,2,7,0,2,0,,
2.21,2.43,1,3300951001,2,60,2,35,2,7,0,2,0,15,
2.43,2.55,1,3300951001,2,60,2,35,2,7,0,2,0,,
2.55,3.92,1,3300951001,2,60,2,45,2,7,0,2,0,,
0,0.06,1,3301122001,4,100,4,40,2,2,1,2,0,,
0.06,0.12,1,3301122001,4,100,4,40,2,2,1,2,0,,
0.12,0.48,1,3301122001,4,90,4,40,2,2,1,2,0,,
0.48,0.79,1,3301122001,4,90,4,40,2,2,1,2,0,,
0.79,1.4,1,3301122001,2,80,2,40,2,4,1,2,0,,
1.4,1.425,1,3301122001,2,120,2,40,2,2,1,2,0,,
1.425,1.445,1,3301122001,2,60,2,35,2,2,1,2,0,,
1.445,1.495,1,3301122001,2,60,2,35,2,2,1,2,0,15,
1.495,1.57,1,3301122001,2,40,2,35,2,7,1,2,0,15,
1.57,2.92,1,3301122001,2,44,2,35,2,7,1,2,0,,
2.92,5.685,1,3301122001,2,40,2,35,2,7,0,2,0,,
0,0.246,1,3301126001,2,80,2,45,2,2,,2,0,,
0.246,0.38,1,3301126001,2,64,2,45,2,2,,2,0,,
0.38,2.11,1,3301126001,2,80,2,45,2,0,,2,0,,
2.11,3.1,1,3301126001,2,120,2,45,2,0,,2,0,,
3.1,3.81,1,3301126001,2,120,2,45,2,0,,2,0,,
3.81,3.99,1,3301126001,2,120,2,45,2,0,,2,0,25,
3.99,5.04,1,3301126001,2,120,2,45,2,0,,2,0,,
5.04,5.15,1,3301126001,2,120,2,45,2,2,,2,0,,
5.15,6.174,1,3301126001,2,60,2,40,2,2,,2,0,,
6.174,6.7,1,3301126001,2,30,2,40,3,7,,2,0,,
6.7,9.386,1,3301126001,2,50,2,40,3,7,,2,0,,
9.386,13.76,1,3301126001,2,50,2,35,3,7,,2,0,,
0,0.45,1,3301128001,1,40,1,,2,0,,2,0,,
0,0.04,1,3301143001,2,60,2,45,2,0,0,2,0,,
0.04,2.54,1,3301143001,2,60,2,45,2,0,0,2,0,,
2.54,2.98,1,3301143001,2,60,2,45,2,0,0,2,0,30,
2.98,5.57,1,3301143001,2,60,2,45,2,0,0,2,0,,
0,0.92,1,3301145001,2,100,2,45,2,0,,2,0,,
0.92,4.18,1,3301145001,2,100,2,50,2,0,,2,0,,
4.18,5.09,1,3301145001,2,40,2,50,2,0,,2,0,,
5.09,6.02,1,3301145001,2,40,2,40,2,0,,2,0,,
6.02,6.67,1,3301145001,2,40,2,40,2,0,1,2,0,,
6.67,6.88,1,3301145001,2,40,2,40,2,7,1,2,0,,
0,0.112,1,3301147001,4,80,4,40,2,2,1,2,0,,
0.112,0.26,1,3301147001,2,60,2,40,2,4,1,2,0,,
0.26,0.62,1,3301147001,2,50,2,40,2,4,1,2,0,,
0.62,0.68,1,3301147001,2,100,2,40,2,4,1,2,0,,
0.68,0.78,1,3301147001,2,50,2,40,2,4,1,2,0,,
0.78,2.59,1,3301147001,2,40,2,40,3,0,0,2,0,,
2.59,3.726,1,3301147001,2,40,2,40,3,0,0,2,0,,
3.726,4.15,1,3301147001,2,40,2,40,3,7,0,2,0,,
4.15,6.741,1,3301147001,2,40,2,30,2,7,0,2,0,,
6.741,8.95,1,3301147001,2,40,2,35,2,0,0,2,0,,
8.95,11.87,1,3301147001,2,50,2,35,2,0,0,2,0,,
0,2.967,1,3301149001,2,44,2,40,2,0,,2,0,,
2.967,5.648,1,3301149001,2,40,2,40,2,0,,2,0,,
5.648,9.83,1,3301149001,2,40,2,35,2,0,,2,0,,
0,1.39,1,3301151001,2,50,2,35,2,0,0,2,0,,
1.39,4.45,1,3301151001,2,36,2,35,2,0,0,2,0,,
4.45,4.836,1,3301151001,2,36,2,30,2,0,0,2,0,,
4.836,6,1,3301151001,2,40,2,30,2,0,0,2,0,,
0,0.12,2,3301151002,2,36,2,,2,0,,2,0,,
0,1.8,1,3301406001,4,80,4,45,2,2,1,2,0,,
1.8,2.63,1,3301406001,4,80,4,35,2,2,1,2,0,,
2.63,2.81,1,3301406001,4,80,4,35,2,2,1,2,0,15,
2.81,3.347,1,3301406001,4,80,4,35,2,2,1,2,0,,
3.347,3.959,1,3301406001,4,70,4,45,2,2,1,2,0,,
3.959,5.04,1,3301406001,4,80,4,45,2,2,1,2,0,,
5.04,6.929,1,3301406001,2,80,2,50,2,2,1,2,0,,
6.929,7.42,1,3301406001,2,80,2,50,2,2,1,2,0,,
7.42,7.52,1,3301406001,2,150,2,50,2,2,1,2,0,,
7.52,7.56,1,3301406001,4,200,4,50,2,2,1,2,0,,
