,BLM,ELM,Route
0,0,5.8,3300948001
1,0,3.92,3300951001
2,0,5.685,3301122001
3,0,13.76,3301126001
4,0,0.45,3301128001
5,0,5.57,3301143001
6,0,6.88,3301145001
7,0,11.87,3301147001
8,0,9.83,3301149001
9,0,6,3301151001
10,0,0.12,3301151002
11,0,7.86,3301406001
12,0,1.55,3301431001
13,0,5.39,3302154001
14,0,3.32,3302156001
15,0,4.26,3302158001
16,0,6.04,3302160001
17,0,4.96,3302162001
18,0,2.81,3302199001
19,0,2.1,3302201001
20,0,6.28,3302205001
21,0,7.11,3302207001
22,0,2.99,3302209001
23,0,9.37,3302211001
24,0,0.63,3302213001
25,0,1.19,3302215001
26,0,4.07,3302217001
27,0,6.18,3302219001
28,0,5.45,3302221001
29,0,2.52,3302223001
30,0,1.99,3302227001
31,0,2.05,3303542001
32,0,1.53,3303546001
33,0,0.82,3303547001
34,0,0.865,3303548001
35,0,0.84,3303549001
36,0,0.74,3303550001
37,0,0.46,3303551001
38,0,2.86,3303552001
39,0,0.54,3303553001
40,0,2.2,3303554001
41,0,5.59,3303556001
42,0,2.14,3303557001
43,0,1.27,3303559001
44,0,0.12,3303560001
45,0,0.62,3303561001
46,0,1.09,3303565001
47,0,1.06,3303566001
48,0,0.69,3303570001
49,0,1.2,3303572001
50,0,0.67,3303573001
51,0,2.19,3303574001
52,0,1.72,3303576001
53,0,5.64,3303577001
54,0,3.67,3303578001
55,0,2.18,3303580001
56,0,2.775,3303582001
57,0,0.11,3303584001
58,0,1.79,3303587001
59,0,4.31,3303588001
60,0,2.38,3303589001
61,0,2.05,3303590001
62,0,4.95,3303591001
63,0,1.167,3303592001
64,0,2.227,3303593001
65,0,4.44,3303594001
66,0,1.32,3303595001
67,0,1.28,3303596001
68,0,2.67,3303597001
69,0,2.49,3303598001
70,0,0.91,3303599001
71,0,1.72,3303600001
72,0,2.9,3303601001
73,0,1.62,3303602001
74,0,4.08,3303603001
75,0,3.709,3303604001
76,0,3.08,3303605001
77,0,1.785,3303607001
78,0,1.25,3303608001
79,0,1.5,3303609001
80,0,2.07,3303610001
81,0,1.61,3303611001
82,0,1.77,3303612001
83,0,2.69,3303613001
84,0,2.03,3303614001
85,0,0.86,3303615001
86,0,2.76,3303617001
87,0,0.27,3303618001
88,0,1.35,3303619001
89,0,0.76,3303620001
90,0,4.12,3303621001
91,0,2.95,3303622001
92,0,2.74,3303623001
93,0,0.57,3303624001
94,0,0.73,3303625001
95,0,4.86,3303630001
96,0,0.65,3303631001
97,0,2.86,3303632001
98,0,2.31,3303633001
99,0,1.631,3303634001
100,0,1.93,3304019001
101,0,1.56,3304020001
102,0,2.48,3304021001
103,0,1.04,3304022001
104,0,3.51,3304029001
105,0,0.76,3304033001
106,0,2.91,3304034001
107,0,0.07,3304035001
108,0,1.94,3304086001
109,0,0.76,3304087001
110,0,1.37,3304088001
111,0,3.18,3304125001
112,0,3.38,3304126001
113,0,1.28,3304127001
114,0,1.96,3304128001
115,0,3.17,3304132001
116,0,3.05,3304133001
117,0,1.45,3304134001
118,0,6.11,3304135001
119,0,2.1,3304136001
120,0,3.4,3304137001
121,0,1.78,3304138001
122,0,1.65,3304139001
123,0,2.27,3304140001
124,0,0.7,3304141001
125,0,2.27,3304144001
126,0,4.64,3304145001
127,0,1.02,3304146001
128,0,0.27,3304147001
129,0,4.13,3304148001
130,0,0.06,3304149001
131,0,1.73,3304150001
132,0,0.73,3304152001
133,0,0.44,3304157001
134,0,1.83,3304416001
135,0,1.66,3304417001
136,0,2.61,3304418001
137,0,1.73,3304420001
138,0,1.07,3304421001
139,0,4.89,3304422001
140,0,0.36,3304425001
141,0,1.53,3304427001
142,0,1.31,3304428001
143,0,0.51,3304459001
144,0,1.08,3304463001
145,0,1.38,3304470001
146,0,2.14,3304476001
147,0,3.08,3304969001
148,0,5.75,3304972001
149,0,2.41,3304975001
150,0,1.74,3304976001
151,0,2.18,3304977001
152,0,3.79,3304978001
153,0,1.26,3304979001
154,0,0.49,3304980001
155,0,1.38,3304981001
156,0,1.01,3304982001
157,0,0.4,3304983001
158,0,6.88,3304984001
159,0,0.59,3304985001
160,0,2.19,3304986001
161,0,2.6,3304987001
162,0,3.655,3304988001
163,0,1.08,3304989001
164,0,3.46,3304990001
165,0,1.96,3304991001
166,0,2.82,3304992001
167,0,0.72,3304995001
168,0,0.62,3304996001
169,0,3.56,3304997001
170,0,1.11,3304998001
171,0,2.845,3304999001
172,0,1.2,3305000001
173,0,0.655,3305001001
174,0,1.205,3305003001
175,0,0.29,3305292001
176,0,0.18,3305293001
177,0,2.71,3305297001
178,0,7.6,3305395001
179,0,2.68,3305403001
180,0,2.84,3305404001
181,0,0.2,3305405001
182,0,5.12,3305707001
183,0,3.635,3305709001
184,0,0.623,3305710001
185,0,0.429,3305711001
186,0,0.1,3305712001
187,0,0.132,3305713001
188,0,0.142,3305714001
189,0,1.025,3305715001
190,0,1.19,3305716001
191,0,0.424,3305717001
192,0,2.26,3305719001
193,0,0.765,3305721001
194,0,0.59,3305730001
195,0,0.5,3305744001
196,0,2.72,3305745001
197,0,0.79,3305746001
198,0,2.45,3305747001
199,0,0.668,3305763001
200,0,1.292,3305764001
201,0,1.116,3305765001
202,0,1.248,3305766001
203,0,0.856,3305767001
204,0,0.355,3305768001
205,0,1.646,3305769001
206,0,2.018,3305770001
207,0,2.021,3305771001
208,0,0.17,3305772001
209,0,0.303,3305773001
210,0,1.037,3305774001
211,0,1.873,3305775001
212,0,4.447,3305776001
213,0,7.664,3305777001
214,0,7.893,3305778001
215,0,0.091,3305779001
216,0,0.077,3305780001
217,0,3.437,3305781001
218,0,0.559,3305782001
219,0,1.174,3305783001
220,0,1.044,3305784001
221,0,0.196,3305785001
222,0,1.07,3305786001
223,0,0.995,3305787001
224,0,0.41,3305788001
225,0,1.188,3305789001
226,0,0.927,3305791001
227,0,0.136,3305792001
228,0,1.5,3305793001
229,0,0.247,3305794001
230,0,0.181,330A001001
231,0,0.108,330A002001
232,0,0.17,330A003001
233,0,0.103,330A005001
234,0,0.258,330A006001
235,0,0.655,330A007001
236,0,0.061,330A008001
237,0,0.963,330A009001
238,0,0.058,330A010001
239,0,0.041,330A011001
240,0,0.352,330A012001
241,0,0.338,330A013001
242,0,0.103,330A014001
243,0,0.09,330A015001
244,0,0.065,330A016001
245,0,0.487,330A017001
246,0,1.28,330A018001
247,0,0.267,330A019001
248,0,0.106,330A020001
249,0,0.117,330A021001
250,0,0.45,330A022001
251,0,0.072,330A023001
252,0,0.077,330A024001
253,0,0.149,330A025001
254,0,0.545,330A026001
255,0,0.26,330A027001
256,0,0.138,330A028001
257,0,0.845,330A029001
258,0,0.418,330A030001
259,0,0.082,330A031001
260,0,0.458,330A032001
261,0,0.128,330A033001
262,0,0.607,330A034001
263,0,0.202,330A035001
264,0,0.12,330A036001
265,0,0.139,330A037001
266,0,0.12,330A038001
267,0,0.711,330A039001
268,0,0.369,330A040001
269,0,0.119,330A041001
270,0,0.245,330A042001
271,0,0.069,330A043001
272,0,0.906,330A044001
273,0,0.082,330A045001
274,0,1.694,330A046001
275,0,0.809,330A047001
276,0,0.403,330A048001
277,0,0.32,330A049001
278,0,0.272,330A050001
279,0,0.057,330A051001
280,0,0.757,330A052001
281,0,0.097,330A053001
282,0,0.188,330A054001
283,0,0.151,330A055001
284,0,0.095,330A056001
285,0,0.482,330A057001
