Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
1/19/20 22:41,1/19/20 23:37,5518 Brainerd Rd,CHATTANOOGA,35009528,85218556,ACC2-MVC No Injuries
1/19/20 21:26,1/19/20 22:57,1-9 Exit Shallowford Rd Off Ramp Sb,CHATTANOOGA,35054571,85191807,ACC2-MVC No Injuries
1/19/20 20:29,1/19/20 21:11,3009 12th Ave,CHATTANOOGA,35005854,85277764,ACC2-MVC No Injuries
1/19/20 20:17,1/19/20 23:05,4200 10TH AVE,CHATTANOOGA,34994342,85285903,ACC3-MVC Unknown Injuries
1/19/20 19:46,1/19/20 21:03,1700 MOWBRAY PIKE,HAMILTON COUNTY,35274038,85218523,ACC1-MVC Injuries
1/19/20 19:46,1/19/20 19:51,1700 MOWBRAY PIKE,HAMILTON COUNTY,35274038,85218523,ACC1-MVC Injuries
1/19/20 19:45,1/19/20 22:07,1750 MOWBRAY PIKE,HAMILTON COUNTY,35275402,85219564,ACC1-MVC Injuries
1/19/20 19:19,1/19/20 20:17,1500 - 2198 S Scenic Hwy,CHATTANOOGA,35014405,85337419,ACC2-MVC No Injuries
1/19/20 19:14,1/19/20 20:27,302 Rolling Ridge Dr,HAMILTON COUNTY,35007260,85109196,ACC2-MVC No Injuries
1/19/20 18:44,1/19/20 19:03,3001 Dayton Blvd,RED BANK,35104409,85301224,ACC2-MVC No Injuries
1/19/20 18:42,1/19/20 19:28,18170 INTERSTATE 24 EB,CHATTANOOGA,35015893,85269873,ACC2-MVC No Injuries
1/19/20 18:42,1/19/20 19:33,5821 LEE HWY,CHATTANOOGA,35022249,85199075,ACC2-MVC No Injuries
1/19/20 18:36,1/19/20 19:17,7000 - 7199 Volkswagen Dr,CHATTANOOGA,35070273,85143907,ACC2-MVC No Injuries
1/19/20 18:18,1/19/20 18:45,8045 E Brainerd Rd,CHATTANOOGA,35004608,85149949,ACC2-MVC No Injuries
1/19/20 17:40,1/19/20 20:47,399 Mccallie Ave,CHATTANOOGA,35048038,85305646,ACC2-MVC No Injuries
1/19/20 17:37,1/19/20 18:06,12523 RED CLAY RD,HAMILTON COUNTY,34994333,84989344,ACC2-MVC No Injuries
1/19/20 17:22,1/19/20 17:40,2119 E 23rd St,CHATTANOOGA,35018546,85280426,ACC2-MVC No Injuries
1/19/20 17:15,1/19/20 18:47,1924 Clift Eldridge Rd,HAMILTON COUNTY,35261454,85116803,ACCDEL-MVC Delayed
1/19/20 17:12,1/19/20 18:21,2396 Lifestyle Way,CHATTANOOGA,35043047,85151244,ACC2-MVC No Injuries
1/19/20 17:06,1/19/20 17:22,2180-2260 Morris Hill Rd,CHATTANOOGA,35028091,85123859,ACC1-MVC Injuries
1/19/20 17:06,1/19/20 17:23,2215 MORRIS HILL RD,CHATTANOOGA,35028208,85124201,ACC1-MVC Injuries
1/19/20 17:06,1/19/20 17:28,2215 MORRIS HILL RD,CHATTANOOGA,35028208,85124201,ACC1-MVC Injuries
1/19/20 17:05,1/19/20 18:07,2200 Hamilton Place Blvd,CHATTANOOGA,35036923,85153864,ACC2-MVC No Injuries
1/19/20 16:49,1/19/20 17:08,1813 Jackson St,CHATTANOOGA,35044961,85270561,ACC2-MVC No Injuries
1/19/20 16:45,1/19/20 16:59,1-9 Exit 3a Off Ramp Nb,CHATTANOOGA,35015580,85179080,ACC2-MVC No Injuries
1/19/20 16:31,1/19/20 17:33,1-9 Exit 11 Off Ramp Nb,CHATTANOOGA,35085465,85066807,ACC2-MVC No Injuries
1/19/20 16:12,1/19/20 16:55,5998-6001 Shallowford Rd,CHATTANOOGA,35054106,85189589,ACC3-MVC Unknown Injuries
1/19/20 15:00,1/19/20 15:37,7016 SNOW HILL RD,HAMILTON COUNTY,35123930,85068916,ACC1-MVC Injuries
1/19/20 14:54,1/19/20 15:36,7016 SNOW HILL RD,HAMILTON COUNTY,35123930,85068916,ACC1-MVC Injuries
1/19/20 14:54,1/19/20 16:03,7016 SNOW HILL RD,HAMILTON COUNTY,35123930,85068916,ACC1-MVC Injuries
1/19/20 14:53,1/19/20 15:00,40 Interstate 75 Nb,EAST RIDGE,34991548,85204761,ACC3-MVC Unknown Injuries
1/19/20 14:53,1/19/20 15:52,40 Interstate 75 Nb,EAST RIDGE,34991548,85204761,ACC2-MVC No Injuries
1/19/20 14:52,1/19/20 14:53,7016 Snow Hill Rd,HAMILTON COUNTY,35123930,85068916,ACC1-MVC Injuries
1/19/20 14:52,1/19/20 14:53,7000 - 7016 Snow Hill Rd,HAMILTON COUNTY,35124023,85069586,ACC3-MVC Unknown Injuries
1/19/20 14:52,1/19/20 15:38,7016 SNOW HILL RD,HAMILTON COUNTY,35123930,85068916,ACC1-MVC Injuries
1/19/20 14:06,1/19/20 14:32,9416 Apison Pike,COLLEGEDALE,35059386,85067299,ACC2-MVC No Injuries
1/19/20 13:43,1/19/20 14:09,5588 Little Debbie Pkwy,COLLEGEDALE,35080820,85063290,ACC2-MVC No Injuries
1/19/20 13:38,1/19/20 13:51,601-629 Mccallie Ave,CHATTANOOGA,35045923,85301443,ACC1-MVC Injuries
1/19/20 13:38,1/19/20 14:12,601-629 Mccallie Ave,CHATTANOOGA,35045923,85301443,ACC1-MVC Injuries
1/19/20 13:38,1/19/20 15:18,601-629 Mccallie Ave,CHATTANOOGA,35045923,85301443,ACC1-MVC Injuries
1/19/20 13:14,1/19/20 14:01,Glenwood Dr / De Sales Ave,CHATTANOOGA,35039694,85259513,ACCDEL-MVC Delayed
1/19/20 12:02,1/19/20 12:46,Bell St / Walden St,SODDY DAISY,35248576,85185261,ACC2-MVC No Injuries
1/19/20 10:01,1/19/20 10:48,5953 Brainerd Rd,CHATTANOOGA,35016823,85207864,ACC2-MVC No Injuries
1/19/20 7:10,1/19/20 8:05,5232 Donlyn Ln,CHATTANOOGA,35129028,85260832,ACC2-MVC No Injuries
1/19/20 6:46,1/19/20 6:49,Glenwood Dr / De Sales Ave,CHATTANOOGA,35039694,85259513,ACC2-MVC No Injuries
1/19/20 5:15,1/19/20 5:41,4502 ROSSVILLE BLVD,CHATTANOOGA,34991260,85289436,ACC2-MVC No Injuries
1/19/20 4:58,1/19/20 6:34,3104 Carousel Rd,CHATTANOOGA,35051520,85242626,ACC2-MVC No Injuries
1/19/20 4:56,1/19/20 5:26,5800 Lee Hwy,CHATTANOOGA,35019759,85201751,ACC1-MVC Injuries
1/19/20 4:56,1/19/20 5:37,5800 Lee Hwy,CHATTANOOGA,35019759,85201751,ACC1-MVC Injuries
1/19/20 4:56,1/19/20 6:35,5800 Lee Hwy,CHATTANOOGA,35019759,85201751,ACC1-MVC Injuries
1/19/20 2:49,1/19/20 3:04,5900 BRAINERD RD,CHATTANOOGA,35013269,85211314,ACC1-MVC Injuries
1/19/20 2:49,1/19/20 3:10,Jubilee Dr / Brainerd Rd,CHATTANOOGA,35017533,85206134,ACC1-MVC Injuries
1/19/20 2:49,1/19/20 4:27,5900 BRAINERD RD,CHATTANOOGA,35013269,85211314,ACC1-MVC Injuries
1/19/20 2:46,1/19/20 2:49,10-59 Interstate 75 Sb,EAST RIDGE,34989383,85203565,ACC3-MVC Unknown Injuries
1/19/20 2:45,1/19/20 2:49,10-59 Interstate 75 Sb,EAST RIDGE,34989383,85203565,ACC3-MVC Unknown Injuries
1/19/20 2:42,1/19/20 4:56,60 INTERSTATE 75 SB,EAST RIDGE,34993709,85206471,ACC2-MVC No Injuries
1/19/20 2:36,1/19/20 3:56,1309 N CHAMBERLAIN AVE,CHATTANOOGA,35050213,85257689,ACC2-MVC No Injuries
1/19/20 2:22,1/19/20 2:30,6000 - 6599 Grasshopper Rd,HAMILTON COUNTY,35313748,85015888,ACC3-MVC Unknown Injuries
1/19/20 2:16,1/19/20 3:22,6150 Grasshopper Rd,HAMILTON COUNTY,35310466,85013131,ACC2-MVC No Injuries
1/19/20 1:42,1/19/20 3:36,540 PATTERSON RD,HAMILTON COUNTY,35381674,85094410,ACC2-MVC No Injuries
1/19/20 1:19,1/19/20 2:25,3743 Cummings Hwy,CHATTANOOGA,35018360,85380760,ACC2-MVC No Injuries
1/19/20 0:32,1/19/20 0:56,901 Carter St,CHATTANOOGA,35045297,85312411,ACC2-MVC No Injuries
