Address,City,Date,Unix,Hour,DayFrame,Grid_Num
2200 - 2299 E 23RD ST,CHATTANOOGA,1/20/20,1579510800,4,1,139
3401 Amnicola Hwy,CHATTANOOGA,1/20/20,1579525200,8,2,397
600 DODDS AVE,CHATTANOOGA,1/20/20,1579514400,5,2,180
Dodds Ave / Bailey Ave,CHATTANOOGA,1/20/20,1579514400,5,2,180
18180 INTERSTATE 24 WB,CHATTANOOGA,1/20/20,1579507200,3,1,101
18320 INTERSTATE 24 EB,CHATTANOOGA,1/20/20,1579536000,11,3,102
107 Hilldale Dr,RIDGESIDE,1/20/20,1579514400,5,2,220
107 Hilldale Dr,RIDGESIDE,1/20/20,1579514400,5,2,220
3605 Brainerd Rd,CHATTANOOGA,1/20/20,1579507200,3,1,183
3506 BRAINERD RD,CHATTANOOGA,1/20/20,1579539600,12,3,183
7022 Highway 153,CHATTANOOGA,1/20/20,1579514400,5,2,684
3720-3769 Wilcox Blvd,CHATTANOOGA,1/20/20,1579500000,1,1,256
3720-3769 Wilcox Blvd,CHATTANOOGA,1/20/20,1579500000,1,1,256
3720-3769 Wilcox Blvd,CHATTANOOGA,1/20/20,1579539600,12,3,256
Mcbrien Rd / N Terrace,CHATTANOOGA,1/20/20,1579500000,1,1,68
1500 Highway 27 Nb,CHATTANOOGA,1/20/20,1579514400,5,2,694
5700-5704 Brainerd Rd,CHATTANOOGA,1/20/20,1579514400,5,2,108
6501 Middle Valley Rd,HAMILTON COUNTY,1/20/20,1579500000,1,1,662
6501 Middle Valley Rd,HAMILTON COUNTY,1/20/20,1579500000,1,1,662
6501 Middle Valley Rd,HAMILTON COUNTY,1/20/20,1579500000,1,1,662
200 Interstate 75 Sb,CHATTANOOGA,1/20/20,1579503600,2,1,109
200 Interstate 75 Sb,CHATTANOOGA,1/20/20,1579503600,2,1,109
200 Interstate 75 Sb,CHATTANOOGA,1/20/20,1579500000,1,1,109
4831 BONNY OAKS DR,CHATTANOOGA,1/20/20,1579521600,7,2,408
250 INTERSTATE 75 SB,CHATTANOOGA,1/20/20,1579507200,3,1,111
100 HIGHWAY 153 SB,CHATTANOOGA,1/20/20,1579536000,11,3,229
7200 HIXSON PIKE,HAMILTON COUNTY,1/20/20,1579514400,5,2,666
7200 HIXSON PIKE,HAMILTON COUNTY,1/20/20,1579514400,5,2,666
7200 HIXSON PIKE,HAMILTON COUNTY,1/20/20,1579514400,5,2,666
6700 BONNY OAKS DR,CHATTANOOGA,1/20/20,1579518000,6,2,375
2318 Shallowford Village Dr,CHATTANOOGA,1/20/20,1579528800,9,2,266
2318 Shallowford Village Dr,CHATTANOOGA,1/20/20,1579528800,9,2,266
2318 Shallowford Village Dr,CHATTANOOGA,1/20/20,1579528800,9,2,266
2040 Hamilton Place Blvd,CHATTANOOGA,1/20/20,1579514400,5,2,232
Bonny Oaks Dr / Hickory Valley Rd,CHATTANOOGA,1/20/20,1579528800,9,2,376
2220 Hamilton Place Blvd,CHATTANOOGA,1/20/20,1579503600,2,1,233
7300 Shallowford Rd,CHATTANOOGA,1/20/20,1579536000,11,3,233
8115 E Brainerd Rd,CHATTANOOGA,1/20/20,1579521600,7,2,78
Standifer Gap Rd / Courage Way,CHATTANOOGA,1/20/20,1579518000,6,2,304
2311-2389 Gunbarrel Rd,CHATTANOOGA,1/20/20,1579525200,8,2,268
6200 Highway 58,CHATTANOOGA,1/20/20,1579510800,4,1,576
6200 Highway 58,CHATTANOOGA,1/20/20,1579510800,4,1,576
6200 Highway 58,CHATTANOOGA,1/20/20,1579510800,4,1,576
8912 Lee Hwy,CHATTANOOGA,1/20/20,1579539600,12,3,459
17180 Interstate 24 Eb,CHATTANOOGA,1/20/20,1579518000,6,2,28
17350 Interstate 24 Wb,CHATTANOOGA,1/20/20,1579514400,5,2,85
17350 Interstate 24 Wb,CHATTANOOGA,1/20/20,1579514400,5,2,85
17350 Interstate 24 Wb,CHATTANOOGA,1/20/20,1579514400,5,2,85
3743 CUMMINGS HWY,CHATTANOOGA,1/20/20,1579525200,8,2,125
17380-17418 Interstate 24 Wb,CHATTANOOGA,1/20/20,1579514400,5,2,125
Lee Ave / Burnt Mill Rd,CHATTANOOGA,1/20/20,1579510800,4,1,12
1000 Dayton Blvd,RED BANK,1/20/20,1579514400,5,2,390
3535 Mountain Creek Rd,CHATTANOOGA,1/20/20,1579532400,10,3,558
W Main St / Reggie White Blvd,CHATTANOOGA,1/20/20,1579510800,4,1,211
1300 - 1499 Broad St,CHATTANOOGA,1/20/20,1579500000,1,1,211
2601 Broad St,CHATTANOOGA,1/20/20,1579528800,9,2,174
501 Palmetto St,CHATTANOOGA,1/20/20,1579525200,8,2,284
501-507 PALMETTO ST,CHATTANOOGA,1/20/20,1579525200,8,2,284
1112 Lincoln Park Ln,CHATTANOOGA,1/20/20,1579507200,3,1,249
4th Ave / E 31st St,CHATTANOOGA,1/20/20,1579514400,5,2,64
4th Ave / E 31st St,CHATTANOOGA,1/20/20,1579514400,5,2,64
4th Ave / E 31st St,CHATTANOOGA,1/20/20,1579514400,5,2,64
