Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
1/21/20 20:07,1/21/20 20:55,7047 AMIN DR,CHATTANOOGA,35.042766,-85.158877,ACC2-MVC No Injuries
1/21/20 19:31,1/21/20 19:48,508 - 512 S Germantown Rd,CHATTANOOGA,35.014602,-85.251685,ACC1-MVC Injuries
1/21/20 19:31,1/21/20 20:16,508 - 512 S Germantown Rd,CHATTANOOGA,35.014602,-85.251685,ACC1-MVC Injuries
1/21/20 19:30,1/21/20 20:08,508 - 512 S Germantown Rd,CHATTANOOGA,35.014602,-85.251685,ACC1-MVC Injuries
1/21/20 18:45,1/21/20 19:13,2500 LIFESTYLE WAY,CHATTANOOGA,35.043203,-85.152246,ACC2-MVC No Injuries
1/21/20 18:41,1/21/20 20:08,8034 E Brainerd Rd,CHATTANOOGA,35.003845,-85.150365,ACC2-MVC No Injuries
1/21/20 18:34,1/21/20 19:04,Dayton Blvd / Ridgeway Dr,RED BANK,35.141542,-85.276955,ACC1-MVC Injuries
1/21/20 18:34,1/21/20 19:44,Dayton Blvd / Ridgeway Dr,RED BANK,35.141542,-85.276955,ACC1-MVC Injuries
1/21/20 18:32,1/21/20 21:19,Dayton Blvd / Ridgeway Dr,RED BANK,35.141542,-85.276955,ACC1-MVC Injuries
1/21/20 18:28,1/21/20 18:40,Lee Hwy / Perimeter Dr,CHATTANOOGA,35.030459,-85.185529,ACC1-MVC Injuries
1/21/20 18:28,1/21/20 19:27,6200 LEE HWY,CHATTANOOGA,35.029063,-85.186686,ACC1-MVC Injuries
1/21/20 18:22,1/21/20 18:54,6200 LEE HWY,CHATTANOOGA,35.029063,-85.186686,ACC1-MVC Injuries
1/21/20 17:50,1/21/20 18:20,Lookout St / Georgia Ave,CHATTANOOGA,35.049072,-85.306392,ACCDEL-MVC Delayed
1/21/20 17:29,1/21/20 17:41,Dodds Ave / E 23rd St,CHATTANOOGA,35.01572,-85.273583,ACC2-MVC No Injuries
1/21/20 17:16,1/21/20 17:17,1100 Interstate 75 Nb,CHATTANOOGA,35.082723,-85.078179,ACC3-MVC Unknown Injuries
1/21/20 17:15,1/21/20 17:48,1070 INTERSTATE 75 NB,CHATTANOOGA,35.081458,-85.083238,ACC2-MVC No Injuries
1/21/20 17:14,1/21/20 17:36,1100 Interstate 75 Nb,CHATTANOOGA,35.082723,-85.078179,ACC2-MVC No Injuries
1/21/20 17:04,1/21/20 18:02,5200 Highway 153,CHATTANOOGA,35.12384,-85.239439,ACC2-MVC No Injuries
1/21/20 16:58,1/21/20 17:24,S GERMANTOWN RD / NAVAJO DR,EAST RIDGE,35.017004,-85.250368,ACC2-MVC No Injuries
1/21/20 16:54,1/21/20 17:16,Market St / E 4th St,CHATTANOOGA,35.052314,-85.309633,ACC2-MVC No Injuries
