Unix,Join_Count,Grid_Num,NBR_LANES,FUNC_CLASS,Hour,cloudCover,dewPoint,humidity,precipIntensity,pressure,temperature,visibility,windGust,windSpeed,Rain,Cloudy,Foggy,Snow,Clear,RainBefore,Prediction,Probability
1579737600,14,1,4,11,0,1,18.84,0.49,0.0012,1025.2,35.92,10,17.73,4.73,0,1,0,0,0,0,,
1579752000,14,1,4,11,4,0.88,18.84,0.48,0.0009,1024.6,36.8,10,21.03,5.73,0,1,0,0,0,0,,
1579766400,14,1,4,11,8,1,24.55,0.58,0.0014,1025,38,10,21.79,5.63,0,1,0,0,0,0,,
1579780800,14,1,4,11,12,0.79,34.93,0.88,0.0277,1023.8,38.22,8.672,23.54,7.3,1,0,0,0,0,0,,
1579795200,14,1,4,11,16,0.92,38,0.96,0.0407,1019.7,39.17,9.531,19.88,7.13,1,0,0,0,0,1,,
1579809600,14,1,4,11,20,0.96,38.27,0.9,0.026,1019,40.94,5.527,26.54,6.35,1,0,0,0,0,1,,
1579820400,14,1,4,11,23,0.94,39.97,0.97,0.096,1018,40.66,8.509,35.07,9.32,1,0,0,0,0,1,,
1579737600,2,2,2,17,0,1,18.8,0.49,0.0012,1025.3,36.01,10,17.19,4.6,0,1,0,0,0,0,,
1579752000,2,2,2,17,4,0.87,18.63,0.47,0.0009,1024.6,36.89,10,20.6,5.6,0,1,0,0,0,0,,
1579766400,2,2,2,17,8,1,24.23,0.57,0.0014,1025.1,38.05,10,21.41,5.47,0,1,0,0,0,0,,
1579780800,2,2,2,17,12,0.79,34.47,0.87,0.0276,1023.8,38.06,8.771,23.11,7.14,1,0,0,0,0,0,,
1579795200,2,2,2,17,16,0.92,37.71,0.95,0.0402,1019.7,39,9.626,19.6,7.03,1,0,0,0,0,1,,
1579809600,2,2,2,17,20,0.96,37.88,0.9,0.026,1019,40.67,5.581,26.01,6.22,1,0,0,0,0,1,,
1579820400,2,2,2,17,23,0.94,39.63,0.97,0.0958,1018,40.46,8.595,34.62,9.14,1,0,0,0,0,1,,
1579737600,111,3,4,11,0,1,20.41,0.54,0.0011,1025.3,35.39,10,14.77,3.91,0,1,0,0,0,0,,
1579752000,111,3,4,11,4,0.85,20.23,0.52,0.0009,1024.7,36.29,10,18.83,5.03,0,1,0,0,0,0,,
1579766400,111,3,4,11,8,1,25.77,0.62,0.0014,1025,37.67,10,19.55,4.64,0,1,0,0,0,0,,
1579780800,111,3,4,11,12,0.79,35.35,0.87,0.0261,1023.8,38.92,9.484,21.51,6.57,1,0,0,0,0,0,,
1579795200,111,3,4,11,16,0.92,38.64,0.95,0.0357,1019.8,40.05,10,18.79,6.51,1,0,0,0,0,1,,
1579809600,111,3,4,11,20,0.96,38.68,0.91,0.0245,1019.1,41.13,6.47,23.36,5.7,1,0,0,0,0,1,,
1579820400,111,3,4,11,23,0.95,40.47,0.99,0.0874,1018.1,40.81,8.708,31.94,8.41,1,0,0,0,0,1,,
1579737600,38,4,4,11,0,1,20.7,0.55,0.0011,1025.3,35.32,10,14.24,3.77,0,1,0,0,0,0,,
1579752000,38,4,4,11,4,0.85,20.43,0.52,0.0009,1024.7,36.24,10,18.41,4.9,0,1,0,0,0,0,,
1579766400,38,4,4,11,8,1,25.92,0.62,0.0014,1025.1,37.63,10,19.16,4.48,0,1,0,0,0,0,,
1579780800,38,4,4,11,12,0.79,35.34,0.87,0.0258,1023.8,38.97,9.579,21.09,6.42,1,0,0,0,0,0,,
1579795200,38,4,4,11,16,0.92,38.67,0.95,0.0352,1019.8,40.1,10,18.51,6.41,1,0,0,0,0,1,,
1579809600,38,4,4,11,20,0.96,38.7,0.91,0.0246,1019.1,41.12,6.555,22.84,5.58,1,0,0,0,0,1,,
1579820400,38,4,4,11,23,0.95,40.51,0.99,0.0868,1018.1,40.81,8.784,31.47,8.24,1,0,0,0,0,1,,
1579737600,11,5,2,16,0,1,20.84,0.55,0.0011,1025.3,35.28,10,14.03,3.7,0,1,0,0,0,0,,
1579752000,11,5,2,16,4,0.84,20.62,0.53,0.0009,1024.7,36.2,10,18.28,4.85,0,1,0,0,0,0,,
1579766400,11,5,2,16,8,1,26.12,0.63,0.0014,1025.1,37.63,10,18.99,4.4,0,1,0,0,0,0,,
1579780800,11,5,2,16,12,0.79,35.58,0.87,0.0256,1023.8,39.12,9.696,21,6.39,1,0,0,0,0,0,,
1579795200,11,5,2,16,16,0.92,38.92,0.94,0.0346,1019.8,40.4,10,18.52,6.36,1,0,0,0,0,1,,
1579809600,11,5,2,16,20,0.96,38.87,0.91,0.0241,1019.1,41.26,6.709,22.56,5.54,1,0,0,0,0,1,,
1579820400,11,5,2,16,23,0.95,40.59,0.99,0.0854,1018.1,40.79,8.755,31.16,8.19,1,0,0,0,0,1,,
1579737600,14,6,1,19,0,1,21.14,0.56,0.0011,1025.3,35.23,10,13.51,3.56,0,1,0,0,0,0,,
1579752000,14,6,1,19,4,0.84,20.83,0.53,0.0009,1024.7,36.16,10,17.86,4.72,0,1,0,0,0,0,,
