Address,City,Date,Unix,Hour,DayFrame,Grid_Num,WeekDay,DayOfWeek
1330 E 3rd St,CHATTANOOGA,1/24/2020,1579849200,2,1,250,1,4
2410 Westside Dr,CHATTANOOGA,1/24/2020,1579870800,8,2,101,1,4
1327 S SEMINOLE DR,EAST RIDGE,1/24/2020,1579845600,1,1,44,1,4
S Seminole Dr / Crabtree Dr,EAST RIDGE,1/24/2020,1579845600,1,1,44,1,4
1300-1399 S SEMINOLE DR,EAST RIDGE,1/24/2020,1579845600,1,1,44,1,4
1290 S Seminole Dr,EAST RIDGE,1/24/2020,1579874400,9,2,44,1,4
301 Gadd Rd,CHATTANOOGA,1/24/2020,1579885200,12,3,622,1,4
301 Gadd Rd,CHATTANOOGA,1/24/2020,1579881600,11,3,622,1,4
1414 Ely Rd,CHATTANOOGA,1/24/2020,1579867200,7,2,564,1,4
600 S GERMANTOWN RD,CHATTANOOGA,1/24/2020,1579885200,12,3,102,1,4
5311 Highway 153,CHATTANOOGA,1/24/2020,1579860000,5,2,585,1,4
5311 Highway 153,CHATTANOOGA,1/24/2020,1579860000,5,2,585,1,4
5311 Highway 153,CHATTANOOGA,1/24/2020,1579860000,5,2,585,1,4
4701 Hixson Pike,CHATTANOOGA,1/24/2020,1579867200,7,2,585,1,4
S GERMANTOWN RD / BRAINERD RD,CHATTANOOGA,1/24/2020,1579874400,9,2,183,1,4
18340 Interstate 24 Eb,CHATTANOOGA,1/24/2020,1579856400,4,1,103,1,4
5528 HIGHWAY 153,CHATTANOOGA,1/24/2020,1579849200,2,1,625,1,4
5124 Hixson Pike,CHATTANOOGA,1/24/2020,1579874400,9,2,606,1,4
2600 HARRISON PIKE,CHATTANOOGA,1/24/2020,1579867200,7,2,401,1,4
1200 Tunnel Blvd,CHATTANOOGA,1/24/2020,1579870800,8,2,221,1,4
2122 HAMILL RD,CHATTANOOGA,1/24/2020,1579885200,12,3,587,1,4
650 HIGHWAY 153 NB,CHATTANOOGA,1/24/2020,1579878000,10,3,510,1,4
659 Highway 153 Nb,CHATTANOOGA,1/24/2020,1579878000,10,3,510,1,4
Harrison Pike / Addison Rd,CHATTANOOGA,1/24/2020,1579867200,7,2,441,1,4
377-399 Thrasher Pike,SODDY DAISY,1/24/2020,1579845600,1,1,694,1,4
4300 SHALLOWFORD RD,CHATTANOOGA,1/24/2020,1579852800,3,1,258,1,4
4256 Shallowford Rd,CHATTANOOGA,1/24/2020,1579852800,3,1,258,1,4
4120 - 4624 Shallowford Rd,CHATTANOOGA,1/24/2020,1579852800,3,1,258,1,4
5401 BRAINERD RD,CHATTANOOGA,1/24/2020,1579863600,6,2,107,1,4
5401 BRAINERD RD,CHATTANOOGA,1/24/2020,1579863600,6,2,107,1,4
5324 - 5399 Brainerd Rd,CHATTANOOGA,1/24/2020,1579863600,6,2,107,1,4
5401 BRAINERD RD,CHATTANOOGA,1/24/2020,1579863600,6,2,107,1,4
5400 Brainerd Rd,CHATTANOOGA,1/24/2020,1579863600,6,2,107,1,4
3800 Tag Dr,CHATTANOOGA,1/24/2020,1579849200,2,1,369,1,4
3800 Tag Dr,CHATTANOOGA,1/24/2020,1579849200,2,1,369,1,4
3800 Tag Dr,CHATTANOOGA,1/24/2020,1579849200,2,1,369,1,4
4700-4799 Highway 58,CHATTANOOGA,1/24/2020,1579860000,5,2,482,1,4
6101 ENTERPRISE PARK DR,CHATTANOOGA,1/24/2020,1579870800,8,2,408,1,4
4900 HIGHWAY 58,CHATTANOOGA,1/24/2020,1579870800,8,2,448,1,4
Bonny Oaks Dr / Laguana Dr,CHATTANOOGA,1/24/2020,1579852800,3,1,372,1,4
6200 - 6217 Bonny Oaks Dr,CHATTANOOGA,1/24/2020,1579852800,3,1,372,1,4
6211 BONNY OAKS DR,CHATTANOOGA,1/24/2020,1579849200,2,1,372,1,4
320 - 349 Interstate 75 Nb,CHATTANOOGA,1/24/2020,1579863600,6,2,112,1,4
6900-6998 E Brainerd Rd,CHATTANOOGA,1/24/2020,1579856400,4,1,153,1,4
7400 E BRAINERD RD,CHATTANOOGA,1/24/2020,1579845600,1,1,114,1,4
6901-6909 Shallowford Rd,CHATTANOOGA,1/24/2020,1579885200,12,3,266,1,4
