Address,City,Latitude,Longitude,Date,Unix,Hour,DayFrame
7100 BONNY OAKS DR,CHATTANOOGA,35.067085,-85.146206,1/25/2020,1579968000,11,3
Ringgold Rd / S Seminole Dr,EAST RIDGE,35.00825,-85.26548,1/25/2020,1579968000,11,3
Ringgold Rd / S Seminole Dr,EAST RIDGE,35.00825,-85.26548,1/25/2020,1579968000,11,3
6618 Shirley Pond Rd,HAMILTON COUNTY,35.175252,-85.092481,1/25/2020,1579968000,11,3
6241 Perimeter Dr,CHATTANOOGA,35.029585,-85.181644,1/25/2020,1579964400,10,3
3009 12th Ave,CHATTANOOGA,35.005854,-85.277764,1/25/2020,1579960800,9,2
7200-7298 Shallowford Rd,CHATTANOOGA,35.04181,-85.15462,1/25/2020,1579960800,9,2
7200-7298 Shallowford Rd,CHATTANOOGA,35.04181,-85.15462,1/25/2020,1579960800,9,2
7200 Shallowford Rd,CHATTANOOGA,35.04156,-85.154814,1/25/2020,1579960800,9,2
7200-7298 Shallowford Rd,CHATTANOOGA,35.04181,-85.15462,1/25/2020,1579960800,9,2
6960 Lee Hwy,CHATTANOOGA,35.044282,-85.162551,1/25/2020,1579953600,7,2
6514 RINGGOLD RD,EAST RIDGE,34.988878,-85.207332,1/25/2020,1579953600,7,2
RINGGOLD RD / MCDONALD RD,EAST RIDGE,34.989515,-85.206802,1/25/2020,1579953600,7,2
5023 Ooltewah Ringgold Rd,COLLEGEDALE,35.060541,-85.066557,1/25/2020,1579953600,7,2
1945 DAYTON BLVD,RED BANK,35.087913,-85.313794,1/25/2020,1579953600,7,2
6628 - 6739 Lee Hwy,CHATTANOOGA,35.037522,-85.174244,1/25/2020,1579950000,6,2
2202 E 12TH ST,CHATTANOOGA,35.026841,-85.274153,1/25/2020,1579950000,6,2
7400 E BRAINERD RD,CHATTANOOGA,35.014767,-85.163566,1/25/2020,1579950000,6,2
N Chamberlain Ave / Wilcox Blvd,CHATTANOOGA,35.051718,-85.25651,1/25/2020,1579946400,5,2
5761 Taggart Dr,CHATTANOOGA,35.159212,-85.252523,1/25/2020,1579946400,5,2
5032 Brainerd Rd,CHATTANOOGA,35.011876,-85.226405,1/25/2020,1579946400,5,2
1941 CENTRAL AVE,CHATTANOOGA,35.027047,-85.29902,1/25/2020,1579946400,5,2
4747 Highway 58,CHATTANOOGA,35.087786,-85.190159,1/25/2020,1579942800,4,1
8363 Dayton Pike,SODDY DAISY,35.218455,-85.226813,1/25/2020,1579939200,3,1
1001 Broad St,CHATTANOOGA,35.04436,-85.310763,1/25/2020,1579939200,3,1
8012 Bill Reed Rd,HAMILTON COUNTY,35.044618,-85.111456,1/25/2020,1579939200,3,1
1500 - 1599 REBECCA DR,EAST RIDGE,34.994923,-85.233817,1/25/2020,1579935600,2,1
2060-2129 Highway 27 Sb,SODDY DAISY,35.27228,-85.158132,1/25/2020,1579932000,1,1
401 Spring Creek Rd,CHATTANOOGA,35.006524,-85.219395,1/25/2020,1579932000,1,1
3709 RINGGOLD RD,EAST RIDGE,35.00127,-85.257885,1/25/2020,1579932000,1,1
MACK SMITH RD / RINGGOLD RD,EAST RIDGE,34.989471,-85.209287,1/25/2020,1579932000,1,1
2201-2299 Gunbarrel Rd,CHATTANOOGA,35.03826,-85.151137,1/25/2020,1579932000,1,1
AMNICOLA HWY / S ACCESS RD,CHATTANOOGA,35.089088,-85.21983,1/25/2020,1579932000,1,1
AMNICOLA HWY / S ACCESS RD,CHATTANOOGA,35.089088,-85.21983,1/25/2020,1579932000,1,1
4600 AMNICOLA HWY,CHATTANOOGA,35.091807,-85.225646,1/25/2020,1579932000,1,1
200 INTERSTATE 75 NB,CHATTANOOGA,35.007894,-85.200822,1/25/2020,1579971600,12,3
212 N Highland Park Ave,CHATTANOOGA,35.040154,-85.278757,1/25/2020,1579968000,11,3
51-119 Interstate 75 Nb,EAST RIDGE,35.0006,-85.21058,1/25/2020,1579968000,11,3
118 Interstate 75 Nb,EAST RIDGE,35.001147,-85.210796,1/25/2020,1579968000,11,3
51-119 Interstate 75 Nb,EAST RIDGE,35.0006,-85.21058,1/25/2020,1579968000,11,3
303 Signal Mountain Rd,RED BANK,35.086456,-85.326788,1/25/2020,1579968000,11,3
3536 Cummings Hwy,CHATTANOOGA,35.016838,-85.373815,1/25/2020,1579968000,11,3
3550 Cummings Hwy,CHATTANOOGA,35.015591,-85.376588,1/25/2020,1579968000,11,3
6214 Bonny Oaks Dr,CHATTANOOGA,35.0736,-85.178105,1/25/2020,1579964400,10,3
6214 Bonny Oaks Dr,CHATTANOOGA,35.0736,-85.178105,1/25/2020,1579964400,10,3
6214 Bonny Oaks Dr,CHATTANOOGA,35.0736,-85.178105,1/25/2020,1579964400,10,3
220 Browns Ferry Rd,CHATTANOOGA,35.026526,-85.36339,1/25/2020,1579964400,10,3
7415 IGOU FERRY RD,HAMILTON COUNTY,35.203585,-85.053312,1/25/2020,1579964400,10,3
7415 IGOU FERRY RD,HAMILTON COUNTY,35.203585,-85.053312,1/25/2020,1579964400,10,3
7415 IGOU FERRY RD,HAMILTON COUNTY,35.203585,-85.053312,1/25/2020,1579964400,10,3
1918 Union Ave,CHATTANOOGA,35.031985,-85.275444,1/25/2020,1579953600,7,2
802 Moss St,CHATTANOOGA,35.038173,-85.245396,1/25/2020,1579942800,4,1
4900 Highway 58,CHATTANOOGA,35.09306,-85.180555,1/25/2020,1579971600,12,3
4762 Highway 58,CHATTANOOGA,35.088299,-85.188635,1/25/2020,1579971600,12,3
