Accident,Latitude,Longitude,Date,Year,Time,Address,Route,Log_Mile,City,Hour,Temperature,Temp_Max,Temp_Min,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Intensity,Precip_Intensity_Max,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Operation,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,Pavement_Width,Pavement_Type,DayFrame
1,35.033982,-85.263012,8/16/18,,0:28:17,205 Glenwood Dr,3304418001,0.16399999999999998,CHATTANOOGA,0,71.96,89.04,67.83,66.15,0.82,8,3,5.85,0.49,0.0,0.0003,1,0,0,0,0,0,2,7,0,2,4,4,16,4,14,48,15,1
1,35.033982,-85.263012,8/16/18,,0:28:45,205 Glenwood Dr,3304418001,0.16399999999999998,CHATTANOOGA,0,71.96,89.04,67.83,66.15,0.82,8,3,5.85,0.49,0.0,0.0003,1,0,0,0,0,0,2,7,0,2,4,4,16,4,14,48,15,1
1,35.341032,-85.129112,8/16/18,,4:35:06,Dayton Pike / Retro Hughes Rd,3302219001,6.172999999999999,HAMILTON COUNTY,4,71.59,90.76,70.87,68.61,0.9,8,3,6.88,0.29,0.0005,0.0081,1,0,0,0,0,0,2,0,0,2,2,2,11,2,8,20,15,1
1,35.004048,-85.217033,8/16/18,,6:44:40,1 - 9 Exit 185b Off Ramp Eb,33I0024002,14.216,CHATTANOOGA,6,72.2,91.19,71.33,68.18,0.87,8,3,4.81,0.41,0.0,0.0002,1,0,0,0,0,0,2,2,2,2,6,6,2,1,11,24,15,2
1,35.004334,-85.221655,8/16/18,,7:17:48,18500 Interstate 24 Eb,33I0024002,13.950999999999999,CHATTANOOGA,7,71.31,91.17,71.31,67.68,0.88,8,3,3.51,0.41,0.0,0.0002,0,1,0,0,0,0,2,2,2,2,6,6,2,1,11,36,18,2
1,35.013797,-85.16131999999999,8/16/18,,7:45:47,7500 - 7539 E Brainerd Rd,330E314001,0.001,CHATTANOOGA,7,71.2,91.07,71.2,67.63,0.89,8,3,3.6,0.39,0.0,0.0002,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,20,15,2
1,35.013797,-85.16131999999999,8/16/18,,8:07:21,7500 - 7539 E Brainerd Rd,330E314001,0.001,CHATTANOOGA,8,72.09,91.07,71.2,67.88,0.87,8,3,3.78,0.39,0.0,0.0002,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,20,15,2
1,35.237139,-85.19912099999999,8/16/18,,8:16:48,Dayton Pike / Harrison Ln,3302162001,4.418,SODDY DAISY,8,71.85,90.67,70.9,68.37,0.89,8,3,5.22,0.38,0.0002,0.0016,0,1,0,0,0,0,2,7,0,2,2,2,18,4,16,0,0,2
1,35.021719,-85.29354599999999,8/16/18,,8:20:25,2350 GIFFORD ST,330G451001,0.083,CHATTANOOGA,8,72.77,91.21,71.71,68.27,0.86,8,3,3.58,0.48,0.0,0.0003,0,1,0,0,0,0,2,2,0,2,2,2,12,4,19,30,15,2
1,35.001154,-85.21160400000001,8/16/18,,8:20:59,120 Interstate 75 Sb,33I0075001,1.206,CHATTANOOGA,8,72.24,91.2,71.34,67.98,0.87,8,3,3.67,0.41,0.0,0.0002,0,1,0,0,0,0,1,0,2,2,4,4,2,1,11,24,15,2
1,35.008466,-85.230391,8/16/18,,8:30:53,300 S MOORE RD,330B227001,0.201,CHATTANOOGA,8,72.58,91.14,71.61,68.17,0.86,8,3,3.7,0.42,0.0,0.0002,0,1,0,0,0,0,2,7,0,2,2,2,12,4,19,18,15,2
1,35.026225,-85.14654200000001,8/16/18,,8:36:53,7660 Goodwin Rd,3305787001,0.5920000000000001,CHATTANOOGA,8,72.01,90.99,71.11,67.86,0.87,8,3,3.87,0.38,0.0,0.0002,0,1,0,0,0,0,2,7,0,2,2,3,18,4,17,22,15,2
