Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
0,1,0,1,0,1,0,0,0,0,1,8,26,7,12,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,1,8,26,7,12,1517734800,0.052,0.8,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,1,8,26,7,12,1517749200,0.156,0.9,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,1,8,26,7,12,1517763600,0.007,0.9,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,1,8,26,7,12,1517778000,0.0,0.86,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,1,8,26,7,12,1517792400,0.0,0.78,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,1,8,26,7,12,1517803200,0.0,0.84,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,2,9,26,7,9,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,2,9,26,7,9,1517734800,0.051,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,2,9,26,7,9,1517749200,0.157,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,2,9,26,7,9,1517763600,0.007,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,2,9,26,7,9,1517778000,0.0,0.85,1,0.9999940395355225
20,1,0,1,0,1,0,0,0,0,2,9,26,7,9,1517792400,0.0,0.77,1,0.9999940395355225
23,1,0,1,0,1,0,0,0,0,2,9,26,7,9,1517803200,0.0,0.83,1,0.9999940395355225
0,1,0,1,0,1,0,0,0,0,3,10,26,0,5,1517720400,0.0,0.37,1,0.9999940395355225
4,1,0,1,0,0,1,0,0,1,3,10,26,0,5,1517734800,0.051,0.79,1,0.9999940395355225
8,2,0,1,0,0,1,0,0,1,3,10,26,0,5,1517749200,0.158,0.89,1,0.9999940395355225
12,3,0,1,0,0,1,0,0,1,3,10,26,0,5,1517763600,0.007,0.89,1,0.9999940395355225
16,4,0,1,0,1,0,0,0,0,3,10,26,0,5,1517778000,0.0,0.85,1,0.9999940395355225
