Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,humidity,Prediction,Probability
0,1,0,1,0,1,0,0,0,0,1,8,26,0,7,12,1517720400,0.0,0.37,1,0.9962512254714966
4,1,0,1,0,0,1,0,0,1,1,8,26,0,7,12,1517734800,0.052,0.8,0,0.30308806896209717
8,2,0,1,0,0,1,0,0,1,1,8,26,0,7,12,1517749200,0.156,0.9,0,0.0024055838584899902
12,3,0,1,0,0,1,0,0,1,1,8,26,0,7,12,1517763600,0.007,0.9,1,0.9899876117706299
16,4,0,1,0,1,0,0,0,0,1,8,26,0,7,12,1517778000,0.0,0.86,1,0.9994022846221924
20,1,0,1,0,1,0,0,0,0,1,8,26,0,7,12,1517792400,0.0,0.78,1,0.9994784593582153
23,1,0,1,0,1,0,0,0,0,1,8,26,0,7,12,1517803200,0.0,0.84,1,0.9995657801628113
0,1,0,1,0,1,0,0,0,0,2,9,26,1,7,9,1517720400,0.0,0.37,0,0.00044605135917663574
4,1,0,1,0,0,1,0,0,1,2,9,26,1,7,9,1517734800,0.051,0.79,0,0.0004458129405975342
8,2,0,1,0,0,1,0,0,1,2,9,26,1,7,9,1517749200,0.157,0.89,0,0.0004456937313079834
12,3,0,1,0,0,1,0,0,1,2,9,26,1,7,9,1517763600,0.007,0.89,0,0.00044599175453186035
16,4,0,1,0,1,0,0,0,0,2,9,26,1,7,9,1517778000,0.0,0.85,0,0.00044614076614379883
20,1,0,1,0,1,0,0,0,0,2,9,26,1,7,9,1517792400,0.0,0.77,0,0.0004462003707885742
23,1,0,1,0,1,0,0,0,0,2,9,26,1,7,9,1517803200,0.0,0.83,0,0.0004462599754333496
0,1,0,1,0,1,0,0,0,0,3,10,26,1,0,5,1517720400,0.0,0.37,1,0.9998694062232971
4,1,0,1,0,0,1,0,0,1,3,10,26,1,0,5,1517734800,0.051,0.79,1,0.9998693466186523
8,2,0,1,0,0,1,0,0,1,3,10,26,1,0,5,1517749200,0.158,0.89,1,0.9998694062232971
12,3,0,1,0,0,1,0,0,1,3,10,26,1,0,5,1517763600,0.007,0.89,1,0.9998693466186523
16,4,0,1,0,1,0,0,0,0,3,10,26,1,0,5,1517778000,0.0,0.85,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,3,10,26,1,0,5,1517792400,0.0,0.77,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,3,10,26,1,0,5,1517803200,0.0,0.83,1,0.9998694658279419
0,1,0,1,0,1,0,0,0,0,4,11,26,1,0,1,1517720400,0.0,0.36,1,0.9998694062232971
4,1,0,1,0,0,1,0,0,1,4,11,26,1,0,1,1517734800,0.051,0.79,1,0.9998694062232971
8,2,0,1,0,0,1,0,0,1,4,11,26,1,0,1,1517749200,0.159,0.89,1,0.9998693466186523
12,3,0,1,0,0,1,0,0,1,4,11,26,1,0,1,1517763600,0.006,0.89,1,0.9998693466186523
16,4,0,1,0,1,0,0,0,0,4,11,26,1,0,1,1517778000,0.0,0.84,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,4,11,26,1,0,1,1517792400,0.0,0.77,1,0.9998693466186523
23,1,0,1,0,1,0,0,0,0,4,11,26,1,0,1,1517803200,0.0,0.82,1,0.9998694658279419
0,1,0,1,0,1,0,0,0,0,5,12,26,1,0,5,1517720400,0.0,0.37,1,0.9998694062232971
4,1,0,1,0,0,1,0,0,1,5,12,26,1,0,5,1517734800,0.048,0.8,1,0.9998693466186523
8,2,0,1,0,0,1,0,0,1,5,12,26,1,0,5,1517749200,0.161,0.9,1,0.9998694062232971
12,3,0,1,0,0,1,0,0,1,5,12,26,1,0,5,1517763600,0.006,0.9,1,0.9998694658279419
16,4,0,1,0,1,0,0,0,0,5,12,26,1,0,5,1517778000,0.0,0.86,1,0.9998694062232971
20,1,0,1,0,1,0,0,0,0,5,12,26,1,0,5,1517792400,0.0,0.78,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,5,12,26,1,0,5,1517803200,0.0,0.84,1,0.9998694658279419
0,1,0,1,0,1,0,0,0,0,6,13,26,1,0,4,1517720400,0.0,0.37,1,0.9998694062232971
4,1,0,1,0,0,1,0,0,1,6,13,26,1,0,4,1517734800,0.048,0.81,1,0.9998694658279419
8,2,0,1,0,0,1,0,0,1,6,13,26,1,0,4,1517749200,0.163,0.91,1,0.9998693466186523
12,3,0,1,0,0,1,0,0,1,6,13,26,1,0,4,1517763600,0.006,0.91,1,0.9998694062232971
16,4,0,1,0,1,0,0,0,0,6,13,26,1,0,4,1517778000,0.0,0.86,1,0.9998693466186523
20,1,0,1,0,1,0,0,0,0,6,13,26,1,0,4,1517792400,0.0,0.78,1,0.9998694062232971
23,1,0,1,0,1,0,0,0,0,6,13,26,1,0,4,1517803200,0.0,0.84,1,0.9998694658279419
0,1,0,1,0,1,0,0,0,0,7,14,26,1,0,5,1517720400,0.0,0.36,1,0.9998694658279419
4,1,0,1,0,0,1,0,0,1,7,14,26,1,0,5,1517734800,0.048,0.79,1,0.9998694062232971
8,2,0,1,0,0,1,0,0,1,7,14,26,1,0,5,1517749200,0.164,0.89,1,0.9998694062232971
12,3,0,1,0,0,1,0,0,1,7,14,26,1,0,5,1517763600,0.006,0.89,1,0.9998694658279419
16,4,0,1,0,1,0,0,0,0,7,14,26,1,0,5,1517778000,0.0,0.85,1,0.9998694062232971
