Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Unix,precipIntensity,Prediction,Probability
0,1,0,1,0,1,0,0,0,0,1,8,26,0,7,12,1517720400,0.0,1,0.9996050000190735
4,1,0,1,0,0,1,0,0,1,1,8,26,0,7,12,1517734800,0.052,1,0.9995266199111938
8,2,0,1,0,0,1,0,0,1,1,8,26,0,7,12,1517749200,0.156,1,0.9962228536605835
12,3,0,1,0,0,1,0,0,1,1,8,26,0,7,12,1517763600,0.007,1,0.999602198600769
16,4,0,1,0,1,0,0,0,0,1,8,26,0,7,12,1517778000,0.0,1,0.9996092915534973
20,1,0,1,0,1,0,0,0,0,1,8,26,0,7,12,1517792400,0.0,1,0.9996103048324585
23,1,0,1,0,1,0,0,0,0,1,8,26,0,7,12,1517803200,0.0,1,0.9996110200881958
0,1,0,1,0,1,0,0,0,0,2,9,26,1,7,9,1517720400,0.0,0,0.0003592371940612793
4,1,0,1,0,0,1,0,0,1,2,9,26,1,7,9,1517734800,0.051,0,0.00035879015922546387
8,2,0,1,0,0,1,0,0,1,2,9,26,1,7,9,1517749200,0.157,0,0.00035837292671203613
12,3,0,1,0,0,1,0,0,1,2,9,26,1,7,9,1517763600,0.007,0,0.0003590881824493408
16,4,0,1,0,1,0,0,0,0,2,9,26,1,7,9,1517778000,0.0,0,0.0003592371940612793
20,1,0,1,0,1,0,0,0,0,2,9,26,1,7,9,1517792400,0.0,0,0.0003592371940612793
23,1,0,1,0,1,0,0,0,0,2,9,26,1,7,9,1517803200,0.0,0,0.0003592371940612793
0,1,0,1,0,1,0,0,0,0,3,10,26,1,0,5,1517720400,0.0,1,0.9996427297592163
4,1,0,1,0,0,1,0,0,1,3,10,26,1,0,5,1517734800,0.051,1,0.9996427297592163
8,2,0,1,0,0,1,0,0,1,3,10,26,1,0,5,1517749200,0.158,1,0.9996427297592163
12,3,0,1,0,0,1,0,0,1,3,10,26,1,0,5,1517763600,0.007,1,0.9996426105499268
