Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Prediction,Probability
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1489294800,0.0,0,0.005179166793823242
4,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,8,26,0,7,12,1489305600,0.003,1,0.9968931078910828
8,2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,1,8,26,0,7,12,1489320000,0.003,1,0.9968931078910828
12,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1489334400,0.0,0,0.0051915645599365234
16,4,0,1,0.0,0.0,1.0,0.0,0.0,1.0,1,8,26,0,7,12,1489348800,0.007,1,0.996893048286438
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1489363200,0.0,0,0.005179166793823242
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1489374000,0.0,0,0.005179166793823242
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1489294800,0.0,0,0.005180805921554565
4,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,2,9,26,1,7,9,1489305600,0.003,1,0.9968931078910828
8,2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,2,9,26,1,7,9,1489320000,0.003,1,0.9968931078910828
12,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1489334400,0.0,0,0.005248337984085083
16,4,0,1,0.0,0.0,1.0,0.0,0.0,1.0,2,9,26,1,7,9,1489348800,0.007,1,0.996893048286438
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1489363200,0.0,0,0.005180805921554565
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1489374000,0.0,0,0.005180805921554565
0,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1489294800,0.0,0,0.00517997145652771
4,1,0,1,0.0,0.0,0.0,0.0,1.0,0.0,3,10,26,1,0,5,1489305600,0.003,1,0.996893048286438
8,2,0,1,0.0,0.0,0.0,0.0,1.0,0.0,3,10,26,1,0,5,1489320000,0.003,1,0.9968931078910828
12,3,0,1,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1489334400,0.0,0,0.005221933126449585
16,4,0,1,0.0,0.0,1.0,0.0,0.0,1.0,3,10,26,1,0,5,1489348800,0.007,1,0.996893048286438
20,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1489363200,0.0,0,0.00517997145652771
23,1,0,1,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1489374000,0.0,0,0.00517997145652771
