Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Prediction,Probability
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1534392000,0.0,0,0.008836150169372559
4,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1,8,26,0,7,12,1534406400,0.0,0,0.0076164305210113525
8,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1534420800,0.0,0,0.011210083961486816
12,3,1,0,0.0,0.0,0.0,1.0,0.0,0.0,1,8,26,0,7,12,1534435200,0.0,0,0.011855751276016235
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1534449600,0.0,0,0.023004233837127686
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1534464000,0.0,0,0.008836150169372559
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,1,8,26,0,7,12,1534474800,0.0,0,0.008836150169372559
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1534392000,0.0,0,0.010982096195220947
4,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,2,9,26,1,7,9,1534406400,0.0,0,0.00963282585144043
8,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1534420800,0.0,0,0.027249157428741455
12,3,1,0,0.0,0.0,0.0,1.0,0.0,0.0,2,9,26,1,7,9,1534435200,0.0,0,0.03337535262107849
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1534449600,0.0,0,0.05487784743309021
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1534464000,0.0,0,0.010982096195220947
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,2,9,26,1,7,9,1534474800,0.0,0,0.010982096195220947
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1534392000,0.0,0,0.009111553430557251
4,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,3,10,26,1,0,5,1534406400,0.0,0,0.010055094957351685
8,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1534420800,0.0,0,0.03991156816482544
12,3,1,0,0.0,0.0,0.0,1.0,0.0,0.0,3,10,26,1,0,5,1534435200,0.0,0,0.08402213454246521
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1534449600,0.0,0,0.045178115367889404
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1534464000,0.0,0,0.009111553430557251
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,3,10,26,1,0,5,1534474800,0.0,0,0.009111553430557251
0,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1534392000,0.0,0,0.008393168449401855
4,1,1,0,0.0,0.0,0.0,1.0,0.0,0.0,4,11,26,1,0,1,1534406400,0.0,0,0.009226292371749878
8,2,1,0,1.0,0.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1534420800,0.0,0,0.022548019886016846
12,3,1,0,0.0,0.0,0.0,1.0,0.0,0.0,4,11,26,1,0,1,1534435200,0.0,0,0.045931488275527954
16,4,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1534449600,0.0,0,0.023750752210617065
20,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1534464000,0.0,0,0.008393168449401855
23,1,1,0,0.0,1.0,0.0,0.0,0.0,0.0,4,11,26,1,0,1,1534474800,0.0,0,0.008393168449401855
