Hour,DayFrame,WeekDay,WeekEnd,Clear,Cloudy,Rain,Foggy,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,time,precipIntensity,Probability,Prediction
0,1,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555041600,0.0,0.0018471479,0
4,1,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555056000,0.0,0.0018471479,0
8,2,1,0,0,0,1,0,0,1,1,8,26,0,7,12,1555070400,0.062,0.033193827,0
12,3,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555084800,0.0,0.0018474758,0
16,4,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555099200,0.0,0.0018472075,0
20,1,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555113600,0.0,0.0018471479,0
23,1,1,0,0,1,0,0,0,0,1,8,26,0,7,12,1555124400,0.0,0.0018471479,0
0,1,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555041600,0.0,0.0018480122,0
4,1,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555056000,0.0,0.0018480122,0
8,2,1,0,0,0,1,0,0,1,2,9,26,1,7,9,1555070400,0.066,0.0359087,0
12,3,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555084800,0.0,0.0018489659,0
16,4,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555099200,0.0,0.0018482207999999999,0
20,1,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555113600,0.0,0.0018480122,0
23,1,1,0,0,1,0,0,0,0,2,9,26,1,7,9,1555124400,0.0,0.0018480122,0
0,1,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555041600,0.0,0.0018483996,0
4,1,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555056000,0.0,0.0018483996,0
8,2,1,0,0,0,1,0,0,1,3,10,26,1,0,5,1555070400,0.069,0.061908722,0
12,3,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555084800,0.0,0.0018479526000000001,0
16,4,1,0,0,0,0,1,0,0,3,10,26,1,0,5,1555099200,0.0,0.0018469691,0
20,1,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555113600,0.0,0.0018483996,0
23,1,1,0,0,1,0,0,0,0,3,10,26,1,0,5,1555124400,0.0,0.0018483996,0
0,1,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555041600,0.0,0.0018481314000000002,0
4,1,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555056000,0.0,0.0018481314000000002,0
8,2,1,0,0,0,1,0,0,1,4,11,26,1,0,1,1555070400,0.073,0.35676712,0
12,3,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555084800,0.0,0.0018479228,0
16,4,1,0,0,0,0,1,0,0,4,11,26,1,0,1,1555099200,0.0,0.0018468797,0
20,1,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555113600,0.0,0.0018481314000000002,0
23,1,1,0,0,1,0,0,0,0,4,11,26,1,0,1,1555124400,0.0,0.0018481314000000002,0
0,1,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555041600,0.0,0.0018483102,0
4,1,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555056000,0.0,0.0018483102,0
8,2,1,0,0,0,1,0,0,1,5,12,26,1,0,5,1555070400,0.077,0.91827315,1
12,3,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555084800,0.0,0.0018478334,0
16,4,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555099200,0.0,0.0018472970000000001,0
20,1,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555113600,0.0,0.0018483102,0
23,1,1,0,0,1,0,0,0,0,5,12,26,1,0,5,1555124400,0.0,0.0018483102,0
0,1,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555041600,0.0,0.0018483102,0
4,1,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555056000,0.0,0.0018483102,0
8,2,1,0,0,0,1,0,0,1,6,13,26,1,0,4,1555070400,0.08,0.93277574,1
12,3,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555084800,0.0,0.001847744,0
16,4,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555099200,0.0,0.0018472075,0
20,1,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555113600,0.0,0.0018483102,0
23,1,1,0,0,1,0,0,0,0,6,13,26,1,0,4,1555124400,0.0,0.0018483102,0
0,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555041600,0.0,0.0018482506,0
4,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555056000,0.0,0.0018482506,0
8,2,1,0,0,0,1,0,0,1,7,14,26,1,0,5,1555070400,0.083,0.9357365,1
12,3,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555084800,0.0,0.0018476844,0
16,4,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555099200,0.0,0.0018471479,0
20,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555113600,0.0,0.0018482506,0
23,1,1,0,0,1,0,0,0,0,7,14,26,1,0,5,1555124400,0.0,0.0018482506,0
0,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555041600,0.0,0.0018469691,0
4,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555056000,0.0,0.0018469691,0
8,2,1,0,0,0,1,0,0,1,8,15,26,0,2,13,1555070400,0.087,0.9362891,1
12,3,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555084800,0.0,0.0018470882999999999,0
16,4,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555099200,0.0,0.0018469095,0
20,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555113600,0.0,0.0018469691,0
23,1,1,0,0,1,0,0,0,0,8,15,26,0,2,13,1555124400,0.0,0.0018469691,0
0,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555041600,0.0,0.0018470287,0
4,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555056000,0.0,0.0018470287,0
8,2,1,0,0,0,1,0,0,1,9,16,26,0,7,17,1555070400,0.091,0.9366201,1
12,3,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555084800,0.0,0.0018472075,0
16,4,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555099200,0.0,0.0018470287,0
20,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555113600,0.0,0.0018470287,0
23,1,1,0,0,1,0,0,0,0,9,16,26,0,7,17,1555124400,0.0,0.0018470287,0
0,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,10,17,26,0,7,11,1555070400,0.095,0.9366690000000001,1
12,3,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555084800,0.0,0.0018471181,0
16,4,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555099200,0.0,0.0018469393,0
20,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,10,17,26,0,7,11,1555124400,0.0,0.0018469393,0
0,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,11,18,26,0,7,10,1555070400,0.099,0.93668115,1
12,3,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555084800,0.0,0.0018471181,0
16,4,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555099200,0.0,0.0018469393,0
20,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,11,18,26,0,7,10,1555124400,0.0,0.0018469393,0
0,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,12,19,26,0,7,24,1555070400,0.102,0.93668425,1
12,3,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555084800,0.0,0.0018471777,0
16,4,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555099200,0.0,0.0018469691,0
20,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,12,19,26,0,7,24,1555124400,0.0,0.0018469393,0
0,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,13,20,26,0,7,23,1555070400,0.106,0.93668485,1
12,3,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555084800,0.0,0.0018471181,0
16,4,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555099200,0.0,0.0018470287,0
20,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,13,20,26,0,7,23,1555124400,0.0,0.0018469393,0
0,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555041600,0.0,0.0018469989000000002,0
4,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555056000,0.0,0.0018469989000000002,0
8,2,1,0,0,0,1,0,0,1,14,21,26,0,7,20,1555070400,0.11,0.93668485,1
12,3,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555084800,0.0,0.0018470882999999999,0
16,4,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555099200,0.0,0.0018469393,0
20,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555113600,0.0,0.0018469989000000002,0
23,1,1,0,0,1,0,0,0,0,14,21,26,0,7,20,1555124400,0.0,0.0018469989000000002,0
0,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555041600,0.0,0.0018469095,0
4,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555056000,0.0,0.0018469095,0
8,2,1,0,0,0,1,0,0,1,15,22,26,0,7,15,1555070400,0.11199999999999999,0.9366846,1
12,3,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555084800,0.0,0.0018470287,0
16,4,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555099200,0.0,0.0018469989000000002,0
20,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555113600,0.0,0.0018469095,0
23,1,1,0,0,1,0,0,0,0,15,22,26,0,7,15,1555124400,0.0,0.0018469095,0
0,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555041600,0.0,0.0018468498999999999,0
4,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555056000,0.0,0.0018468498999999999,0
8,2,1,0,0,0,1,0,0,1,16,23,26,0,7,21,1555070400,0.114,0.93668485,1
12,3,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555084800,0.0,0.0018469691,0
16,4,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555099200,0.0,0.0018469393,0
20,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555113600,0.0,0.0018468498999999999,0
23,1,1,0,0,1,0,0,0,0,16,23,26,0,7,21,1555124400,0.0,0.0018468498999999999,0
0,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555041600,0.0,0.0018469095,0
4,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555056000,0.0,0.0018469095,0
8,2,1,0,0,0,1,0,0,1,17,24,26,0,7,12,1555070400,0.11599999999999999,0.936684,1
12,3,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555084800,0.0,0.0018469393,0
16,4,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555099200,0.0,0.0018468498999999999,0
20,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555113600,0.0,0.0018469095,0
23,1,1,0,0,1,0,0,0,0,17,24,26,0,7,12,1555124400,0.0,0.0018469095,0
0,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555041600,0.0,0.0018469095,0
4,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555056000,0.0,0.0018469095,0
8,2,1,0,0,0,1,0,0,1,18,25,26,0,7,7,1555070400,0.11800000000000001,0.9366827,1
12,3,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555084800,0.0,0.0018469691,0
16,4,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555099200,0.0,0.0018469095,0
20,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555113600,0.0,0.0018469095,0
23,1,1,0,0,1,0,0,0,0,18,25,26,0,7,7,1555124400,0.0,0.0018469095,0
0,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555041600,0.0,0.0018471181,0
4,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555056000,0.0,0.0018471181,0
8,2,1,0,0,0,1,0,0,1,20,8,25,0,0,8,1555070400,0.062,0.033317566,0
12,3,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555084800,0.0,0.0018471777,0
16,4,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555099200,0.0,0.0018470585000000001,0
20,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555113600,0.0,0.0018471181,0
23,1,1,0,0,1,0,0,0,0,20,8,25,0,0,8,1555124400,0.0,0.0018471181,0
0,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555041600,0.0,0.0018471181,0
4,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555056000,0.0,0.0018471181,0
8,2,1,0,0,0,1,0,0,1,21,9,25,0,7,11,1555070400,0.066,0.03434491,0
12,3,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555084800,0.0,0.0018475651999999999,0
16,4,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555099200,0.0,0.0018472075,0
20,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555113600,0.0,0.0018471181,0
23,1,1,0,0,1,0,0,0,0,21,9,25,0,7,11,1555124400,0.0,0.0018471181,0
0,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555041600,0.0,0.0018470882999999999,0
4,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555056000,0.0,0.0018470882999999999,0
8,2,1,0,0,0,1,0,0,1,22,10,25,0,0,1,1555070400,0.069,0.045728057999999995,0
12,3,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555084800,0.0,0.0018470882999999999,0
16,4,1,0,0,0,0,1,0,0,22,10,25,0,0,1,1555099200,0.0,0.0018467903,0
20,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555113600,0.0,0.0018470287,0
23,1,1,0,0,1,0,0,0,0,22,10,25,0,0,1,1555124400,0.0,0.0018470882999999999,0
0,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555041600,0.0,0.0018483102,0
4,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555056000,0.0,0.0018483102,0
8,2,1,0,0,0,1,0,0,1,23,11,25,1,0,1,1555070400,0.073,0.3578872,0
12,3,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555084800,0.0,0.0018481016,0
16,4,1,0,0,0,0,1,0,0,23,11,25,1,0,1,1555099200,0.0,0.0018469989000000002,0
20,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555113600,0.0,0.0018483102,0
23,1,1,0,0,1,0,0,0,0,23,11,25,1,0,1,1555124400,0.0,0.0018483102,0
0,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555041600,0.0,0.0018482506,0
4,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555056000,0.0,0.0018482506,0
8,2,1,0,0,0,1,0,0,1,24,12,25,1,0,1,1555070400,0.076,0.9017966999999999,1
12,3,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555084800,0.0,0.0018480122,0
16,4,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555099200,0.0,0.0018473267999999999,0
20,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555113600,0.0,0.0018482506,0
23,1,1,0,0,1,0,0,0,0,24,12,25,1,0,1,1555124400,0.0,0.0018482506,0
0,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,25,13,25,0,2,1,1555070400,0.079,0.9280050999999999,1
12,3,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555084800,0.0,0.0018469691,0
16,4,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555099200,0.0,0.0018469691,0
20,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,25,13,25,0,2,1,1555124400,0.0,0.0018469393,0
0,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555041600,0.0,0.0018479228,0
4,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555056000,0.0,0.0018479228,0
8,2,1,0,0,0,1,0,0,1,26,14,25,1,5,1,1555070400,0.083,0.935765,1
12,3,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555084800,0.0,0.0018484294,0
16,4,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555099200,0.0,0.0018476844,0
20,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555113600,0.0,0.0018479228,0
23,1,1,0,0,1,0,0,0,0,26,14,25,1,5,1,1555124400,0.0,0.0018479228,0
0,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555041600,0.0,0.0018470287,0
4,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555056000,0.0,0.0018470287,0
8,2,1,0,0,0,1,0,0,1,27,15,25,0,4,9,1555070400,0.087,0.93629277,1
12,3,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555084800,0.0,0.0018471181,0
16,4,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555099200,0.0,0.0018469989000000002,0
20,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555113600,0.0,0.0018470287,0
23,1,1,0,0,1,0,0,0,0,27,15,25,0,4,9,1555124400,0.0,0.0018470287,0
0,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555041600,0.0,0.0018470287,0
4,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555056000,0.0,0.0018470287,0
8,2,1,0,0,0,1,0,0,1,28,16,25,0,5,10,1555070400,0.09,0.9365738000000001,1
12,3,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555084800,0.0,0.0018471181,0
16,4,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555099200,0.0,0.0018469989000000002,0
20,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555113600,0.0,0.0018470287,0
23,1,1,0,0,1,0,0,0,0,28,16,25,0,5,10,1555124400,0.0,0.0018470287,0
0,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,29,17,25,0,0,1,1555070400,0.094,0.9366483,1
12,3,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555084800,0.0,0.0018469691,0
16,4,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555099200,0.0,0.0018469095,0
20,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,29,17,25,0,0,1,1555124400,0.0,0.0018469393,0
0,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555041600,0.0,0.0018469989000000002,0
4,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555056000,0.0,0.0018469989000000002,0
8,2,1,0,0,0,1,0,0,1,30,18,25,0,0,9,1555070400,0.098,0.93667674,1
12,3,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555084800,0.0,0.0018469989000000002,0
16,4,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555099200,0.0,0.0018469095,0
20,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555113600,0.0,0.0018469989000000002,0
23,1,1,0,0,1,0,0,0,0,30,18,25,0,0,9,1555124400,0.0,0.0018469989000000002,0
0,1,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555041600,0.0,0.0018469989000000002,0
4,1,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555056000,0.0,0.0018469989000000002,0
8,2,1,0,0,0,1,0,0,1,31,19,25,0,7,18,1555070400,0.102,0.93668395,1
12,3,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555084800,0.0,0.0018471479,0
16,4,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555099200,0.0,0.0018470287,0
20,1,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555113600,0.0,0.0018469989000000002,0
23,1,1,0,0,1,0,0,0,0,31,19,25,0,7,18,1555124400,0.0,0.0018469989000000002,0
0,1,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555041600,0.0,0.0018469989000000002,0
4,1,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555056000,0.0,0.0018469989000000002,0
8,2,1,0,0,0,1,0,0,1,32,20,25,0,7,17,1555070400,0.106,0.9366844999999999,1
12,3,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555084800,0.0,0.0018471181,0
16,4,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555099200,0.0,0.0018470882999999999,0
20,1,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555113600,0.0,0.0018469989000000002,0
23,1,1,0,0,1,0,0,0,0,32,20,25,0,7,17,1555124400,0.0,0.0018469989000000002,0
0,1,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,33,21,25,0,7,18,1555070400,0.11,0.9366846999999999,1
12,3,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555084800,0.0,0.0018471181,0
16,4,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555099200,0.0,0.0018470287,0
20,1,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,33,21,25,0,7,18,1555124400,0.0,0.0018469393,0
0,1,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,34,22,25,0,7,14,1555070400,0.114,0.93668437,1
12,3,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555084800,0.0,0.0018470882999999999,0
16,4,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555099200,0.0,0.0018469989000000002,0
20,1,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,34,22,25,0,7,14,1555124400,0.0,0.0018469393,0
0,1,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555041600,0.0,0.0018469393,0
4,1,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555056000,0.0,0.0018469393,0
8,2,1,0,0,0,1,0,0,1,35,23,25,0,7,19,1555070400,0.11800000000000001,0.9366846,1
12,3,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555084800,0.0,0.0018470882999999999,0
16,4,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555099200,0.0,0.0018469989000000002,0
20,1,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555113600,0.0,0.0018469393,0
23,1,1,0,0,1,0,0,0,0,35,23,25,0,7,19,1555124400,0.0,0.0018469393,0
