ORIG_FID,Center_Lat,Center_Long
0,35.0355447831543,-85.381248050298
1,35.0329300912683,-85.3740285809763
2,35.0303149812675,-85.3668095859704
3,35.0276994508041,-85.3595910640795
4,35.0250835031511,-85.352373015275
5,35.0224671389178,-85.3451554447514
6,35.0198503526869,-85.3379383433787
7,35.0172331512638,-85.3307217209411
8,35.0146155362631,-85.3235055709353
9,35.0119975008,-85.3162898990447
10,35.0093790462616,-85.3090747009235
11,35.0067601757986,-85.3018599740332
12,35.0041408876824,-85.2946457233448
13,35.0015211857973,-85.2874319490217
14,34.9989010662586,-85.2802186459002
15,34.9962805307959,-85.2730058190102
16,34.9936595789111,-85.2657934696865
17,34.9910382076785,-85.2585815933167
18,34.9884164212556,-85.2513701908768
19,35.0414829108042,-85.3780690940952
20,35.0388680208035,-85.3708492190895
21,35.0362527112655,-85.3636298159688
22,35.0336369808022,-85.3564108890779
23,35.031020836264,-85.3491924359571
24,35.0284042726857,-85.3419744583828
25,35.0257872912626,-85.3347569559454
26,35.0231698912618,-85.3275399259395
27,35.0205520739141,-85.3203233697321
28,35.0179338381449,-85.3131072902447
29,35.0153151857974,-85.3058916890374
30,35.0126961176811,-85.2986765583489
31,35.0100766343737,-85.2914619065928
32,35.0074567307953,-85.2842477290201
33,35.0048364107946,-85.2770340240144
34,35.0022156757939,-85.2698207940086
35,34.9995945231391,-85.2626080402047
36,34.9969729539086,-85.255395764679
37,34.9943509676757,-85.2481839583095
38,34.9917285657912,-85.2409726289856
39,34.9891057512521,-85.2337617758635
40,35.0474209367276,-85.3748896578642
41,35.0448058458015,-85.3676693790878
42,35.042190337686,-85.3604495733982
43,35.0395744112627,-85.3532302409613
44,35.036958066262,-85.3460113809555
45,35.0343413057988,-85.3387929990647
46,35.0317241262605,-85.3315750909438
47,35.0291065257974,-85.3243576540532
48,35.0264885076814,-85.3171406933643
49,35.0238700762583,-85.3099242109262
50,35.0212512257954,-85.3027082040359
51,35.0186319593724,-85.2954926715972
52,35.0160122726783,-85.2882776133417
53,35.0133921712553,-85.2810630309027
54,35.0107716526768,-85.2738489233304
55,35.0081507193697,-85.2666352915733
56,35.0055293657913,-85.2594221340012
57,35.0029075976745,-85.2522094533135
58,35.000285413906,-85.2449972496715
59,34.9976628131345,-85.237785515186
60,34.9950397989048,-85.2305742596597
61,34.9924163657878,-85.2233634789724
62,34.9897925172092,-85.2161531764019
63,34.9871682543644,-85.2089433515256
64,35.0533588576855,-85.371709753408
65,35.0507435717247,-85.3644890628566
66,35.0481278639139,-85.3572688547644
67,35.0455117381456,-85.350049115276
68,35.0428951957975,-85.3428298490689
69,35.0402782362592,-85.3356110609479
70,35.0376608557961,-85.3283927490574
71,35.0350430576802,-85.3211749083684
72,35.0324248443724,-85.3139575466135
73,35.0298062107941,-85.3067406590401
74,35.0271871631399,-85.2995242452359
75,35.0245676957927,-85.2923083090285
76,35.021947811254,-85.285092845907
77,35.0193275107914,-85.277877859017
78,35.0167067939066,-85.2706633496935
79,35.014085657674,-85.2634493133232
80,35.011464106251,-85.2562357508836
81,35.0088421412503,-85.2490226658778
82,35.0062197576717,-85.2418100583063
83,35.0035969589035,-85.2345979246641
84,35.0009737407865,-85.2273862639766
85,34.9983501057858,-85.2201750839708
86,34.9957260612465,-85.2129643808486
87,34.9931015976678,-85.2057541532781
88,34.9904767189004,-85.1985443996347
89,34.9878514226663,-85.1913351182669
90,35.0592966839131,-85.3685293747747
91,35.0566811957976,-85.3613082790847
92,35.0540652886068,-85.3540876571651
93,35.0514489657963,-85.3468675140732
94,35.0488322257956,-85.3396478440674
95,35.0462150662571,-85.3324286509464
96,35.0435974857942,-85.3252099340558
97,35.0409794912557,-85.3179916909347
98,35.0383610776774,-85.3107739233611
99,35.0357422462542,-85.3035566309229
100,35.0331229989071,-85.2963398147156
101,35.030503333137,-85.2891234702285
102,35.0278832489058,-85.2819076047037
103,35.0252627481353,-85.2746922102171
104,35.0226418307887,-85.2674772990095
105,35.0200204962497,-85.2602628608878
106,35.0173987453257,-85.2530488971141
107,35.0147765812482,-85.2458354058762
108,35.0121539989022,-85.2386223946683
109,35.0095309976689,-85.2314098582991
110,35.0069075807845,-85.224197798975
111,35.0042837462452,-85.2169862158528
112,35.0016595007832,-85.2097751089635
113,34.9990348412437,-85.2025644758411
114,34.9964097603206,-85.1953543220687
115,34.9937842662422,-85.1881446408295
116,34.9911583557804,-85.1809354389404
117,34.9885320307797,-85.1737267139347
118,35.0652344031439,-85.3653485152899
119,35.062618716258,-85.3581270159682
120,35.0600026107949,-85.3509059890774
121,35.0573860907943,-85.3436854390716
122,35.0547691512558,-85.3364653659506
123,35.0521517907929,-85.32924576906
124,35.049534013139,-85.3220266452556
125,35.046915819369,-85.3148079966163
126,35.0442972057908,-85.3075898240427
127,35.0416781781365,-85.3003721252384
128,35.0390587307895,-85.2931549040311
129,35.0364388657888,-85.2859381590254
130,35.0338185831341,-85.2787218852212
131,35.0311978839033,-85.2715060896963
132,35.0285767662484,-85.264290770892
133,35.025955230786,-85.2570759290022
134,35.0233332831308,-85.2498615601983
135,35.0207109184393,-85.2426476727889
136,35.0180881331291,-85.2354342551868
137,35.0154649338996,-85.2282213196609
138,35.0128413181274,-85.2210088551754
139,35.0102172857819,-85.2137968689677
140,35.0075928388978,-85.2065853596432
141,35.0049679757805,-85.1993743239562
142,35.0023426981241,-85.1921637651525
143,34.9997170034349,-85.1849536877424
144,34.9970908912394,-85.1777440808219
145,34.9944643657777,-85.1705349539331
146,34.991837425777,-85.1633263039273
147,34.9892100703155,-85.1561181320388
148,34.9865823007756,-85.1489104339159
149,35.0711720207944,-85.3621671840874
150,35.068556136256,-85.3549452759666
151,35.065939830793,-85.3477238440758
152,35.0633231112545,-85.3405028909549
153,35.0607059712538,-85.333282410949
154,35.0580884131378,-85.3260624052596
155,35.0554704389056,-85.318842879736
156,35.0528520426741,-85.3116238233636
157,35.0502332312508,-85.3044052459255
158,35.0476140039038,-85.2971871447183
159,35.0449943581336,-85.289969515231
160,35.0423742957868,-85.2827523690238
161,35.0397538157861,-85.275535694018
162,35.0371329157854,-85.2683194940122
163,35.0345115981304,-85.2611037702081
164,35.0318898639001,-85.2538885246829
165,35.0292677162449,-85.2466737508788
166,35.0266451507827,-85.2394594589891
167,35.024022165782,-85.2322456439834
168,35.0213987681262,-85.2250323001795
169,35.0187749538971,-85.2178194346534
170,35.0161507207799,-85.2106070439661
171,35.0135260726626,-85.203395133279
172,35.0109010107785,-85.1961836989546
173,35.0082755338946,-85.1889727396299
174,35.0056496381212,-85.1817622551453
175,35.0030233257764,-85.1745522489373
176,35.0003966007758,-85.1673427189315
177,34.9977694607751,-85.1601336689258
178,34.9951419043523,-85.1529250964832
179,34.9925139307736,-85.1457169989143
180,34.9898855453123,-85.1385093770259
181,34.9872567462328,-85.1313022307853
182,35.0771095393696,-85.358985376655
183,35.0744934526766,-85.351763063396
184,35.0718769512533,-85.3445412259591
185,35.0692600312525,-85.3373198659533
186,35.0666426926744,-85.330098978379
187,35.0640249389043,-85.3228785697404
188,35.0614067631349,-85.3156586352523
189,35.058788169365,-85.308439176613
190,35.0561691576714,-85.3012201933564
191,35.0535497307862,-85.2940016890338
192,35.050929884363,-85.2867836565951
193,35.0483096212465,-85.2795661009064
194,35.0456889407841,-85.2723490240164
195,35.0430678431291,-85.2651324202122
196,35.0404463288988,-85.2579162946872
197,35.0378243926659,-85.2507006433168
198,35.0352020457814,-85.2434854689934
