Accident,Latitude,Longitude,Hour,DayFrame,WeekDay,WeekEnd,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Probability,Prediction
,35.03293009,-85.37402858,0,1,,,1,8,26,0,7,12,,
,35.03293009,-85.37402858,4,1,,,1,8,26,0,7,12,,
,35.03293009,-85.37402858,8,2,,,1,8,26,0,7,12,,
,35.03293009,-85.37402858,12,3,,,1,8,26,0,7,12,,
,35.03293009,-85.37402858,16,4,,,1,8,26,0,7,12,,
,35.03293009,-85.37402858,20,1,,,1,8,26,0,7,12,,
,35.03293009,-85.37402858,23,1,,,1,8,26,0,7,12,,
,35.03031498,-85.36680959,0,1,,,2,9,26,1,7,9,,
,35.03031498,-85.36680959,4,1,,,2,9,26,1,7,9,,
,35.03031498,-85.36680959,8,2,,,2,9,26,1,7,9,,
,35.03031498,-85.36680959,12,3,,,2,9,26,1,7,9,,
,35.03031498,-85.36680959,16,4,,,2,9,26,1,7,9,,
,35.03031498,-85.36680959,20,1,,,2,9,26,1,7,9,,
,35.03031498,-85.36680959,23,1,,,2,9,26,1,7,9,,
,35.02769945,-85.35959106,0,1,,,3,10,26,1,0,5,,
,35.02769945,-85.35959106,4,1,,,3,10,26,1,0,5,,
,35.02769945,-85.35959106,8,2,,,3,10,26,1,0,5,,
,35.02769945,-85.35959106,12,3,,,3,10,26,1,0,5,,
,35.02769945,-85.35959106,16,4,,,3,10,26,1,0,5,,
,35.02769945,-85.35959106,20,1,,,3,10,26,1,0,5,,
,35.02769945,-85.35959106,23,1,,,3,10,26,1,0,5,,
,35.0250835,-85.35237302,0,1,,,4,11,26,1,0,1,,
,35.0250835,-85.35237302,4,1,,,4,11,26,1,0,1,,
,35.0250835,-85.35237302,8,2,,,4,11,26,1,0,1,,
,35.0250835,-85.35237302,12,3,,,4,11,26,1,0,1,,
,35.0250835,-85.35237302,16,4,,,4,11,26,1,0,1,,
,35.0250835,-85.35237302,20,1,,,4,11,26,1,0,1,,
,35.0250835,-85.35237302,23,1,,,4,11,26,1,0,1,,
,35.02246714,-85.34515544,0,1,,,5,12,26,1,0,5,,
,35.02246714,-85.34515544,4,1,,,5,12,26,1,0,5,,
,35.02246714,-85.34515544,8,2,,,5,12,26,1,0,5,,
,35.02246714,-85.34515544,12,3,,,5,12,26,1,0,5,,
,35.02246714,-85.34515544,16,4,,,5,12,26,1,0,5,,
,35.02246714,-85.34515544,20,1,,,5,12,26,1,0,5,,
,35.02246714,-85.34515544,23,1,,,5,12,26,1,0,5,,
,35.01985035,-85.33793834,0,1,,,6,13,26,1,0,4,,
,35.01985035,-85.33793834,4,1,,,6,13,26,1,0,4,,
,35.01985035,-85.33793834,8,2,,,6,13,26,1,0,4,,
,35.01985035,-85.33793834,12,3,,,6,13,26,1,0,4,,
,35.01985035,-85.33793834,16,4,,,6,13,26,1,0,4,,
,35.01985035,-85.33793834,20,1,,,6,13,26,1,0,4,,
,35.01985035,-85.33793834,23,1,,,6,13,26,1,0,4,,
,35.01723315,-85.33072172,0,1,,,7,14,26,1,0,5,,
,35.01723315,-85.33072172,4,1,,,7,14,26,1,0,5,,
,35.01723315,-85.33072172,8,2,,,7,14,26,1,0,5,,
,35.01723315,-85.33072172,12,3,,,7,14,26,1,0,5,,
,35.01723315,-85.33072172,16,4,,,7,14,26,1,0,5,,
,35.01723315,-85.33072172,20,1,,,7,14,26,1,0,5,,
,35.01723315,-85.33072172,23,1,,,7,14,26,1,0,5,,
,35.01461554,-85.32350557,0,1,,,8,15,26,0,2,13,,
,35.01461554,-85.32350557,4,1,,,8,15,26,0,2,13,,
,35.01461554,-85.32350557,8,2,,,8,15,26,0,2,13,,
,35.01461554,-85.32350557,12,3,,,8,15,26,0,2,13,,
,35.01461554,-85.32350557,16,4,,,8,15,26,0,2,13,,
,35.01461554,-85.32350557,20,1,,,8,15,26,0,2,13,,
,35.01461554,-85.32350557,23,1,,,8,15,26,0,2,13,,
,35.0119975,-85.3162899,0,1,,,9,16,26,0,7,17,,
,35.0119975,-85.3162899,4,1,,,9,16,26,0,7,17,,
,35.0119975,-85.3162899,8,2,,,9,16,26,0,7,17,,
,35.0119975,-85.3162899,12,3,,,9,16,26,0,7,17,,
,35.0119975,-85.3162899,16,4,,,9,16,26,0,7,17,,
,35.0119975,-85.3162899,20,1,,,9,16,26,0,7,17,,
,35.0119975,-85.3162899,23,1,,,9,16,26,0,7,17,,
,35.00937905,-85.3090747,0,1,,,10,17,26,0,7,11,,
,35.00937905,-85.3090747,4,1,,,10,17,26,0,7,11,,
,35.00937905,-85.3090747,8,2,,,10,17,26,0,7,11,,
,35.00937905,-85.3090747,12,3,,,10,17,26,0,7,11,,
,35.00937905,-85.3090747,16,4,,,10,17,26,0,7,11,,
,35.00937905,-85.3090747,20,1,,,10,17,26,0,7,11,,
,35.00937905,-85.3090747,23,1,,,10,17,26,0,7,11,,
,35.00676018,-85.30185997,0,1,,,11,18,26,0,7,10,,
,35.00676018,-85.30185997,4,1,,,11,18,26,0,7,10,,
,35.00676018,-85.30185997,8,2,,,11,18,26,0,7,10,,
,35.00676018,-85.30185997,12,3,,,11,18,26,0,7,10,,
,35.00676018,-85.30185997,16,4,,,11,18,26,0,7,10,,
,35.00676018,-85.30185997,20,1,,,11,18,26,0,7,10,,
,35.00676018,-85.30185997,23,1,,,11,18,26,0,7,10,,
,35.00414089,-85.29464572,0,1,,,12,19,26,0,7,24,,
,35.00414089,-85.29464572,4,1,,,12,19,26,0,7,24,,
,35.00414089,-85.29464572,8,2,,,12,19,26,0,7,24,,
,35.00414089,-85.29464572,12,3,,,12,19,26,0,7,24,,
,35.00414089,-85.29464572,16,4,,,12,19,26,0,7,24,,
,35.00414089,-85.29464572,20,1,,,12,19,26,0,7,24,,
,35.00414089,-85.29464572,23,1,,,12,19,26,0,7,24,,
,35.00152119,-85.28743195,0,1,,,13,20,26,0,7,23,,
