Grid_Block,Highway,Land_Use_Mode,Segment_Count,Road_Count
1,1,0,1,1
2,0,5,6,4
3,0,5,1,1
6,0,7,29,20
7,0,7,23,15
8,0,0,5,4
9,0,7,23,12
10,0,7,18,13
11,0,7,12,8
12,0,7,12,8
13,0,7,9,7
14,0,7,21,15
15,0,7,30,23
16,0,7,20,16
17,0,7,21,19
18,0,7,27,19
19,0,7,17,13
20,0,7,24,19
21,0,7,30,28
22,0,7,23,20
23,0,7,26,20
24,0,7,14,13
25,1,2,12,6
26,0,7,5,4
27,0,7,12,12
28,0,7,11,7
29,0,7,4,4
30,0,7,5,5
31,0,7,9,9
32,0,7,19,17
33,0,7,19,18
34,0,7,18,14
35,0,7,10,10
36,0,7,11,11
37,0,7,10,10
38,0,7,8,7
39,0,0,4,3
40,0,0,2,2
41,0,0,2,2
42,0,0,1,1
43,0,0,2,1
45,1,0,2,2
46,0,2,2,2
47,0,5,1,1
50,0,7,11,11
51,0,7,29,22
52,0,7,11,9
53,0,7,15,10
54,0,7,24,20
55,0,7,22,14
56,0,7,9,5
57,0,7,13,10
58,0,7,26,16
59,0,7,37,21
60,0,7,30,21
61,0,7,20,18
62,0,7,28,24
63,0,7,24,18
64,0,7,27,22
65,0,7,31,26
66,0,7,20,17
67,0,7,14,10
68,1,7,6,5
69,1,2,2,1
70,0,9,1,1
71,0,7,12,10
72,0,7,5,5
73,0,7,9,6
74,0,7,1,1
75,0,7,13,9
76,0,7,14,13
77,0,7,20,15
78,0,7,21,13
79,0,7,9,8
80,0,7,7,7
81,0,7,9,9
82,0,7,5,4
83,0,7,8,6
84,0,7,7,7
85,0,7,3,3
86,0,7,1,1
87,0,7,10,8
88,0,7,7,6
89,1,0,3,2
90,1,0,2,2
91,0,5,3,3
92,0,5,1,1
95,0,7,21,14
96,0,7,20,14
97,0,7,20,14
98,0,7,19,17
99,0,7,39,29
100,0,7,23,19
101,0,7,13,13
102,0,7,33,22
103,0,7,32,20
104,0,7,30,20
105,0,7,19,17
106,0,7,22,19
107,0,7,23,17
108,0,7,29,20
109,1,7,33,23
110,1,7,36,18
111,1,7,25,17
112,1,2,14,10
113,1,2,8,4
114,1,4,1,1
115,0,7,6,5
116,0,7,7,7
117,0,7,11,9
118,0,7,6,5
119,0,4,4,3
120,0,7,11,8
121,0,7,9,9
122,0,7,4,4
123,0,7,16,13
124,0,7,19,13
125,0,7,16,16
126,0,7,5,5
127,0,7,8,5
128,0,0,3,3
129,0,0,1,1
131,0,7,13,13
132,0,7,16,16
133,0,0,4,3
134,1,0,6,6
135,0,5,2,2
136,0,4,3,2
137,0,7,1,1
138,0,7,1,1
139,0,7,3,2
140,0,7,8,5
141,0,0,17,11
142,0,0,20,12
143,0,7,24,17
144,0,0,5,5
145,0,7,7,6
146,0,0,30,21
147,0,7,32,28
148,1,7,23,14
149,1,7,30,21
150,0,7,21,18
151,1,7,30,26
152,1,7,28,20
153,1,7,41,24
154,0,7,33,20
155,0,7,33,23
156,0,2,15,11
157,0,0,6,5
158,1,7,14,11
159,1,7,8,6
160,1,7,9,7
161,0,7,23,17
162,0,7,18,12
163,0,7,12,10
164,0,7,12,9
165,0,7,16,15
166,0,7,12,10
167,0,7,9,9
168,0,7,8,8
169,0,7,19,18
170,0,7,18,17
171,0,7,11,8
172,0,0,4,3
173,0,0,1,1
174,0,0,1,1
175,0,0,1,1
176,0,0,1,1
177,0,7,9,8
178,1,2,6,4
179,1,2,13,6
180,0,7,16,12
181,0,2,12,7
182,0,0,9,5
183,0,0,6,5
184,1,0,8,5
185,1,0,5,3
186,1,2,19,15
187,0,0,18,13
188,0,5,8,5
189,1,7,8,7
190,1,2,29,17
191,1,7,28,23
192,1,7,43,28
193,1,7,35,23
194,1,7,30,20
195,1,7,32,25
196,0,7,38,27
197,0,7,30,23
198,0,7,30,22
199,0,7,16,15
200,0,0,2,2
201,0,2,13,9
202,0,7,21,17
203,0,7,15,11
204,1,7,22,11
205,1,7,24,18
206,0,7,13,13
207,0,7,10,9
208,0,7,8,7
209,0,7,10,9
210,0,7,12,10
211,0,7,12,11
212,0,7,4,4
213,0,7,12,12
214,0,7,11,11
215,0,7,6,6
216,0,7,4,3
217,0,7,3,3
218,0,0,2,2
219,0,0,4,4
220,0,0,2,2
221,0,7,10,9
222,0,7,8,6
223,1,7,7,5
224,1,7,18,14
225,1,7,17,10
226,1,0,2,2
227,1,0,3,3
228,1,0,5,5
229,0,2,1,1
230,1,5,6,2
231,0,7,20,13
232,1,7,18,12
233,1,2,18,12
234,0,2,17,14
235,0,7,36,30
236,0,7,39,28
237,0,7,34,29
238,0,7,24,16
239,0,7,38,26
240,0,7,26,14
241,0,7,31,20
242,0,7,35,30
243,0,7,24,16
244,0,0,2,2
245,0,2,7,6
246,0,7,18,13
247,0,7,10,8
248,0,7,10,10
249,1,7,20,14
250,0,7,17,15
251,0,7,10,9
252,0,7,24,12
253,0,7,8,7
254,0,7,8,8
255,0,7,15,15
256,0,7,11,10
257,0,7,15,15
258,0,7,16,14
259,0,7,12,12
260,0,7,11,11
261,0,7,9,8
262,0,7,7,6
263,0,7,9,8
264,0,0,4,3
265,0,0,2,2
266,0,0,2,2
267,0,7,2,2
