OBJECTID,ORIG_FID,X,Y,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
1,0,-85.4,34.99,34.9932,-85.39602273,34.9884,-85.40198864
2,0,-85.4,34.9964,,,34.998,-85.40198864
3,0,-85.39204545,34.9964,,,34.998,-85.39005681
4,0,-85.39204545,34.99,,,34.9884,-85.39005681
5,0,-85.4,34.99,,,34.9884,-85.40198864
6,1,-85.39204545,34.99,34.9932,-85.38806818,34.9884,-85.39403409
7,1,-85.39204545,34.9964,,,34.998,-85.39403409
8,1,-85.38409091,34.9964,,,34.998,-85.38210228
9,1,-85.38409091,34.99,,,34.9884,-85.38210228
10,1,-85.39204545,34.99,,,34.9884,-85.39403409
11,2,-85.38409091,34.99,34.9932,-85.38011364,34.9884,-85.38607955
12,2,-85.38409091,34.9964,,,34.998,-85.38607955
13,2,-85.37613636,34.9964,,,34.998,-85.37414772
14,2,-85.37613636,34.99,,,34.9884,-85.37414772
15,2,-85.38409091,34.99,,,34.9884,-85.38607955
16,3,-85.37613636,34.99,34.9932,-85.37215909,34.9884,-85.378125
17,3,-85.37613636,34.9964,,,34.998,-85.378125
18,3,-85.36818182,34.9964,,,34.998,-85.36619319
19,3,-85.36818182,34.99,,,34.9884,-85.36619319
20,3,-85.37613636,34.99,,,34.9884,-85.378125
21,4,-85.36818182,34.99,34.9932,-85.36420455,34.9884,-85.37017046
22,4,-85.36818182,34.9964,,,34.998,-85.37017046
23,4,-85.36022727,34.9964,,,34.998,-85.35823863
24,4,-85.36022727,34.99,,,34.9884,-85.35823863
25,4,-85.36818182,34.99,,,34.9884,-85.37017046
26,5,-85.36022727,34.99,34.9932,-85.35625,34.9884,-85.36221591
27,5,-85.36022727,34.9964,,,34.998,-85.36221591
28,5,-85.35227273,34.9964,,,34.998,-85.3502841
29,5,-85.35227273,34.99,,,34.9884,-85.3502841
30,5,-85.36022727,34.99,,,34.9884,-85.36221591
31,6,-85.35227273,34.99,34.9932,-85.34829545,34.9884,-85.35426137
32,6,-85.35227273,34.9964,,,34.998,-85.35426137
33,6,-85.34431818,34.9964,,,34.998,-85.34232954
34,6,-85.34431818,34.99,,,34.9884,-85.34232954
35,6,-85.35227273,34.99,,,34.9884,-85.35426137
36,7,-85.34431818,34.99,34.9932,-85.34034091,34.9884,-85.34630682
37,7,-85.34431818,34.9964,,,34.998,-85.34630682
38,7,-85.33636364,34.9964,,,34.998,-85.33437501
39,7,-85.33636364,34.99,,,34.9884,-85.33437501
40,7,-85.34431818,34.99,,,34.9884,-85.34630682
41,8,-85.33636364,34.99,34.9932,-85.33238636,34.9884,-85.33835228
42,8,-85.33636364,34.9964,,,34.998,-85.33835228
43,8,-85.32840909,34.9964,,,34.998,-85.32642045
44,8,-85.32840909,34.99,,,34.9884,-85.32642045
45,8,-85.33636364,34.99,,,34.9884,-85.33835228
46,9,-85.32840909,34.99,34.9932,-85.32443182,34.9884,-85.33039773
47,9,-85.32840909,34.9964,,,34.998,-85.33039773
48,9,-85.32045455,34.9964,,,34.998,-85.31846591
49,9,-85.32045455,34.99,,,34.9884,-85.31846591
50,9,-85.32840909,34.99,,,34.9884,-85.33039773
51,10,-85.32045455,34.99,34.9932,-85.31647727,34.9884,-85.32244319
