Accident,City,Unix,Join_Count,GRID_ID,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS,Hour,Date,hourbefore,cloudCover,dewPoint,humidity,precipIntensity,precipProbability,precipType,pressure,temperature,uvIndex,visibility,windBearing,windGust,windSpeed,Event,Conditions,Rain,Cloudy,Foggy,Snow,Clear,Longitude,Latitude,RainBefore,DayFrame,WeekDay,DayOfWeek
1,CHATTANOOGA,1483315200,70,AA-12,561,2,2,19,19,2017-01-01,1483311600,1,45.58,0.91,0.0045,0.41,rain,1018.9,48.14,0,1.464,90,3.16,2.03,rain,possible drizzle,1,0,0,0,0,-85.279461,35.118721,0,1,0,6
1,CHATTANOOGA,1483315200,139,AG-9,627,2,2,19,19,2017-01-01,1483311600,1,45.61,0.9,0.0051,0.5,rain,1018.9,48.41,0,1.446,76,1.62,0.91,rain,possible drizzle,1,0,0,0,0,-85.235564,35.142279,1,1,0,6
1,CHATTANOOGA,1483318800,999,W-20,282,2,2,16,20,2017-01-01,1483315200,1,46.26,0.92,0.0165,0.9,rain,1019.9,48.42,0,1.456,111,1.01,1.01,rain,light rain,1,0,0,0,0,-85.306483,35.052255,1,1,0,6
1,CHATTANOOGA,1483318800,85,X-19,318,2,2,19,20,2017-01-01,1483315200,1,46.24,0.93,0.0164,0.91,rain,1019.9,48.2,0,1.463,111,0.98,0.98,rain,light rain,1,0,0,0,0,-85.301671,35.061047,1,1,0,6
1,CHATTANOOGA,1483318800,402,O-23,168,4,2,19,20,2017-01-01,1483315200,1,46.6,0.88,0.0252,0.93,rain,1019.9,50.03,0,1.373,118,1.6,0.96,rain,light rain,1,0,0,0,0,-85.363857,35.025429,1,1,0,6
1,CHATTANOOGA,1483326000,90,Y-23,177,2,2,19,22,2017-01-01,1483322400,1,46.46,0.91,0.0657,1,rain,1019.8,48.88,0,1.452,80,3.51,1.76,rain,light rain,1,0,0,0,0,-85.289719,35.029291,1,1,0,6
1,CHATTANOOGA,1483326000,485,AE-23,183,2,2,19,22,2017-01-01,1483322400,1,46.67,0.98,0.0738,1,rain,1019.8,47.35,0,1.525,77,3.35,1.04,rain,light rain,1,0,0,0,0,-85.248005,35.024592,1,1,0,6
1,CHATTANOOGA,1483326000,311,AK-24,149,2,2,19,22,2017-01-01,1483322400,1,46.24,0.95,0.0622,1,rain,1019.8,47.49,0,1.503,55,4.46,1.49,rain,light rain,1,0,0,0,0,-85.201795,35.020269,1,1,0,6
1,CHATTANOOGA,1483326000,174,AM-17,408,2,2,19,22,2017-01-01,1483322400,1,46.53,0.95,0.0621,1,rain,1019.8,47.88,0,1.531,65,3.79,0.91,rain,light rain,1,0,0,0,0,-85.19034,35.073644,1,1,0,6
1,CHATTANOOGA,1483329600,764,V-20,281,6,2,11,23,2017-01-01,1483326000,1,46.83,0.9,0.043,1,rain,1019.6,49.55,0,1.488,70,2.85,0.89,rain,light rain,1,0,0,0,0,-85.311819,35.053471,1,1,0,6
1,CHATTANOOGA,1483250400,999,W-20,282,2,2,16,1,2017-01-01,1483246800,1,39.26,0.92,0.0452,1,rain,1017.9,41.43,0,3.213,174,4.01,0.86,rain,light rain,1,0,0,0,0,-85.309633,35.052314,1,1,0,6
1,HAMILTON COUNTY,1483250400,322,BB-17,423,2,2,19,1,2017-01-01,1483246800,1,39.55,0.94,0.0435,1,rain,1017.9,41.05,0,3.115,174,5.93,1.63,rain,light rain,1,0,0,0,0,-85.078231,35.08115,1,1,0,6
1,CHATTANOOGA,1483250400,25,W-12,559,2,2,19,1,2017-01-01,1483246800,1,39.38,0.93,0.0381,1,rain,1017.9,41.17,0,3.359,172,4.44,0.8,rain,light rain,1,0,0,0,0,-85.308705,35.114979,1,1,0,6
1,CHATTANOOGA,1483250400,1359,AR-22,233,4,2,19,1,2017-01-01,1483246800,1,39.62,0.94,0.0513,1,rain,1017.9,41.14,0,3.609,180,3.26,0.9,rain,light rain,1,0,0,0,0,-85.153824,35.041303,1,1,0,6
1,CHATTANOOGA,1483257600,34,AH-23,186,2,2,19,3,2017-01-01,1483254000,1,39.62,0.92,0.013,0.99,rain,1018,41.71,0,3.371,149,2.82,0.15,rain,drizzle,1,0,0,0,0,-85.224522,35.02727,1,1,0,6
1,CHATTANOOGA,1483261200,60,AD-18,362,2,2,19,4,2017-01-01,1483257600,1,39.41,0.92,0.0248,0.99,rain,1018,41.65,0,3.567,172,1.6,0.33,rain,light rain,1,0,0,0,0,-85.251764,35.075117,1,1,0,6
1,CHATTANOOGA,1483272000,183,AR-21,267,2,2,19,7,2017-01-01,1483268400,1,41.07,0.94,0.0233,1,rain,1018.3,42.71,0,1.48,153,1.86,1.86,rain,light rain,1,0,0,0,0,-85.156225,35.046084,1,2,0,6
1,CHATTANOOGA,1483279200,163,AQ-14,518,4,2,14,9,2017-01-01,1483275600,1,41.71,0.93,0.0183,1,rain,1019.2,43.49,0,1.457,91,1.29,0.99,rain,light rain,1,0,0,0,0,-85.159294,35.100298,1,2,0,6
1,EAST RIDGE,1483282800,45,AB-27,44,2,2,19,10,2017-01-01,1483279200,1,42.29,0.94,0.0103,0.82,rain,1019.9,43.94,1,1.434,92,1.95,0.68,rain,drizzle,1,0,0,0,0,-85.269433,34.995786,1,3,0,6
1,CHATTANOOGA,1483286400,98,X-17,393,2,2,19,11,2017-01-01,1483282800,1,43.18,0.92,0.0221,1,rain,1020.6,45.29,2,1.493,63,6.7,3.32,rain,light rain,1,0,0,0,0,-85.297037,35.080754,1,3,0,6
1,CHATTANOOGA,1483286400,21,Z-13,536,2,2,19,11,2017-01-01,1483282800,1,43.04,0.91,0.0208,1,rain,1020.6,45.5,2,1.501,65,4.31,3.63,rain,light rain,1,0,0,0,0,-85.280018,35.115429,1,3,0,6
1,CHATTANOOGA,1483290000,81,AM-15,482,2,2,19,12,2017-01-01,1483286400,1,43.72,0.91,0.0102,0.98,rain,1020.2,46.1,2,5.379,65,4.55,1.35,rain,drizzle,1,0,0,0,0,-85.187957,35.090994,1,3,0,6
1,CHATTANOOGA,1483293600,679,V-23,174,2,2,19,13,2017-01-01,1483290000,1,43.96,0.9,0.001,0.11,rain,1019.5,46.88,2,1.31,55,5.5,1.58,fog,foggy,0,0,1,0,0,-85.311255,35.032049,1,3,0,6
1,CHATTANOOGA,1483293600,833,AQ-21,266,4,2,14,13,2017-01-01,1483290000,1,44.38,0.94,0.0008,0.16,rain,1019.5,46.09,2,3.223,50,4.36,1.52,cloudy,overcast,0,1,0,0,0,-85.163414,35.043556,1,3,0,6
