Accident,Grid_Num,Unix,Date,Hour,hourbefore,City,Join_Count,NBR_LANES,TY_TERRAIN,FUNC_CLASS,GRID_ID,cloudCover,dewPoint,humidity,precipIntensity,precipProbability,precipType,pressure,temperature,uvIndex,visibility,windBearing,windGust,windSpeed,Event,Conditions,Rain,Cloudy,Foggy,Snow,Clear,Longitude,Latitude,RainBefore,DayFrame,WeekDay,DayOfWeek
1,212,1514869200,2018-01-02,20,1514865600,CHATTANOOGA,561,2,2,19,W-22,0,4.04,0.59,0,0,,1038.9,15.7,0,2.698,10,8.78,3.91,clear-night,clear,0,0,0,0,1,-85.307395,35.037417,0,1,1,1
1,60,1514869200,2018-01-02,22,1514865600,CHATTANOOGA,115,2,2,19,V-26,0,4.09,0.59,0,0,,1038.9,15.76,0,2.74,11,8.29,4.35,clear-night,clear,0,0,0,0,1,-85.31444,35.005285,0,1,1,1
1,475,1514869200,2018-01-02,10,1514865600,CHATTANOOGA,184,4,2,14,AF-15,0,3.7,0.6,0,0,,1038.9,15.29,0,8.659,7,7.39,4.47,clear-night,clear,0,0,0,0,1,-85.24303,35.095546,0,3,1,1
1,475,1514869200,2018-01-02,10,1514865600,CHATTANOOGA,184,4,2,14,AF-15,0,3.7,0.6,0,0,,1038.9,15.29,0,8.659,7,7.39,4.47,clear-night,clear,0,0,0,0,1,-85.237464,35.100234,0,3,1,1
1,475,1514869200,2018-01-02,10,1514865600,CHATTANOOGA,184,4,2,14,AF-15,0,3.7,0.6,0,0,,1038.9,15.29,0,8.659,7,7.39,4.47,clear-night,clear,0,0,0,0,1,-85.238209,35.094725,0,3,1,1
1,256,1514869200,2018-01-02,10,1514865600,CHATTANOOGA,54,2,2,19,AG-21,0,3.97,0.59,0,0,,1038.9,15.87,0,9.43,5,10.7,5.49,clear-night,clear,0,0,0,0,1,-85.23359,35.03919,0,3,1,1
1,292,1514869200,2018-01-02,11,1514865600,CHATTANOOGA,47,2,2,19,AG-20,0,3.97,0.59,0,0,,1038.9,15.83,0,9.39,5,10.58,5.48,clear-night,clear,0,0,0,0,1,-85.234752,35.050949,0,3,1,1
1,183,1514869200,2018-01-02,12,1514865600,CHATTANOOGA,485,2,2,19,AE-23,0,4.09,0.6,0,0,,1038.9,15.68,0,8.993,9,10.53,5.36,clear-night,clear,0,0,0,0,1,-85.247162,35.028547,0,3,1,1
1,78,1514869200,2018-01-02,12,1514865600,CHATTANOOGA,337,2,2,19,AR-26,0,4.03,0.59,0,0,,1038.9,15.7,0,7.267,25,9.02,3.63,clear-night,clear,0,0,0,0,1,-85.153775,35.007582,0,3,1,1
1,255,1514869200,2018-01-02,12,1514865600,CHATTANOOGA,224,2,2,19,AF-21,0,4.07,0.59,0,0,,1038.9,15.78,0,9.288,6,10.95,5.61,clear-night,clear,0,0,0,0,1,-85.237299,35.047083,0,3,1,1
1,624,1514869200,2018-01-02,12,1514865600,CHATTANOOGA,118,2,2,19,AD-9,0.19,3.64,0.63,0,0,,1038.9,14.02,0,8.221,9,4.61,2.74,clear-night,clear,0,0,0,0,1,-85.252215,35.146073,0,3,1,1
1,98,1514869200,2018-01-02,13,1514865600,CHATTANOOGA,164,2,2,19,Y-25,0,4.14,0.59,0,0,,1038.9,15.87,0,2.527,17,8.78,3.66,clear-night,clear,0,0,0,0,1,-85.292197,35.007748,0,3,1,1
1,289,1514869200,2018-01-02,13,1514865600,CHATTANOOGA,172,2,2,19,AD-20,0,4.11,0.6,0,0,,1038.9,15.71,0,8.974,6,10.85,5.49,clear-night,clear,0,0,0,0,1,-85.252853,35.051298,0,3,1,1
1,605,1514869200,2018-01-02,13,1514865600,CHATTANOOGA,430,6,2,14,AE-10,0.01,3.56,0.61,0,0,,1038.9,14.44,0,8.426,7,5.13,3.82,clear-night,clear,0,0,0,0,1,-85.248737,35.139208,0,3,1,1
1,107,1514869200,2018-01-02,14,1514865600,CHATTANOOGA,592,2,2,19,AI-25,0,3.89,0.58,0,0,,1038.9,16.01,0,8.996,12,9.2,4.47,clear-night,clear,0,0,0,0,1,-85.217266,35.011179,0,4,1,1
1,108,1514869200,2018-01-02,14,1514865600,CHATTANOOGA,476,5,2,19,AJ-25,0,3.77,0.58,0,0,,1038.9,16.01,0,9.261,9,9.26,4.5,clear-night,clear,0,0,0,0,1,-85.211314,35.013269,0,4,1,1
1,606,1514869200,2018-01-02,14,1514865600,CHATTANOOGA,230,2,2,19,AF-10,0.19,3.51,0.61,0,0,,1038.9,14.52,0,8.334,7,4.77,3.73,clear-night,clear,0,0,0,0,1,-85.243167,35.137205,0,4,1,1
1,137,1514869200,2018-01-02,14,1514865600,CHATTANOOGA,467,2,2,14,Y-24,0,4.12,0.59,0,0,,1038.9,15.81,0,7.902,14,9.09,4.03,clear-night,clear,0,0,0,0,1,-85.294278,35.013694,0,4,1,1
1,149,1514869200,2018-01-02,14,1514865600,CHATTANOOGA,311,2,2,19,AK-24,0,3.66,0.58,0,0,,1038.9,15.96,0,9.456,7,9.25,4.48,clear-night,clear,0,0,0,0,1,-85.202312,35.019169,0,4,1,1
1,449,1514869200,2018-01-02,15,1514865600,CHATTANOOGA,28,2,2,19,AO-16,0,3.71,0.59,0,0,,1038.9,15.54,0,8.888,10,7.04,4.14,clear-night,clear,0,0,0,0,1,-85.174464,35.084775,0,4,1,1
1,105,1514869200,2018-01-02,16,1514865600,CHATTANOOGA,356,2,2,19,AG-25,0,4.03,0.59,0,0,,1038.9,15.99,0,8.789,15,9.21,4.62,clear-night,clear,0,0,0,0,1,-85.231362,35.007176,0,4,1,1
1,195,1514869200,2018-01-02,16,1514865600,CHATTANOOGA,659,2,2,19,AQ-23,0,3.84,0.59,0,0,,1038.9,15.64,0,8.778,18,8.86,3.79,clear-night,clear,0,0,0,0,1,-85.158512,35.023735,0,4,1,1
1,139,1514869200,2018-01-02,16,1514865600,CHATTANOOGA,882,2,2,19,AA-24,0,4.15,0.59,0,0,,1038.9,15.9,0,8.199,14,9.56,4.93,clear-night,clear,0,0,0,0,1,-85.274068,35.014874,0,4,1,1
1,245,1514869200,2018-01-02,17,1514865600,CHATTANOOGA,1252,2,2,17,V-21,0,3.98,0.59,0,0,,1038.9,15.6,0,2.777,7,8.3,4.81,clear-night,clear,0,0,0,0,1,-85.310584,35.049648,0,4,1,1
1,576,1514869200,2018-01-02,17,1514865600,CHATTANOOGA,75,2,2,14,AV-12,0.19,3.87,0.62,0,0,,1038.9,14.62,0,7.725,14,5.04,2.25,clear-night,clear,0,0,0,0,1,-85.125346,35.126028,0,4,1,1
1,235,1514869200,2018-01-02,17,1514865600,CHATTANOOGA,32,2,2,19,AT-22,0,3.94,0.6,0,0,,1038.9,15.49,0,8.247,22,8.64,3.62,clear-night,clear,0,0,0,0,1,-85.135767,35.035012,0,4,1,1
1,185,1514869200,2018-01-02,18,1514865600,CHATTANOOGA,40,2,2,19,AG-23,0,3.94,0.58,0,0,,1038.9,15.96,0,9.309,8,10.2,5.2,clear-night,clear,0,0,0,0,1,-85.234502,35.027232,0,4,1,1
1,68,1514955600,2018-01-03,17,1514952000,CHATTANOOGA,486,2,2,19,AH-26,0.44,10.61,0.62,0,0,,1029.4,21.58,0,8.629,0,0.32,0.18,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.227473,35.004577,0,4,1,2
1,648,1514955600,2018-01-03,19,1514952000,CHATTANOOGA,101,2,2,19,AK-8,0.75,9.15,0.58,0,0,,1029.4,21.81,0,9.292,,0.01,0.01,partly-cloudy-night,mostly cloudy,0,1,0,0,0,-85.199332,35.154054,0,1,1,2
1,282,1514955600,2018-01-03,19,1514952000,CHATTANOOGA,999,2,2,16,W-20,0.44,8.83,0.55,0,0,,1029.4,22.65,0,7.631,0,0.2,0.09,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.309633,35.052314,0,1,1,2
1,281,1514955600,2018-01-03,21,1514952000,CHATTANOOGA,764,6,2,11,V-20,0.44,8.9,0.55,0,0,,1029.4,22.65,0,7.483,0,0.21,0.09,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.311339,35.053255,0,1,1,2
1,425,1514955600,2018-01-03,21,1514952000,COLLEGEDALE,509,2,2,16,BD-17,0.67,9.27,0.6,0,0,,1029.4,21.01,0,7.38,353,0.52,0.16,partly-cloudy-night,mostly cloudy,0,1,0,0,0,-85.063324,35.083861,0,1,1,2
1,425,1514955600,2018-01-03,13,1514952000,COLLEGEDALE,509,2,2,16,BD-17,0.67,9.27,0.6,0,0,,1029.4,21.01,0,7.38,353,0.52,0.16,partly-cloudy-night,mostly cloudy,0,1,0,0,0,-85.063324,35.083861,0,3,1,2
1,364,1514955600,2018-01-03,7,1514952000,CHATTANOOGA,79,2,2,19,AF-18,0.44,9.19,0.57,0,0,,1029.4,22.03,0,8.938,0,0.14,0.06,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.24271,35.070777,0,2,1,2
1,174,1514955600,2018-01-03,7,1514952000,CHATTANOOGA,679,2,2,19,V-23,0.7,8.78,0.54,0,0,,1029.4,23.17,0,2.436,0,0.22,0.1,partly-cloudy-night,mostly cloudy,0,1,0,0,0,-85.313586,35.033352,0,2,1,2
1,211,1514955600,2018-01-03,8,1514952000,CHATTANOOGA,331,2,2,19,V-22,0.7,8.78,0.54,0,0,,1029.4,23.09,0,2.446,0,0.21,0.09,partly-cloudy-night,mostly cloudy,0,1,0,0,0,-85.311252,35.037599,0,2,1,2
1,106,1514955600,2018-01-03,8,1514952000,CHATTANOOGA,563,2,2,19,AH-25,0.44,10.45,0.61,0,0,,1029.4,21.84,0,9.044,0,0.25,0.14,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.228151,35.013186,0,2,1,2
1,106,1514955600,2018-01-03,15,1514952000,CHATTANOOGA,563,2,2,19,AH-25,0.44,10.45,0.61,0,0,,1029.4,21.84,0,9.044,0,0.25,0.14,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.222628,35.011,0,4,1,2
1,303,1514955600,2018-01-03,8,1514952000,CHATTANOOGA,63,2,2,19,AR-20,0.44,10.07,0.61,0,0,,1029.4,21.36,0,8.818,357,0.31,0.14,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.149942,35.05224,0,2,1,2
1,357,1514955600,2018-01-03,9,1514952000,CHATTANOOGA,155,2,2,19,Y-18,0.44,8.88,0.55,0,0,,1029.4,22.57,0,7.983,0,0.17,0.07,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.289022,35.068538,0,2,1,2
1,196,1514955600,2018-01-03,10,1514952000,CHATTANOOGA,648,2,2,17,AR-23,0.44,9.86,0.61,0,0,,1029.4,21.1,0,8.604,357,0.34,0.14,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.151733,35.033342,0,3,1,2
1,295,1514955600,2018-01-03,10,1514952000,CHATTANOOGA,102,2,2,19,AJ-20,0.44,10.43,0.61,0,0,,1029.4,22,0,9.552,0,0.14,0.09,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.213085,35.05158,0,3,1,2
1,232,1514955600,2018-01-03,11,1514952000,CHATTANOOGA,884,2,2,17,AQ-22,0.44,10.2,0.62,0,0,,1029.4,21.23,0,8.959,357,0.31,0.15,partly-cloudy-night,partly cloudy,0,1,0,0,0,-85.158706,35.034528,0,3,1,2
