Response Date,Fixed Time CallClosed,Address,City,Latitude,Longitude,Problem
1/20/2020 11:56:07 PM,1/21/2020 5:06:09 AM,18320 INTERSTATE 24 EB,CHATTANOOGA,35013617,85250768,ACC1-MVC Injuries
1/20/2020 9:50:59 PM,1/20/2020 11:42:49 PM,Bonny Oaks Dr / Hickory Valley Rd,CHATTANOOGA,35071531,85156379,ACC2-MVC No Injuries
1/20/2020 9:24:15 PM,1/20/2020 9:36:18 PM,2318 Shallowford Village Dr,CHATTANOOGA,35043693,85156884,ACC1-MVC Injuries
1/20/2020 9:24:15 PM,1/20/2020 10:08:59 PM,2318 Shallowford Village Dr,CHATTANOOGA,35043693,85156884,ACC1-MVC Injuries
1/20/2020 9:21:36 PM,1/21/2020 12:40:15 AM,2318 Shallowford Village Dr,CHATTANOOGA,35043693,85156884,ACC1-MVC Injuries
1/20/2020 8:19:32 PM,1/20/2020 8:59:32 PM,3743 CUMMINGS HWY,CHATTANOOGA,35018490,85380847,ACC2-MVC No Injuries
1/20/2020 7:18:11 PM,1/20/2020 8:21:07 PM,8115 E Brainerd Rd,CHATTANOOGA,35004336,85148740,ACC2-MVC No Injuries
1/20/2020 7:03:05 PM,1/20/2020 7:32:23 PM,109 Sequoyah Rd,SODDY DAISY,35253974,85181056,ACC2-MVC No Injuries
1/20/2020 6:48:00 PM,1/20/2020 7:16:47 PM,6700 BONNY OAKS DR,CHATTANOOGA,35072196,85158571,ACC2-MVC No Injuries
1/20/2020 6:29:45 PM,1/20/2020 7:38:07 PM,Standifer Gap Rd / Courage Way,CHATTANOOGA,35052195,85147281,ACC2-MVC No Injuries
1/20/2020 5:51:25 PM,1/20/2020 6:00:42 PM,107 Hilldale Dr,RIDGESIDE,35036464,85249166,ACC3-MVC Unknown Injuries
1/20/2020 5:50:59 PM,1/20/2020 6:29:38 PM,107 Hilldale Dr,RIDGESIDE,35036464,85249166,ACC3-MVC Unknown Injuries
1/20/2020 5:49:52 PM,1/20/2020 5:58:01 PM,4th Ave / E 31st St,CHATTANOOGA,35008011,85284954,ACC1-MVC Injuries
1/20/2020 5:49:52 PM,1/20/2020 5:57:22 PM,4th Ave / E 31st St,CHATTANOOGA,35008011,85284954,ACC1-MVC Injuries
1/20/2020 5:43:58 PM,1/20/2020 6:47:31 PM,4th Ave / E 31st St,CHATTANOOGA,35008011,85284954,ACC1-MVC Injuries
1/20/2020 5:41:16 PM,1/20/2020 5:53:29 PM,7200 HIXSON PIKE,HAMILTON COUNTY,35168298,85182676,ACC4-MVC Entrapment
1/20/2020 5:41:16 PM,1/20/2020 5:49:39 PM,7200 HIXSON PIKE,HAMILTON COUNTY,35168298,85182676,ACC1-MVC Injuries
1/20/2020 5:40:40 PM,1/20/2020 6:17:25 PM,7200 HIXSON PIKE,HAMILTON COUNTY,35168298,85182676,ACC1-MVC Injuries
1/20/2020 5:37:20 PM,1/20/2020 6:15:30 PM,2040 Hamilton Place Blvd,CHATTANOOGA,35031787,85160173,ACC2-MVC No Injuries
1/20/2020 5:33:37 PM,1/20/2020 5:42:24 PM,7022 Highway 153,CHATTANOOGA,35186665,85245778,ACC2-MVC No Injuries
1/20/2020 5:28:57 PM,1/20/2020 5:44:53 PM,17350 Interstate 24 Wb,CHATTANOOGA,35012951,85388585,ACC1-MVC Injuries
1/20/2020 5:28:56 PM,1/20/2020 6:42:38 PM,17350 Interstate 24 Wb,CHATTANOOGA,35012951,85388585,ACC1-MVC Injuries
1/20/2020 5:22:52 PM,1/20/2020 6:12:18 PM,1500 Highway 27 Nb,CHATTANOOGA,35211551,85219078,ACC2-MVC No Injuries
1/20/2020 5:19:20 PM,1/20/2020 5:39:51 PM,5700-5704 Brainerd Rd,CHATTANOOGA,35011610,85214200,ACC2-MVC No Injuries
1/20/2020 5:08:07 PM,1/20/2020 5:18:46 PM,1000 Dayton Blvd,RED BANK,35074839,85318366,ACC2-MVC No Injuries
1/20/2020 5:01:16 PM,1/20/2020 6:46:26 PM,17350 Interstate 24 Wb,CHATTANOOGA,35012951,85388585,ACC1-MVC Injuries
1/20/2020 5:01:05 PM,1/20/2020 5:06:15 PM,17380-17418 Interstate 24 Wb,CHATTANOOGA,35017849,85384197,ACC3-MVC Unknown Injuries
1/20/2020 4:59:52 PM,1/20/2020 5:16:10 PM,2200 - 2299 E 23RD ST,CHATTANOOGA,35017935,85279681,ACC2-MVC No Injuries
