Accident,Latitude,Longitude,Date,Time,Hour,DayFrame,WeekDay,WeekEnd,Precipitation_Intensity,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count,Weekday
1,35.049108000000004,-85.174093,2018-01-13,0:59:18,0,1,0,1,0.0,0,1,0,0,0,0,458,29,13,0,7,8,5
0,-85.11212678,-85.11212678,2018-01-13,1:00:00,1,1,0,1,0.0,0,1,0,0,0,0,423,5,39,14,0,0,5
0,-85.10014607,-85.10014607,2018-01-13,1:00:00,1,1,0,1,0.0,0,1,0,0,0,0,684,5,38,8,0,7,5
0,-85.08811254,-85.08811254,2018-01-13,2:00:00,2,1,0,1,0.0,0,1,0,0,0,0,560,5,41,11,0,7,5
0,-85.15785894,-85.15785894,2018-01-13,4:00:00,4,1,0,1,0.0,0,1,0,0,0,0,676,5,30,8,0,0,5
0,-85.27403545,-85.27403545,2018-01-13,4:00:00,4,1,0,1,0.0,0,1,0,0,0,0,356,5,17,15,0,5,5
1,35.071748,-85.116541,2018-01-13,5:53:33,5,2,0,1,0.0,0,1,0,0,0,0,718,34,7,0,2,1,5
0,-85.21476944,-85.21476944,2018-01-13,5:00:00,5,2,0,1,0.0,0,1,0,0,0,0,587,5,23,10,1,7,5
0,-85.22822132,-85.22822132,2018-01-13,5:00:00,5,2,0,1,0.0,0,1,0,0,0,0,137,5,26,21,0,7,5
0,-85.12736362,-85.12736362,2018-01-13,5:00:00,5,2,0,1,0.0,0,1,0,0,0,0,510,5,36,12,0,7,5
0,-85.12654635,-85.12654635,2018-01-13,5:00:00,5,2,0,1,0.0,0,1,0,0,0,0,421,5,37,14,0,7,5
0,-85.22738626,-85.22738626,2018-01-13,6:00:00,6,2,0,1,0.0,0,1,0,0,0,0,84,5,27,23,0,7,5
0,-85.31969426,-85.31969426,2018-01-13,6:00:00,6,2,0,1,0.0,0,1,0,0,0,0,222,5,12,18,1,7,5
0,-85.30780164,-85.30780164,2018-01-13,6:00:00,6,2,0,1,0.0,0,1,0,0,0,0,485,5,11,12,1,7,5
0,-85.24767723,-85.24767723,2018-01-13,6:00:00,6,2,0,1,0.0,0,1,0,0,0,0,624,5,18,9,0,9,5
0,-85.0640911,-85.0640911,2018-01-13,6:00:00,6,2,0,1,0.0,0,1,0,0,0,0,689,5,43,8,0,7,5
1,35.116785,-85.163795,2018-01-13,7:12:17,7,2,0,1,0.0,0,1,0,0,0,0,837,26,3,0,7,2,5
0,-85.08252179,-85.08252179,2018-01-13,7:00:00,7,2,0,1,0.0,0,1,0,0,0,0,724,5,40,7,0,0,5
0,-85.27300582,-85.27300582,2018-01-13,7:00:00,7,2,0,1,0.0,0,1,0,0,0,0,15,5,22,26,0,7,5
0,-85.29081576,-85.29081576,2018-01-13,7:00:00,7,2,0,1,0.0,0,1,0,0,0,0,226,5,16,18,0,7,5
0,-85.33009898,-85.33009898,2018-01-13,7:00:00,7,2,0,1,0.0,0,1,0,0,0,0,186,5,11,19,0,7,5
0,-85.22822132,-85.22822132,2018-01-13,7:00:00,7,2,0,1,0.0,0,1,0,0,0,0,137,5,26,21,0,7,5
0,-85.35726885,-85.35726885,2018-01-13,7:00:00,7,2,0,1,0.0,0,1,0,0,0,0,66,5,9,23,0,7,5
0,-85.25254737,-85.25254737,2018-01-13,8:00:00,8,2,0,1,0.0,0,1,0,0,0,0,735,5,16,6,0,7,5
0,-85.25254737,-85.25254737,2018-01-13,8:00:00,8,2,0,1,0.0,0,1,0,0,0,0,735,5,16,6,0,7,5
0,-85.27084721,-85.27084721,2018-01-13,8:00:00,8,2,0,1,0.0,0,1,0,0,0,0,401,5,17,14,0,5,5
1,35.04156,-85.154814,2018-01-13,9:14:27,9,2,0,1,0.0,0,1,0,0,0,0,416,32,14,1,7,10,5
