Accident,Latitude,Longitude,Date,Time,Hour,DayFrame,Weekday,WeekDay,WeekEnd,Precipitation_Intensity,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
1,35.001159,-85.291679,2019-01-01,0:34:13,0,1,1,1,0,0.0126,0,0,0,1,0,0,13,20,26,0,7,23
1,35.063562,-85.310268,2019-01-01,1:31:09,1,1,1,1,0,0.001,0,1,0,0,0,0,223,13,18,0,7,30
1,35.060957,-85.3181,2019-01-01,1:33:05,1,1,1,1,0,0.001,0,1,0,0,0,0,188,13,19,1,2,5
1,34.989554,-85.198923,2019-01-01,2:19:17,2,1,1,1,0,0.0015,0,1,0,0,0,0,88,31,23,1,2,5
1,34.98947,-85.209277,2019-01-01,2:53:46,2,1,1,1,0,0.0015,0,1,0,0,0,0,63,30,24,0,7,9
1,35.005828,-85.207205,2019-01-01,2:53:46,2,1,1,1,0,0.0014,0,1,0,0,0,0,140,29,21,1,2,8
1,34.98947,-85.209277,2019-01-01,2:58:52,2,1,1,1,0,0.0015,0,1,0,0,0,0,63,30,24,0,7,9
1,35.005828,-85.207205,2019-01-01,3:01:40,3,1,1,1,0,0.0014,0,1,0,0,0,0,140,29,21,1,2,8
1,35.015818,-85.254192,2019-01-01,3:20:34,3,1,1,1,0,0.0012,0,1,0,0,0,0,106,23,22,1,7,27
1,35.033453,-85.319223,2019-01-01,7:15:00,7,2,1,1,0,0.001,0,0,0,1,0,0,71,14,23,1,5,8
1,35.046473,-85.31425,2019-01-01,7:16:33,7,2,1,1,0,0.001,0,0,0,1,0,0,125,14,21,1,2,19
1,35.031523,-85.317511,2019-01-01,7:16:33,7,2,1,1,0,0.001,0,0,0,1,0,0,72,15,23,1,2,15
1,35.021809,-85.297892,2019-01-01,9:42:08,9,2,1,1,0,0.0011,0,0,0,1,0,0,51,18,24,1,2,17
1,35.008983,-85.292438,2019-01-01,11:53:18,11,3,1,1,0,0.0012,0,1,0,0,0,0,31,19,25,0,7,18
1,35.030289,-85.184651,2019-01-01,12:38:06,12,3,1,1,0,0.0015,0,1,0,0,0,0,279,30,17,0,2,7
1,35.08728,-85.070467,2019-01-01,13:39:12,13,4,1,1,0,0.0018,0,1,0,0,0,0,851,40,3,1,2,7
1,35.061756,-85.228473,2019-01-01,14:05:42,14,4,1,1,0,0.0012,0,1,0,0,0,0,407,23,14,0,7,8
1,35.026045,-85.187542,2019-01-01,14:05:50,14,4,1,1,0,0.0015,0,1,0,0,0,0,279,30,17,0,2,7
1,35.041303,-85.153824,2019-01-01,14:14:12,14,4,1,1,0,0.0015,0,1,0,0,0,0,417,33,14,1,2,6
1,35.075328,-85.114423,2019-01-01,14:24:28,14,4,1,1,0,0.0017,0,1,0,0,0,0,719,35,7,1,0,2
1,34.992826,-85.202645,2019-01-01,14:30:13,14,4,1,1,0,0.0015,0,1,0,0,0,0,87,30,23,1,2,6
1,34.996081,-85.206737,2019-01-01,14:35:07,14,4,1,1,0,0.0014,0,1,0,0,0,0,87,30,23,1,2,6
1,35.058279,-85.233049,2019-01-01,15:34:45,15,4,1,1,0,0.0012,0,1,0,0,0,0,362,23,15,0,7,11
1,35.03587,-85.30661,2019-01-01,16:17:40,16,4,1,1,0,0.0011,0,1,0,0,0,0,99,16,22,0,7,20
1,35.105915,-85.10214,2019-01-01,18:00:51,18,4,1,1,0,0.0017,0,1,0,0,0,0,872,35,2,0,7,4
1,35.054424,-85.269977,2019-01-01,18:02:55,18,4,1,1,0,0.0012,0,1,0,0,0,0,229,19,18,0,7,18
1,35.046061,-85.167018,2019-01-01,18:24:19,18,4,1,1,0,0.0015,0,1,0,0,0,0,415,31,14,0,7,13
1,35.046249,-85.314311,2019-01-01,18:59:56,18,4,1,1,0,0.001,0,0,0,1,0,0,125,14,21,1,2,19
1,35.005783,-85.230757,2019-01-01,19:31:09,19,1,1,1,0,0.0013,0,1,0,0,0,0,109,26,22,1,7,21
1,35.011188,-85.224669,2019-01-01,21:24:21,21,1,1,1,0,0.0013,0,0,0,1,0,0,138,27,21,0,7,21
1,35.033483,-85.153161,2019-01-01,21:48:55,21,1,1,1,0,0.0016,0,0,0,1,0,0,373,34,15,0,7,6
1,35.124937,-85.240093,2019-01-15,7:04:07,7,2,1,1,0,0,0,1,0,0,0,0,737,18,6,1,2,9
1,35.124937,-85.240093,2019-01-15,7:16:42,7,2,1,1,0,0,0,1,0,0,0,0,737,18,6,1,2,9
1,35.094661,-85.225106,2019-01-15,7:36:54,7,2,1,1,0,0,0,1,0,0,0,0,585,21,10,1,9,4
1,35.131293,-85.33701,2019-01-15,8:04:12,8,2,1,1,0,0,0,1,0,0,0,0,570,6,10,0,7,10
1,35.018503,-85.192756,2019-01-15,8:36:54,8,2,1,1,0,0,0,1,0,0,0,0,205,30,19,0,7,15
1,35.011155,-85.276543,2019-01-15,9:17:14,9,2,1,1,0,0,0,1,0,0,0,0,54,21,24,0,7,19
1,35.031699,-85.183432,2019-01-15,9:25:20,9,2,1,1,0,0,0,1,0,0,0,0,324,30,16,1,2,9
1,35.010184,-85.271137,2019-01-15,9:27:21,9,2,1,1,0,0,0,1,0,0,0,0,54,21,24,0,7,19
1,35.012048,-85.272254,2019-01-15,9:27:28,9,2,1,1,0,0,0,1,0,0,0,0,54,21,24,0,7,19
1,35.055108,-85.258256,2019-01-15,9:51:43,9,2,1,1,0,0,0,1,0,0,0,0,269,20,17,0,7,22
1,35.025442,-85.278289,2019-01-15,10:28:22,10,3,1,1,0,0,0,1,0,0,0,0,103,20,22,0,7,23
1,35.13779,-85.236926,2019-01-15,10:42:04,10,3,1,1,0,0,0,1,0,0,0,0,800,17,4,0,7,13
1,35.049069,-85.293924,2019-01-15,10:46:59,10,3,1,1,0,0,0,1,0,0,0,0,158,16,20,0,9,19
1,35.13779,-85.236926,2019-01-15,10:57:45,10,3,1,1,0,0,0,1,0,0,0,0,800,17,4,0,7,13
1,35.047051,-85.314266,2019-01-15,11:16:17,11,3,1,1,0,0,0,1,0,0,0,0,125,14,21,1,2,19
1,35.068587,-85.142778,2019-01-15,11:21:15,11,3,1,1,0,0,0,1,0,0,0,0,639,33,9,0,2,1
1,35.090432,-85.25737,2019-01-15,13:11:46,13,4,1,1,0,0,0,1,0,0,0,0,492,18,12,0,5,4
1,35.124069,-85.359234,2019-01-15,13:14:51,13,4,1,1,0,0,0,1,0,0,0,0,478,4,12,0,7,9
1,35.052146,-85.304667,2019-01-15,13:18:08,13,4,1,1,0,0,0,1,0,0,0,0,157,15,20,0,2,20
1,35.090432,-85.25737,2019-01-15,13:28:22,13,4,1,1,0,0,0,1,0,0,0,0,492,18,12,0,5,4
1,35.003975,-85.149572,2019-01-15,14:14:48,14,4,1,1,0,0,0,1,0,0,0,0,211,36,19,0,7,12
1,35.050694,-85.189421,2019-01-15,14:16:20,14,4,1,1,0,0,0,1,0,0,0,0,412,28,14,1,2,5
1,35.06893,-85.151595,2019-01-15,14:19:50,14,4,1,1,0,0,0,1,0,0,0,0,596,32,10,0,7,11
1,35.127346,-85.242192,2019-01-15,14:30:05,14,4,1,1,0,0,0,1,0,0,0,0,736,17,6,1,2,11
1,35.128198,-85.242729,2019-01-15,14:33:40,14,4,1,1,0,0,0,1,0,0,0,0,736,17,6,1,2,11
1,35.043015,-85.1844,2019-01-15,15:01:33,15,4,1,1,0,0,0,1,0,0,0,0,368,29,15,1,7,14
1,35.080353,-85.264685,2019-01-15,15:32:51,15,4,1,1,0,0,0,1,0,0,0,0,402,18,14,0,5,12
1,35.068287,-85.146272,2019-01-15,15:41:55,15,4,1,1,0,0,0,1,0,0,0,0,638,32,9,0,2,4
1,35.007748,-85.292197,2019-01-15,15:44:02,15,4,1,1,0,0,0,1,0,0,0,0,31,19,25,0,7,18
1,34.999831,-85.094755,2019-01-15,16:42:26,16,4,1,1,0,0,0,1,0,0,0,0,336,42,16,0,7,7
1,35.11924,-85.281681,2019-01-15,16:55:10,16,4,1,1,0,0,0,1,0,0,0,0,619,13,9,0,7,18
1,35.039775,-85.292119,2019-01-15,17:06:22,17,4,1,1,0,0,0,1,0,0,0,0,128,17,21,0,7,14
1,35.039775,-85.292119,2019-01-15,17:06:47,17,4,1,1,0,0,0,1,0,0,0,0,128,17,21,0,7,14
1,35.087611,-85.214113,2019-01-15,17:43:13,17,4,1,1,0,0,0,1,0,0,0,0,587,23,10,1,7,9
1,35.085507,-85.066781,2019-01-15,18:05:58,18,4,1,1,0,0,0,1,0,0,0,0,851,40,3,1,2,7
1,35.084291,-85.072967,2019-01-15,18:09:41,18,4,1,1,0,0,0,1,0,0,0,0,851,40,3,1,2,7
1,35.115119,-85.212102,2019-01-15,18:30:34,18,4,1,1,0,0,0,1,0,0,0,0,741,22,6,0,7,9
1,35.037485,-85.149705,2019-01-15,18:38:49,18,4,1,1,0,0,0,1,0,0,0,0,418,34,14,0,2,3
1,34.996112,-85.239122,2019-01-15,18:40:49,18,4,1,1,0,0,0,1,0,0,0,0,59,26,24,0,7,25
1,35.089558,-85.186894,2019-01-15,18:48:22,18,4,1,1,0,0,0,1,0,0,0,0,672,26,8,0,7,13
1,35.034528,-85.158706,2019-01-15,19:07:44,19,1,1,1,0,0,0,1,0,0,0,0,372,33,15,0,7,3
1,35.085502,-85.0648,2019-01-15,19:11:47,19,1,1,1,0,0,0,1,0,0,0,0,852,41,3,0,2,5
1,35.003975,-85.149572,2019-01-15,20:09:40,20,1,1,1,0,0,0,1,0,0,0,0,211,36,19,0,7,12
1,35.011387,-85.243683,2019-01-15,20:25:30,20,1,1,1,0,0,0,1,0,0,0,0,107,24,22,1,7,23
1,35.01027,-85.244285,2019-01-15,20:26:04,20,1,1,1,0,0,0,1,0,0,0,0,81,24,23,0,7,16
1,35.01068,-85.244059,2019-01-15,20:26:04,20,1,1,1,0,0,0,1,0,0,0,0,107,24,22,1,7,23
1,35.003975,-85.149572,2019-01-15,20:39:28,20,1,1,1,0,0,0,1,0,0,0,0,211,36,19,0,7,12
1,35.01027,-85.244285,2019-01-15,20:44:41,20,1,1,1,0,0,0,1,0,0,0,0,81,24,23,0,7,16
1,35.01068,-85.244059,2019-01-15,20:47:12,20,1,1,1,0,0,0,1,0,0,0,0,107,24,22,1,7,23
1,35.024977,-85.152233,2019-01-22,5:12:49,5,1,1,1,0,0,1,0,0,0,0,0,328,34,16,0,7,13
1,35.024977,-85.152233,2019-01-22,5:18:56,5,1,1,1,0,0,1,0,0,0,0,0,328,34,16,0,7,13
1,35.063867,-85.082567,2019-01-22,6:46:39,6,2,1,1,0,0,1,0,0,0,0,0,724,40,7,0,0,3
1,35.015252,-85.253185,2019-01-22,7:36:13,7,2,1,1,0,0,1,0,0,0,0,0,106,23,22,1,7,27
1,35.011917,-85.246096,2019-01-22,7:36:49,7,2,1,1,0,0,1,0,0,0,0,0,107,24,22,1,7,23
1,35.011917,-85.246096,2019-01-22,7:42:43,7,2,1,1,0,0,1,0,0,0,0,0,107,24,22,1,7,23
1,35.073843,-85.112125,2019-01-22,7:50:26,7,2,1,1,0,0,1,0,0,0,0,0,720,36,7,1,0,8
1,35.112749,-85.2545,2019-01-22,7:55:11,7,2,1,1,0,0,1,0,0,0,0,0,623,17,9,0,2,11
1,35.053036,-85.045553,2019-01-22,7:59:11,7,2,1,1,0,0,1,0,0,0,0,0,764,45,6,0,7,7
1,35.051299,-85.299453,2019-01-22,8:00:27,8,2,1,1,0,0,1,0,0,0,0,0,158,16,20,0,9,19
1,35.051994,-85.301304,2019-01-22,8:00:48,8,2,1,1,0,0,1,0,0,0,0,0,157,15,20,0,2,20
1,35.051299,-85.299453,2019-01-22,8:01:09,8,2,1,1,0,0,1,0,0,0,0,0,158,16,20,0,9,19
1,35.092306,-85.189625,2019-01-22,8:02:12,8,2,1,1,0,0,1,0,0,0,0,0,672,26,8,0,7,13
1,35.046473,-85.31425,2019-01-22,8:10:35,8,2,1,1,0,0,1,0,0,0,0,0,125,14,21,1,2,19
1,35.046198,-85.312976,2019-01-22,8:28:57,8,2,1,1,0,0,1,0,0,0,0,0,125,14,21,1,2,19
1,35.047332,-85.313128,2019-01-22,8:32:05,8,2,1,1,0,0,1,0,0,0,0,0,125,14,21,1,2,19
1,35.042669,-85.303489,2019-01-22,8:38:15,8,2,1,1,0,0,1,0,0,0,0,0,127,16,21,0,2,17
1,35.067936,-85.21201,2019-01-22,8:52:40,8,2,1,1,0,0,1,0,0,0,0,0,454,25,13,0,7,2
1,35.10122,-85.301671,2019-01-22,9:05:49,9,2,1,1,0,0,1,0,0,0,0,0,441,12,13,0,7,19
1,35.09204,-85.184277,2019-01-22,9:36:10,9,2,1,1,0,0,1,0,0,0,0,0,672,26,8,0,7,13
1,35.067936,-85.21201,2019-01-22,9:41:58,9,2,1,1,0,0,1,0,0,0,0,0,454,25,13,0,7,2
1,35.011188,-85.224669,2019-01-22,9:57:04,9,2,1,1,0,0,1,0,0,0,0,0,138,27,21,0,7,21
1,35.019269,-85.321684,2019-01-22,10:18:08,10,3,1,1,0,0,1,0,0,0,0,0,27,15,25,0,4,9
1,35.116052,-85.275186,2019-01-22,10:57:20,10,3,1,1,0,0,1,0,0,0,0,0,620,14,9,0,7,17
1,35.044885,-85.162464,2019-01-22,12:04:05,12,3,1,1,0,0,0,1,0,0,0,0,461,32,13,0,2,10
1,35.019984,-85.124348,2019-01-22,12:06:23,12,3,1,1,0,0,0,1,0,0,0,0,377,38,15,0,7,10
1,35.049508,-85.257415,2019-01-22,12:07:16,12,3,1,1,0,0,0,1,0,0,0,0,230,20,18,0,7,23
1,35.015214,-85.163699,2019-01-22,12:14:10,12,3,1,1,0,0,0,1,0,0,0,0,243,33,18,0,7,12
1,35.046,-85.310726,2019-01-22,12:25:49,12,3,1,1,0,0,0,1,0,0,0,0,126,15,21,0,2,28
1,35.085441,-85.326045,2019-01-22,12:26:02,12,3,1,1,0,0,0,1,0,0,0,0,304,10,16,1,7,8
1,35.021032,-85.261306,2019-01-22,12:35:50,12,3,1,1,0,0,0,1,0,0,0,0,105,22,22,1,7,21
1,35.012809,-85.248919,2019-01-22,12:36:02,12,3,1,1,0,0,0,1,0,0,0,0,107,24,22,1,7,23
1,35.015818,-85.254192,2019-01-22,12:37:49,12,3,1,1,0,0,0,1,0,0,0,0,106,23,22,1,7,27
1,35.016491,-85.28069,2019-01-22,13:16:34,13,4,1,1,0,0,0,1,0,0,0,0,53,20,24,1,7,19
1,35.037955,-85.244899,2019-01-22,13:18:56,13,4,1,1,0,0,0,1,0,0,0,0,198,23,19,0,7,25
1,35.013933,-85.290295,2019-01-22,13:30:27,13,4,1,1,0,0,0,1,0,0,0,0,52,19,24,1,7,19
1,35.034727,-85.26761,2019-01-22,13:42:43,13,4,1,1,0,0,0,1,0,0,0,0,162,20,20,0,7,25
1,34.989184,-85.210455,2019-01-22,14:15:45,14,4,1,1,0,0,0,1,0,0,0,0,63,30,24,0,7,9
1,35.03845,-85.150489,2019-01-22,14:38:03,14,4,1,1,0,0,0,1,0,0,0,0,418,34,14,0,2,3
