,BLM,ELM,Co. Seq.,ID_NUMBER,Thru_Lanes,ROW ,Num_Lns,Spd_Limit,Terrain,Land_Use,Illum,Operation,Acc_Ctrl,Sch Spd Limit,Truck Spd Limit,BLM_Lat,BLM_Long,ELM_Lat,ELM_Long
0,0.0,5.8,1,3300948001,2,40.0,2,40.0,2.0,0,,2,0,,,35.1553557018711,-85.1055843744387,35.2061146353671,-85.0686569394883
1,0.0,0.12,1,3300951001,2,120.0,2,35.0,2.0,0,1.0,2,0,,,35.2130886679552,-85.2177272393997,35.211818816029,-85.2162596162363
2,0.12,1.08,1,3300951001,2,50.0,2,35.0,2.0,0,0.0,2,0,,,35.211818816029,-85.2162596162363,35.2025446456001,-85.2075012206755
3,1.08,2.21,1,3300951001,2,50.0,2,35.0,2.0,7,0.0,2,0,,,35.2025446456001,-85.2075012206755,35.1916950497524,-85.1927646205584
4,2.21,2.43,1,3300951001,2,60.0,2,35.0,2.0,7,0.0,2,0,15.0,,35.1916950497524,-85.1927646205584,35.1893217748355,-85.1902680084844
5,2.43,2.55,1,3300951001,2,60.0,2,35.0,2.0,7,0.0,2,0,,,35.1893217748355,-85.1902680084844,35.1879721363682,-85.1889265163558
6,2.55,3.92,1,3300951001,2,60.0,2,45.0,2.0,7,0.0,2,0,,,35.1879721363682,-85.1889265163558,35.1711625789729,-85.1764131636594
7,0.0,0.06,1,3301122001,4,100.0,4,40.0,2.0,2,1.0,2,0,,,35.042502319091,-85.155945146103,35.0421512932338,-85.1549842728364
8,0.06,0.12,1,3301122001,4,100.0,4,40.0,2.0,2,1.0,2,0,,,35.0421512932338,-85.1549842728364,35.0418043174548,-85.1540211423523
9,0.12,0.48,1,3301122001,4,90.0,4,40.0,2.0,2,1.0,2,0,,,35.0418043174548,-85.1540211423523,35.0396575525743,-85.1482177184381
10,0.48,0.79,1,3301122001,4,90.0,4,40.0,2.0,2,1.0,2,0,,,35.0396575525743,-85.1482177184381,35.0378829662016,-85.1432464749441
11,0.79,1.4,1,3301122001,2,80.0,2,40.0,2.0,4,1.0,2,0,,,35.0378829662016,-85.1432464749441,35.0341258997667,-85.1335179063909
12,1.4,1.425,1,3301122001,2,120.0,2,40.0,2.0,2,1.0,2,0,,,35.0341258997667,-85.1335179063909,35.0343359008533,-85.1333248946859
