Grid_Block,Grid_Col,Grid_Row,Highway,Land_Use_Mode,Road_Count
0,7,26,0,-1,-1
1,8,26,0,7,12
2,9,26,1,7,9
3,10,26,1,0,5
4,11,26,1,0,1
5,12,26,1,0,5
6,13,26,1,0,4
7,14,26,1,0,5
8,15,26,0,2,13
9,16,26,0,7,17
10,17,26,0,7,11
11,18,26,0,7,10
12,19,26,0,7,24
13,20,26,0,7,23
14,21,26,0,7,20
15,22,26,0,7,15
16,23,26,0,7,21
17,24,26,0,7,12
18,25,26,0,7,7
19,7,25,0,-1,-1
20,8,25,0,0,8
21,9,25,0,7,11
22,10,25,0,0,1
23,11,25,1,0,1
24,12,25,1,0,1
25,13,25,0,2,1
26,14,25,1,5,1
27,15,25,0,4,9
28,16,25,0,5,10
29,17,25,0,0,1
30,18,25,0,0,9
31,19,25,0,7,18
32,20,25,0,7,17
33,21,25,0,7,18
34,22,25,0,7,14
35,23,25,0,7,19
36,24,25,0,7,20
37,25,25,0,7,17
38,26,25,0,7,19
39,27,25,0,7,12
40,7,24,0,7,1
41,8,24,0,7,6
42,9,24,0,7,10
43,10,24,0,7,4
44,11,24,0,-1,-1
45,12,24,0,2,1
46,13,24,0,2,1
47,14,24,1,5,2
48,15,24,0,7,10
49,16,24,0,7,11
50,17,24,1,2,5
51,18,24,1,2,17
52,19,24,1,7,19
53,20,24,1,7,19
54,21,24,0,7,19
55,22,24,0,7,19
56,23,24,0,7,21
57,24,24,0,7,16
58,25,24,0,7,21
59,26,24,0,7,25
60,27,24,0,7,17
61,28,24,0,7,15
62,29,24,0,7,17
63,30,24,0,7,9
64,7,23,0,7,2
65,8,23,0,7,1
66,9,23,0,7,8
67,10,23,0,7,4
68,11,23,0,-1,-1
69,12,23,0,2,1
70,13,23,0,5,1
71,14,23,1,5,8
72,15,23,1,2,15
73,16,23,1,7,25
74,17,23,1,2,17
75,18,23,0,2,14
76,19,23,0,7,19
77,20,23,1,7,19
78,21,23,1,7,23
79,22,23,0,7,14
80,23,23,0,7,25
81,24,23,0,7,16
82,25,23,0,7,21
83,26,23,0,7,20
84,27,23,0,7,9
85,28,23,0,7,12
86,29,23,1,7,13
87,30,23,1,2,6
88,31,23,1,2,5
89,32,23,0,7,6
90,7,22,0,7,1
91,8,22,0,-1,-1
92,9,22,0,7,7
93,10,22,0,7,3
94,11,22,0,-1,-1
95,12,22,0,2,2
96,13,22,0,5,2
97,14,22,1,7,20
98,15,22,0,4,18
99,16,22,0,7,20
100,17,22,0,2,19
101,18,22,0,7,16
102,19,22,0,7,22
103,20,22,0,7,23
104,21,22,1,7,24
105,22,22,1,7,21
106,23,22,1,7,27
107,24,22,1,7,23
108,25,22,1,7,22
109,26,22,1,7,21
110,27,22,1,7,19
111,28,22,1,7,8
112,29,22,1,2,2
