,ORIG_FID,X,Y,Grid_Col,Grid_Row,Highway,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
0,1,-85.38228852,35.03835691,9,37,0,35.03715937,-85.3859543,35.03895568,-85.38045562
1,1,-85.3844983,35.03414439,9,37,0,,,35.03263689,-85.3837703
2,1,-85.38962,35.03596175,9,37,0,,,35.03536294,-85.39145285
3,1,-85.38741042,35.04017438,9,37,0,,,35.04168188,-85.38813848
4,1,-85.38228852,35.03835691,9,37,0,,,35.03895568,-85.38045562
5,2,-85.37716685,35.03653924,10,37,0,35.03534185,-85.38083262,35.03713793,-85.37533396
6,2,-85.37937684,35.03232681,10,37,0,,,35.03081929,-85.37864895
7,2,-85.3844983,35.03414439,10,37,0,,,35.03354565,-85.38633114
8,2,-85.38228852,35.03835691,10,37,0,,,35.03986444,-85.38301647
9,2,-85.37716685,35.03653924,10,37,0,,,35.03713793,-85.37533396
10,3,-85.37204541,35.03472135,11,37,0,35.03352412,-85.37571117,35.03531997,-85.37021253
11,3,-85.37425561,35.03050902,11,37,0,,,35.02900147,-85.37352783
12,3,-85.37937684,35.03232681,11,37,0,,,35.03172815,-85.38120967
13,3,-85.37716685,35.03653924,11,37,0,,,35.0380468,-85.37789469
14,3,-85.37204541,35.03472135,11,37,0,,,35.03531997,-85.37021253
15,4,-85.36692421,35.03290325,12,37,0,35.03170618,-85.37058995,35.03350179,-85.36509133
16,4,-85.36913461,35.02869102,12,37,0,,,35.02718344,-85.36840694
17,4,-85.37425561,35.03050902,12,37,0,,,35.02991044,-85.37608843
18,4,-85.37204541,35.03472135,12,37,0,,,35.03622894,-85.37277314
19,4,-85.36692421,35.03290325,12,37,0,,,35.03350179,-85.36509133
20,5,-85.36180324,35.03108495,13,37,1,35.02988803,-85.36546897,35.03168341,-85.35997037
21,5,-85.36401385,35.02687281,13,37,1,,,35.02536521,-85.36328629
22,5,-85.36913461,35.02869102,13,37,1,,,35.02809252,-85.37096743
23,5,-85.36692421,35.03290325,13,37,1,,,35.03441087,-85.36765183
24,5,-85.36180324,35.03108495,13,37,1,,,35.03168341,-85.35997037
25,6,-85.3566825,35.02926643,14,37,1,35.02806966,-85.36034822,35.02986481,-85.35484965
26,6,-85.35889332,35.02505439,14,37,1,,,35.02354676,-85.35816587
27,6,-85.36401385,35.02687281,14,37,1,,,35.02627439,-85.36584666
28,6,-85.36180324,35.03108495,14,37,1,,,35.03259259,-85.36253075
29,6,-85.3566825,35.02926643,14,37,1,,,35.02986481,-85.35484965
30,7,-85.351562,35.0274477,15,37,1,35.02625109,-85.35522771,35.02804601,-85.34972915
31,7,-85.35377303,35.02323576,15,37,1,,,35.0217281,-85.35304569
32,7,-85.35889332,35.02505439,15,37,1,,,35.02445605,-85.36072612
33,7,-85.3566825,35.02926643,15,37,1,,,35.0307741,-85.3574099
34,7,-85.351562,35.0274477,15,37,1,,,35.02804601,-85.34972915
35,8,-85.34644174,35.02562876,16,37,0,35.0244323,-85.35010743,35.02622699,-85.34460889
36,8,-85.34865297,35.02141692,16,37,0,,,35.01990923,-85.34792573
37,8,-85.35377303,35.02323576,16,37,0,,,35.02263749,-85.35560583
38,8,-85.351562,35.0274477,16,37,0,,,35.0289554,-85.35228929
39,8,-85.34644174,35.02562876,16,37,0,,,35.02622699,-85.34460889
40,9,-85.34132171,35.02380961,17,37,0,35.02261331,-85.34498738,35.02440777,-85.33948887
41,9,-85.34353314,35.01959787,17,37,0,,,35.01809015,-85.34280602
42,9,-85.34865297,35.02141692,17,37,0,,,35.02081873,-85.35048576
43,9,-85.34644174,35.02562876,17,37,0,,,35.02713649,-85.34716892
44,9,-85.34132171,35.02380961,17,37,0,,,35.02440777,-85.33948887
45,10,-85.33620191,35.02199025,18,37,1,35.0207941,-85.33986757,35.02258833,-85.33436908
46,10,-85.33841355,35.01777861,18,37,1,,,35.01627086,-85.33768654
47,10,-85.34353314,35.01959787,18,37,1,,,35.01899975,-85.34536592
48,10,-85.34132171,35.02380961,18,37,1,,,35.02531737,-85.34204877
49,10,-85.33620191,35.02199025,18,37,1,,,35.02258833,-85.33436908
50,11,-85.33108235,35.02017069,19,37,1,35.01897469,-85.33474799,35.02076868,-85.32924952
