Grid_Block,Road_Count
1,1
2,4
3,1
4,0
5,0
6,20
7,15
8,4
9,12
10,13
11,8
12,8
13,7
14,15
15,23
16,16
17,19
18,19
19,13
20,19
21,28
22,20
23,20
24,13
25,6
26,4
27,12
28,7
29,4
30,5
31,9
32,17
33,18
34,14
35,10
36,11
37,10
38,7
39,3
40,2
41,2
42,1
43,1
44,0
45,2
46,2
47,1
48,0
49,0
50,11
51,22
52,9
53,10
54,20
55,14
56,5
57,10
58,16
59,21
60,21
61,18
62,24
63,18
64,22
65,26
66,17
67,10
68,5
69,1
70,1
71,10
72,5
73,6
74,1
75,9
76,13
77,15
78,13
79,8
80,7
81,9
82,4
83,6
84,7
85,3
86,1
87,8
88,6
89,2
90,2
91,3
92,1
93,0
94,0
95,14
96,14
97,14
98,17
99,29
100,19
101,13
102,22
103,20
104,20
105,17
106,19
107,17
108,20
109,23
110,18
111,17
112,10
113,4
114,1
115,5
116,7
117,9
118,5
119,3
120,8
121,9
122,4
123,13
124,13
125,16
126,5
127,5
128,3
129,1
130,0
131,13
132,16
133,3
134,6
135,2
136,2
137,1
138,1
139,2
140,5
141,11
142,12
143,17
144,5
145,6
146,21
147,28
148,14
149,21
150,18
151,26
152,20
153,24
154,20
155,23
156,11
157,5
158,11
159,6
160,7
161,17
162,12
163,10
164,9
165,15
166,10
167,9
168,8
169,18
170,17
171,8
172,3
173,1
174,1
175,1
176,1
177,8
178,4
179,6
180,12
181,7
182,5
183,5
184,5
185,3
186,15
187,13
188,5
189,7
190,17
191,23
192,28
193,23
194,20
195,25
196,27
197,23
198,22
199,15
200,2
201,9
202,17
203,11
204,11
205,18
206,13
207,9
208,7
209,9
210,10
211,11
212,4
213,12
214,11
215,6
216,3
217,3
218,2
219,4
220,2
221,9
222,6
223,5
224,14
225,10
226,2
227,3
228,5
229,1
230,2
231,13
232,12
233,12
234,14
235,30
236,28
237,29
238,16
239,26
240,14
241,20
242,30
243,16
244,2
245,6
246,13
247,8
248,10
249,14
250,15
251,9
252,12
253,7
254,8
255,15
256,10
257,15
258,14
259,12
260,11
261,8
262,6
263,8
264,3
265,2
266,2
267,2
268,14
269,10
270,2
271,1
272,0
273,1
274,2
275,14
276,25
277,30
278,15
279,17
280,25
281,28
282,21
283,17
284,21
285,29
286,24
287,10
288,0
289,2
290,5
291,8
292,8
293,13
294,16
295,3
296,3
297,8
298,5
299,8
300,12
301,9
302,13
303,15
304,17
305,4
306,2
307,5
308,9
309,1
310,0
311,0
312,8
313,12
314,9
315,2
316,0
317,1
318,4
319,18
320,21
321,15
322,14
323,16
324,25
325,25
326,19
327,14
328,25
329,24
330,19
331,15
332,6
333,1
334,7
335,16
336,9
337,12
338,9
339,5
340,6
341,9
342,10
343,13
344,10
345,9
346,17
347,8
348,7
349,6
350,5
351,3
352,7
353,0
354,0
355,0
356,3
357,9
358,8
359,2
360,0
361,1
362,2
363,24
364,28
365,20
366,25
367,13
368,21
369,29
370,24
371,10
372,22
373,23
374,16
375,9
376,4
377,2
378,7
379,11
380,6
381,18
382,14
383,12
384,12
385,13
386,14
387,16
388,9
389,10
390,9
391,3
392,7
393,9
394,2
395,0
396,4
397,0
398,0
399,0
400,2
401,1
402,11
403,6
404,0
405,4
406,5
407,12
408,22
409,16
410,11
411,12
412,7
413,21
414,23
415,13
416,16
417,18
418,14
419,6
420,5
421,1
422,2
423,4
424,9
425,12
426,13
427,10
428,10
429,7
430,3
431,5
432,10
433,3
434,1
435,1
436,6
437,15
438,4
439,0
440,2
441,0
442,0
443,0
444,2
445,0
446,6
447,6
448,0
449,4
450,3
451,5
452,13
453,4
454,0
455,1
456,4
457,14
458,27
459,20
460,13
461,8
462,12
463,4
464,10
465,5
466,4
467,8
468,7
469,9
470,4
471,13
472,13
473,12
474,6
475,5
476,5
477,3
478,5
479,2
480,3
481,10
482,7
483,1
484,3
485,0
486,0
487,0
488,1
489,1
490,2
491,1
492,0
493,5
494,7
495,14
496,25
497,29
498,17
499,7
500,3
501,6
502,9
503,26
504,17
505,8
506,9
507,0
508,4
509,1
510,4
511,4
512,2
513,5
514,1
515,10
516,13
517,5
518,9
519,8
520,11
521,4
522,7
523,2
524,3
525,4
526,6
527,7
528,1
529,0
530,0
531,0
532,1
533,1
534,1
535,0
536,0
537,5
538,11
539,19
540,28
541,27
542,26
543,15
544,0
545,14
546,12
547,23
548,21
549,9
550,9
551,2
552,8
553,4
554,5
555,6
556,3
557,10
558,7
559,3
560,2
561,3
562,1
563,4
564,5
565,8
566,7
567,3
568,5
569,5
570,1
571,16
572,9
573,0
574,0
575,0
576,0
577,0
578,1
579,0
580,1
581,3
582,13
583,9
584,18
585,15
586,21
587,13
588,0
589,6
590,12
591,15
592,9
593,13
594,15
595,7
596,8
597,16
598,14
599,15
600,11
601,13
602,8
603,2
604,3
605,1
606,1
607,1
608,1
609,4
610,4
611,9
612,15
613,8
614,3
615,14
616,12
617,0
618,0
619,0
620,0
621,0
622,1
623,0
624,0
625,1
626,9
627,8
628,3
629,13
630,15
631,3
632,0
633,7
634,9
635,2
636,6
637,7
638,7
639,7
640,12
641,21
642,22
643,18
644,15
645,19
646,6
647,1
648,1
649,0
650,0
651,0
652,0
653,0
654,0
655,4
656,10
657,7
658,8
659,5
660,5
661,0
662,0
663,0
664,0
665,0
666,1
667,0
668,0
669,4
670,7
671,14
672,13
673,11
674,12
675,8
676,2
677,0
678,3
679,2
680,2
681,3
682,4
683,5
684,12
685,14
686,16
687,14
688,8
689,15
690,5
691,1
692,0
693,0
694,0
695,0
696,0
697,0
698,0
699,2
700,12
701,5
702,6
703,5
704,4
705,0
706,0
707,0
708,0
709,0
710,1
711,0
712,0
713,4
714,5
715,9
716,20
717,10
718,6
719,13
720,9
721,3
722,1
723,4
724,2
725,2
726,5
727,4
728,6
729,10
730,11
731,17
732,9
733,8
734,0
735,1
736,0
737,0
738,1
739,0
740,0
741,0
742,0
743,4
744,10
745,4
746,1
747,7
748,5
749,0
750,0
751,0
752,0
753,1
754,2
755,2
756,2
757,11
758,7
759,5
760,14
761,17
762,12
763,12
764,15
765,11
766,5
767,1
768,0
769,1
770,3
771,0
772,0
773,0
774,1
775,7
776,6
777,4
778,1
779,3
780,0
781,1
782,1
783,0
784,0
785,1
786,1
787,7
788,6
789,1
790,1
791,2
792,6
793,0
794,0
795,0
796,1
797,2
798,3
799,9
800,6
801,6
802,4
803,8
804,5
805,17
806,17
807,19
808,14
809,18
810,17
811,7
812,1
813,2
814,4
815,2
816,4
817,0
818,0
819,0
820,2
821,7
822,9
823,8
824,6
825,5
826,10
827,4
828,0
829,6
830,13
831,13
832,6
833,2
834,2
835,1
836,3
837,0
838,0
839,2
840,2
841,1
842,9
843,14
844,13
845,4
846,2
847,10
848,7
849,14
850,20
851,13
852,15
853,15
854,15
855,13
856,2
857,1
858,2
859,2
860,9
861,4
862,0
863,0
864,0
865,1
866,8
867,17
868,9
869,12
870,12
871,8
872,7
873,6
874,11
875,11
876,8
877,5
878,1
879,1
880,6
881,0
882,2
883,1
884,0
885,11
886,16
887,13
888,21
889,8
890,1
891,4
892,6
893,6
894,21
895,19
896,17
897,16
898,14
899,15
900,15
901,9
902,8
903,2
904,7
905,12
906,7
907,1
908,0
909,0
910,8
911,17
912,9
913,5
914,13
915,9
916,11
917,8
918,11
919,11
920,7
921,1
922,6
923,2
924,18
925,0
926,1
927,0
928,0
929,1
930,7
931,11
932,12
933,9
934,5
935,2
936,7
937,13
938,5
939,16
940,19
941,15
942,14
943,12
944,11
945,4
946,8
947,3
948,4
949,7
950,11
951,10
952,0
953,0
954,9
955,9
956,8
957,2
958,7
959,4
960,4
961,7
962,11
963,9
964,0
965,3
966,2
967,6
968,6
969,0
970,0
971,0
972,0
973,0
974,0
975,9
976,12
977,10
978,9
979,3
980,6
981,6
982,2
983,13
984,16
985,17
986,18
987,12
988,7
989,6
990,1
991,2
992,6
993,4
994,11
995,10
996,2
997,0
998,4
999,8
1000,9
1001,1
1002,3
1003,2
1004,3
1005,5
1006,1
1007,3
1008,2
1009,4
1010,6
1011,0
1012,2
1013,0
1014,0
1015,0
1016,0
1017,0
1018,1
1019,8
1020,8
1021,17
1022,10
1023,5
1024,1
1025,2
1026,1
1027,5
1028,16
1029,18
1030,21
1031,14
1032,9
1033,15
1034,9
1035,0
1036,1
1037,2
1038,8
1039,17
1040,8
1041,3
1042,1
1043,9
1044,4
1045,0
1046,0
1047,0
1048,5
1049,7
1050,2
1051,2
1052,5
1053,5
1054,10
1055,2
1056,3
1057,0
1058,0
1059,1
1060,2
1061,1
1062,0
1063,10
1064,14
1065,12
1066,12
1067,10
1068,3
1069,2
1070,3
1071,4
1072,12
1073,12
1074,10
1075,12
1076,13
1077,9
1078,6
1079,2
1080,1
1081,10
1082,7
1083,11
1084,8
1085,8
1086,0
1087,7
1088,5
1089,0
1090,0
1091,0
1092,1
1093,2
1094,1
1095,0
1096,3
1097,4
1098,0
1099,5
1100,6
