"","1","2","3","4"
"0",4,0,0,5
"1",26,11,13,31
"2",47,37,39,69
"4",7,7,6,9
"5",23,20,22,41
"6",15,12,4,34
"7",40,31,38,109
"8",10,12,4,23
"9",4,8,5,8
"10",0,1,0,1
"11",26,18,23,63
"12",32,15,18,35
"13",31,27,15,25
"14",6,1,8,1
"15",15,5,6,21
"16",4,3,5,9
"17",1,1,3,7
"19",1,1,2,0
"20",6,3,0,0
"21",0,1,0,0
"22",18,12,7,25
"23",5,1,2,8
"24",1,0,0,0
"25",3,3,2,8
"26",12,7,17,54
"27",4,11,4,13
"28",0,0,1,0
"29",3,1,4,8
"30",19,10,16,32
"31",19,8,8,12
"32",9,11,7,44
"33",9,8,0,9
"34",14,3,19,30
"35",21,11,29,49
"36",36,23,15,61
"37",10,6,2,6
"38",3,1,0,0
"40",2,0,0,1
"41",2,2,1,0
"44",1,0,0,0
"46",66,61,30,97
"47",33,22,16,63
"48",6,8,2,9
"49",6,2,0,14
"50",139,96,81,204
"51",63,20,25,92
"52",107,66,77,169
"53",43,36,20,51
"54",35,12,17,30
"55",22,6,12,46
"56",6,5,0,2
"57",28,8,15,34
"58",61,23,49,109
"59",11,8,18,30
"60",24,4,11,25
"61",15,11,14,37
"62",12,1,7,9
"63",0,0,0,1
"64",1,0,0,0
"65",0,1,0,3
"66",2,1,0,2
"68",2,0,0,0
"70",45,43,18,65
"71",80,47,55,148
"72",83,60,55,119
"73",46,45,37,81
"74",22,26,16,20
"75",19,19,20,58
"76",75,48,39,95
"77",82,40,36,121
"78",9,3,2,3
"79",9,5,8,6
"80",7,5,8,17
"81",8,7,7,21
"82",13,7,6,25
"83",13,5,8,19
"84",15,20,15,30
"85",3,7,7,12
"86",104,97,72,171
"87",25,16,14,28
"88",0,1,2,2
"91",1,0,2,4
"92",1,1,0,0
"94",2,0,0,0
"95",1,4,1,1
"96",58,37,36,92
"97",61,30,51,103
"98",58,36,47,96
"99",7,14,9,24
"100",20,17,15,44
"101",32,10,15,24
"102",36,12,24,51
"103",77,43,53,88
"104",50,14,31,58
"105",138,78,63,182
"106",44,46,24,69
"107",97,66,44,86
"108",68,50,26,99
"109",86,49,50,82
"110",63,62,30,91
"111",179,115,67,110
"113",0,0,1,1
"114",1,0,2,5
"115",0,0,1,1
"119",1,0,0,0
"120",0,0,0,1
"121",1,0,2,1
"122",1,1,2,2
"123",11,11,13,11
"124",165,95,122,281
"125",107,66,105,226
"126",39,18,39,100
"127",32,37,32,90
"128",28,14,18,28
