Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
5/15/2019 11:40:56 PM,5/16/2019 12:12:31 AM,10300 Apison Pike,COLLEGEDALE,35049258,85041231,ACC2-MVC No Injuries
5/15/2019 11:15:23 PM,5/16/2019 12:26:58 AM,1925 Suck Creek Rd,HAMILTON COUNTY,35110680,85365334,ACC2-MVC No Injuries
5/15/2019 10:31:31 PM,5/15/2019 10:48:12 PM,45 E MAIN ST,CHATTANOOGA,35035652,85306045,ACC2-MVC No Injuries
5/15/2019 9:57:23 PM,5/15/2019 11:22:47 PM,4608 Carr Ter,CHATTANOOGA,35085284,85187041,ACC2-MVC No Injuries
5/15/2019 9:15:49 PM,5/15/2019 10:35:29 PM,1989 Green Pond Rd,HAMILTON COUNTY,35242822,85121487,ACC2-MVC No Injuries
5/15/2019 7:49:55 PM,5/15/2019 11:32:18 PM,7400 E BRAINERD RD,CHATTANOOGA,35014767,85163566,ACC3-MVC Unknown Injuries
5/15/2019 7:26:18 PM,5/15/2019 9:20:03 PM,9188 DAISY DALLAS RD,SODDY DAISY,35228236,85195213,ACC2-MVC No Injuries
5/15/2019 7:25:37 PM,5/15/2019 7:50:02 PM,1-9 Exit Shallowford Rd On Ramp Sb,CHATTANOOGA,35054371,85191834,ACC1-MVC Injuries
5/15/2019 7:25:36 PM,5/15/2019 8:23:25 PM,1-9 Exit Shallowford Rd On Ramp Sb,CHATTANOOGA,35054371,85191834,ACC1-MVC Injuries
5/15/2019 7:21:29 PM,5/15/2019 7:24:50 PM,200 HIGHWAY 153 SB,CHATTANOOGA,35048251,85188652,ACC3-MVC Unknown Injuries
5/15/2019 7:21:03 PM,5/15/2019 7:22:29 PM,260 Highway 153 Sb,CHATTANOOGA,35056186,85191665,ACC3-MVC Unknown Injuries
5/15/2019 7:20:46 PM,5/15/2019 7:21:22 PM,2-8 Exit Shallowford Rd On Ramp Nb,CHATTANOOGA,35056563,85190850,ACC3-MVC Unknown Injuries
5/15/2019 7:20:38 PM,5/15/2019 8:59:40 PM,270 HIGHWAY 153 SB,CHATTANOOGA,35057458,85192143,ACC1-MVC Injuries
5/15/2019 7:20:34 PM,5/15/2019 7:22:04 PM,Highway 153 Sb / Exit Shallowford Rd Off Ramp Sb,CHATTANOOGA,35058633,85192597,ACC3-MVC Unknown Injuries
5/15/2019 6:53:03 PM,5/15/2019 7:23:44 PM,490 Greenway View Dr,CHATTANOOGA,35008709,85205213,ACC2-MVC No Injuries
5/15/2019 6:40:10 PM,5/15/2019 7:12:56 PM,5500 HIGHWAY 153,CHATTANOOGA,35142401,85248276,ACC2-MVC No Injuries
5/15/2019 6:39:50 PM,5/15/2019 6:40:41 PM,Central Ave / E Martin Luther King Blvd,CHATTANOOGA,35039775,85292119,ACC3-MVC Unknown Injuries
5/15/2019 6:39:29 PM,5/15/2019 7:35:13 PM,900 Central Ave,CHATTANOOGA,35039775,85292119,ACC2-MVC No Injuries
5/15/2019 6:25:04 PM,5/15/2019 6:46:23 PM,Dayton Pike / Harrison Ln,SODDY DAISY,35237139,85199121,ACC2-MVC No Injuries
5/15/2019 6:18:30 PM,5/15/2019 9:17:59 PM,900 INTERSTATE 75 SB,CHATTANOOGA,35073843,85112125,ACC2-MVC No Injuries
5/15/2019 5:51:48 PM,5/15/2019 7:28:02 PM,6500 LEE HWY,CHATTANOOGA,35034605,85177768,ACC2-MVC No Injuries
5/15/2019 5:38:47 PM,5/15/2019 7:38:12 PM,7200 Discovery Dr,CHATTANOOGA,35068587,85142778,ACC2-MVC No Injuries
5/15/2019 5:27:26 PM,5/15/2019 6:02:28 PM,140 - 149 Highway 27 Sb,CHATTANOOGA,35049986,85314340,ACC2-MVC No Injuries
5/15/2019 5:11:07 PM,5/15/2019 5:41:39 PM,1815 RIVERFRONT PKWY,CHATTANOOGA,35038046,85321265,ACC2-MVC No Injuries
5/15/2019 5:07:38 PM,5/15/2019 6:37:01 PM,5000-5099 Rossville Blvd,CHATTANOOGA,34985510,85287220,ACC2-MVC No Injuries
5/15/2019 4:56:30 PM,5/15/2019 5:24:08 PM,800 - 1299 N Holtzclaw Ave,CHATTANOOGA,35048789,85277176,ACC2-MVC No Injuries
5/15/2019 4:54:45 PM,5/15/2019 6:09:00 PM,6306 HIGHWAY 58,CHATTANOOGA,35123753,85124444,ACC2-MVC No Injuries
5/15/2019 4:53:28 PM,5/15/2019 5:19:47 PM,Market St / E Aquarium Way,CHATTANOOGA,35054786,85309717,ACCDEL-MVC Delayed
5/15/2019 4:35:52 PM,5/15/2019 5:35:38 PM,15306-15599 Dayton Pike,HAMILTON COUNTY,35387990,85107808,ACC2-MVC No Injuries
5/15/2019 4:28:51 PM,5/15/2019 4:32:49 PM,4299-4300 Highway 58,CHATTANOOGA,35082627,85206041,ACC2-MVC No Injuries
5/15/2019 4:26:45 PM,5/15/2019 5:55:34 PM,4302 BONNY OAKS DR,CHATTANOOGA,35080535,85210121,ACC2-MVC No Injuries
5/15/2019 4:22:56 PM,5/15/2019 4:41:34 PM,51 Lost Mound Dr,CHATTANOOGA,35090403,85262594,ACC2-MVC No Injuries
5/15/2019 4:22:07 PM,5/15/2019 5:32:14 PM,6521 Ringgold Rd,EAST RIDGE,34990179,85206290,ACC2-MVC No Injuries
5/15/2019 4:16:39 PM,5/15/2019 4:44:09 PM,3703 FAIRMOUNT PIKE,HAMILTON COUNTY,35176827,85321659,ACC1-MVC Injuries
5/15/2019 4:16:39 PM,5/15/2019 5:31:52 PM,3600 - 3799 Fairmount Pike,HAMILTON COUNTY,35176882,85320753,ACC1-MVC Injuries
5/15/2019 4:15:25 PM,5/15/2019 6:53:45 PM,3600 - 3799 Fairmount Pike,HAMILTON COUNTY,35176882,85320753,ACC1-MVC Injuries
5/15/2019 4:03:29 PM,5/15/2019 5:01:44 PM,1-9 EXIT W 4TH ST ON RAMP SB,CHATTANOOGA,35052285,85313382,ACC2-MVC No Injuries
5/15/2019 4:00:04 PM,5/15/2019 4:21:44 PM,E Aquarium Way / Market St,CHATTANOOGA,35054786,85309717,ACC2-MVC No Injuries
5/15/2019 3:56:35 PM,5/15/2019 4:35:26 PM,1510 Riverside Dr,CHATTANOOGA,35055110,85281740,ACC2-MVC No Injuries
5/15/2019 3:49:19 PM,5/15/2019 4:42:37 PM,7021-7099 Shallowford Rd,CHATTANOOGA,35043140,85157580,ACC2-MVC No Injuries
5/15/2019 3:44:31 PM,5/15/2019 4:09:02 PM,5823 LEE HWY,CHATTANOOGA,35022389,85198998,ACC2-MVC No Injuries
5/15/2019 3:45:44 PM,5/15/2019 5:30:18 PM,700 Interstate 75 Sb,CHATTANOOGA,35055140,85138005,ACCDEL-MVC Delayed
5/15/2019 3:18:48 PM,5/15/2019 4:28:54 PM,900-919 Barton Ave,CHATTANOOGA,35066901,85289570,ACC2-MVC No Injuries
5/15/2019 3:15:18 PM,5/15/2019 4:18:49 PM,6231 Perimeter Dr,CHATTANOOGA,35029927,85184085,ACC2-MVC No Injuries
5/15/2019 3:12:44 PM,5/15/2019 4:04:38 PM,180 INTERSTATE 75 SB,CHATTANOOGA,35007414,85203262,ACC2-MVC No Injuries
5/15/2019 3:12:00 PM,5/15/2019 3:18:09 PM,120 Interstate 75 Sb,CHATTANOOGA,35001154,85211604,ACC3-MVC Unknown Injuries
5/15/2019 3:11:47 PM,5/15/2019 3:13:07 PM,161-309 Interstate 75 Sb,CHATTANOOGA,35007470,85203600,ACC1-MVC Injuries
5/15/2019 3:10:36 PM,5/15/2019 3:17:03 PM,180 INTERSTATE 75 SB,CHATTANOOGA,35007414,85203262,ACC3-MVC Unknown Injuries
5/15/2019 2:51:21 PM,5/15/2019 3:36:56 PM,17100 Interstate 24 Wb,CHATTANOOGA,34983166,85409351,ACC2-MVC No Injuries
5/15/2019 2:48:37 PM,5/15/2019 4:41:55 PM,3536 BRAINERD RD,CHATTANOOGA,35024755,85247548,ACC2-MVC No Injuries
5/15/2019 2:46:24 PM,5/15/2019 3:04:25 PM,3901 Dayton Blvd,RED BANK,35119695,85291474,ACC2-MVC No Injuries
5/15/2019 2:43:27 PM,5/15/2019 3:43:43 PM,2008 Gunbarrel Rd,CHATTANOOGA,35030799,85154591,ACC2-MVC No Injuries
5/15/2019 2:39:53 PM,5/15/2019 4:05:38 PM,700 Interstate 75 Nb,CHATTANOOGA,35055684,85136675,ACC2-MVC No Injuries
5/15/2019 2:38:14 PM,5/15/2019 2:40:59 PM,300 HYATTE RD,SODDY DAISY,35233973,85185078,ACC1-MVC Injuries
5/15/2019 2:38:13 PM,5/15/2019 3:03:06 PM,300 HYATTE RD,SODDY DAISY,35233973,85185078,ACC1-MVC Injuries
5/15/2019 2:38:12 PM,5/15/2019 4:58:32 PM,300 HYATTE RD,SODDY DAISY,35233973,85185078,ACC1-MVC Injuries
5/15/2019 2:30:24 PM,5/15/2019 4:04:55 PM,6318 Middle Valley Rd,CHATTANOOGA,35158837,85214339,ACC2-MVC No Injuries
5/15/2019 2:26:33 PM,5/15/2019 2:28:58 PM,300 Hyatte Rd,SODDY DAISY,35233973,85185078,ACC2-MVC No Injuries
5/15/2019 2:26:22 PM,5/15/2019 3:18:06 PM,300 HYATTE RD,SODDY DAISY,35233973,85185078,ACC3-MVC Unknown Injuries
5/15/2019 2:25:08 PM,5/15/2019 3:06:19 PM,2031 Hamilton Place Blvd,CHATTANOOGA,35035280,85162518,ACC2-MVC No Injuries
5/15/2019 2:13:08 PM,5/15/2019 3:39:30 PM,3550 Broad St,CHATTANOOGA,35013479,85326053,ACC2-MVC No Injuries
5/15/2019 2:11:28 PM,5/15/2019 3:02:45 PM,4200 W Rd,HAMILTON COUNTY,35133161,85317137,ACC2-MVC No Injuries
5/15/2019 1:47:01 PM,5/15/2019 3:21:52 PM,1000 - 1015 Birmingham Hwy,CHATTANOOGA,34993128,85389065,ACC2-MVC No Injuries
5/15/2019 1:46:06 PM,5/15/2019 1:50:16 PM,1000 BIRMINGHAM HWY,CHATTANOOGA,34992804,85388373,ACC2-MVC No Injuries
5/15/2019 1:30:09 PM,5/15/2019 1:36:54 PM,1100 Interstate 75 Nb,CHATTANOOGA,35082723,85078179,ACCDEL-MVC Delayed
5/15/2019 1:22:24 PM,5/15/2019 1:29:11 PM,2599 Hiwassee St,CHATTANOOGA,35051577,85253371,ACC2-MVC No Injuries
5/15/2019 1:10:30 PM,5/15/2019 1:12:55 PM,140 - 149 Highway 27 Sb,CHATTANOOGA,35049986,85314340,ACC2-MVC No Injuries
5/15/2019 1:08:28 PM,5/15/2019 2:30:49 PM,140-168 HIGHWAY 27 SB,CHATTANOOGA,35049871,85314338,ACC2-MVC No Injuries
5/15/2019 12:59:40 PM,5/15/2019 3:50:43 PM,5113 Highway 153,CHATTANOOGA,35121975,85239625,ACC2-MVC No Injuries
5/15/2019 12:58:49 PM,5/15/2019 12:59:40 PM,5600 Brainerd Rd,CHATTANOOGA,35009721,85216385,ACC1-MVC Injuries
5/15/2019 12:58:49 PM,5/15/2019 1:00:01 PM,5600 Brainerd Rd,CHATTANOOGA,35009721,85216385,ACC1-MVC Injuries
5/15/2019 12:57:38 PM,5/15/2019 1:24:44 PM,5600 Brainerd Rd,CHATTANOOGA,35009721,85216385,ACC2-MVC No Injuries
5/15/2019 12:47:22 PM,5/15/2019 1:36:25 PM,2289 Gunbarrel Rd,CHATTANOOGA,35040129,85150941,ACC2-MVC No Injuries
5/15/2019 12:39:55 PM,5/15/2019 1:56:29 PM,17100 INTERSTATE 24 EB,CHATTANOOGA,34983166,85408990,ACC2-MVC No Injuries
5/15/2019 12:38:00 PM,5/15/2019 3:00:47 PM,6212 - 6299 Lee Hwy,CHATTANOOGA,35030467,85185515,ACC2-MVC No Injuries
5/15/2019 12:24:59 PM,5/15/2019 12:57:39 PM,700 Interstate 75 Sb,CHATTANOOGA,35055140,85138005,ACCDEL-MVC Delayed
5/15/2019 12:21:12 PM,5/15/2019 1:06:45 PM,4115 S Access Rd,CHATTANOOGA,35087525,85217570,ACC1-MVC Injuries
5/15/2019 12:21:12 PM,5/15/2019 1:10:50 PM,4115 S Access Rd,CHATTANOOGA,35087525,85217570,ACC1-MVC Injuries
5/15/2019 12:20:40 PM,5/15/2019 2:29:07 PM,4115 S Access Rd,CHATTANOOGA,35087525,85217570,ACC1-MVC Injuries
5/15/2019 12:14:20 PM,5/15/2019 12:56:35 PM,4500 - 4699 Rocky River Rd,CHATTANOOGA,35085283,85194520,ACC2-MVC No Injuries
5/15/2019 11:24:55 AM,5/15/2019 12:37:21 PM,100 Interstate 75 Nb,,34996081,85206737,ACC2-MVC No Injuries
5/15/2019 11:11:34 AM,5/15/2019 11:34:05 AM,N Germantown Rd / Brainerd Rd,CHATTANOOGA,35024158,85246468,ACC2-MVC No Injuries
5/15/2019 11:03:59 AM,5/15/2019 12:03:17 PM,7105 SHALLOWFORD RD,CHATTANOOGA,35042986,85157265,ACC2-MVC No Injuries
5/15/2019 11:03:55 AM,5/15/2019 12:05:44 PM,3925 Volunteer Dr,CHATTANOOGA,35072976,85200624,ACC2-MVC No Injuries
5/15/2019 10:57:00 AM,5/15/2019 11:25:56 AM,1-9 EXIT 3 OFF RAMP SB,CHATTANOOGA,35023794,85175399,ACC4-MVC Entrapment
5/15/2019 10:57:00 AM,5/15/2019 12:18:04 PM,1-9 EXIT 3 OFF RAMP SB,CHATTANOOGA,35023396,85175589,ACC1-MVC Injuries
5/15/2019 10:55:42 AM,5/15/2019 12:39:34 PM,1 - 9 Exit 3 Off Ramp Sb,CHATTANOOGA,35027345,85172530,ACC4-MVC Entrapment
5/15/2019 10:48:14 AM,5/15/2019 11:48:53 AM,990 - 1060 Highway 27 Nb,CHATTANOOGA,35162745,85283723,ACC2-MVC No Injuries
5/15/2019 10:48:10 AM,5/15/2019 10:50:57 AM,1061 - 1237 Highway 27 Nb,HAMILTON COUNTY,35171631,85278960,ACC3-MVC Unknown Injuries
5/15/2019 10:34:28 AM,5/15/2019 10:39:25 AM,4100-4119 Ringgold Rd,EAST RIDGE,34997555,85247192,ACC3-MVC Unknown Injuries
5/15/2019 10:33:53 AM,5/15/2019 10:40:05 AM,4214 RINGGOLD RD,EAST RIDGE,34996637,85242414,ACC3-MVC Unknown Injuries
5/15/2019 9:39:19 AM,5/15/2019 10:05:55 AM,18360 INTERSTATE 24 EB,CHATTANOOGA,35011010,85244051,ACC2-MVC No Injuries
5/15/2019 9:29:48 AM,5/15/2019 10:37:46 AM,1600 RIVERSIDE DR,CHATTANOOGA,35055071,85282979,ACC2-MVC No Injuries
5/15/2019 9:20:59 AM,5/15/2019 10:04:31 AM,1600-1699 WORKMAN RD,CHATTANOOGA,34989838,85290030,ACC2-MVC No Injuries
5/15/2019 9:00:29 AM,5/15/2019 9:56:36 AM,3540 Cummings Hwy,CHATTANOOGA,35018170,85376376,ACCDEL-MVC Delayed
5/15/2019 8:55:44 AM,5/15/2019 9:40:48 AM,1000 GADD RD,CHATTANOOGA,35140757,85252151,ACC2-MVC No Injuries
5/15/2019 8:52:16 AM,5/15/2019 9:48:28 AM,5900 Shallowford Rd,CHATTANOOGA,35054571,85200011,ACC1-MVC Injuries
5/15/2019 8:52:16 AM,5/15/2019 9:42:04 AM,5900 Shallowford Rd,CHATTANOOGA,35054571,85200011,ACC1-MVC Injuries
5/15/2019 8:51:45 AM,5/15/2019 10:33:41 AM,5900 Shallowford Rd,CHATTANOOGA,35054571,85200011,ACC1-MVC Injuries
5/15/2019 8:51:30 AM,5/15/2019 8:54:24 AM,5953-5961 Shallowford Rd,CHATTANOOGA,35054450,85192060,ACC3-MVC Unknown Injuries
5/15/2019 8:28:09 AM,5/15/2019 8:55:26 AM,3 HIGHWAY 27 NB,CHATTANOOGA,35035349,85318924,ACC2-MVC No Injuries
