GRID_ID,Join_Count,Grid_Num,NBR_LANES,TY_TERRAIN,FUNC_CLASS
A-28,14,1,4,2,11
B-28,2,2,2,2,17
I-28,111,3,4,2,11
J-28,38,4,4,2,11
K-28,11,5,2,2,16
L-28,14,6,1,3,19
O-28,0,7,2,2,19
P-28,3,8,2,2,19
Q-28,5,9,2,3,17
R-28,30,10,2,3,16
S-28,6,11,2,2,19
T-28,37,12,2,2,19
U-28,5,13,2,2,19
V-28,17,14,2,2,19
W-28,1,15,NA,NA,NA
X-28,9,16,2,2,19
Y-28,18,17,2,2,19
Z-28,188,18,2,2,19
AA-28,5,19,2,2,19
AB-28,45,20,2,2,19
AO-28,1,21,2,2,19
AP-28,3,22,2,2,19
AQ-28,0,23,2,2,19
AR-28,10,24,2,2,19
AS-28,6,25,2,2,19
AT-28,2,26,2,2,19
A-27,1,27,NA,NA,NA
J-27,125,28,4,2,11
K-27,7,29,1,3,19
L-27,28,30,2,2,16
M-27,0,31,2,2,19
P-27,7,32,2,2,19
Q-27,34,33,2,2,19
R-27,19,34,2,2,19
S-27,25,35,2,2,19
T-27,38,36,2,2,19
U-27,19,37,2,2,19
V-27,29,38,2,2,19
W-27,103,39,2,2,19
X-27,9,40,2,2,19
Y-27,256,41,2,2,19
Z-27,157,42,2,2,19
AA-27,23,43,2,2,19
AB-27,45,44,2,2,19
AN-27,3,45,2,2,19
AO-27,1,46,2,2,19
AP-27,0,47,2,2,19
AQ-27,4,48,2,2,19
AR-27,64,49,2,2,19
AS-27,26,50,2,2,19
AT-27,11,51,2,2,19
AU-27,9,52,2,2,19
K-26,35,53,4,2,11
M-26,12,54,2,2,16
Q-26,8,55,2,2,19
R-26,21,56,2,2,19
S-26,4,57,2,2,19
T-26,153,58,2,2,19
U-26,17,59,2,2,19
V-26,115,60,2,2,19
W-26,19,61,2,2,19
X-26,34,62,2,2,19
Y-26,250,63,2,2,19
Z-26,134,64,2,2,19
AA-26,61,65,2,2,19
AB-26,29,66,2,2,19
AF-26,31,67,2,2,19
AH-26,486,68,2,2,19
AI-26,175,69,2,2,19
AJ-26,661,70,4,1,11
AK-26,0,71,2,2,19
AL-26,1,72,8,2,11
AM-26,45,73,2,2,19
AN-26,2,74,2,2,19
AO-26,2,75,2,2,19
AP-26,18,76,2,2,17
AQ-26,10,77,2,2,19
AR-26,337,78,2,2,19
AS-26,78,79,2,2,19
AT-26,33,80,2,2,19
AU-26,180,81,2,2,19
AV-26,52,82,2,2,19
J-25,0,83,2,2,19
K-25,120,84,4,2,11
L-25,111,85,2,2,11
M-25,17,86,2,2,18
N-25,12,87,2,2,19
O-25,2,88,2,2,19
P-25,0,89,2,2,19
Q-25,0,90,2,2,19
R-25,2,91,1,2,19
S-25,12,92,1,2,19
T-25,375,93,2,2,19
U-25,102,94,2,2,19
V-25,73,95,2,2,19
W-25,16,96,2,2,19
X-25,17,97,2,2,19
Y-25,164,98,2,2,19
Z-25,120,99,2,2,19
AA-25,129,100,2,2,19
AB-25,322,101,2,2,19
AD-25,501,102,2,2,19
AE-25,232,103,2,2,19
AF-25,455,104,2,2,19
AG-25,356,105,2,2,19
AH-25,563,106,2,2,19
AI-25,592,107,2,2,19
AJ-25,476,108,5,2,19
AK-25,833,109,8,2,11
AL-25,146,110,2,2,19
AM-25,194,111,8,2,11
AN-25,626,112,2,2,14
AO-25,13,113,2,2,19
AP-25,340,114,2,2,19
AQ-25,196,115,2,2,19
AR-25,125,116,2,2,16
AS-25,27,117,2,2,19
AT-25,5,118,2,2,19
AU-25,12,119,2,2,19
AV-25,29,120,2,2,19
I-24,2,121,2,2,19
J-24,7,122,2,2,19
K-24,2,123,2,2,19
L-24,53,124,2,2,16
M-24,360,125,4,2,16
N-24,60,126,2,2,19
O-24,87,127,2,2,16
P-24,24,128,2,2,16
Q-24,45,129,2,3,16
R-24,94,130,2,3,16
S-24,153,131,4,2,19
T-24,31,132,5,2,11
U-24,207,133,2,2,19
V-24,36,134,2,2,19
W-24,4,135,2,2,19
X-24,535,136,2,2,19
Y-24,467,137,2,2,14
Z-24,256,138,2,2,19
AA-24,882,139,2,2,19
AB-24,399,140,2,2,19
AC-24,206,141,2,2,19
AD-24,91,142,2,2,19
AE-24,99,143,2,2,19
AF-24,259,144,2,2,19
AG-24,90,145,2,2,19
AH-24,66,146,2,2,19
AI-24,15,147,2,2,19
AJ-24,0,148,2,2,19
AK-24,311,149,2,2,19
AL-24,258,150,2,2,19
AM-24,173,151,2,2,14
AN-24,111,152,2,2,19
AO-24,417,153,2,2,19
AP-24,93,154,2,2,19
AQ-24,254,155,2,2,19
AR-24,18,156,2,2,19
AS-24,14,157,2,2,19
AT-24,49,158,2,2,16
