Date,Hour,Route,Log_Mile,Latitude,Longitude,Thru_Lanes,ROW ,Num_Lanes,Speed_Limit,Terrain,Land_Use,Illum,Operation,Access_Control,Sch Spd Limit,Truck Spd Limit,Ad_Sys,Gov_Cont,Func_Class,Pavement_Type,Pavement_Width
3/14/19,0,3300948001,0,35.1553557,-85.10558437,2,40,2,40,2,0,,2,0,,,18,2,17,,
3/14/19,0,3300948001,5.8,35.20611464,-85.06865694,2,40,2,40,2,0,,2,0,,,18,2,17,,
3/14/19,0,3300951001,0,35.21308867,-85.21772724,2,120,2,35,2,0,1,2,0,,,18,4,16,15,24
3/14/19,0,3300951001,0.12,35.21181882,-85.21625962,2,120,2,35,2,0,1,2,0,,,18,4,16,15,12
3/14/19,0,3300951001,1.08,35.20254465,-85.20750122,2,50,2,35,2,0,0,2,0,,,18,2,16,15,20
3/14/19,0,3300951001,2.21,35.19169505,-85.19276462,2,50,2,35,2,7,0,2,0,,,18,2,16,15,20
3/14/19,0,3300951001,2.43,35.18932177,-85.19026801,2,60,2,35,2,7,0,2,0,15,,18,2,16,15,11
3/14/19,0,3300951001,2.55,35.18797214,-85.18892652,2,60,2,35,2,7,0,2,0,,,18,2,16,15,20
3/14/19,0,3300951001,3.92,35.17116258,-85.17641316,2,60,2,45,2,7,0,2,0,,,18,2,16,15,12
3/14/19,0,3301122001,0,35.04250232,-85.15594515,4,100,4,40,2,2,1,2,0,,,18,4,14,15,24
3/14/19,0,3301122001,0.06,35.04215129,-85.15498427,4,100,4,40,2,2,1,2,0,,,18,4,14,15,24
3/14/19,0,3301122001,0.12,35.04180432,-85.15402114,4,100,4,40,2,2,1,2,0,,,18,4,14,15,24
3/14/19,0,3301122001,0.48,35.03965755,-85.14821772,4,90,4,40,2,2,1,2,0,,,18,4,16,15,24
3/14/19,0,3301122001,0.79,35.03788297,-85.14324647,4,90,4,40,2,2,1,2,0,,,18,4,16,15,24
3/14/19,0,3301122001,1.4,35.0341259,-85.13351791,2,80,2,40,2,4,1,2,0,,,18,4,16,18,12
3/14/19,0,3301122001,1.425,35.0343359,-85.13332489,2,120,2,40,2,2,1,2,0,,,18,4,16,18,12
3/14/19,0,3301122001,1.445,35.03457803,-85.13331323,2,60,2,35,2,2,1,2,0,,,18,4,16,15,12
3/14/19,0,3301122001,1.495,35.03525104,-85.13302328,2,60,2,35,2,2,1,2,0,15,,18,4,16,15,22
3/14/19,0,3301122001,1.57,35.03626615,-85.13260819,2,40,2,35,2,7,1,2,0,15,,18,4,16,15,20
3/14/19,0,3301122001,2.92,35.04310132,-85.11578507,2,44,2,35,2,7,1,2,0,,,18,2,16,15,22
3/14/19,0,3301122001,5.685,35.04760832,-85.07265798,2,40,2,35,2,7,0,2,0,,,18,4,17,15,20
3/14/19,0,3301126001,0,35.20277764,-85.15331911,2,80,2,45,2,2,,2,0,,,18,4,16,15,24
3/14/19,0,3301126001,0.246,35.20630665,-85.15369011,2,80,2,45,2,2,,2,0,,,18,2,16,15,24
3/14/19,0,3301126001,0.38,35.20809496,-85.15458869,2,64,2,45,2,2,,2,0,,,18,2,16,15,23
3/14/19,0,3301126001,2.11,35.2319527,-85.1509771,2,80,2,45,2,0,,2,0,,,18,2,16,15,24
3/14/19,0,3301126001,3.1,35.2320117,-85.16818314,2,120,2,45,2,0,,2,0,,,18,4,16,15,24
3/14/19,0,3301126001,3.81,35.2366013,-85.17689662,2,120,2,45,2,0,,2,0,,,18,4,16,15,10
3/14/19,0,3301126001,3.99,35.23909621,-85.17586474,2,120,2,45,2,0,,2,0,25,,18,4,16,15,10
3/14/19,0,3301126001,5.04,35.2532925,-85.18151645,2,120,2,45,2,0,,2,0,,,18,4,16,15,24
3/14/19,0,3301126001,5.15,35.25465575,-85.18252716,2,120,2,45,2,2,,2,0,,,18,4,16,15,24
3/14/19,0,3301126001,6.174,35.24259872,-85.19192318,2,60,2,40,2,2,,2,0,,,18,4,16,15,12
3/14/19,0,3301126001,6.7,35.24370406,-85.19626422,2,30,2,40,3,7,,2,0,,,18,4,18,15,18
3/14/19,0,3301126001,9.386,35.26066576,-85.21082022,2,50,2,40,3,7,,2,0,,,11,2,8,15,20
3/14/19,0,3301126001,13.76,35.28804982,-85.27179633,2,50,2,35,3,7,,2,0,,,11,2,8,15,20
3/14/19,0,3301128001,0,35.36650295,-84.99045775,1,40,1,,2,0,,2,0,,,11,2,8,6,12
3/14/19,0,3301128001,0.45,35.36391183,-84.98324735,1,40,1,,2,0,,2,0,,,11,2,8,6,12
3/14/19,0,3301143001,0,35.02199826,-85.02201888,2,60,2,45,2,0,0,2,0,,,18,2,16,15,12
