BLM,ELM,ID_NUMBER,Feat_Seq_Nbr,Feature_Type,Feat_Width,Feature_Composition
0,5.8,3300948001,8,29,,40
0,5.8,3300948001,9,20,2,4
0,5.8,3300948001,10,20,22,15
0,5.8,3300948001,12,20,2,4
0,5.8,3300948001,13,29,,40
0,0.04,3300951001,1,29,,42
0,0.04,3300951001,2,20,10,18
0,0.04,3300951001,3,19,24,15
0,0.04,3300951001,4,20,10,18
0,0.04,3300951001,5,29,,42
0.04,0.16,3300951001,1,29,,40
0.04,0.16,3300951001,2,20,10,5
0.04,0.16,3300951001,3,19,12,15
0.04,0.16,3300951001,4,40,12,23
0.04,0.16,3300951001,5,19,12,15
0.04,0.16,3300951001,6,20,10,5
0.04,0.16,3300951001,7,29,,40
0.16,0.231,3300951001,1,29,,40
0.16,0.231,3300951001,2,20,8,15
0.16,0.231,3300951001,3,19,24,15
0.16,0.231,3300951001,4,20,8,15
0.16,0.231,3300951001,5,29,,40
0.231,2.35,3300951001,1,29,,40
0.231,2.35,3300951001,2,20,1,15
0.231,2.35,3300951001,3,19,20,15
0.231,2.35,3300951001,4,20,1,15
0.231,2.35,3300951001,5,29,,40
2.35,2.53,3300951001,1,29,,42
2.35,2.53,3300951001,2,20,1,18
2.35,2.53,3300951001,3,19,11,15
2.35,2.53,3300951001,4,40,11,23
2.35,2.53,3300951001,5,19,11,15
2.35,2.53,3300951001,6,20,1,18
2.35,2.53,3300951001,7,29,,42
2.53,3.86,3300951001,1,29,,40
2.53,3.86,3300951001,2,20,1,15
2.53,3.86,3300951001,3,19,20,15
2.53,3.86,3300951001,4,20,1,15
2.53,3.86,3300951001,5,29,,40
3.86,3.92,3300951001,1,29,,43
3.86,3.92,3300951001,2,20,1,18
3.86,3.92,3300951001,3,19,12,15
3.86,3.92,3300951001,4,3,12,15
3.86,3.92,3300951001,5,19,12,15
3.86,3.92,3300951001,6,20,1,18
3.86,3.92,3300951001,7,29,,43
0,0.06,3301122001,1,29,,43
0,0.06,3301122001,2,20,2,18
0,0.06,3301122001,4,19,24,15
0,0.06,3301122001,7,5,24,15
0,0.06,3301122001,10,19,24,15
0,0.06,3301122001,12,20,2,18
