GRID_ID,ORIG_FID,X,Y,Center_Lat,Center_Long,Ghost_Lat,Ghost_Long
G-26,0,-85.37604875,35.03720655,35.0355447831543,-85.381248050298,35.0380374334228,-85.373449099851
G-26,0,-85.37922767,35.03126847,,,35.0291303134228,-85.378217479851
G-26,0,-85.38644717,35.03388286,,,35.0330518984228,-85.389046729851
G-26,0,-85.38326866,35.03982113,,,35.0419593034228,-85.384278964851
G-26,0,-85.37604875,35.03720655,,,35.0380374334228,-85.373449099851
H-26,1,-85.36882931,35.03459155,35.0329300912683,-85.3740285809763,35.0354222793659,-85.3662296745118
H-26,1,-85.37200864,35.02865367,,,35.0265154593659,-85.3709986695119
H-26,1,-85.37922767,35.03126847,,,35.0304376593659,-85.3818272145119
H-26,1,-85.37604875,35.03720655,,,35.0393447793659,-85.3770588345119
H-26,1,-85.36882931,35.03459155,,,35.0354222793659,-85.3662296745118
I-26,2,-85.36161035,35.03197613,35.0303149812675,-85.3668095859704,35.0328067043662,-85.3590107320148
I-26,2,-85.36479009,35.02603845,,,35.0239001843662,-85.3637803420148
I-26,2,-85.37200864,35.02865367,,,35.0278230143662,-85.3746081670148
I-26,2,-85.36882931,35.03459155,,,35.0367298343662,-85.3698391720148
I-26,2,-85.36161035,35.03197613,,,35.0328067043662,-85.3590107320148
J-26,3,-85.35439186,35.02936029,35.0276994508041,-85.3595910640795,35.0301907095979,-85.3517922579603
J-26,3,-85.357572,35.02342281,,,35.0212844895979,-85.3565624679603
J-26,3,-85.36479009,35.02603845,,,35.025207949598,-85.3673896029603
J-26,3,-85.36161035,35.03197613,,,35.0341144695979,-85.3626199929603
J-26,3,-85.35439186,35.02936029,,,35.0301907095979,-85.3517922579603
K-26,4,-85.34717385,35.02674404,35.0250835031511,-85.352373015275,35.0275743084244,-85.3445742673625
K-26,4,-85.3503544,35.02080675,,,35.0186683734244,-85.3493450923625
K-26,4,-85.357572,35.02342281,,,35.0225924634244,-85.3601714923625
K-26,4,-85.35439186,35.02936029,,,35.0314986834244,-85.3554012823625
K-26,4,-85.34717385,35.02674404,,,35.0275743084244,-85.3445742673625
L-26,5,-85.33995631,35.02412736,35.0224671389178,-85.3451554447514,35.0249574705411,-85.3373567426243
L-26,5,-85.34313726,35.01819028,,,35.0160518505411,-85.3421281676243
L-26,5,-85.3503544,35.02080675,,,35.0199765555411,-85.3529538776243
L-26,5,-85.34717385,35.02674404,,,35.0288824905411,-85.3481830526243
L-26,5,-85.33995631,35.02412736,,,35.0249574705411,-85.3373567426243
M-26,6,-85.33273925,35.02151027,35.0198503526869,-85.3379383433787,35.0223402286565,-85.3301397033107
M-26,6,-85.3359206,35.01557338,,,35.0134348936565,-85.3349117283106
M-26,6,-85.34313726,35.01819028,,,35.0173602436565,-85.3457367183107
M-26,6,-85.33995631,35.02412736,,,35.0262658636565,-85.3409652933107
M-26,6,-85.33273925,35.02151027,,,35.0223402286565,-85.3301397033107
N-26,7,-85.32552266,35.01889276,35.0172331512638,-85.3307217209411,35.0197225643681,-85.3229231295294
N-26,7,-85.32870442,35.01295607,,,35.0108175293681,-85.3276957695294
N-26,7,-85.3359206,35.01557338,,,35.0147434943681,-85.3385200395294
N-26,7,-85.33273925,35.02151027,,,35.0236488293681,-85.3337480145295
N-26,7,-85.32552266,35.01889276,,,35.0197225643681,-85.3229231295294
O-26,8,-85.31830654,35.01627484,35.0146155362631,-85.3235055709353,35.0171044918685,-85.3157070245324
O-26,8,-85.32148871,35.01033835,,,35.0081997568684,-85.3204802795324
O-26,8,-85.32870442,35.01295607,,,35.0121263368685,-85.3313038445324
O-26,8,-85.32552266,35.01889276,,,35.0210313718685,-85.3265312045324
O-26,8,-85.31830654,35.01627484,,,35.0171044918685,-85.3157070245324
P-26,9,-85.31109091,35.01365649,35.0119975008,-85.3162898990447,35.0144859846,-85.3084914154777
P-26,9,-85.31427348,35.0077202,,,35.0055815496,-85.3132652704776
P-26,9,-85.32148871,35.01033835,,,35.0095087746,-85.3240881154776
P-26,9,-85.31830654,35.01627484,,,35.0184135096,-85.3193148604776
P-26,9,-85.31109091,35.01365649,,,35.0144859846,-85.3084914154777
Q-26,10,-85.30387574,35.01103773,35.0093790462616,-85.3090747009235,35.0118670718692,-85.3012762595382
Q-26,10,-85.30705872,35.00510164,,,35.0029629368692,-85.3060507295382
Q-26,10,-85.31427348,35.0077202,,,35.0068907768692,-85.3168728695382
Q-26,10,-85.31109091,35.01365649,,,35.0157952118692,-85.3120990145382
Q-26,10,-85.30387574,35.01103773,,,35.0118670718692,-85.3012762595382
R-26,11,-85.29666105,35.00841855,35.0067601757986,-85.3018599740332,35.0092477371007,-85.2940615879834
R-26,11,-85.29984443,35.00248266,,,35.0003439021007,-85.2988366579834
R-26,11,-85.30705872,35.00510164,,,35.0042723721007,-85.3096580929834
R-26,11,-85.30387574,35.01103773,,,35.0131765071007,-85.3048836229834
R-26,11,-85.29666105,35.00841855,,,35.0092477371007,-85.2940615879834
S-26,12,-85.28944684,35.00579896,35.0041408876824,-85.2946457233448,35.0066279961588,-85.2868473983276
S-26,12,-85.29263062,34.99986326,,,34.9977244461588,-85.2916230683276
S-26,12,-85.29984443,35.00248266,,,35.0016535461588,-85.3024437833276
S-26,12,-85.29666105,35.00841855,,,35.0105573811588,-85.2976687133276
S-26,12,-85.28944684,35.00579896,,,35.0066279961588,-85.2868473983276
T-26,13,-85.2822331,35.00317895,35.0015211857973,-85.2874319490217,35.0040078321013,-85.2796336754891
T-26,13,-85.28541728,34.99724345,,,34.9951045821013,-85.2844099454891
T-26,13,-85.29263062,34.99986326,,,34.9990342971013,-85.2952299554891
T-26,13,-85.28944684,35.00579896,,,35.0079378471013,-85.2904542854891
T-26,13,-85.2822331,35.00317895,,,35.0040078321013,-85.2796336754891
U-26,14,-85.27501983,35.00055852,34.9989010662586,-85.2802186459002,35.0013872468707,-85.2724204220499
U-26,14,-85.27820442,34.99462322,,,34.9924842968707,-85.2771973070499
U-26,14,-85.28541728,34.99724345,,,34.9964146418707,-85.2880165970499
U-26,14,-85.2822331,35.00317895,,,35.0053178918707,-85.2832403270499
U-26,14,-85.27501983,35.00055852,,,35.0013872468707,-85.2724204220499
V-26,15,-85.26780704,34.99793768,34.9962805307959,-85.2730058190102,34.998766254602,-85.2652076504949
V-26,15,-85.27099203,34.99200258,,,34.989863604602,-85.2699851354949
V-26,15,-85.27820442,34.99462322,,,34.993794564602,-85.2808037204949
V-26,15,-85.27501983,35.00055852,,,35.002697514602,-85.2760268354949
V-26,15,-85.26780704,34.99793768,,,34.998766254602,-85.2652076504949
W-26,16,-85.26059473,34.99531641,34.9936595789111,-85.2657934696865,34.9961448255444,-85.2579953601567
W-26,16,-85.26378012,34.98938152,,,34.9872424905444,-85.2627734451568
W-26,16,-85.27099203,34.99200258,,,34.9911740805444,-85.2735913101568
W-26,16,-85.26780704,34.99793768,,,35.0000767305444,-85.2688138251567
W-26,16,-85.26059473,34.99531641,,,34.9961448255444,-85.2579953601567
X-26,17,-85.25338289,34.99269474,34.9910382076785,-85.2585815933167,34.9935230061608,-85.2507835383416
X-26,17,-85.25656868,34.98676004,,,34.9846209561608,-85.2555622233416
X-26,17,-85.26378012,34.98938152,,,34.9885531761608,-85.2663793833417
X-26,17,-85.26059473,34.99531641,,,34.9974555111608,-85.2616012983416
X-26,17,-85.25338289,34.99269474,,,34.9935230061608,-85.2507835383416
Y-26,18,-85.24617152,34.99007264,34.9884164212556,-85.2513701908768,34.9909007493722,-85.2435721845616
Y-26,18,-85.24935772,34.98413814,,,34.9819989993722,-85.2483514845616
Y-26,18,-85.25656868,34.98676004,,,34.9859318493722,-85.2591679245616
Y-26,18,-85.25338289,34.99269474,,,34.9948338993722,-85.2543892395616
Y-26,18,-85.24617152,34.99007264,,,34.9909007493722,-85.2435721845616
G-25,19,-85.37286935,35.04314453,35.0414829108042,-85.3780690940952,35.0439753395979,-85.3702694779524
G-25,19,-85.37604875,35.03720655,,,35.0350683695979,-85.3750385779524
G-25,19,-85.38326866,35.03982113,,,35.0389902395979,-85.3858684429524
G-25,19,-85.38008966,35.04575931,,,35.0478975095979,-85.3810999429524
G-25,19,-85.37286935,35.04314453,,,35.0439753395979,-85.3702694779524
H-25,20,-85.36564951,35.04052933,35.0388680208035,-85.3708492190895,35.0413599845982,-85.3630496554553
H-25,20,-85.36882931,35.03459155,,,35.0324533145982,-85.3678193554553
H-25,20,-85.37604875,35.03720655,,,35.0363758145982,-85.3786485154553
H-25,20,-85.37286935,35.04314453,,,35.0452827845982,-85.3738794154553
H-25,20,-85.36564951,35.04052933,,,35.0413599845982,-85.3630496554553
I-25,21,-85.35843014,35.03791371,35.0362527112655,-85.3636298159688,35.0387442093673,-85.3558303020156
I-25,21,-85.36161035,35.03197613,,,35.0298378393673,-85.3606006170156
I-25,21,-85.36882931,35.03459155,,,35.0337609693673,-85.3714290570156
I-25,21,-85.36564951,35.04052933,,,35.0426676393673,-85.3666593570156
I-25,21,-85.35843014,35.03791371,,,35.0387442093673,-85.3558303020156
J-25,22,-85.35121125,35.03529767,35.0336369808022,-85.3564108890779,35.0361280145989,-85.3486114304611
J-25,22,-85.35439186,35.02936029,,,35.0272219445989,-85.3533823454611
J-25,22,-85.36161035,35.03197613,,,35.0311457045989,-85.3642100804611
J-25,22,-85.35843014,35.03791371,,,35.0400520745989,-85.359439765461
J-25,22,-85.35121125,35.03529767,,,35.0361280145989,-85.3486114304611
K-25,23,-85.34399283,35.03268122,35.031020836264,-85.3491924359571,35.033511411868,-85.3413930270215
K-25,23,-85.34717385,35.02674404,,,35.024605641868,-85.3461645570215
K-25,23,-85.35439186,35.02936029,,,35.028530016868,-85.3569915720215
K-25,23,-85.35121125,35.03529767,,,35.037436086868,-85.3522206570215
K-25,23,-85.34399283,35.03268122,,,35.033511411868,-85.3413930270215
L-25,24,-85.33677489,35.03006435,35.0284042726857,-85.3419744583828,35.0308943886572,-85.3341751058086
L-25,24,-85.33995631,35.02412736,,,35.0219889036571,-85.3389472358086
L-25,24,-85.34717385,35.02674404,,,35.0259139236571,-85.3497735458086
L-25,24,-85.34399283,35.03268122,,,35.0348196936571,-85.3450020158086
L-25,24,-85.33677489,35.03006435,,,35.0308943886572,-85.3341751058086
M-25,25,-85.32955742,35.02744706,35.0257872912626,-85.3347569559454,35.0282769443687,-85.3269576520273
M-25,25,-85.33273925,35.02151027,,,35.0193717593687,-85.3317303970273
M-25,25,-85.33995631,35.02412736,,,35.0232973943687,-85.3425559870273
M-25,25,-85.33677489,35.03006435,,,35.0322028793687,-85.3377838570273
M-25,25,-85.32955742,35.02744706,,,35.0282769443687,-85.3269576520273
N-25,26,-85.32234042,35.02482935,35.0231698912618,-85.3275399259395,35.0256590793691,-85.3197406670303
N-25,26,-85.32552266,35.01889276,,,35.0167541943691,-85.3245140270303
N-25,26,-85.33273925,35.02151027,,,35.0206804593691,-85.3353389120303
N-25,26,-85.32955742,35.02744706,,,35.0295856443691,-85.3305661670303
N-25,26,-85.32234042,35.02482935,,,35.0256590793691,-85.3197406670303
O-25,27,-85.3151239,35.02221122,35.0205520739141,-85.3203233697321,35.023040793043,-85.312524165134
O-25,27,-85.31830654,35.01627484,,,35.014136223043,-85.317298125134
O-25,27,-85.32552266,35.01889276,,,35.018063103043,-85.328122305134
O-25,27,-85.32234042,35.02482935,,,35.026967988043,-85.323348945134
O-25,27,-85.3151239,35.02221122,,,35.023040793043,-85.312524165134
P-25,28,-85.30790786,35.01959268,35.0179338381449,-85.3131072902447,35.0204221009276,-85.3053081448777
P-25,28,-85.31109091,35.01365649,,,35.0115178159276,-85.3100827198776
P-25,28,-85.31830654,35.01627484,,,35.0154453409276,-85.3209061648776
P-25,28,-85.3151239,35.02221122,,,35.0243499109276,-85.3161322048777
P-25,28,-85.30790786,35.01959268,,,35.0204221009276,-85.3053081448777
Q-25,29,-85.30069229,35.01697372,35.0153151857974,-85.3058916890374,35.0178029871013,-85.2980925904813
Q-25,29,-85.30387574,35.01103773,,,35.0088990021013,-85.3028677654813
Q-25,29,-85.31109091,35.01365649,,,35.0128271421013,-85.3136905204813
Q-25,29,-85.30790786,35.01959268,,,35.0217314271013,-85.3089159454813
Q-25,29,-85.30069229,35.01697372,,,35.0178029871013,-85.2980925904813
R-25,30,-85.2934772,35.01435435,35.0126961176811,-85.2986765583489,35.0151834661594,-85.2908775208255
R-25,30,-85.29666105,35.00841855,,,35.0062797661594,-85.2956532958255
R-25,30,-85.30387574,35.01103773,,,35.0102085361594,-85.3064753308255
R-25,30,-85.30069229,35.01697372,,,35.0191125211594,-85.3017001558255
R-25,30,-85.2934772,35.01435435,,,35.0151834661594,-85.2908775208255
S-25,31,-85.28626258,35.01173455,35.0100766343737,-85.2914619065928,35.0125635078131,-85.2836629167036
S-25,31,-85.28944684,35.00579896,,,35.0036601228131,-85.2884393067036
S-25,31,-85.29666105,35.00841855,,,35.0075895078131,-85.2992606217036
S-25,31,-85.2934772,35.01435435,,,35.0164932078131,-85.2944848467036
S-25,31,-85.28626258,35.01173455,,,35.0125635078131,-85.2836629167036
T-25,32,-85.27904844,35.00911434,35.0074567307953,-85.2842477290201,35.0099431446024,-85.27644879549
T-25,32,-85.2822331,35.00317895,,,35.0010400596023,-85.2812257854899
T-25,32,-85.28944684,35.00579896,,,35.0049700746023,-85.29204639549
T-25,32,-85.28626258,35.01173455,,,35.0138734596023,-85.2872700054899
T-25,32,-85.27904844,35.00911434,,,35.0099431446024,-85.27644879549
U-25,33,-85.27183477,35.00649371,35.0048364107946,-85.2770340240144,35.0073223596027,-85.2692351429928
U-25,33,-85.27501983,35.00055852,,,34.9984195746027,-85.2740127329928
U-25,33,-85.2822331,35.00317895,,,35.0023502196027,-85.2848326379928
U-25,33,-85.27904844,35.00911434,,,35.0112533046027,-85.2800556479928
U-25,33,-85.27183477,35.00649371,,,35.0073223596027,-85.2692351429928
V-25,34,-85.26462158,35.00387267,35.0022156757939,-85.2698207940086,35.004701167103,-85.2620219729957
V-25,34,-85.26780704,34.99793768,,,34.995798682103,-85.2668001629957
V-25,34,-85.27501983,35.00055852,,,34.999729942103,-85.2776193479957
V-25,34,-85.27183477,35.00649371,,,35.008632727103,-85.2728417579957
V-25,34,-85.26462158,35.00387267,,,35.004701167103,-85.2620219729957
W-25,35,-85.25740886,35.00125121,34.9995945231391,-85.2626080402047,35.0020795534304,-85.2548092698976
W-25,35,-85.26059473,34.99531641,,,34.9931773534305,-85.2595880748976
W-25,35,-85.26780704,34.99793768,,,34.9971092584304,-85.2704065398976
W-25,35,-85.26462158,35.00387267,,,35.0060117434304,-85.2656283498976
W-25,35,-85.25740886,35.00125121,,,35.0020795534304,-85.2548092698976
X-25,36,-85.25019662,34.99862933,34.9969729539086,-85.255395764679,34.9994575180457,-85.2475970476605
X-25,36,-85.25338289,34.99269474,,,34.9905556330457,-85.2523764526605
X-25,36,-85.26059473,34.99531641,,,34.9944881380457,-85.2631942126605
X-25,36,-85.25740886,35.00125121,,,35.0033903380457,-85.2584154076605
X-25,36,-85.25019662,34.99862933,,,34.9994575180457,-85.2475970476605
Y-25,37,-85.24298485,34.99600704,34.9943509676757,-85.2481839583095,34.9968350761622,-85.2403852958453
Y-25,37,-85.24617152,34.99007264,,,34.9879334761622,-85.2451653008453
Y-25,37,-85.25338289,34.99269474,,,34.9918666261622,-85.2559823558453
Y-25,37,-85.25019662,34.99862933,,,35.0007685111621,-85.2512029508453
Y-25,37,-85.24298485,34.99600704,,,34.9968350761622,-85.2403852958453
Z-25,38,-85.23577356,34.99338433,34.9917285657912,-85.2409726289856,34.9942122121044,-85.2331740255072
Z-25,38,-85.23896063,34.98745013,,,34.9853109121044,-85.2379546305072
Z-25,38,-85.24617152,34.99007264,,,34.9892446771044,-85.2487709655072
Z-25,38,-85.24298485,34.99600704,,,34.9981462771044,-85.2439909605072
Z-25,38,-85.23577356,34.99338433,,,34.9942122121044,-85.2331740255072
AA-25,39,-85.22856274,34.99076121,34.9891057512521,-85.2337617758635,34.9915889393739,-85.2259632220683
AA-25,39,-85.23175022,34.98482721,,,34.9826879393739,-85.2307444420682
AA-25,39,-85.23896063,34.98745013,,,34.9866223193739,-85.2415600570683
AA-25,39,-85.23577356,34.99338433,,,34.9955236193739,-85.2367794520682
AA-25,39,-85.22856274,34.99076121,,,34.9915889393739,-85.2259632220683
G-24,40,-85.36968947,35.0490824,35.0474209367276,-85.3748896578642,35.0499131316362,-85.3670893760679
G-24,40,-85.37286935,35.04314453,,,35.0410063266362,-85.3718591960679
G-24,40,-85.38008966,35.04575931,,,35.0449284966362,-85.3826896610679
G-24,40,-85.3769102,35.05169738,,,35.0538356016362,-85.3779204710679
G-24,40,-85.36968947,35.0490824,,,35.0499131316362,-85.3670893760679
H-24,41,-85.36246923,35.046467,35.0448058458015,-85.3676693790878,35.0472975770992,-85.3598691554561
H-24,41,-85.36564951,35.04052933,,,35.0383910720992,-85.3646395754561
H-24,41,-85.37286935,35.04314453,,,35.0423138720992,-85.3754693354561
H-24,41,-85.36968947,35.0490824,,,35.0512206770992,-85.3706995154561
