ORIG_FID,Center_Lat,Center_Long
0,34.9932,-85.39602273
1,34.9932,-85.38806818
2,34.9932,-85.38011364
3,34.9932,-85.37215909
4,34.9932,-85.36420455
5,34.9932,-85.35625
6,34.9932,-85.34829545
7,34.9932,-85.34034091
8,34.9932,-85.33238636
9,34.9932,-85.32443182
10,34.9932,-85.31647727
11,34.9932,-85.30852273
12,34.9932,-85.30056818
13,34.9932,-85.29261364
14,34.9932,-85.28465909
15,34.9932,-85.27670455
16,34.9932,-85.26875
17,34.9932,-85.26079545
18,34.9932,-85.25284091
19,34.9932,-85.24488636
20,34.9932,-85.23693182
21,34.9932,-85.22897727
22,34.9932,-85.22102273
23,34.9932,-85.21306818
24,34.9932,-85.20511364
25,34.9932,-85.19715909
26,34.9932,-85.18920455
27,34.9932,-85.18125
28,34.9932,-85.17329545
29,34.9932,-85.16534091
30,34.9932,-85.15738636
31,34.9932,-85.14943182
32,34.9932,-85.14147727
33,34.9932,-85.13352273
34,34.9932,-85.12556818
35,34.9932,-85.11761364
36,34.9932,-85.10965909
37,34.9932,-85.10170455
38,34.9932,-85.09375
39,34.9932,-85.08579545
40,34.9932,-85.07784091
41,34.9932,-85.06988636
42,34.9932,-85.06193182
43,34.9932,-85.05397727
44,34.9996,-85.39602273
45,34.9996,-85.38806818
46,34.9996,-85.38011364
47,34.9996,-85.37215909
48,34.9996,-85.36420455
49,34.9996,-85.35625
50,34.9996,-85.34829545
51,34.9996,-85.34034091
52,34.9996,-85.33238636
53,34.9996,-85.32443182
54,34.9996,-85.31647727
55,34.9996,-85.30852273
56,34.9996,-85.30056818
57,34.9996,-85.29261364
58,34.9996,-85.28465909
59,34.9996,-85.27670455
60,34.9996,-85.26875
61,34.9996,-85.26079545
62,34.9996,-85.25284091
63,34.9996,-85.24488636
64,34.9996,-85.23693182
65,34.9996,-85.22897727
66,34.9996,-85.22102273
67,34.9996,-85.21306818
68,34.9996,-85.20511364
69,34.9996,-85.19715909
70,34.9996,-85.18920455
71,34.9996,-85.18125
72,34.9996,-85.17329545
73,34.9996,-85.16534091
74,34.9996,-85.15738636
75,34.9996,-85.14943182
76,34.9996,-85.14147727
77,34.9996,-85.13352273
78,34.9996,-85.12556818
79,34.9996,-85.11761364
80,34.9996,-85.10965909
81,34.9996,-85.10170455
82,34.9996,-85.09375
83,34.9996,-85.08579545
84,34.9996,-85.07784091
85,34.9996,-85.06988636
86,34.9996,-85.06193182
87,34.9996,-85.05397727
88,35.006,-85.39602273
89,35.006,-85.38806818
90,35.006,-85.38011364
91,35.006,-85.37215909
92,35.006,-85.36420455
93,35.006,-85.35625
94,35.006,-85.34829545
95,35.006,-85.34034091
96,35.006,-85.33238636
97,35.006,-85.32443182
98,35.006,-85.31647727
99,35.006,-85.30852273
100,35.006,-85.30056818
101,35.006,-85.29261364
102,35.006,-85.28465909
103,35.006,-85.27670455
104,35.006,-85.26875
105,35.006,-85.26079545
106,35.006,-85.25284091
107,35.006,-85.24488636
108,35.006,-85.23693182
109,35.006,-85.22897727
110,35.006,-85.22102273
111,35.006,-85.21306818
112,35.006,-85.20511364
113,35.006,-85.19715909
114,35.006,-85.18920455
115,35.006,-85.18125
116,35.006,-85.17329545
117,35.006,-85.16534091
118,35.006,-85.15738636
119,35.006,-85.14943182
120,35.006,-85.14147727
121,35.006,-85.13352273
122,35.006,-85.12556818
123,35.006,-85.11761364
124,35.006,-85.10965909
125,35.006,-85.10170455
126,35.006,-85.09375
127,35.006,-85.08579545
128,35.006,-85.07784091
129,35.006,-85.06988636
130,35.006,-85.06193182
