"","1","2","3","4"
"0",2,0,0,5
"1",14,9,9,19
"2",30,28,27,49
"4",6,5,4,6
"5",15,16,11,30
"6",9,9,2,21
"7",29,28,31,95
"8",7,11,2,17
"9",4,7,5,8
"10",0,1,0,0
"11",11,17,22,58
"12",25,13,17,27
"13",19,23,9,19
"14",4,1,4,1
"15",13,5,2,18
"16",2,3,5,9
"17",0,1,3,5
"19",1,1,0,0
"20",5,3,0,0
"22",13,11,7,17
"23",5,1,1,6
"24",1,0,0,0
"25",3,3,2,7
"26",9,5,12,51
"27",3,11,4,12
"28",0,0,1,0
"29",2,1,4,7
"30",7,8,16,26
"31",13,7,6,10
"32",7,10,6,36
"33",5,7,0,7
"34",7,3,12,24
"35",18,11,19,38
"36",22,21,12,49
"37",9,5,2,3
"38",1,0,0,0
"40",1,0,0,0
"41",1,1,1,0
"44",1,0,0,0
"46",37,49,22,82
"47",23,20,11,54
"48",5,7,2,6
"49",5,2,0,12
"50",88,92,64,176
"51",36,17,23,74
"52",77,59,63,141
"53",28,33,17,41
"54",29,11,14,23
"55",12,6,10,39
"56",3,2,0,2
"57",19,6,10,25
"58",39,20,39,93
"59",5,6,12,22
"60",20,4,8,20
"61",13,7,10,31
"62",6,1,3,4
"65",0,0,0,2
"66",2,1,0,1
"68",2,0,0,0
"70",29,36,14,54
"71",50,38,29,121
"72",57,59,41,106
"73",34,42,32,68
"74",16,24,12,20
"75",14,13,20,49
"76",47,37,28,82
"77",56,36,33,91
"78",4,1,1,1
"79",4,3,4,6
"80",7,5,7,13
"81",5,4,4,17
"82",9,5,5,23
"83",9,4,3,15
"84",11,20,12,23
"85",2,7,3,10
"86",63,87,43,113
"87",18,12,11,14
"88",0,1,2,1
"91",0,0,1,3
"92",1,0,0,0
"95",1,2,1,1
"96",42,33,27,81
"97",36,29,44,83
"98",41,25,35,88
"99",5,11,8,24
"100",13,14,12,37
"101",18,9,11,22
"102",23,10,22,43
"103",56,38,47,74
"104",41,13,25,52
"105",112,71,46,144
"106",32,41,20,55
"107",72,60,28,75
"108",48,45,21,76
"109",60,45,29,57
"110",49,56,20,74
"111",109,94,52,82
"113",0,0,1,0
"114",1,0,1,4
"115",0,0,1,1
"119",1,0,0,0
"121",1,0,2,1
"122",0,1,1,1
"123",10,11,11,9
"124",116,86,95,240
"125",78,64,86,199
"126",28,17,29,82
"127",22,34,26,81
"128",19,12,17,28
"129",12,26,18,36
"130",36,21,33,72
"131",20,19,13,51
"132",20,23,19,35
"133",70,52,47,122
"134",39,20,17,69
"135",20,10,8,20
"136",54,38,41,94
"137",43,20,41,116
"138",55,41,87,153
"139",81,117,42,150
"140",36,70,26,87
"141",5,3,2,2
"142",4,0,3,2
"146",0,0,0,1
"149",0,2,1,0
"152",1,0,0,0
"153",0,8,3,2
"154",20,48,26,43
"155",127,93,96,203
"156",63,65,66,160
"157",41,51,61,104
"158",32,51,39,89
"159",25,24,34,90
"160",15,23,15,30
"161",35,29,49,106
"162",31,29,24,102
"163",6,5,2,3
"164",11,8,12,26
"165",5,4,2,4
"166",10,3,0,7
"167",11,3,4,17
"168",1,0,0,1
"169",29,17,41,74
"170",3,3,2,20
"171",9,20,7,28
"172",16,21,10,33
"174",2,0,0,3
"175",0,0,1,1
"176",1,2,0,3
"177",1,3,1,2
"178",3,0,4,4
"179",0,1,1,1
"185",0,3,1,2
"186",10,15,6,15
"187",24,26,21,40
"188",12,4,3,32
"189",5,6,7,20
"190",7,15,8,15
"191",29,20,27,69
"192",6,13,5,12
"193",15,1,7,17
"194",15,14,10,24
"195",21,36,51,79
"196",2,1,4,2
"197",14,11,6,26
"198",10,4,2,11
"199",2,3,4,11
"200",6,5,3,12
"201",1,0,1,1
"202",0,0,0,3
"203",16,12,31,59
"204",8,6,5,25
"205",36,66,42,103
"206",4,0,4,7
"207",3,2,1,4
"208",0,1,0,0
"209",6,9,5,5
"210",22,23,22,40
"211",2,1,0,0
"212",4,1,1,4
"213",3,1,0,2
"214",0,1,0,0
"219",0,0,1,0
"220",0,2,2,1
"221",23,8,12,21
"222",45,28,22,45
"223",58,45,52,138
"224",9,5,4,16
"226",10,14,16,23
"227",1,4,2,8
"228",12,4,10,12
"229",28,13,20,33
"230",4,5,1,5
"231",1,1,0,8
"232",17,9,6,28
"233",7,13,5,10
"234",7,6,5,9
"235",5,7,2,12
"238",10,17,16,40
"239",10,7,4,22
"240",48,51,24,78
"241",54,50,46,120
"242",38,30,31,82
"243",32,55,25,65
"244",38,24,20,62
"245",2,6,5,12
"246",3,7,2,7
"247",20,5,10,19
"248",2,3,0,3
"249",5,2,0,1
"250",2,0,1,2
"251",0,1,0,0
"257",5,1,3,8
"258",1,1,0,3
"259",25,35,4,25
"260",5,1,9,8
"261",12,2,13,20
"262",5,2,3,1
"263",6,11,6,9
"264",11,13,10,21
"266",7,16,4,18
"267",11,17,15,23
"268",24,27,15,68
"269",4,11,9,17
"270",17,6,11,44
"271",19,11,10,40
"272",3,3,5,8
"273",36,41,23,97
"274",3,3,2,8
"277",6,3,7,11
"278",60,42,49,136
"279",31,14,12,59
"280",46,36,21,61
"281",9,6,24,49
"282",8,4,20,60
"283",0,0,0,5
"284",7,1,1,10
"285",0,0,1,0
"286",0,3,2,1
"287",1,0,1,3
"288",2,2,0,1
"289",5,1,3,3
"290",4,1,3,5
"291",1,5,0,0
"292",1,0,0,0
"302",2,1,1,1
"303",35,39,19,41
"304",54,40,26,85
"305",1,1,3,4
"306",5,2,1,7
"307",11,0,2,26
"308",3,7,7,4
"309",1,4,0,3
"310",4,1,3,3
"311",4,2,1,6
"312",0,0,0,2
