"","0","1","2","3","4","5","6","7","8","9","10","11","12","13","14","15","16","17","18","19","20","21","22","23"
"2",0,0,0,0,0,0,0,4,1,2,0,0,0,0,1,1,0,0,0,1,0,0,0,0
"3",0,0,0,0,0,0,0,0,4,5,1,0,1,0,0,3,1,2,0,1,0,0,0,0
"5",0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,1,2,0,0
"6",0,0,0,0,0,0,0,0,0,0,0,0,1,1,2,2,0,1,1,1,0,2,0,0
"7",0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,3,0,4,1,0,1,0
"8",0,0,0,0,0,0,0,1,1,3,1,5,5,1,4,8,7,5,2,1,0,0,0,0
"9",0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,1,0,1,1,2,1,0,0,0
"10",0,0,0,0,0,0,0,0,0,0,1,2,0,0,1,0,0,1,0,0,0,0,0,0
"12",0,0,0,0,0,0,1,0,0,0,1,1,0,0,1,2,1,2,0,0,1,0,0,0
"13",1,0,0,0,0,0,0,0,2,0,0,2,1,0,0,0,1,1,0,2,0,2,0,0
"14",0,0,0,0,0,0,2,3,2,0,1,5,1,0,0,1,0,0,1,0,0,0,0,1
"15",0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
"16",0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
"18",0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,2,0,1,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
"23",0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0
"24",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"26",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,1,0,0,0,0,0,0,0
"27",0,0,0,0,0,0,0,0,1,1,1,0,3,3,1,0,3,0,0,0,1,0,0,0
"28",0,0,0,0,0,0,0,1,1,0,0,1,0,0,2,0,1,1,0,0,0,0,0,0
"30",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
"31",0,0,0,0,0,0,0,3,0,0,1,1,1,0,0,1,0,1,2,1,0,0,1,0
"32",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"33",2,0,0,0,0,0,0,0,0,0,2,2,0,1,0,3,1,1,0,0,0,0,0,0
"34",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"35",0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,1,0,0,0,1,0,1
"36",2,0,0,0,0,0,0,1,0,0,0,0,2,2,0,0,0,1,1,2,1,0,0,0
"37",0,0,0,0,0,0,0,1,3,0,0,0,1,2,0,0,4,1,0,1,0,0,0,0
"38",0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,4,0,0,0,0,1,0,0,0
"39",0,0,0,0,0,0,1,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0
"42",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"47",0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,3,2,3,0,0,1,0,0,0
"48",0,0,0,1,0,1,0,1,3,1,0,0,2,1,0,2,0,1,2,1,1,0,2,0
"49",0,0,0,0,0,0,0,0,0,0,1,0,0,2,1,0,1,2,1,0,0,2,0,0
"50",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"51",0,0,0,1,1,1,4,6,0,1,2,2,4,6,8,6,9,6,2,0,0,3,4,1
"52",0,0,0,0,0,0,1,1,2,0,1,0,0,2,0,1,5,1,2,0,2,0,2,0
"53",0,0,1,0,2,1,2,1,2,1,0,1,5,3,3,8,12,3,2,4,2,0,0,0
"54",1,0,0,0,0,0,0,2,2,4,1,1,0,1,4,0,0,5,3,0,0,0,0,0
"55",0,0,0,0,0,0,0,0,1,1,1,4,0,2,2,0,1,1,0,0,0,0,0,0
"56",0,0,0,0,0,0,0,0,0,3,0,1,0,1,0,2,0,2,2,0,0,0,0,0
"58",0,0,0,0,0,0,0,3,3,0,1,0,1,7,0,2,0,1,0,2,0,0,0,0
"59",0,0,1,0,0,1,0,5,1,4,2,2,4,3,2,3,2,1,2,0,4,2,0,0
"60",0,0,0,0,0,0,0,1,0,1,0,0,3,1,1,2,1,4,6,2,1,0,0,0
"61",0,0,0,0,0,0,1,0,0,2,0,2,3,0,0,3,0,1,1,0,0,1,0,0
"62",0,0,0,0,0,0,1,0,2,0,0,2,0,1,4,3,5,3,0,0,1,0,0,0
"63",0,0,2,0,0,0,3,7,1,0,0,4,1,2,5,2,1,4,10,1,1,2,0,0
"66",0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
