Response_Date,Fixed_Time_CallClosed,Address,City,Latitude,Longitude,Problem
5/9/2019 10:46:26 PM,5/9/2019 10:56:00 PM,9503 Apison Pike,COLLEGEDALE,35059720,85066282,ACC3-MVC Unknown Injuries
5/9/2019 10:43:02 PM,5/9/2019 11:13:26 PM,8821 Lake Villa Ln,HAMILTON COUNTY,35111447,85158237,ACCDEL-MVC Delayed
5/9/2019 9:52:20 PM,5/9/2019 10:20:27 PM,634 HOUSTON ST,CHATTANOOGA,35048157,85303476,ACC2-MVC No Injuries
5/9/2019 9:27:04 PM,5/9/2019 9:37:30 PM,1360 INTERSTATE 75 SB,HAMILTON COUNTY,35109425,85049917,ACC1-MVC Injuries
5/9/2019 9:27:04 PM,5/9/2019 9:36:38 PM,1360 INTERSTATE 75 SB,HAMILTON COUNTY,35109425,85049917,ACC1-MVC Injuries
5/9/2019 9:25:15 PM,5/9/2019 9:39:49 PM,1100 Interstate 75 Sb,CHATTANOOGA,35082937,85078216,ACC2-MVC No Injuries
5/9/2019 9:24:53 PM,5/9/2019 10:37:36 PM,1340 INTERSTATE 75 SB,HAMILTON COUNTY,35106704,85051177,ACC1-MVC Injuries
5/9/2019 8:57:31 PM,5/9/2019 11:16:46 PM,MCBRIEN RD / S TERRACE,CHATTANOOGA,35004577,85227473,ACC2-MVC No Injuries
5/9/2019 8:31:12 PM,5/9/2019 11:24:45 PM,4348 Ringgold Rd,EAST RIDGE,34995303,85236692,ACC2-MVC No Injuries
5/9/2019 8:10:39 PM,5/9/2019 9:34:09 PM,1052 Graysville Rd,CHATTANOOGA,35001609,85149399,ACC2-MVC No Injuries
5/9/2019 7:54:50 PM,5/9/2019 9:07:45 PM,1900 HAMILL RD,CHATTANOOGA,35122739,85241061,ACC2-MVC No Injuries
5/9/2019 7:16:12 PM,5/9/2019 8:04:14 PM,1229 E 35th St,CHATTANOOGA,35004318,85297961,ACCDEL-MVC Delayed
5/9/2019 7:14:02 PM,5/9/2019 8:31:16 PM,141-149 Highway 27 Sb,CHATTANOOGA,35051276,85314022,ACC2-MVC No Injuries
5/9/2019 6:21:51 PM,5/9/2019 6:22:43 PM,2289 Gunbarrel Rd,CHATTANOOGA,35040129,85150941,ACC2-MVC No Injuries
5/9/2019 6:21:46 PM,5/9/2019 6:53:22 PM,2281 GUNBARREL RD,CHATTANOOGA,35039705,85150331,ACC2-MVC No Injuries
5/9/2019 6:16:55 PM,5/9/2019 6:55:00 PM,18290 INTERSTATE 24 WB,EAST RIDGE,35016157,85254377,ACC2-MVC No Injuries
5/9/2019 6:13:40 PM,5/9/2019 7:22:09 PM,730 Highway 153 Nb,CHATTANOOGA,35112797,85229719,ACC2-MVC No Injuries
5/9/2019 6:10:16 PM,5/9/2019 6:24:57 PM,4700 Amnicola Hwy,CHATTANOOGA,35089088,85219830,ACC2-MVC No Injuries
5/9/2019 6:00:11 PM,5/9/2019 6:13:29 PM,700 S Germantown Rd,EAST RIDGE,35012214,85252960,ACCDEL-MVC Delayed
5/9/2019 5:46:16 PM,5/9/2019 5:48:34 PM,Green Shanty Rd / Bill Reed Rd,HAMILTON COUNTY,35045636,85110522,ACC2-MVC No Injuries
5/9/2019 5:43:40 PM,5/9/2019 6:34:40 PM,900 E 23RD ST,CHATTANOOGA,35025309,85301274,ACC2-MVC No Injuries
5/9/2019 5:43:30 PM,5/9/2019 6:45:17 PM,Mccallie @ Bailey Eb On Ramp / Bailey Ave,CHATTANOOGA,35030572,85268375,ACC2-MVC No Injuries
5/9/2019 5:42:34 PM,5/9/2019 6:39:20 PM,Bill Reed Rd / Standifer Gap Rd,HAMILTON COUNTY,35043081,85115657,ACC2-MVC No Injuries
5/9/2019 5:41:26 PM,5/9/2019 6:03:54 PM,1300 HICKORY VALLEY RD,CHATTANOOGA,35016889,85181912,ACC2-MVC No Injuries
5/9/2019 5:40:27 PM,5/9/2019 6:27:01 PM,1525 JENKINS RD,CHATTANOOGA,35011320,85146602,ACC2-MVC No Injuries
5/9/2019 5:32:45 PM,5/9/2019 7:47:52 PM,1700 WILCOX BLVD,CHATTANOOGA,35055277,85268731,ACC2-MVC No Injuries
5/9/2019 5:28:55 PM,5/9/2019 5:51:44 PM,Hamill Rd / Adams Rd,CHATTANOOGA,35127430,85227069,ACC2-MVC No Injuries
5/9/2019 5:28:34 PM,5/9/2019 5:40:11 PM,7400 E Brainerd Rd,CHATTANOOGA,35014767,85163566,ACC2-MVC No Injuries
5/9/2019 5:28:23 PM,5/9/2019 5:56:22 PM,FERNWAY RD / HIXSON PIKE,CHATTANOOGA,35084751,85291874,ACC2-MVC No Injuries
5/9/2019 5:17:53 PM,5/9/2019 6:10:09 PM,Glenwood Dr / E 3rd St,CHATTANOOGA,35036828,85261088,ACC2-MVC No Injuries
5/9/2019 5:05:41 PM,5/9/2019 6:10:05 PM,4700 AMNICOLA HWY,CHATTANOOGA,35089088,85219830,ACC2-MVC No Injuries
5/9/2019 5:04:45 PM,5/9/2019 5:58:20 PM,Mabel St / E 3rd St,CHATTANOOGA,35051299,85299453,ACC2-MVC No Injuries
5/9/2019 5:04:23 PM,5/9/2019 6:09:05 PM,3600 Hixson Pike,CHATTANOOGA,35106746,85271623,ACC2-MVC No Injuries
5/9/2019 5:01:39 PM,5/9/2019 5:19:39 PM,6100 - 6799 Highway 153,CHATTANOOGA,35170787,85247564,ACC2-MVC No Injuries
5/9/2019 4:57:02 PM,5/9/2019 5:29:59 PM,1303 Laredo Ave,EAST RIDGE,34993693,85261686,ACC2-MVC No Injuries
5/9/2019 4:55:22 PM,5/9/2019 5:06:58 PM,Webb Rd / Highway 58,CHATTANOOGA,35086278,85191791,ACC3-MVC Unknown Injuries
5/9/2019 4:55:16 PM,5/9/2019 5:21:34 PM,2906 MARKET ST,CHATTANOOGA,35019896,85311201,ACC2-MVC No Injuries
