Index,Accident,Problem,Latitude,Longitude,Date,Time,Address,Route,Log_Mile,City,Event,Conditions,EventBefore,ConditionBefore,Hour,Temperature,Temp_Max,Temp_Min,Monthly_Avg_Temp,Daily_Avg_Temp,Relative_Temp,Dewpoint,Humidity,Month,Weekday,Visibility,Cloud_Coverage,Precipitation_Type,Precipitation_Intensity,Precip_Intensity_Max,Precip_Intensity_Time,Clear,Cloudy,Rain,Fog,Snow,RainBefore,Terrain,Land_Use,Access_Control,Illumination,Operation,Speed_Limit,Thru_Lanes,Num_Lanes,Ad_Sys,Gov_Cont,Func_Class,AADT,DHV,Pavement_Width,Pavement_Type
8,,Injuries,35.05224,-85.149942,2019-05-14,20:39:52,7300 STANDIFER GAP RD,33SR002001,19.276,CHATTANOOGA,clear-day,Clear,clear-night,Clear,20,69.71,72.45,49.74,,,,45.29,0.42,5,1,5.98,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,45,2,2,13,1,14,11910,12,12,15
9,,Injuries,35.049055,-85.144323,2019-05-14,20:28:28,7400 - 7469 Allemande Way,3303604001,2.364,CHATTANOOGA,clear-day,Clear,clear-night,Clear,20,69.61,72.36,49.7,,,,45.32,0.42,5,1,5.98,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,0,0,0,2,35,2,2,18,4,16,8350,12,14,15
10,,Injuries,35.049055,-85.144323,2019-05-14,20:28:28,7400 - 7469 Allemande Way,3303604001,2.364,CHATTANOOGA,clear-day,Clear,clear-night,Clear,20,69.61,72.36,49.7,,,,45.32,0.42,5,1,5.98,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,0,0,0,2,35,2,2,18,4,16,8350,12,14,15
11,,Injuries,35.05224,-85.149942,2019-05-14,20:27:48,7300 STANDIFER GAP RD,33SR002001,19.276,CHATTANOOGA,clear-day,Clear,clear-night,Clear,20,69.71,72.45,49.74,,,,45.29,0.42,5,1,5.98,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,45,2,2,13,1,14,11910,12,12,15
12,,No Injuries,35.044349,-85.128355,2019-05-14,19:05:03,JENKINS RD / STANDIFER GAP RD,3303604001,3.707,HAMILTON COUNTY,clear-day,Clear,clear-night,Clear,19,70.76,71.75,49.48,,,,44.76,0.39,5,1,7.57,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,1,2,35,2,2,18,4,16,8350,12,12,15
13,,No Injuries,35.021191,-85.261372,2019-05-14,18:43:24,18240 INTERSTATE 24 WB,3304984001,3.104,CHATTANOOGA,clear-day,Clear,clear-night,Clear,18,71.75,71.75,50.56,,,,43.97,0.37,5,1,7.27,0.09,NA,0,0,-1000,1,0,0,0,0,0,3,7,0,1,2,30,2,2,18,4,17,620,14,24,18
14,,No Injuries,35.011876,-85.226405,2019-05-14,18:33:42,5032 Brainerd Rd,33SR002001,13.928,CHATTANOOGA,clear-day,Clear,clear-night,Clear,18,72.68,72.68,50.88,,,,44.04,0.36,5,1,7.49,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,2,0,1,2,40,6,6,13,1,14,31650,10,30,15
15,,No Injuries,35.027622,-85.159424,2019-05-14,18:25:14,7300 IGOU GAP RD,3304988001,3.136,CHATTANOOGA,clear-day,Clear,clear-night,Clear,18,72.41,72.41,49.75,,,,44.29,0.36,5,1,7.58,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,4,0,1,2,30,2,2,18,4,16,9540,12,18,15
16,,No Injuries,35.150869,-85.249628,2019-05-14,18:08:32,5681 Highway 153,330C907001,0.098,CHATTANOOGA,clear-day,Clear,clear-night,Clear,18,73.18,73.18,49.64,,,,44.26,0.36,5,1,6.86,0.11,NA,0,0,-1000,1,0,0,0,0,0,2,7,0,,2,,2,2,12,4,19,,,24,15
17,,No Injuries,35.053254,-85.189847,2019-05-14,17:37:41,1-9 EXIT SHALLOWFORD RD OFF RAMP NB,33SR153001,2.459,CHATTANOOGA,clear-day,Clear,clear-night,Clear,17,71.75,72.62,50.78,,,,43.77,0.37,5,1,7.66,0.09,NA,0,0,-1000,1,0,0,0,0,0,2,4,2,0,2,55,6,6,13,1,12,72840,10,36,15
