Grid_Num,Join_Count,GRID_ID,Center_Long,Center_Lat
1,14,A-28,-85.46806323,34.98311234
2,2,B-28,-85.46071149,34.98735687
3,111,I-28,-85.40924928,34.98311234
4,38,J-28,-85.40189753,34.98735687
5,11,K-28,-85.39454579,34.98311234
6,14,L-28,-85.38719404,34.98735687
7,0,O-28,-85.36513881,34.98311234
8,3,P-28,-85.35778706,34.98735687
9,5,Q-28,-85.35043532,34.98311234
10,30,R-28,-85.34308357,34.98735687
11,6,S-28,-85.33573183,34.98311234
12,37,T-28,-85.32838008,34.98735687
13,5,U-28,-85.32102834,34.98311234
14,17,V-28,-85.31367659,34.98735687
15,1,W-28,-85.30632485,34.98311234
16,9,X-28,-85.29897311,34.98735687
17,18,Y-28,-85.29162136,34.98311234
18,188,Z-28,-85.28426962,34.98735687
19,5,AA-28,-85.27691787,34.98311234
20,45,AB-28,-85.26956613,34.98735687
21,1,AO-28,-85.17399344,34.98311234
22,3,AP-28,-85.1666417,34.98735687
23,0,AQ-28,-85.15928996,34.98311234
24,10,AR-28,-85.15193821,34.98735687
25,6,AS-28,-85.14458647,34.98311234
26,2,AT-28,-85.13723472,34.98735687
27,1,A-27,-85.46806323,34.99160141
28,125,J-27,-85.40189753,34.99584594
29,7,K-27,-85.39454579,34.99160141
30,28,L-27,-85.38719404,34.99584594
31,0,M-27,-85.3798423,34.99160141
32,7,P-27,-85.35778706,34.99584594
33,34,Q-27,-85.35043532,34.99160141
34,19,R-27,-85.34308357,34.99584594
35,25,S-27,-85.33573183,34.99160141
36,38,T-27,-85.32838008,34.99584594
37,19,U-27,-85.32102834,34.99160141
38,29,V-27,-85.31367659,34.99584594
39,103,W-27,-85.30632485,34.99160141
40,9,X-27,-85.29897311,34.99584594
41,256,Y-27,-85.29162136,34.99160141
42,157,Z-27,-85.28426962,34.99584594
43,23,AA-27,-85.27691787,34.99160141
44,45,AB-27,-85.26956613,34.99584594
45,3,AN-27,-85.18134519,34.99584594
46,1,AO-27,-85.17399344,34.99160141
47,0,AP-27,-85.1666417,34.99584594
48,4,AQ-27,-85.15928996,34.99160141
49,64,AR-27,-85.15193821,34.99584594
50,26,AS-27,-85.14458647,34.99160141
51,11,AT-27,-85.13723472,34.99584594
52,9,AU-27,-85.12988298,34.99160141
53,35,K-26,-85.39454579,35.00009047
54,12,M-26,-85.3798423,35.00009047
55,8,Q-26,-85.35043532,35.00009047
56,21,R-26,-85.34308357,35.004335
57,4,S-26,-85.33573183,35.00009047
58,153,T-26,-85.32838008,35.004335
59,17,U-26,-85.32102834,35.00009047
60,115,V-26,-85.31367659,35.004335
61,19,W-26,-85.30632485,35.00009047
62,34,X-26,-85.29897311,35.004335
63,250,Y-26,-85.29162136,35.00009047
64,134,Z-26,-85.28426962,35.004335
65,61,AA-26,-85.27691787,35.00009047
66,29,AB-26,-85.26956613,35.004335
67,31,AF-26,-85.24015915,35.004335
68,486,AH-26,-85.22545566,35.004335
69,175,AI-26,-85.21810391,35.00009047
70,661,AJ-26,-85.21075217,35.004335
71,0,AK-26,-85.20340042,35.00009047
72,1,AL-26,-85.19604868,35.004335
73,45,AM-26,-85.18869693,35.00009047
74,2,AN-26,-85.18134519,35.004335
75,2,AO-26,-85.17399344,35.00009047
76,18,AP-26,-85.1666417,35.004335
77,10,AQ-26,-85.15928996,35.00009047
78,337,AR-26,-85.15193821,35.004335
79,78,AS-26,-85.14458647,35.00009047
80,33,AT-26,-85.13723472,35.004335
81,180,AU-26,-85.12988298,35.00009047
82,52,AV-26,-85.12253123,35.004335
83,0,J-25,-85.40189753,35.01282407
84,120,K-25,-85.39454579,35.00857953
85,111,L-25,-85.38719404,35.01282407
86,17,M-25,-85.3798423,35.00857953
87,12,N-25,-85.37249055,35.01282407
88,2,O-25,-85.36513881,35.00857953
89,0,P-25,-85.35778706,35.01282407
90,0,Q-25,-85.35043532,35.00857953
91,2,R-25,-85.34308357,35.01282407
92,12,S-25,-85.33573183,35.00857953
93,375,T-25,-85.32838008,35.01282407
94,102,U-25,-85.32102834,35.00857953
95,73,V-25,-85.31367659,35.01282407
96,16,W-25,-85.30632485,35.00857953
97,17,X-25,-85.29897311,35.01282407
98,164,Y-25,-85.29162136,35.00857953
99,120,Z-25,-85.28426962,35.01282407
100,129,AA-25,-85.27691787,35.00857953
101,322,AB-25,-85.26956613,35.01282407
102,501,AD-25,-85.25486264,35.01282407
103,232,AE-25,-85.24751089,35.00857953
104,455,AF-25,-85.24015915,35.01282407
105,356,AG-25,-85.2328074,35.00857953
106,563,AH-25,-85.22545566,35.01282407
107,592,AI-25,-85.21810391,35.00857953
108,476,AJ-25,-85.21075217,35.01282407
109,833,AK-25,-85.20340042,35.00857953
110,146,AL-25,-85.19604868,35.01282407
111,194,AM-25,-85.18869693,35.00857953
112,626,AN-25,-85.18134519,35.01282407
113,13,AO-25,-85.17399344,35.00857953
114,340,AP-25,-85.1666417,35.01282407
115,196,AQ-25,-85.15928996,35.00857953
116,125,AR-25,-85.15193821,35.01282407
117,27,AS-25,-85.14458647,35.00857953
118,5,AT-25,-85.13723472,35.01282407
119,12,AU-25,-85.12988298,35.00857953
120,29,AV-25,-85.12253123,35.01282407
121,2,I-24,-85.40924928,35.0170686
122,7,J-24,-85.40189753,35.02131313
123,2,K-24,-85.39454579,35.0170686
124,53,L-24,-85.38719404,35.02131313
125,360,M-24,-85.3798423,35.0170686
126,60,N-24,-85.37249055,35.02131313
127,87,O-24,-85.36513881,35.0170686
128,24,P-24,-85.35778706,35.02131313
129,45,Q-24,-85.35043532,35.0170686
130,94,R-24,-85.34308357,35.02131313
131,153,S-24,-85.33573183,35.0170686
132,31,T-24,-85.32838008,35.02131313
133,207,U-24,-85.32102834,35.0170686
134,36,V-24,-85.31367659,35.02131313
135,4,W-24,-85.30632485,35.0170686
136,535,X-24,-85.29897311,35.02131313
137,467,Y-24,-85.29162136,35.0170686
138,256,Z-24,-85.28426962,35.02131313
139,882,AA-24,-85.27691787,35.0170686
140,399,AB-24,-85.26956613,35.02131313
141,206,AC-24,-85.26221438,35.0170686
142,91,AD-24,-85.25486264,35.02131313
143,99,AE-24,-85.24751089,35.0170686
144,259,AF-24,-85.24015915,35.02131313
145,90,AG-24,-85.2328074,35.0170686
146,66,AH-24,-85.22545566,35.02131313
147,15,AI-24,-85.21810391,35.0170686
148,0,AJ-24,-85.21075217,35.02131313
149,311,AK-24,-85.20340042,35.0170686
150,258,AL-24,-85.19604868,35.02131313
151,173,AM-24,-85.18869693,35.0170686
152,111,AN-24,-85.18134519,35.02131313
153,417,AO-24,-85.17399344,35.0170686
154,93,AP-24,-85.1666417,35.02131313
155,254,AQ-24,-85.15928996,35.0170686
156,18,AR-24,-85.15193821,35.02131313
157,14,AS-24,-85.14458647,35.0170686
158,49,AT-24,-85.13723472,35.02131313
159,55,AU-24,-85.12988298,35.0170686
160,29,AV-24,-85.12253123,35.02131313
161,12,AW-24,-85.11517949,35.0170686
162,2,I-23,-85.40924928,35.02555766
163,3,J-23,-85.40189753,35.02980219
164,15,K-23,-85.39454579,35.02555766
165,1,L-23,-85.38719404,35.02980219
166,157,M-23,-85.3798423,35.02555766
167,33,N-23,-85.37249055,35.02980219
168,402,O-23,-85.36513881,35.02555766
169,156,P-23,-85.35778706,35.02980219
170,79,Q-23,-85.35043532,35.02555766
171,9,R-23,-85.34308357,35.02980219
