"","1","2","3","4"
"0",2,0,0,0
"1",12,2,4,12
"2",17,9,12,20
"4",1,2,2,3
"5",8,4,11,11
"6",6,3,2,13
"7",11,3,7,14
"8",3,1,2,6
"9",0,1,0,0
"10",0,0,0,1
"11",15,1,1,5
"12",7,2,1,8
"13",12,4,6,6
"14",2,0,4,0
"15",2,0,4,3
"16",2,0,0,0
"17",1,0,0,2
"19",0,0,2,0
"20",1,0,0,0
"21",0,1,0,0
"22",5,1,0,8
"23",0,0,1,2
"25",0,0,0,1
"26",3,2,5,3
"27",1,0,0,1
"29",1,0,0,1
"30",12,2,0,6
"31",6,1,2,2
"32",2,1,1,8
"33",4,1,0,2
"34",7,0,7,6
"35",3,0,10,11
"36",14,2,3,12
"37",1,1,0,3
"38",2,1,0,0
"40",1,0,0,1
"41",1,1,0,0
"46",29,12,8,15
"47",10,2,5,9
"48",1,1,0,3
"49",1,0,0,2
"50",51,4,17,28
"51",27,3,2,18
"52",30,7,14,28
"53",15,3,3,10
"54",6,1,3,7
"55",10,0,2,7
"56",3,3,0,0
"57",9,2,5,9
"58",22,3,10,16
"59",6,2,6,8
"60",4,0,3,5
"61",2,4,4,6
"62",6,0,4,5
"63",0,0,0,1
"64",1,0,0,0
"65",0,1,0,1
"66",0,0,0,1
"70",16,7,4,11
"71",30,9,26,27
"72",26,1,14,13
"73",12,3,5,13
"74",6,2,4,0
"75",5,6,0,9
"76",28,11,11,13
"77",26,4,3,30
"78",5,2,1,2
"79",5,2,4,0
"80",0,0,1,4
"81",3,3,3,4
"82",4,2,1,2
"83",4,1,5,4
"84",4,0,3,7
"85",1,0,4,2
"86",41,10,29,58
"87",7,4,3,14
"88",0,0,0,1
"91",1,0,1,1
"92",0,1,0,0
"94",2,0,0,0
"95",0,2,0,0
"96",16,4,9,11
"97",25,1,7,20
"98",17,11,12,8
"99",2,3,1,0
"100",7,3,3,7
"101",14,1,4,2
"102",13,2,2,8
"103",21,5,6,14
"104",9,1,6,6
"105",26,7,17,38
"106",12,5,4,14
"107",25,6,16,11
"108",20,5,5,23
"109",26,4,21,25
