"","1","2","3","4"
"2",1,7,0,2
"3",1,9,2,6
"5",3,0,1,1
"6",3,0,1,7
"7",6,1,0,5
"8",1,5,11,27
"9",3,2,1,3
"10",0,0,3,2
"12",1,1,2,6
"13",5,2,3,2
"14",1,7,7,2
"15",0,1,1,0
"16",1,1,0,1
"18",0,0,1,5
"21",0,0,0,1
"23",0,2,0,2
"24",0,0,0,1
"26",0,0,0,5
"27",1,2,4,7
"28",0,2,1,4
"30",0,0,0,1
"31",2,3,3,4
"32",2,0,0,0
"33",2,0,4,6
"34",0,0,0,1
"35",2,0,0,6
"36",5,1,2,4
"37",1,4,1,7
"38",1,0,0,5
"39",0,1,1,2
"42",0,0,0,1
"47",1,2,1,8
"48",6,5,2,6
"49",2,0,1,7
"50",0,0,0,1
"51",11,11,8,37
"52",4,4,1,11
"53",10,6,6,31
"54",1,8,2,13
"55",0,2,5,6
"56",0,3,1,7
"58",2,6,2,10
"59",8,10,8,13
"60",3,2,3,15
"61",1,3,5,5
"62",1,3,2,16
"63",6,11,5,24
"66",1,0,0,0
"71",0,7,1,3
"72",5,15,7,17
"73",4,14,4,15
"74",5,12,5,25
"75",0,3,1,7
"76",2,1,5,11
"77",3,9,3,15
"78",6,10,0,17
"79",2,1,0,0
"80",0,0,0,9
"81",2,2,1,2
"82",0,1,0,0
"83",0,1,0,2
"84",0,5,0,0
"85",1,1,0,3
"86",2,2,2,5
"87",12,34,31,27
"88",1,10,7,6
"89",1,2,0,2
"96",0,0,0,2
"97",1,10,8,8
"98",2,7,2,18
"99",4,10,6,16
"100",4,1,2,5
"101",4,1,2,11
"102",1,0,2,4
"103",2,0,3,3
"104",2,8,10,17
"105",7,5,1,24
"106",14,16,5,41
"107",7,14,4,19
"108",6,18,12,17
"109",3,13,1,18
"110",8,12,8,13
"111",2,6,3,8
"112",11,20,16,21
"122",0,0,0,1
"124",1,3,1,2
"125",7,21,20,70
"126",5,10,23,34
"127",4,5,7,15
"128",3,6,3,15
"129",0,7,2,10
"130",0,5,1,7
"131",3,3,7,15
"132",4,3,1,8
"133",2,7,2,10
"134",5,7,11,19
"135",1,4,9,18
"136",0,0,3,5
"137",2,2,8,20
"138",4,2,5,23
"139",6,5,22,23
"140",7,29,16,48
"141",4,20,4,12
"142",0,0,0,1
"143",0,0,0,1
"148",0,0,0,2
"153",0,0,0,1
"154",0,0,1,1
"155",2,9,2,6
"156",6,16,25,65
"157",4,14,26,55
"158",6,20,14,14
"159",2,10,16,19
"160",0,13,6,9
"161",2,1,2,5
"162",3,4,4,30
"163",6,7,0,23
"164",0,0,1,3
"165",0,0,1,4
"166",0,0,1,1
"167",1,0,0,4
"168",1,0,0,7
"170",1,6,7,18
"171",0,0,1,1
"172",2,8,3,11
"173",0,9,3,9
"175",0,0,0,1
"177",0,0,0,1
"178",0,0,0,3
"179",0,4,0,4
"187",0,1,1,6
"188",1,7,1,8
"189",1,3,3,3
"190",1,2,1,6
"191",1,1,5,6
"192",5,4,3,13
"193",0,11,1,2
"194",0,0,1,5
"195",0,1,0,12
"196",0,9,7,13
"198",2,6,2,4
"199",0,0,0,3
"200",0,0,0,1
"201",0,0,0,2
"202",0,0,1,0
"203",0,0,1,0
"204",2,2,2,12
"205",2,4,0,12
"206",6,14,1,15
"208",0,0,0,3
"210",1,1,3,2
"211",6,5,6,21
"212",0,1,0,2
"213",0,0,1,0
"214",0,0,1,0
"220",0,1,1,0
"221",1,0,2,0
"222",1,2,0,4
"223",3,2,2,9
"224",4,5,8,30
"225",0,1,2,8
"226",1,0,0,0
"227",2,2,3,9
"228",0,1,0,0
"229",3,2,0,8
"230",5,0,5,18
"231",0,0,0,2
"232",0,1,1,0
"233",0,0,3,4
"234",0,0,0,1
"235",0,0,0,3
"236",1,0,3,1
"238",0,0,0,1
"239",2,4,2,3
"240",0,1,0,3
"241",4,9,8,22
"242",4,4,5,30
"243",1,6,4,9
"244",6,8,6,8
"245",2,4,5,13
"246",0,1,3,5
"247",0,2,1,0
"248",4,0,3,8
"249",1,0,0,0
"253",1,0,0,0
"258",0,3,0,2
"259",0,0,1,0
"260",5,2,0,5
"261",0,0,3,3
"262",2,3,0,6
"263",0,1,0,0
"264",0,0,4,1
"265",1,0,1,4
"267",1,7,4,8
"268",1,3,1,5
"269",2,2,6,19
"270",1,2,1,9
"271",2,2,3,5
"272",1,1,3,17
"274",1,5,2,19
"275",0,0,0,5
"278",3,0,0,0
"279",3,7,20,26
"280",0,2,3,5
"281",2,9,6,6
"282",2,4,3,10
"283",0,1,4,9
"284",0,4,0,1
"285",3,1,0,3
"286",0,0,0,1
"288",0,1,0,2
"289",1,0,0,2
"290",0,0,3,1
"291",0,1,0,1
"303",0,0,3,0
"304",3,10,5,9
"305",3,9,3,17
"308",0,0,1,0
"309",2,1,0,2
"310",0,0,0,1
"312",0,2,2,1
"314",3,2,0,4
"316",0,0,1,1
"317",0,0,0,2
"318",1,0,0,0
"319",0,1,0,1
"320",0,0,0,4
"322",0,2,0,3
"323",2,2,0,2
"324",5,6,8,17
"325",2,1,1,9
"326",2,2,3,7
"327",3,4,3,11
"328",5,5,10,25
"329",1,0,0,1
"330",0,0,0,4
"331",0,0,0,2
"332",1,0,0,5
"333",0,1,0,0
"334",0,1,0,1
"336",1,8,0,5
"343",1,0,0,0
"344",2,0,0,0
"348",4,1,3,11
"349",4,3,0,0
"351",0,0,3,9
"353",0,2,4,2
"354",2,1,0,0
"357",0,2,2,8
"358",0,0,0,1
"359",2,1,0,6
"360",1,1,1,6
"362",0,1,1,3
"365",0,1,0,7
"367",0,0,1,0
"368",3,2,0,4
"370",0,6,0,0
"371",9,13,13,36
"372",7,5,20,40
"373",5,2,9,29
"374",0,0,1,1
"377",1,0,2,4
"378",0,0,0,3
"381",0,2,0,0
"385",0,0,0,2
"386",0,1,0,1
"390",6,2,1,4
"391",0,0,0,2
"392",1,1,1,7
"393",1,1,3,8
"394",1,0,0,2
"395",2,0,1,0
"396",0,2,1,4
"397",0,0,0,3
"398",1,0,1,3
"401",0,0,0,1
"402",3,1,6,11
"403",0,0,1,1
"404",4,5,2,6
"405",0,0,0,7
"406",0,0,1,3
"407",2,1,0,1
"409",1,2,1,0
"410",1,4,0,3
"411",6,13,7,18
"412",0,6,0,14
"413",0,2,1,1
"414",0,0,0,1
"415",4,3,6,12
"416",4,2,4,12
"417",8,6,17,34
"418",5,1,9,28
"419",0,2,0,0
"420",1,1,0,0
"421",1,5,0,3
"425",0,0,6,0
"426",0,1,0,1
"432",0,0,2,0
"434",0,1,1,1
"438",0,1,2,7
"440",2,0,0,0
"441",1,1,0,2
"443",0,1,0,1
"444",0,0,1,1
"447",3,2,5,6
"448",0,0,2,0
"449",0,0,0,1
"450",3,0,1,3
"451",0,0,2,3
"452",0,0,0,1
"453",0,1,0,1
"454",3,3,0,1
"456",0,8,3,9
"457",0,5,3,11
"458",3,1,2,8
"460",2,7,1,5
"461",7,8,15,23
"462",7,13,16,31
"463",3,3,3,7
"464",0,0,0,2
"465",1,0,1,5
"468",1,0,0,0
"469",1,0,0,6
"470",0,1,0,0
"471",0,0,0,1
"478",0,0,0,1
"480",3,0,1,9
"481",0,0,0,1
"482",1,0,0,0
"483",0,0,0,3
"485",0,1,0,0
"486",0,1,2,5
"487",0,1,0,2
"489",0,0,2,0
"492",0,2,0,3
"495",0,1,0,5
"496",2,1,3,5
"497",0,0,0,5
"498",0,2,0,0
"499",0,0,0,1
"500",1,1,1,1
"501",2,7,1,4
"505",1,0,0,1
"507",4,3,2,11
"508",5,1,0,2
"509",1,0,0,0
"510",2,7,1,6
"511",0,1,0,3
"512",0,1,0,3
"513",1,1,0,8
"514",0,0,1,0
"516",0,2,0,0
"526",1,0,0,1
"528",0,0,1,9
"530",0,1,0,2
"531",0,2,1,0
"532",2,6,0,0
"533",0,0,0,1
"534",0,0,1,3
"535",0,1,0,0
"537",1,1,2,11
"538",0,0,0,6
"542",0,1,1,2
"543",4,4,9,18
"544",1,3,2,1
"545",5,3,1,12
"546",3,4,4,12
"547",0,0,1,2
"548",3,0,1,1
"550",0,2,0,0
"551",2,1,1,1
"552",0,0,0,3
"553",3,9,9,7
"554",2,2,0,0
"556",0,0,0,2
"557",0,0,0,6
"558",0,0,0,1
"559",1,0,0,0
"564",1,1,0,0
"570",0,1,0,0
"571",0,0,0,3
"572",0,0,1,1
"573",0,0,0,5
"574",0,1,0,9
"575",0,0,0,3
"576",1,1,1,13
"577",0,0,0,2
"578",0,1,1,1
"579",7,0,2,9
"580",0,0,0,1
"582",0,0,0,1
"583",0,0,1,1
"584",0,3,1,8
"585",0,2,0,5
"586",4,4,6,15
"587",0,1,3,7
"588",7,3,4,9
"589",5,13,3,18
"590",0,0,4,1
"591",1,0,1,6
"592",1,4,1,6
"593",0,5,1,10
"594",0,0,2,1
"595",0,1,0,0
"596",1,0,0,1
"597",0,1,1,2
"598",1,9,5,14
"599",4,7,7,6
"603",0,1,1,1
"604",0,0,0,1
"605",0,0,0,1
"609",0,0,1,0
"610",0,0,0,2
"612",0,1,0,2
"613",0,0,0,2
"614",0,0,1,1
"617",1,0,0,1
"618",1,4,2,19
"619",0,0,1,3
"620",3,1,1,0
"621",0,0,0,1
"622",3,2,9,21
"623",2,5,0,19
"624",0,0,0,2
"625",1,0,1,1
"626",1,1,2,10
"627",2,1,4,4
"629",0,1,0,0
"630",0,0,0,1
"631",0,0,1,4
"632",5,2,9,18
"633",0,0,1,2
"634",0,2,0,1
"635",0,0,0,3
"636",1,1,1,1
"637",0,7,0,7
"638",0,4,0,7
"639",0,3,1,1
"640",0,0,0,2
"641",0,5,1,4
"648",0,0,0,2
"650",0,0,0,1
"652",0,0,0,1
"653",0,0,10,1
"659",0,1,2,1
"660",0,1,1,1
"661",0,1,0,0
"662",2,0,0,6
"663",0,4,2,14
"666",5,6,3,14
"671",0,0,0,2
"672",4,6,6,11
"673",0,2,6,5
"674",0,0,0,1
"677",2,3,0,0
"679",0,0,0,1
"680",0,0,0,1
"681",0,5,1,1
"682",0,5,0,0
"687",0,0,0,2
"688",2,0,1,0
"690",0,0,1,0
"691",0,0,1,2
"692",1,1,0,2
"698",0,0,0,1
"699",0,0,1,3
"700",1,1,0,1
"701",2,5,1,5
"702",1,2,7,26
"703",0,0,1,0
"704",1,1,0,3
"705",2,1,0,1
"706",0,0,0,1
"710",1,0,0,0
"711",3,3,3,7
"718",1,0,1,1
"719",0,0,0,1
"720",7,7,3,8
"721",2,2,2,5
"722",0,4,0,1
"723",0,1,1,1
"724",0,1,0,0
"725",1,1,0,1
"726",0,0,0,3
"728",0,2,1,5
"729",1,2,2,3
"730",1,0,0,3
"731",1,0,0,0
"732",0,0,0,1
"733",0,1,2,1
"734",0,0,0,1
"735",0,0,0,5
"736",1,14,5,20
"737",3,10,33,33
"738",0,1,4,0
"741",0,0,1,1
"746",0,0,1,3
"747",1,2,0,2
"748",0,0,0,1
"755",1,1,1,5
"756",1,1,0,1
"757",0,0,0,2
"760",0,2,1,3
"761",3,3,1,17
"762",0,0,0,1
"764",0,2,0,1
"765",3,1,3,3
"766",4,1,0,5
"767",1,2,1,1
"768",1,3,12,13
"769",4,9,6,18
"770",0,0,7,8
"771",0,0,0,2
"772",0,1,0,0
"774",0,1,0,0
"779",2,0,0,0
"780",0,0,4,6
"784",1,0,0,0
"789",0,1,1,1
"790",1,0,0,3
"791",5,1,0,1
"794",0,1,0,0
"798",0,1,4,9
"799",4,2,15,24
"800",4,6,6,14
"801",1,2,0,3
"803",0,4,0,0
"804",0,1,1,2
"805",0,0,0,1
"806",0,0,0,1
"811",0,0,1,0
"812",0,1,0,0
"822",1,3,5,38
"825",1,0,0,2
"829",3,2,4,4
"831",0,0,0,1
"832",0,0,1,1
"837",0,0,0,6
"838",0,0,0,1
"841",0,1,0,2
"842",1,0,0,4
"849",0,0,1,0
"850",0,7,0,1
"851",2,5,7,37
"852",6,9,11,55
"853",0,1,1,6
"857",2,0,0,3
"858",0,1,0,1
"865",0,0,0,2
"867",0,1,0,0
"868",0,4,0,3
"872",0,0,0,1
"874",0,0,0,1
"876",0,0,0,1
"877",1,8,2,8
"878",2,1,1,4
"882",0,1,0,2
"884",0,0,0,1
"888",1,0,0,0
"889",0,0,0,4
"891",0,0,0,4
"892",3,1,0,2
"897",0,0,0,1
"901",3,0,0,11
